document_number,company_code,document_date,posting_date,document_type,reference,currency,exchange_rate
DOC00000037,1000,2023-01-09,2023-01-09,SA,BD00000037,USD,1.0
DOC00000038,1000,2023-01-16,2023-01-16,SA,BD00000038,USD,1.0
DOC00000039,1000,2023-01-16,2023-01-16,SA,BD00000039,USD,1.0
DOC00000040,1000,2023-01-13,2023-01-13,SA,BD00000040,USD,1.0
DOC00000041,1000,2023-01-11,2023-01-11,SA,BD00000041,USD,1.0
DOC00000042,1000,2023-01-17,2023-01-17,SA,BD00000042,USD,1.0
DOC00000043,1000,2023-01-09,2023-01-09,SA,BD00000043,USD,1.0
DOC00000044,1000,2023-01-13,2023-01-13,SA,BD00000044,USD,1.0
DOC00000045,1000,2023-01-17,2023-01-17,SA,BD00000045,USD,1.0
DOC00000046,1000,2023-01-11,2023-01-11,SA,BD00000046,USD,1.0
DOC00000047,1000,2023-01-10,2023-01-10,SA,BD00000047,USD,1.0
DOC00000048,1000,2023-01-09,2023-01-09,SA,BD00000048,USD,1.0
DOC00000049,1000,2023-01-16,2023-01-16,SA,BD00000049,USD,1.0
DOC00000050,1000,2023-01-10,2023-01-10,SA,BD00000050,USD,1.0
DOC00000051,1000,2023-01-10,2023-01-10,SA,BD00000051,USD,1.0
DOC00000052,1000,2023-01-16,2023-01-16,SA,BD00000052,USD,1.0
DOC00000053,1000,2023-01-12,2023-01-12,SA,BD00000053,USD,1.0
DOC00000054,1000,2023-01-11,2023-01-11,SA,BD00000054,USD,1.0
DOC00000055,1000,2023-01-13,2023-01-13,SA,BD00000055,USD,1.0
DOC00000056,1000,2023-01-09,2023-01-09,SA,BD00000056,USD,1.0
DOC00000057,1000,2023-01-09,2023-01-09,SA,BD00000057,USD,1.0
DOC00000058,1000,2023-01-12,2023-01-12,SA,BD00000058,USD,1.0
DOC00000059,1000,2023-01-10,2023-01-10,SA,BD00000059,USD,1.0
DOC00000060,1000,2023-01-09,2023-01-09,SA,BD00000060,USD,1.0
DOC00000061,1000,2023-01-10,2023-01-10,SA,BD00000061,USD,1.0
DOC00000062,1000,2023-01-10,2023-01-10,SA,BD00000062,USD,1.0
DOC00000063,1000,2023-01-16,2023-01-16,SA,BD00000063,USD,1.0
DOC00000064,1000,2023-01-13,2023-01-13,SA,BD00000064,USD,1.0
DOC00000065,1000,2023-01-09,2023-01-09,SA,BD00000065,USD,1.0
DOC00000066,1000,2023-01-12,2023-01-12,SA,BD00000066,USD,1.0
DOC00000067,1000,2023-01-10,2023-01-10,SA,BD00000067,USD,1.0
DOC00000068,1000,2023-01-09,2023-01-09,SA,BD00000068,USD,1.0
DOC00000069,1000,2023-01-17,2023-01-17,SA,BD00000069,USD,1.0
DOC00000070,1000,2023-01-18,2023-01-18,SA,BD00000070,USD,1.0
DOC00000071,1000,2023-01-11,2023-01-11,SA,BD00000071,USD,1.0
DOC00000072,1000,2023-01-18,2023-01-18,SA,BD00000072,USD,1.0
DOC00000073,1000,2023-01-16,2023-01-16,SA,BD00000073,USD,1.0
DOC00000074,1000,2023-01-09,2023-01-09,SA,BD00000074,USD,1.0
DOC00000075,1000,2023-01-13,2023-01-13,SA,BD00000075,USD,1.0
DOC00000076,1000,2023-01-10,2023-01-10,SA,BD00000076,USD,1.0
DOC00000077,1000,2023-01-18,2023-01-18,SA,BD00000077,USD,1.0
DOC00000078,1000,2023-01-12,2023-01-12,SA,BD00000078,USD,1.0
DOC00000079,1000,2023-01-16,2023-01-16,SA,BD00000079,USD,1.0
DOC00000080,1000,2023-01-16,2023-01-16,SA,BD00000080,USD,1.0
DOC00000081,1000,2023-01-17,2023-01-17,SA,BD00000081,USD,1.0
DOC00000082,1000,2023-01-17,2023-01-17,SA,BD00000082,USD,1.0
DOC00000083,1000,2023-01-11,2023-01-11,SA,BD00000083,USD,1.0
DOC00000084,1000,2023-01-16,2023-01-16,SA,BD00000084,USD,1.0
DOC00000085,1000,2023-01-12,2023-01-12,SA,BD00000085,USD,1.0
DOC00000086,1000,2023-01-09,2023-01-09,SA,BD00000086,USD,1.0
DOC00000087,1000,2023-01-17,2023-01-17,SA,BD00000087,USD,1.0
DOC00000088,1000,2023-01-16,2023-01-16,SA,BD00000088,USD,1.0
DOC00000089,1000,2023-01-10,2023-01-10,SA,BD00000089,USD,1.0
DOC00000090,1000,2023-01-18,2023-01-18,SA,BD00000090,USD,1.0
DOC00000091,1000,2023-01-09,2023-01-09,SA,BD00000091,USD,1.0
DOC00000092,1000,2023-01-12,2023-01-12,SA,BD00000092,USD,1.0
DOC00000093,1000,2023-01-09,2023-01-09,SA,BD00000093,USD,1.0
DOC00000094,1000,2023-01-11,2023-01-11,SA,BD00000094,USD,1.0
DOC00000095,1000,2023-01-16,2023-01-16,SA,BD00000095,USD,1.0
DOC00000096,1000,2023-01-09,2023-01-09,SA,BD00000096,USD,1.0
DOC00000097,1000,2023-01-09,2023-01-09,SA,BD00000097,USD,1.0
DOC00000098,1000,2023-01-10,2023-01-10,SA,BD00000098,USD,1.0
DOC00000099,1000,2023-01-18,2023-01-18,SA,BD00000099,USD,1.0
DOC00000100,1000,2023-01-11,2023-01-11,SA,BD00000100,USD,1.0
DOC00000101,1000,2023-01-12,2023-01-12,SA,BD00000101,USD,1.0
DOC00000102,1000,2023-01-17,2023-01-17,SA,BD00000102,USD,1.0
DOC00000103,1000,2023-01-13,2023-01-13,SA,BD00000103,USD,1.0
DOC00000104,1000,2023-01-17,2023-01-17,SA,BD00000104,USD,1.0
DOC00000105,1000,2023-01-16,2023-01-16,SA,BD00000105,USD,1.0
DOC00000106,1000,2023-01-09,2023-01-09,SA,BD00000106,USD,1.0
DOC00000107,1000,2023-01-09,2023-01-09,SA,BD00000107,USD,1.0
DOC00000108,1000,2023-01-09,2023-01-09,SA,BD00000108,USD,1.0
DOC00000109,1000,2023-01-11,2023-01-11,SA,BD00000109,USD,1.0
DOC00000110,1000,2023-01-09,2023-01-09,SA,BD00000110,USD,1.0
DOC00000111,1000,2023-01-11,2023-01-11,SA,BD00000111,USD,1.0
DOC00000112,1000,2023-01-16,2023-01-16,SA,BD00000112,USD,1.0
DOC00000113,1000,2023-01-10,2023-01-10,SA,BD00000113,USD,1.0
DOC00000114,1000,2023-01-11,2023-01-11,SA,BD00000114,USD,1.0
DOC00000115,1000,2023-01-17,2023-01-17,SA,BD00000115,USD,1.0
DOC00000116,1000,2023-01-09,2023-01-09,SA,BD00000116,USD,1.0
DOC00000117,1000,2023-01-16,2023-01-16,SA,BD00000117,USD,1.0
DOC00000118,1000,2023-01-16,2023-01-16,SA,BD00000118,USD,1.0
DOC00000119,1000,2023-01-17,2023-01-17,SA,BD00000119,USD,1.0
DOC00000120,1000,2023-01-12,2023-01-12,SA,BD00000120,USD,1.0
DOC00000121,1000,2023-01-16,2023-01-16,SA,BD00000121,USD,1.0
DOC00000122,1000,2023-01-10,2023-01-10,SA,BD00000122,USD,1.0
DOC00000123,1000,2023-01-13,2023-01-13,SA,BD00000123,USD,1.0
DOC00000124,1000,2023-01-11,2023-01-11,SA,BD00000124,USD,1.0
DOC00000125,1000,2023-01-09,2023-01-09,SA,BD00000125,USD,1.0
DOC00000126,1000,2023-01-16,2023-01-16,SA,BD00000126,USD,1.0
DOC00000127,1000,2023-01-16,2023-01-16,SA,BD00000127,USD,1.0
DOC00000128,1000,2023-01-16,2023-01-16,SA,BD00000128,USD,1.0
DOC00000129,1000,2023-01-12,2023-01-12,SA,BD00000129,USD,1.0
DOC00000130,1000,2023-01-10,2023-01-10,SA,BD00000130,USD,1.0
DOC00000131,1000,2023-01-11,2023-01-11,SA,BD00000131,USD,1.0
DOC00000132,1000,2023-01-16,2023-01-16,SA,BD00000132,USD,1.0
DOC00000133,1000,2023-01-19,2023-01-19,SA,BD00000133,USD,1.0
DOC00000134,1000,2023-01-11,2023-01-11,SA,BD00000134,USD,1.0
DOC00000135,1000,2023-01-17,2023-01-17,SA,BD00000135,USD,1.0
DOC00000136,1000,2023-01-19,2023-01-19,SA,BD00000136,USD,1.0
DOC00000137,1000,2023-01-16,2023-01-16,SA,BD00000137,USD,1.0
DOC00000138,1000,2023-01-16,2023-01-16,SA,BD00000138,USD,1.0
DOC00000139,1000,2023-01-16,2023-01-16,SA,BD00000139,USD,1.0
DOC00000140,1000,2023-01-11,2023-01-11,SA,BD00000140,USD,1.0
DOC00000141,1000,2023-01-17,2023-01-17,SA,BD00000141,USD,1.0
DOC00000142,1000,2023-01-18,2023-01-18,SA,BD00000142,USD,1.0
DOC00000143,1000,2023-01-16,2023-01-16,SA,BD00000143,USD,1.0
DOC00000144,1000,2023-01-09,2023-01-09,SA,BD00000144,USD,1.0
DOC00000145,1000,2023-01-16,2023-01-16,SA,BD00000145,USD,1.0
DOC00000146,1000,2023-01-09,2023-01-09,SA,BD00000146,USD,1.0
DOC00000147,1000,2023-01-09,2023-01-09,SA,BD00000147,USD,1.0
DOC00000148,1000,2023-01-17,2023-01-17,SA,BD00000148,USD,1.0
DOC00000149,1000,2023-01-09,2023-01-09,SA,BD00000149,USD,1.0
DOC00000150,1000,2023-01-17,2023-01-17,SA,BD00000150,USD,1.0
DOC00000151,1000,2023-01-16,2023-01-16,SA,BD00000151,USD,1.0
DOC00000152,1000,2023-01-17,2023-01-17,SA,BD00000152,USD,1.0
DOC00000153,1000,2023-01-19,2023-01-19,SA,BD00000153,USD,1.0
DOC00000154,1000,2023-01-11,2023-01-11,SA,BD00000154,USD,1.0
DOC00000155,1000,2023-01-09,2023-01-09,SA,BD00000155,USD,1.0
DOC00000156,1000,2023-01-18,2023-01-18,SA,BD00000156,USD,1.0
DOC00000157,1000,2023-01-16,2023-01-16,SA,BD00000157,USD,1.0
DOC00000158,1000,2023-01-17,2023-01-17,SA,BD00000158,USD,1.0
DOC00000159,1000,2023-01-18,2023-01-18,SA,BD00000159,USD,1.0
DOC00000160,1000,2023-01-17,2023-01-17,SA,BD00000160,USD,1.0
DOC00000161,1000,2023-01-16,2023-01-16,SA,BD00000161,USD,1.0
DOC00000162,1000,2023-01-16,2023-01-16,SA,BD00000162,USD,1.0
DOC00000163,1000,2023-01-12,2023-01-12,SA,BD00000163,USD,1.0
DOC00000164,1000,2023-01-10,2023-01-10,SA,BD00000164,USD,1.0
DOC00000165,1000,2023-01-10,2023-01-10,SA,BD00000165,USD,1.0
DOC00000166,1000,2023-01-16,2023-01-16,SA,BD00000166,USD,1.0
DOC00000167,1000,2023-01-12,2023-01-12,SA,BD00000167,USD,1.0
DOC00000168,1000,2023-01-11,2023-01-11,SA,BD00000168,USD,1.0
DOC00000169,1000,2023-01-13,2023-01-13,SA,BD00000169,USD,1.0
DOC00000170,1000,2023-01-12,2023-01-12,SA,BD00000170,USD,1.0
DOC00000171,1000,2023-01-19,2023-01-19,SA,BD00000171,USD,1.0
DOC00000172,1000,2023-01-11,2023-01-11,SA,BD00000172,USD,1.0
DOC00000173,1000,2023-01-17,2023-01-17,SA,BD00000173,USD,1.0
DOC00000174,1000,2023-01-16,2023-01-16,SA,BD00000174,USD,1.0
DOC00000175,1000,2023-01-12,2023-01-12,SA,BD00000175,USD,1.0
DOC00000176,1000,2023-01-12,2023-01-12,SA,BD00000176,USD,1.0
DOC00000177,1000,2023-01-16,2023-01-16,SA,BD00000177,USD,1.0
DOC00000178,1000,2023-01-16,2023-01-16,SA,BD00000178,USD,1.0
DOC00000179,1000,2023-01-13,2023-01-13,SA,BD00000179,USD,1.0
DOC00000180,1000,2023-01-11,2023-01-11,SA,BD00000180,USD,1.0
DOC00000181,1000,2023-01-17,2023-01-17,SA,BD00000181,USD,1.0
DOC00000182,1000,2023-01-19,2023-01-19,SA,BD00000182,USD,1.0
DOC00000183,1000,2023-01-09,2023-01-09,SA,BD00000183,USD,1.0
DOC00000184,1000,2023-01-10,2023-01-10,SA,BD00000184,USD,1.0
DOC00000185,1000,2023-01-16,2023-01-16,SA,BD00000185,USD,1.0
DOC00000186,1000,2023-01-18,2023-01-18,SA,BD00000186,USD,1.0
DOC00000187,1000,2023-01-10,2023-01-10,SA,BD00000187,USD,1.0
DOC00000188,1000,2023-01-17,2023-01-17,SA,BD00000188,USD,1.0
DOC00000189,1000,2023-01-16,2023-01-16,SA,BD00000189,USD,1.0
DOC00000190,1000,2023-01-10,2023-01-10,SA,BD00000190,USD,1.0
DOC00000191,1000,2023-01-16,2023-01-16,SA,BD00000191,USD,1.0
DOC00000192,1000,2023-01-16,2023-01-16,SA,BD00000192,USD,1.0
DOC00000193,1000,2023-01-16,2023-01-16,SA,BD00000193,USD,1.0
DOC00000194,1000,2023-01-19,2023-01-19,SA,BD00000194,USD,1.0
DOC00000195,1000,2023-01-17,2023-01-17,SA,BD00000195,USD,1.0
DOC00000196,1000,2023-01-18,2023-01-18,SA,BD00000196,USD,1.0
DOC00000197,1000,2023-01-12,2023-01-12,SA,BD00000197,USD,1.0
DOC00000198,1000,2023-01-13,2023-01-13,SA,BD00000198,USD,1.0
DOC00000199,1000,2023-01-12,2023-01-12,SA,BD00000199,USD,1.0
DOC00000200,1000,2023-01-10,2023-01-10,SA,BD00000200,USD,1.0
DOC00000201,1000,2023-01-18,2023-01-18,SA,BD00000201,USD,1.0
DOC00000202,1000,2023-01-16,2023-01-16,SA,BD00000202,USD,1.0
DOC00000203,1000,2023-01-17,2023-01-17,SA,BD00000203,USD,1.0
DOC00000204,1000,2023-01-16,2023-01-16,SA,BD00000204,USD,1.0
DOC00000205,1000,2023-01-13,2023-01-13,SA,BD00000205,USD,1.0
DOC00000206,1000,2023-01-16,2023-01-16,SA,BD00000206,USD,1.0
DOC00000207,1000,2023-01-16,2023-01-16,SA,BD00000207,USD,1.0
DOC00000208,1000,2023-01-13,2023-01-13,SA,BD00000208,USD,1.0
DOC00000209,1000,2023-01-17,2023-01-17,SA,BD00000209,USD,1.0
DOC00000210,1000,2023-01-17,2023-01-17,SA,BD00000210,USD,1.0
DOC00000211,1000,2023-01-13,2023-01-13,SA,BD00000211,USD,1.0
DOC00000212,1000,2023-01-13,2023-01-13,SA,BD00000212,USD,1.0
DOC00000213,1000,2023-01-20,2023-01-20,SA,BD00000213,USD,1.0
DOC00000214,1000,2023-01-20,2023-01-20,SA,BD00000214,USD,1.0
DOC00000215,1000,2023-01-16,2023-01-16,SA,BD00000215,USD,1.0
DOC00000216,1000,2023-01-18,2023-01-18,SA,BD00000216,USD,1.0
DOC00000217,1000,2023-01-17,2023-01-17,SA,BD00000217,USD,1.0
DOC00000218,1000,2023-01-16,2023-01-16,SA,BD00000218,USD,1.0
DOC00000219,1000,2023-01-12,2023-01-12,SA,BD00000219,USD,1.0
DOC00000220,1000,2023-01-18,2023-01-18,SA,BD00000220,USD,1.0
DOC00000221,1000,2023-01-11,2023-01-11,SA,BD00000221,USD,1.0
DOC00000222,1000,2023-01-18,2023-01-18,SA,BD00000222,USD,1.0
DOC00000223,1000,2023-01-18,2023-01-18,SA,BD00000223,USD,1.0
DOC00000224,1000,2023-01-16,2023-01-16,SA,BD00000224,USD,1.0
DOC00000225,1000,2023-01-16,2023-01-16,SA,BD00000225,USD,1.0
DOC00000226,1000,2023-01-16,2023-01-16,SA,BD00000226,USD,1.0
DOC00000227,1000,2023-01-16,2023-01-16,SA,BD00000227,USD,1.0
DOC00000228,1000,2023-01-18,2023-01-18,SA,BD00000228,USD,1.0
DOC00000229,1000,2023-01-16,2023-01-16,SA,BD00000229,USD,1.0
DOC00000230,1000,2023-01-18,2023-01-18,SA,BD00000230,USD,1.0
DOC00000231,1000,2023-01-16,2023-01-16,SA,BD00000231,USD,1.0
DOC00000232,1000,2023-01-20,2023-01-20,SA,BD00000232,USD,1.0
DOC00000233,1000,2023-01-17,2023-01-17,SA,BD00000233,USD,1.0
DOC00000234,1000,2023-01-16,2023-01-16,SA,BD00000234,USD,1.0
DOC00000235,1000,2023-01-19,2023-01-19,SA,BD00000235,USD,1.0
DOC00000236,1000,2023-01-16,2023-01-16,SA,BD00000236,USD,1.0
DOC00000237,1000,2023-01-16,2023-01-16,SA,BD00000237,USD,1.0
DOC00000238,1000,2023-01-13,2023-01-13,SA,BD00000238,USD,1.0
DOC00000239,1000,2023-01-12,2023-01-12,SA,BD00000239,USD,1.0
DOC00000240,1000,2023-01-16,2023-01-16,SA,BD00000240,USD,1.0
DOC00000241,1000,2023-01-13,2023-01-13,SA,BD00000241,USD,1.0
DOC00000242,1000,2023-01-16,2023-01-16,SA,BD00000242,USD,1.0
DOC00000243,1000,2023-01-18,2023-01-18,SA,BD00000243,USD,1.0
DOC00000244,1000,2023-01-16,2023-01-16,SA,BD00000244,USD,1.0
DOC00000245,1000,2023-01-10,2023-01-10,SA,BD00000245,USD,1.0
DOC00000246,1000,2023-01-12,2023-01-12,SA,BD00000246,USD,1.0
DOC00000247,1000,2023-01-19,2023-01-19,SA,BD00000247,USD,1.0
DOC00000248,1000,2023-01-18,2023-01-18,SA,BD00000248,USD,1.0
DOC00000249,1000,2023-01-18,2023-01-18,SA,BD00000249,USD,1.0
DOC00000250,1000,2023-01-19,2023-01-19,SA,BD00000250,USD,1.0
DOC00000251,1000,2023-01-16,2023-01-16,SA,BD00000251,USD,1.0
DOC00000252,1000,2023-01-19,2023-01-19,SA,BD00000252,USD,1.0
DOC00000253,1000,2023-01-23,2023-01-23,SA,BD00000253,USD,1.0
DOC00000254,1000,2023-01-11,2023-01-11,SA,BD00000254,USD,1.0
DOC00000255,1000,2023-01-19,2023-01-19,SA,BD00000255,USD,1.0
DOC00000256,1000,2023-01-12,2023-01-12,SA,BD00000256,USD,1.0
DOC00000257,1000,2023-01-16,2023-01-16,SA,BD00000257,USD,1.0
DOC00000258,1000,2023-01-11,2023-01-11,SA,BD00000258,USD,1.0
DOC00000259,1000,2023-01-19,2023-01-19,SA,BD00000259,USD,1.0
DOC00000260,1000,2023-01-16,2023-01-16,SA,BD00000260,USD,1.0
DOC00000261,1000,2023-01-16,2023-01-16,SA,BD00000261,USD,1.0
DOC00000262,1000,2023-01-13,2023-01-13,SA,BD00000262,USD,1.0
DOC00000263,1000,2023-01-20,2023-01-20,SA,BD00000263,USD,1.0
DOC00000264,1000,2023-01-16,2023-01-16,SA,BD00000264,USD,1.0
DOC00000265,1000,2023-01-13,2023-01-13,SA,BD00000265,USD,1.0
DOC00000266,1000,2023-01-23,2023-01-23,SA,BD00000266,USD,1.0
DOC00000267,1000,2023-01-16,2023-01-16,SA,BD00000267,USD,1.0
DOC00000268,1000,2023-01-16,2023-01-16,SA,BD00000268,USD,1.0
DOC00000269,1000,2023-01-23,2023-01-23,SA,BD00000269,USD,1.0
DOC00000270,1000,2023-01-20,2023-01-20,SA,BD00000270,USD,1.0
DOC00000271,1000,2023-01-16,2023-01-16,SA,BD00000271,USD,1.0
DOC00000272,1000,2023-01-17,2023-01-17,SA,BD00000272,USD,1.0
DOC00000273,1000,2023-01-12,2023-01-12,SA,BD00000273,USD,1.0
DOC00000274,1000,2023-01-16,2023-01-16,SA,BD00000274,USD,1.0
DOC00000275,1000,2023-01-23,2023-01-23,SA,BD00000275,USD,1.0
DOC00000276,1000,2023-01-23,2023-01-23,SA,BD00000276,USD,1.0
DOC00000277,1000,2023-01-12,2023-01-12,SA,BD00000277,USD,1.0
DOC00000278,1000,2023-01-17,2023-01-17,SA,BD00000278,USD,1.0
DOC00000279,1000,2023-01-19,2023-01-19,SA,BD00000279,USD,1.0
DOC00000280,1000,2023-01-16,2023-01-16,SA,BD00000280,USD,1.0
DOC00000281,1000,2023-01-17,2023-01-17,SA,BD00000281,USD,1.0
DOC00000282,1000,2023-01-16,2023-01-16,SA,BD00000282,USD,1.0
DOC00000283,1000,2023-01-17,2023-01-17,SA,BD00000283,USD,1.0
DOC00000284,1000,2023-01-17,2023-01-17,SA,BD00000284,USD,1.0
DOC00000285,1000,2023-01-12,2023-01-12,SA,BD00000285,USD,1.0
DOC00000286,1000,2023-01-20,2023-01-20,SA,BD00000286,USD,1.0
DOC00000287,1000,2023-01-11,2023-01-11,SA,BD00000287,USD,1.0
DOC00000288,1000,2023-01-16,2023-01-16,SA,BD00000288,USD,1.0
DOC00000289,1000,2023-01-13,2023-01-13,SA,BD00000289,USD,1.0
DOC00000290,1000,2023-01-12,2023-01-12,SA,BD00000290,USD,1.0
DOC00000291,1000,2023-01-12,2023-01-12,SA,BD00000291,USD,1.0
DOC00000292,1000,2023-01-20,2023-01-20,SA,BD00000292,USD,1.0
DOC00000293,1000,2023-01-23,2023-01-23,SA,BD00000293,USD,1.0
DOC00000294,1000,2023-01-12,2023-01-12,SA,BD00000294,USD,1.0
DOC00000295,1000,2023-01-11,2023-01-11,SA,BD00000295,USD,1.0
DOC00000296,1000,2023-01-17,2023-01-17,SA,BD00000296,USD,1.0
DOC00000297,1000,2023-01-12,2023-01-12,SA,BD00000297,USD,1.0
DOC00000298,1000,2023-01-20,2023-01-20,SA,BD00000298,USD,1.0
DOC00000299,1000,2023-01-11,2023-01-11,SA,BD00000299,USD,1.0
DOC00000300,1000,2023-01-20,2023-01-20,SA,BD00000300,USD,1.0
DOC00000301,1000,2023-01-16,2023-01-16,SA,BD00000301,USD,1.0
DOC00000302,1000,2023-01-19,2023-01-19,SA,BD00000302,USD,1.0
DOC00000303,1000,2023-01-16,2023-01-16,SA,BD00000303,USD,1.0
DOC00000304,1000,2023-01-16,2023-01-16,SA,BD00000304,USD,1.0
DOC00000305,1000,2023-01-12,2023-01-12,SA,BD00000305,USD,1.0
DOC00000306,1000,2023-01-19,2023-01-19,SA,BD00000306,USD,1.0
DOC00000307,1000,2023-01-20,2023-01-20,SA,BD00000307,USD,1.0
DOC00000308,1000,2023-01-20,2023-01-20,SA,BD00000308,USD,1.0
DOC00000309,1000,2023-01-19,2023-01-19,SA,BD00000309,USD,1.0
DOC00000310,1000,2023-01-16,2023-01-16,SA,BD00000310,USD,1.0
DOC00000311,1000,2023-01-16,2023-01-16,SA,BD00000311,USD,1.0
DOC00000312,1000,2023-01-18,2023-01-18,SA,BD00000312,USD,1.0
DOC00000313,1000,2023-01-24,2023-01-24,SA,BD00000313,USD,1.0
DOC00000314,1000,2023-01-23,2023-01-23,SA,BD00000314,USD,1.0
DOC00000315,1000,2023-01-16,2023-01-16,SA,BD00000315,USD,1.0
DOC00000316,1000,2023-01-16,2023-01-16,SA,BD00000316,USD,1.0
DOC00000317,1000,2023-01-23,2023-01-23,SA,BD00000317,USD,1.0
DOC00000318,1000,2023-01-23,2023-01-23,SA,BD00000318,USD,1.0
DOC00000319,1000,2023-01-23,2023-01-23,SA,BD00000319,USD,1.0
DOC00000320,1000,2023-01-23,2023-01-23,SA,BD00000320,USD,1.0
DOC00000321,1000,2023-01-19,2023-01-19,SA,BD00000321,USD,1.0
DOC00000322,1000,2023-01-16,2023-01-16,SA,BD00000322,USD,1.0
DOC00000323,1000,2023-01-20,2023-01-20,SA,BD00000323,USD,1.0
DOC00000324,1000,2023-01-20,2023-01-20,SA,BD00000324,USD,1.0
DOC00000325,1000,2023-01-23,2023-01-23,SA,BD00000325,USD,1.0
DOC00000326,1000,2023-01-23,2023-01-23,SA,BD00000326,USD,1.0
DOC00000327,1000,2023-01-19,2023-01-19,SA,BD00000327,USD,1.0
DOC00000328,1000,2023-01-20,2023-01-20,SA,BD00000328,USD,1.0
DOC00000329,1000,2023-01-18,2023-01-18,SA,BD00000329,USD,1.0
DOC00000330,1000,2023-01-23,2023-01-23,SA,BD00000330,USD,1.0
DOC00000331,1000,2023-01-16,2023-01-16,SA,BD00000331,USD,1.0
DOC00000332,1000,2023-01-20,2023-01-20,SA,BD00000332,USD,1.0
DOC00000333,1000,2023-01-24,2023-01-24,SA,BD00000333,USD,1.0
DOC00000334,1000,2023-01-23,2023-01-23,SA,BD00000334,USD,1.0
DOC00000335,1000,2023-01-24,2023-01-24,SA,BD00000335,USD,1.0
DOC00000336,1000,2023-01-17,2023-01-17,SA,BD00000336,USD,1.0
DOC00000337,1000,2023-01-17,2023-01-17,SA,BD00000337,USD,1.0
DOC00000338,1000,2023-01-23,2023-01-23,SA,BD00000338,USD,1.0
DOC00000339,1000,2023-01-24,2023-01-24,SA,BD00000339,USD,1.0
DOC00000340,1000,2023-01-16,2023-01-16,SA,BD00000340,USD,1.0
DOC00000341,1000,2023-01-23,2023-01-23,SA,BD00000341,USD,1.0
DOC00000342,1000,2023-01-24,2023-01-24,SA,BD00000342,USD,1.0
DOC00000343,1000,2023-01-24,2023-01-24,SA,BD00000343,USD,1.0
DOC00000344,1000,2023-01-18,2023-01-18,SA,BD00000344,USD,1.0
DOC00000345,1000,2023-01-23,2023-01-23,SA,BD00000345,USD,1.0
DOC00000346,1000,2023-01-24,2023-01-24,SA,BD00000346,USD,1.0
DOC00000347,1000,2023-01-19,2023-01-19,SA,BD00000347,USD,1.0
DOC00000348,1000,2023-01-17,2023-01-17,SA,BD00000348,USD,1.0
