billing_document,item_number,sales_order_id,customer_id,material_id,billing_date,billing_quantity,net_value,tax_amount,gross_value,currency,cost_of_goods
BD00000054,000010,SO00000058,C001014,MAT010009,2023-01-11,95,92175.25,7374.02,99549.27,USD,54970.53
BD00000055,000010,SO00000059,C001002,MAT010141,2023-01-13,83,83162.21,6652.98,89815.19,USD,34437.29
BD00000056,000010,SO00000060,C001005,MAT010068,2023-01-09,29,9730.86,778.47,10509.33,USD,6452.14
BD00000057,000010,SO00000061,C001002,MAT010006,2023-01-09,24,32943.64,2635.49,35579.13,USD,15981.91
BD00000058,000010,SO00000062,C001005,MAT010089,2023-01-12,60,81957.59,6556.61,88514.2,USD,37500.02
BD00000059,000010,SO00000065,C001044,MAT010165,2023-01-10,13,10431.97,834.56,11266.53,USD,4737.19
BD00000060,000010,SO00000066,C001011,MAT010066,2023-01-09,63,3886.02,310.88,4196.9,USD,2543.35
BD00000061,000010,SO00000069,C001042,MAT010042,2023-01-10,32,62587.57,5007.01,67594.58,USD,26482.06
BD00000062,000010,SO00000070,C001037,MAT010049,2023-01-10,56,25236.68,2018.93,27255.61,USD,13591.27
BD00000063,000010,SO00000071,C001013,MAT010106,2023-01-16,94,110566.08,8845.29,119411.37,USD,46897.95
BD00000064,000010,SO00000072,C001014,MAT010128,2023-01-13,46,91965.82,7357.27,99323.09,USD,52034.56
BD00000065,000010,SO00000073,C001011,MAT010130,2023-01-09,23,22616.61,1809.33,24425.94,USD,11086.82
BD00000066,000010,SO00000074,C001004,MAT010117,2023-01-12,69,90201.21,7216.1,97417.31,USD,49302.41
BD00000067,000010,SO00000075,C001021,MAT010199,2023-01-10,94,22895.9,1831.67,24727.57,USD,14114.5
BD00000068,000010,SO00000076,C001019,MAT010024,2023-01-09,4,2741.48,219.32,2960.8,USD,1273.62
BD00000069,000010,SO00000077,C001021,MAT010017,2023-01-17,28,56615.02,4529.2,61144.22,USD,25397.28
BD00000070,000010,SO00000078,C001020,MAT010172,2023-01-18,70,62040.99,4963.28,67004.27,USD,30770.28
BD00000071,000010,SO00000079,C001016,MAT010169,2023-01-11,29,11045.03,883.6,11928.63,USD,6209.77
BD00000072,000010,SO00000081,C001026,MAT010067,2023-01-18,47,81118.15,6489.45,87607.6,USD,53592.41
BD00000073,000010,SO00000082,C001041,MAT010113,2023-01-16,88,58549.08,4683.93,63233.01,USD,37870.68
BD00000074,000010,SO00000083,C001004,MAT010011,2023-01-09,21,5967.28,477.38,6444.66,USD,3355.68
BD00000075,000010,SO00000084,C001044,MAT010131,2023-01-13,95,154516.07,12361.29,166877.36,USD,93100.1
BD00000076,000010,SO00000085,C001033,MAT010078,2023-01-10,98,173059.59,13844.77,186904.36,USD,98120.48
BD00000077,000010,SO00000086,C001023,MAT010178,2023-01-18,30,32111.01,2568.88,34679.89,USD,13825.22
BD00000078,000010,SO00000088,C001004,MAT010161,2023-01-12,84,95361.96,7628.96,102990.92,USD,43198.54
BD00000079,000010,SO00000089,C001009,MAT010055,2023-01-16,36,36810.15,2944.81,39754.96,USD,16215.23
BD00000080,000010,SO00000090,C001034,MAT010116,2023-01-16,73,86636.89,6930.95,93567.84,USD,51355.36
BD00000081,000010,SO00000091,C001039,MAT010120,2023-01-17,76,98197.04,7855.76,106052.8,USD,62965.4
BD00000082,000010,SO00000092,C001002,MAT010026,2023-01-17,49,38699.75,3095.98,41795.73,USD,25936.08
BD00000083,000010,SO00000093,C001025,MAT010187,2023-01-11,46,23871.75,1909.74,25781.49,USD,14973.76
BD00000084,000010,SO00000094,C001033,MAT010008,2023-01-16,78,61927.2,4954.18,66881.38,USD,25482.17
BD00000085,000010,SO00000095,C001025,MAT010170,2023-01-12,30,20538.06,1643.04,22181.1,USD,13261.49
BD00000086,000010,SO00000096,C001049,MAT010066,2023-01-09,20,996.81,79.74,1076.55,USD,586.68
BD00000087,000010,SO00000097,C001018,MAT010032,2023-01-17,16,19214.76,1537.18,20751.94,USD,10676.2
BD00000088,000010,SO00000098,C001046,MAT010069,2023-01-16,15,23923.42,1913.87,25837.29,USD,11800.56
BD00000089,000010,SO00000099,C001019,MAT010163,2023-01-10,76,105418.1,8433.45,113851.55,USD,56176.84
BD00000090,000010,SO00000100,C001030,MAT010140,2023-01-18,6,5462.57,437.01,5899.58,USD,3547.94
BD00000091,000010,SO00000101,C001001,MAT010013,2023-01-09,81,38900.46,3112.04,42012.5,USD,20299.52
BD00000092,000010,SO00000102,C001013,MAT010168,2023-01-12,22,30159.61,2412.77,32572.38,USD,13892.45
BD00000093,000010,SO00000103,C001043,MAT010066,2023-01-09,77,6542.61,523.41,7066.02,USD,4394.5
BD00000094,000010,SO00000104,C001008,MAT010191,2023-01-11,94,69388.32,5551.07,74939.39,USD,30250.26
BD00000095,000010,SO00000105,C001037,MAT010020,2023-01-16,58,44423.6,3553.89,47977.49,USD,24888.45
BD00000096,000010,SO00000106,C001023,MAT010094,2023-01-09,29,55223.21,4417.86,59641.07,USD,23094.02
BD00000097,000010,SO00000107,C001027,MAT010052,2023-01-09,99,90720.48,7257.64,97978.12,USD,47290.87
BD00000098,000010,SO00000108,C001007,MAT010191,2023-01-10,22,16879.67,1350.37,18230.04,USD,9346.37
BD00000099,000010,SO00000109,C001044,MAT010062,2023-01-18,76,10953.65,876.29,11829.94,USD,4746.98
BD00000100,000010,SO00000110,C001049,MAT010116,2023-01-11,14,14232.84,1138.63,15371.47,USD,9754.02
BD00000101,000010,SO00000111,C001022,MAT010154,2023-01-12,54,86278.28,6902.26,93180.54,USD,59620.78
BD00000102,000010,SO00000112,C001005,MAT010019,2023-01-17,61,58896.24,4711.7,63607.94,USD,24703.96
BD00000103,000010,SO00000113,C001044,MAT010156,2023-01-13,65,116249.78,9299.98,125549.76,USD,70679.72
BD00000104,000010,SO00000114,C001010,MAT010027,2023-01-17,17,19441.73,1555.34,20997.07,USD,12148.19
BD00000105,000010,SO00000115,C001033,MAT010116,2023-01-16,84,123107.44,9848.6,132956.04,USD,67276.86
BD00000106,000010,SO00000116,C001027,MAT010081,2023-01-09,90,103718.5,8297.48,112015.98,USD,51618.3
BD00000107,000010,SO00000117,C001040,MAT010097,2023-01-09,45,39606.77,3168.54,42775.31,USD,16019.95
BD00000108,000010,SO00000118,C001036,MAT010000,2023-01-09,13,1748.74,139.9,1888.64,USD,958.46
BD00000109,000010,SO00000119,C001016,MAT010000,2023-01-11,11,1323.65,105.89,1429.54,USD,754.95
BD00000110,000010,SO00000121,C001045,MAT010048,2023-01-09,67,67542.93,5403.43,72946.36,USD,36836.35
BD00000111,000010,SO00000122,C001029,MAT010107,2023-01-11,27,22936.26,1834.9,24771.16,USD,9702.34
BD00000112,000010,SO00000123,C001040,MAT010105,2023-01-16,14,8245.01,659.6,8904.61,USD,3669.83
BD00000113,000010,SO00000124,C001010,MAT010007,2023-01-10,34,32771.24,2621.7,35392.94,USD,15994.88
BD00000114,000010,SO00000126,C001006,MAT010006,2023-01-11,53,67325.34,5386.03,72711.37,USD,32362.86
BD00000115,000010,SO00000127,C001036,MAT010166,2023-01-17,48,78714.22,6297.14,85011.36,USD,37712.74
BD00000116,000010,SO00000128,C001034,MAT010011,2023-01-09,74,24179.36,1934.35,26113.71,USD,13914.51
BD00000117,000010,SO00000129,C001033,MAT010139,2023-01-16,18,37773.31,3021.86,40795.17,USD,24722.8
BD00000118,000010,SO00000131,C001015,MAT010196,2023-01-16,28,37897.11,3031.77,40928.88,USD,24463.83
BD00000119,000010,SO00000132,C001006,MAT010006,2023-01-17,90,124591.61,9967.33,134558.94,USD,54852.52
BD00000120,000010,SO00000134,C001011,MAT010111,2023-01-12,77,8120.8,649.66,8770.46,USD,4570.07
BD00000121,000010,SO00000135,C001034,MAT010049,2023-01-16,48,18086.05,1446.88,19532.93,USD,9976.73
BD00000122,000010,SO00000136,C001041,MAT010186,2023-01-10,52,82603.74,6608.3,89212.04,USD,48572.76
BD00000123,000010,SO00000137,C001000,MAT010018,2023-01-13,77,48171.06,3853.68,52024.74,USD,30431.65
BD00000124,000010,SO00000138,C001007,MAT010149,2023-01-11,57,66267.44,5301.4,71568.84,USD,45160.62
BD00000125,000010,SO00000139,C001021,MAT010162,2023-01-09,25,21373.47,1709.88,23083.35,USD,14818.16
BD00000126,000010,SO00000140,C001019,MAT010028,2023-01-16,90,8958.85,716.71,9675.56,USD,5316.03
BD00000127,000010,SO00000141,C001047,MAT010129,2023-01-16,47,2083.69,166.7,2250.39,USD,925.91
BD00000128,000010,SO00000142,C001033,MAT010120,2023-01-16,36,50242.13,4019.37,54261.5,USD,25415.18
BD00000129,000010,SO00000143,C001027,MAT010009,2023-01-12,52,41684.97,3334.8,45019.77,USD,27769.38
BD00000130,000010,SO00000144,C001007,MAT010104,2023-01-10,91,72168.98,5773.52,77942.5,USD,30761.35
BD00000131,000010,SO00000145,C001015,MAT010142,2023-01-11,75,7409.09,592.73,8001.82,USD,3740.25
BD00000132,000010,SO00000146,C001015,MAT010122,2023-01-16,25,12493.53,999.48,13493.01,USD,8478.73
BD00000133,000010,SO00000148,C001030,MAT010020,2023-01-19,10,7141.7,571.34,7713.04,USD,3565.58
BD00000134,000010,SO00000149,C001034,MAT010074,2023-01-11,33,22100.45,1768.04,23868.49,USD,14072.71
BD00000135,000010,SO00000150,C001006,MAT010185,2023-01-17,57,67378.84,5390.31,72769.15,USD,36607.3
BD00000136,000010,SO00000151,C001022,MAT010118,2023-01-19,97,42451.04,3396.08,45847.12,USD,22965.94
BD00000137,000010,SO00000152,C001021,MAT010071,2023-01-16,76,55051.48,4404.12,59455.6,USD,35481.32
BD00000138,000010,SO00000153,C001038,MAT010128,2023-01-16,9,13838.0,1107.04,14945.04,USD,8277.92
BD00000139,000010,SO00000154,C001036,MAT010081,2023-01-16,30,41005.92,3280.47,44286.39,USD,22015.95
BD00000140,000010,SO00000156,C001030,MAT010074,2023-01-11,12,5905.07,472.41,6377.48,USD,3699.93
BD00000141,000010,SO00000157,C001016,MAT010190,2023-01-17,71,170597.88,13647.83,184245.71,USD,100129.76
BD00000142,000010,SO00000158,C001025,MAT010020,2023-01-18,28,25480.86,2038.47,27519.33,USD,14074.35
BD00000143,000010,SO00000159,C001034,MAT010136,2023-01-16,88,144672.67,11573.81,156246.48,USD,61187.32
BD00000144,000010,SO00000160,C001000,MAT010086,2023-01-09,26,17102.66,1368.21,18470.87,USD,11798.68
BD00000145,000010,SO00000161,C001016,MAT010158,2023-01-16,30,29882.4,2390.59,32272.99,USD,16579.0
BD00000146,000010,SO00000163,C001001,MAT010074,2023-01-09,85,44793.31,3583.46,48376.77,USD,25586.87
BD00000147,000010,SO00000164,C001023,MAT010141,2023-01-09,62,45308.63,3624.69,48933.32,USD,24403.39
BD00000148,000010,SO00000166,C001046,MAT010078,2023-01-17,29,60741.7,4859.34,65601.04,USD,32597.26
BD00000149,000010,SO00000167,C001001,MAT010128,2023-01-09,55,90760.05,7260.8,98020.85,USD,61339.83
BD00000150,000010,SO00000168,C001003,MAT010184,2023-01-17,45,43108.89,3448.71,46557.6,USD,17788.5
BD00000151,000010,SO00000169,C001018,MAT010175,2023-01-16,16,29771.43,2381.71,32153.14,USD,20104.04
BD00000152,000010,SO00000170,C001040,MAT010169,2023-01-17,2,392.47,31.4,423.87,USD,166.55
BD00000153,000010,SO00000171,C001022,MAT010144,2023-01-19,13,16112.28,1288.98,17401.26,USD,6595.83
BD00000154,000010,SO00000172,C001015,MAT010010,2023-01-11,71,94471.38,7557.71,102029.09,USD,60878.94
BD00000155,000010,SO00000173,C001005,MAT010004,2023-01-09,44,35238.93,2819.11,38058.04,USD,23009.79
BD00000156,000010,SO00000175,C001009,MAT010075,2023-01-18,36,43894.88,3511.59,47406.47,USD,30090.42
BD00000157,000010,SO00000176,C001019,MAT010188,2023-01-16,88,87918.1,7033.45,94951.55,USD,38861.1
BD00000158,000010,SO00000177,C001039,MAT010138,2023-01-17,31,58442.82,4675.43,63118.25,USD,36998.7
BD00000159,000010,SO00000178,C001001,MAT010007,2023-01-18,95,55238.33,4419.07,59657.4,USD,38358.8
BD00000160,000010,SO00000179,C001012,MAT010074,2023-01-17,64,25193.62,2015.49,27209.11,USD,16738.94
BD00000161,000010,SO00000182,C001009,MAT010002,2023-01-16,89,35910.85,2872.87,38783.72,USD,18053.36
BD00000162,000010,SO00000184,C001042,MAT010170,2023-01-16,47,41287.71,3303.02,44590.73,USD,24761.25
BD00000163,000010,SO00000185,C001030,MAT010021,2023-01-12,3,4827.14,386.17,5213.31,USD,3290.79
BD00000164,000010,SO00000186,C001024,MAT010187,2023-01-10,26,11629.03,930.32,12559.35,USD,6521.6
BD00000165,000010,SO00000187,C001005,MAT010175,2023-01-10,23,50217.11,4017.37,54234.48,USD,24413.91
BD00000166,000010,SO00000190,C001005,MAT010015,2023-01-16,22,2686.81,214.94,2901.75,USD,1523.22
BD00000167,000010,SO00000191,C001048,MAT010025,2023-01-12,79,113346.63,9067.73,122414.36,USD,65241.76
BD00000168,000010,SO00000192,C001029,MAT010004,2023-01-11,44,31474.29,2517.94,33992.23,USD,13923.19
BD00000169,000010,SO00000193,C001012,MAT010060,2023-01-13,91,44390.58,3551.25,47941.83,USD,27823.74
BD00000170,000010,SO00000194,C001025,MAT010005,2023-01-12,57,52148.32,4171.87,56320.19,USD,36230.14
BD00000171,000010,SO00000195,C001048,MAT010032,2023-01-19,67,95923.32,7673.87,103597.19,USD,40081.03
BD00000172,000010,SO00000196,C001026,MAT010061,2023-01-11,3,891.03,71.28,962.31,USD,536.04
BD00000173,000010,SO00000197,C001003,MAT010187,2023-01-17,96,46483.16,3718.65,50201.81,USD,28343.71
BD00000174,000010,SO00000199,C001003,MAT010042,2023-01-16,7,7607.28,608.58,8215.86,USD,3521.69
BD00000175,000010,SO00000202,C001035,MAT010043,2023-01-12,57,19080.01,1526.4,20606.41,USD,11084.55
BD00000176,000010,SO00000206,C001019,MAT010083,2023-01-12,76,39390.27,3151.22,42541.49,USD,26343.71
BD00000177,000010,SO00000208,C001015,MAT010159,2023-01-16,40,89744.41,7179.55,96923.96,USD,38378.28
BD00000178,000010,SO00000209,C001020,MAT010005,2023-01-16,12,8793.8,703.5,9497.3,USD,4506.98
BD00000179,000010,SO00000210,C001027,MAT010003,2023-01-13,20,17344.63,1387.57,18732.2,USD,10442.63
BD00000180,000010,SO00000211,C001026,MAT010109,2023-01-11,45,30496.49,2439.72,32936.21,USD,17096.14
BD00000181,000010,SO00000212,C001032,MAT010191,2023-01-17,63,54874.2,4389.94,59264.14,USD,23598.08
BD00000182,000010,SO00000213,C001018,MAT010120,2023-01-19,99,109827.74,8786.22,118613.96,USD,70175.31
BD00000183,000010,SO00000214,C001030,MAT010088,2023-01-09,1,1723.42,137.87,1861.29,USD,1040.72
BD00000184,000010,SO00000215,C001015,MAT010159,2023-01-10,56,90379.31,7230.34,97609.65,USD,55114.39
BD00000185,000010,SO00000216,C001015,MAT010086,2023-01-16,83,61898.72,4951.9,66850.62,USD,35557.81
BD00000186,000010,SO00000217,C001032,MAT010156,2023-01-18,11,15796.53,1263.72,17060.25,USD,9476.21
BD00000187,000010,SO00000218,C001020,MAT010075,2023-01-10,89,126994.71,10159.58,137154.29,USD,76978.05
BD00000188,000010,SO00000219,C001036,MAT010009,2023-01-17,69,63476.07,5078.09,68554.16,USD,35928.49
BD00000189,000010,SO00000221,C001041,MAT010081,2023-01-16,80,87305.02,6984.4,94289.42,USD,48923.17
BD00000190,000010,SO00000222,C001018,MAT010117,2023-01-10,25,36307.69,2904.62,39212.31,USD,22015.62
BD00000191,000010,SO00000223,C001034,MAT010127,2023-01-16,3,309.85,24.79,334.64,USD,181.58
BD00000192,000010,SO00000225,C001011,MAT010120,2023-01-16,12,10560.96,844.88,11405.84,USD,4952.04
BD00000193,000010,SO00000226,C001044,MAT010052,2023-01-16,54,55291.97,4423.36,59715.33,USD,32662.28
BD00000194,000010,SO00000227,C001030,MAT010126,2023-01-19,90,67715.43,5417.23,73132.66,USD,46258.97
BD00000195,000010,SO00000228,C001041,MAT010028,2023-01-17,8,820.36,65.63,885.99,USD,362.55
BD00000196,000010,SO00000229,C001021,MAT010193,2023-01-18,61,63429.38,5074.35,68503.73,USD,42912.94
BD00000197,000010,SO00000231,C001041,MAT010071,2023-01-12,95,73922.59,5913.81,79836.4,USD,33621.78
BD00000198,000010,SO00000232,C001038,MAT010026,2023-01-13,99,41947.18,3355.77,45302.95,USD,26379.71
BD00000199,000010,SO00000233,C001024,MAT010126,2023-01-12,50,35206.44,2816.52,38022.96,USD,20984.16
BD00000200,000010,SO00000234,C001005,MAT010093,2023-01-10,81,99706.46,7976.52,107682.98,USD,53472.74
BD00000201,000010,SO00000235,C001046,MAT010146,2023-01-18,16,20469.71,1637.58,22107.29,USD,13563.34
BD00000202,000010,SO00000236,C001030,MAT010189,2023-01-16,47,61723.48,4937.88,66661.36,USD,37611.1
BD00000203,000010,SO00000237,C001037,MAT010015,2023-01-17,31,3767.39,301.39,4068.78,USD,1570.69
BD00000204,000010,SO00000238,C001046,MAT010090,2023-01-16,36,49411.6,3952.93,53364.53,USD,26529.64
BD00000205,000010,SO00000239,C001014,MAT010153,2023-01-13,6,1446.02,115.68,1561.7,USD,839.01
BD00000206,000010,SO00000240,C001040,MAT010041,2023-01-16,77,29412.15,2352.97,31765.12,USD,17176.27
BD00000207,000010,SO00000241,C001035,MAT010012,2023-01-16,64,36096.48,2887.72,38984.2,USD,23165.18
BD00000208,000010,SO00000242,C001044,MAT010023,2023-01-13,8,7372.07,589.77,7961.84,USD,3620.59
BD00000209,000010,SO00000243,C001013,MAT010026,2023-01-17,69,49286.53,3942.92,53229.45,USD,27415.64
BD00000210,000010,SO00000244,C001025,MAT010151,2023-01-17,41,85364.86,6829.19,92194.05,USD,49943.07
BD00000211,000010,SO00000246,C001021,MAT010113,2023-01-13,93,60107.89,4808.63,64916.52,USD,35896.02
BD00000212,000010,SO00000248,C001007,MAT010025,2023-01-13,25,35750.74,2860.06,38610.8,USD,16774.47
BD00000213,000010,SO00000249,C001047,MAT010149,2023-01-20,94,162846.93,13027.75,175874.68,USD,113300.54
BD00000214,000010,SO00000250,C001016,MAT010151,2023-01-20,9,14306.31,1144.5,15450.81,USD,9478.83
BD00000215,000010,SO00000251,C001005,MAT010020,2023-01-16,70,45222.93,3617.83,48840.76,USD,20357.89
BD00000216,000010,SO00000252,C001049,MAT010136,2023-01-18,49,72011.12,5760.89,77772.01,USD,45075.03
BD00000217,000010,SO00000253,C001009,MAT010075,2023-01-17,100,136971.14,10957.69,147928.83,USD,74237.44
BD00000218,000010,SO00000254,C001038,MAT010198,2023-01-16,85,42229.65,3378.37,45608.02,USD,28930.41
BD00000219,000010,SO00000255,C001008,MAT010197,2023-01-12,88,47158.32,3772.67,50930.99,USD,22084.08
BD00000220,000010,SO00000256,C001008,MAT010017,2023-01-18,37,50942.09,4075.37,55017.46,USD,33692.48
BD00000221,000010,SO00000257,C001034,MAT010147,2023-01-11,13,18368.96,1469.52,19838.48,USD,7553.84
BD00000222,000010,SO00000258,C001048,MAT010146,2023-01-18,23,44937.86,3595.03,48532.89,USD,27071.34
BD00000223,000010,SO00000259,C001020,MAT010168,2023-01-18,25,29644.78,2371.58,32016.36,USD,18414.68
BD00000224,000010,SO00000260,C001031,MAT010041,2023-01-16,85,42554.6,3404.37,45958.97,USD,18160.58
BD00000225,000010,SO00000262,C001000,MAT010038,2023-01-16,10,11314.93,905.19,12220.12,USD,7560.46
BD00000226,000010,SO00000263,C001034,MAT010030,2023-01-16,11,1537.35,122.99,1660.34,USD,711.72
BD00000227,000010,SO00000264,C001038,MAT010006,2023-01-16,72,103325.88,8266.07,111591.95,USD,46599.97
BD00000228,000010,SO00000265,C001003,MAT010074,2023-01-18,8,5201.44,416.12,5617.56,USD,3359.41
BD00000229,000010,SO00000266,C001032,MAT010164,2023-01-16,94,65243.56,5219.48,70463.04,USD,32860.43
BD00000230,000010,SO00000267,C001012,MAT010044,2023-01-18,67,27501.0,2200.08,29701.08,USD,16400.84
BD00000231,000010,SO00000268,C001019,MAT010143,2023-01-16,50,15876.02,1270.08,17146.1,USD,10210.21
BD00000232,000010,SO00000269,C001022,MAT010090,2023-01-20,73,102895.61,8231.65,111127.26,USD,52204.68
BD00000233,000010,SO00000270,C001043,MAT010093,2023-01-17,72,71826.07,5746.09,77572.16,USD,40923.99
BD00000234,000010,SO00000271,C001017,MAT010092,2023-01-16,46,71713.09,5737.05,77450.14,USD,38873.79
BD00000235,000010,SO00000272,C001030,MAT010046,2023-01-19,14,18495.81,1479.66,19975.47,USD,10956.46
BD00000236,000010,SO00000273,C001006,MAT010199,2023-01-16,65,19988.45,1599.08,21587.53,USD,11961.19
BD00000237,000010,SO00000274,C001043,MAT010116,2023-01-16,57,114497.2,9159.78,123656.98,USD,57245.09
BD00000238,000010,SO00000275,C001030,MAT010048,2023-01-13,48,62080.18,4966.41,67046.59,USD,33065.2
BD00000239,000010,SO00000276,C001028,MAT010041,2023-01-12,42,22790.46,1823.24,24613.7,USD,15342.2
BD00000240,000010,SO00000278,C001022,MAT010153,2023-01-16,58,12736.84,1018.95,13755.79,USD,6665.61
BD00000241,000010,SO00000279,C001048,MAT010170,2023-01-13,5,6523.29,521.86,7045.15,USD,4168.67
BD00000242,000010,SO00000280,C001007,MAT010168,2023-01-16,18,40032.09,3202.57,43234.66,USD,19255.02
BD00000243,000010,SO00000281,C001001,MAT010197,2023-01-18,29,12447.95,995.84,13443.79,USD,6347.69
BD00000244,000010,SO00000282,C001039,MAT010082,2023-01-16,36,33739.16,2699.13,36438.29,USD,21580.25
