sales_order_id,item_number,customer_id,material_id,order_date,requested_delivery_date,order_quantity,net_value,currency,sales_org,plant
SO00000046,000010,C001047,MAT010165,2023-01-02,2023-01-21,50,45635.21,USD,SO02,P002
SO00000047,000010,C001036,MAT010173,2023-01-02,2023-01-12,3,3755.95,USD,SO03,P001
SO00000048,000010,C001026,MAT010149,2023-01-02,2023-01-11,83,169820.01,USD,SO03,P003
SO00000049,000010,C001034,MAT010013,2023-01-02,2023-01-11,6,3259.31,USD,SO02,P003
SO00000050,000010,C001035,MAT010181,2023-01-02,2023-01-30,14,19454.94,USD,SO02,P003
SO00000051,000010,C001016,MAT010045,2023-01-02,2023-01-23,12,12612.59,USD,SO02,P002
SO00000052,000010,C001019,MAT010024,2023-01-02,2023-01-14,85,32015.87,USD,SO03,P001
SO00000053,000010,C001042,MAT010105,2023-01-02,2023-01-26,18,16422.82,USD,SO02,P003
SO00000054,000010,C001014,MAT010054,2023-01-02,2023-02-01,19,29558.76,USD,SO03,P002
SO00000055,000010,C001042,MAT010083,2023-01-02,2023-01-26,2,1006.55,USD,SO01,P001
SO00000056,000010,C001021,MAT010002,2023-01-02,2023-01-28,6,2068.18,USD,SO02,P003
SO00000057,000010,C001000,MAT010115,2023-01-02,2023-01-18,71,140995.1,USD,SO01,P003
SO00000058,000010,C001014,MAT010009,2023-01-02,2023-01-20,95,92175.25,USD,SO01,P002
SO00000059,000010,C001002,MAT010141,2023-01-02,2023-01-13,83,83162.21,USD,SO01,P001
SO00000060,000010,C001005,MAT010068,2023-01-02,2023-01-17,29,9730.86,USD,SO01,P001
SO00000061,000010,C001002,MAT010006,2023-01-02,2023-01-27,24,32943.64,USD,SO01,P003
SO00000062,000010,C001005,MAT010089,2023-01-02,2023-01-11,60,81957.59,USD,SO02,P003
SO00000063,000010,C001048,MAT010126,2023-01-02,2023-01-15,9,4635.86,USD,SO03,P003
SO00000064,000010,C001037,MAT010025,2023-01-03,2023-01-31,43,52841.45,USD,SO03,P001
SO00000065,000010,C001044,MAT010165,2023-01-03,2023-01-12,13,10431.97,USD,SO01,P002
SO00000066,000010,C001011,MAT010066,2023-01-03,2023-01-29,63,3886.02,USD,SO03,P002
SO00000067,000010,C001009,MAT010042,2023-01-03,2023-01-28,89,153545.55,USD,SO03,P002
SO00000068,000010,C001032,MAT010020,2023-01-03,2023-01-15,41,38632.21,USD,SO01,P002
SO00000069,000010,C001042,MAT010042,2023-01-03,2023-02-01,32,62587.57,USD,SO03,P003
SO00000070,000010,C001037,MAT010049,2023-01-03,2023-01-21,56,25236.68,USD,SO01,P003
SO00000071,000010,C001013,MAT010106,2023-01-03,2023-01-25,94,110566.08,USD,SO02,P002
SO00000072,000010,C001014,MAT010128,2023-01-03,2023-01-25,46,91965.82,USD,SO03,P001
SO00000073,000010,C001011,MAT010130,2023-01-03,2023-01-12,23,22616.61,USD,SO02,P001
SO00000074,000010,C001004,MAT010117,2023-01-03,2023-02-02,69,90201.21,USD,SO03,P001
SO00000075,000010,C001021,MAT010199,2023-01-03,2023-01-10,94,22895.9,USD,SO03,P003
SO00000076,000010,C001019,MAT010024,2023-01-03,2023-01-28,4,2741.48,USD,SO02,P003
SO00000077,000010,C001021,MAT010017,2023-01-03,2023-01-27,28,56615.02,USD,SO02,P003
SO00000078,000010,C001020,MAT010172,2023-01-03,2023-01-14,70,62040.99,USD,SO02,P002
SO00000079,000010,C001016,MAT010169,2023-01-03,2023-01-28,29,11045.03,USD,SO03,P002
SO00000080,000010,C001015,MAT010066,2023-01-03,2023-01-26,18,1121.65,USD,SO01,P002
SO00000081,000010,C001026,MAT010067,2023-01-03,2023-01-31,47,81118.15,USD,SO01,P003
SO00000082,000010,C001041,MAT010113,2023-01-03,2023-01-26,88,58549.08,USD,SO01,P002
SO00000083,000010,C001004,MAT010011,2023-01-03,2023-01-28,21,5967.28,USD,SO03,P001
SO00000084,000010,C001044,MAT010131,2023-01-03,2023-01-21,95,154516.07,USD,SO01,P001
SO00000085,000010,C001033,MAT010078,2023-01-03,2023-01-12,98,173059.59,USD,SO02,P002
SO00000086,000010,C001023,MAT010178,2023-01-03,2023-01-16,30,32111.01,USD,SO03,P002
SO00000087,000010,C001026,MAT010064,2023-01-03,2023-01-24,50,14757.1,USD,SO01,P001
SO00000088,000010,C001004,MAT010161,2023-01-03,2023-02-01,84,95361.96,USD,SO03,P003
SO00000089,000010,C001009,MAT010055,2023-01-03,2023-01-18,36,36810.15,USD,SO03,P003
SO00000090,000010,C001034,MAT010116,2023-01-03,2023-01-30,73,86636.89,USD,SO02,P002
SO00000091,000010,C001039,MAT010120,2023-01-03,2023-01-12,76,98197.04,USD,SO03,P002
SO00000092,000010,C001002,MAT010026,2023-01-03,2023-01-17,49,38699.75,USD,SO03,P002
SO00000093,000010,C001025,MAT010187,2023-01-03,2023-01-21,46,23871.75,USD,SO02,P002
SO00000094,000010,C001033,MAT010008,2023-01-03,2023-01-14,78,61927.2,USD,SO02,P001
SO00000095,000010,C001025,MAT010170,2023-01-03,2023-01-30,30,20538.06,USD,SO02,P001
SO00000096,000010,C001049,MAT010066,2023-01-03,2023-01-21,20,996.81,USD,SO03,P003
SO00000097,000010,C001018,MAT010032,2023-01-03,2023-01-23,16,19214.76,USD,SO02,P003
SO00000098,000010,C001046,MAT010069,2023-01-03,2023-01-25,15,23923.42,USD,SO02,P001
SO00000099,000010,C001019,MAT010163,2023-01-03,2023-01-23,76,105418.1,USD,SO01,P001
SO00000100,000010,C001030,MAT010140,2023-01-03,2023-01-28,6,5462.57,USD,SO01,P001
SO00000101,000010,C001001,MAT010013,2023-01-03,2023-01-28,81,38900.46,USD,SO01,P001
SO00000102,000010,C001013,MAT010168,2023-01-03,2023-01-15,22,30159.61,USD,SO03,P002
SO00000103,000010,C001043,MAT010066,2023-01-03,2023-01-30,77,6542.61,USD,SO01,P003
SO00000104,000010,C001008,MAT010191,2023-01-03,2023-01-19,94,69388.32,USD,SO01,P001
SO00000105,000010,C001037,MAT010020,2023-01-03,2023-01-25,58,44423.6,USD,SO02,P001
SO00000106,000010,C001023,MAT010094,2023-01-03,2023-01-29,29,55223.21,USD,SO01,P003
SO00000107,000010,C001027,MAT010052,2023-01-03,2023-01-31,99,90720.48,USD,SO03,P002
SO00000108,000010,C001007,MAT010191,2023-01-03,2023-01-20,22,16879.67,USD,SO02,P003
SO00000109,000010,C001044,MAT010062,2023-01-03,2023-01-22,76,10953.65,USD,SO02,P001
SO00000110,000010,C001049,MAT010116,2023-01-03,2023-01-26,14,14232.84,USD,SO03,P003
SO00000111,000010,C001022,MAT010154,2023-01-03,2023-01-29,54,86278.28,USD,SO01,P001
SO00000112,000010,C001005,MAT010019,2023-01-03,2023-01-29,61,58896.24,USD,SO01,P003
SO00000113,000010,C001044,MAT010156,2023-01-03,2023-01-12,65,116249.78,USD,SO02,P003
SO00000114,000010,C001010,MAT010027,2023-01-03,2023-01-27,17,19441.73,USD,SO01,P003
SO00000115,000010,C001033,MAT010116,2023-01-03,2023-01-23,84,123107.44,USD,SO02,P001
SO00000116,000010,C001027,MAT010081,2023-01-03,2023-01-17,90,103718.5,USD,SO02,P002
SO00000117,000010,C001040,MAT010097,2023-01-03,2023-02-02,45,39606.77,USD,SO03,P003
SO00000118,000010,C001036,MAT010000,2023-01-03,2023-01-18,13,1748.74,USD,SO02,P001
SO00000119,000010,C001016,MAT010000,2023-01-03,2023-01-27,11,1323.65,USD,SO02,P002
SO00000120,000010,C001020,MAT010160,2023-01-03,2023-02-02,25,17991.38,USD,SO01,P003
SO00000121,000010,C001045,MAT010048,2023-01-03,2023-01-10,67,67542.93,USD,SO02,P003
SO00000122,000010,C001029,MAT010107,2023-01-03,2023-01-20,27,22936.26,USD,SO02,P002
SO00000123,000010,C001040,MAT010105,2023-01-03,2023-01-30,14,8245.01,USD,SO03,P002
SO00000124,000010,C001010,MAT010007,2023-01-03,2023-01-23,34,32771.24,USD,SO03,P002
SO00000125,000010,C001007,MAT010181,2023-01-03,2023-01-31,79,108489.32,USD,SO02,P001
SO00000126,000010,C001006,MAT010006,2023-01-03,2023-01-27,53,67325.34,USD,SO02,P001
SO00000127,000010,C001036,MAT010166,2023-01-03,2023-01-25,48,78714.22,USD,SO02,P002
SO00000128,000010,C001034,MAT010011,2023-01-03,2023-02-01,74,24179.36,USD,SO02,P003
SO00000129,000010,C001033,MAT010139,2023-01-03,2023-01-31,18,37773.31,USD,SO01,P003
SO00000130,000010,C001049,MAT010182,2023-01-03,2023-02-01,30,27854.93,USD,SO01,P001
SO00000131,000010,C001015,MAT010196,2023-01-03,2023-01-20,28,37897.11,USD,SO03,P003
SO00000132,000010,C001006,MAT010006,2023-01-03,2023-01-11,90,124591.61,USD,SO01,P002
SO00000133,000010,C001005,MAT010010,2023-01-03,2023-01-12,82,85411.85,USD,SO01,P002
SO00000134,000010,C001011,MAT010111,2023-01-03,2023-01-12,77,8120.8,USD,SO02,P001
SO00000135,000010,C001034,MAT010049,2023-01-03,2023-01-11,48,18086.05,USD,SO03,P002
SO00000136,000010,C001041,MAT010186,2023-01-03,2023-01-26,52,82603.74,USD,SO02,P003
SO00000137,000010,C001000,MAT010018,2023-01-03,2023-01-15,77,48171.06,USD,SO03,P002
SO00000138,000010,C001007,MAT010149,2023-01-03,2023-01-31,57,66267.44,USD,SO03,P002
SO00000139,000010,C001021,MAT010162,2023-01-03,2023-01-29,25,21373.47,USD,SO03,P003
SO00000140,000010,C001019,MAT010028,2023-01-03,2023-01-15,90,8958.85,USD,SO03,P001
SO00000141,000010,C001047,MAT010129,2023-01-03,2023-01-10,47,2083.69,USD,SO01,P001
SO00000142,000010,C001033,MAT010120,2023-01-03,2023-01-21,36,50242.13,USD,SO03,P002
SO00000143,000010,C001027,MAT010009,2023-01-03,2023-01-26,52,41684.97,USD,SO01,P003
SO00000144,000010,C001007,MAT010104,2023-01-03,2023-01-12,91,72168.98,USD,SO03,P002
SO00000145,000010,C001015,MAT010142,2023-01-04,2023-01-19,75,7409.09,USD,SO01,P003
SO00000146,000010,C001015,MAT010122,2023-01-04,2023-01-23,25,12493.53,USD,SO03,P001
SO00000147,000010,C001003,MAT010066,2023-01-04,2023-01-27,34,1676.45,USD,SO01,P003
SO00000148,000010,C001030,MAT010020,2023-01-04,2023-01-21,10,7141.7,USD,SO01,P003
SO00000149,000010,C001034,MAT010074,2023-01-04,2023-01-29,33,22100.45,USD,SO02,P003
SO00000150,000010,C001006,MAT010185,2023-01-04,2023-01-29,57,67378.84,USD,SO02,P001
SO00000151,000010,C001022,MAT010118,2023-01-04,2023-01-25,97,42451.04,USD,SO03,P002
SO00000152,000010,C001021,MAT010071,2023-01-04,2023-01-26,76,55051.48,USD,SO01,P002
SO00000153,000010,C001038,MAT010128,2023-01-04,2023-01-18,9,13838.0,USD,SO03,P003
SO00000154,000010,C001036,MAT010081,2023-01-04,2023-01-24,30,41005.92,USD,SO02,P003
SO00000155,000010,C001022,MAT010198,2023-01-04,2023-01-19,69,16916.84,USD,SO01,P002
SO00000156,000010,C001030,MAT010074,2023-01-04,2023-02-03,12,5905.07,USD,SO02,P001
SO00000157,000010,C001016,MAT010190,2023-01-04,2023-01-26,71,170597.88,USD,SO02,P002
SO00000158,000010,C001025,MAT010020,2023-01-04,2023-01-19,28,25480.86,USD,SO01,P003
SO00000159,000010,C001034,MAT010136,2023-01-04,2023-01-17,88,144672.67,USD,SO02,P003
SO00000160,000010,C001000,MAT010086,2023-01-04,2023-01-18,26,17102.66,USD,SO02,P001
SO00000161,000010,C001016,MAT010158,2023-01-04,2023-01-18,30,29882.4,USD,SO03,P002
SO00000162,000010,C001020,MAT010000,2023-01-04,2023-01-14,20,3395.49,USD,SO01,P003
SO00000163,000010,C001001,MAT010074,2023-01-04,2023-01-11,85,44793.31,USD,SO03,P001
SO00000164,000010,C001023,MAT010141,2023-01-04,2023-01-21,62,45308.63,USD,SO02,P003
SO00000165,000010,C001000,MAT010104,2023-01-04,2023-01-27,36,40704.95,USD,SO02,P002
SO00000166,000010,C001046,MAT010078,2023-01-04,2023-01-15,29,60741.7,USD,SO01,P003
SO00000167,000010,C001001,MAT010128,2023-01-04,2023-01-28,55,90760.05,USD,SO01,P003
SO00000168,000010,C001003,MAT010184,2023-01-04,2023-02-01,45,43108.89,USD,SO01,P002
SO00000169,000010,C001018,MAT010175,2023-01-04,2023-01-25,16,29771.43,USD,SO02,P003
SO00000170,000010,C001040,MAT010169,2023-01-04,2023-01-17,2,392.47,USD,SO02,P003
SO00000171,000010,C001022,MAT010144,2023-01-04,2023-01-30,13,16112.28,USD,SO02,P001
SO00000172,000010,C001015,MAT010010,2023-01-04,2023-01-19,71,94471.38,USD,SO02,P003
SO00000173,000010,C001005,MAT010004,2023-01-04,2023-01-26,44,35238.93,USD,SO02,P001
SO00000174,000010,C001026,MAT010152,2023-01-04,2023-01-22,54,28059.78,USD,SO02,P002
SO00000175,000010,C001009,MAT010075,2023-01-04,2023-01-29,36,43894.88,USD,SO01,P003
SO00000176,000010,C001019,MAT010188,2023-01-04,2023-01-14,88,87918.1,USD,SO03,P002
SO00000177,000010,C001039,MAT010138,2023-01-04,2023-01-23,31,58442.82,USD,SO01,P001
SO00000178,000010,C001001,MAT010007,2023-01-04,2023-01-11,95,55238.33,USD,SO01,P002
SO00000179,000010,C001012,MAT010074,2023-01-04,2023-01-31,64,25193.62,USD,SO03,P003
SO00000180,000010,C001038,MAT010087,2023-01-04,2023-01-26,93,48043.68,USD,SO02,P002
SO00000181,000010,C001004,MAT010095,2023-01-04,2023-01-12,72,36366.1,USD,SO02,P001
SO00000182,000010,C001009,MAT010002,2023-01-04,2023-01-17,89,35910.85,USD,SO02,P002
SO00000183,000010,C001004,MAT010194,2023-01-04,2023-02-03,81,80017.04,USD,SO02,P002
SO00000184,000010,C001042,MAT010170,2023-01-04,2023-01-28,47,41287.71,USD,SO02,P002
SO00000185,000010,C001030,MAT010021,2023-01-04,2023-01-22,3,4827.14,USD,SO03,P003
SO00000186,000010,C001024,MAT010187,2023-01-04,2023-01-31,26,11629.03,USD,SO03,P003
SO00000187,000010,C001005,MAT010175,2023-01-04,2023-01-20,23,50217.11,USD,SO02,P002
SO00000188,000010,C001043,MAT010122,2023-01-04,2023-02-03,87,45234.63,USD,SO02,P001
SO00000189,000010,C001022,MAT010195,2023-01-04,2023-01-25,49,21948.98,USD,SO03,P001
SO00000190,000010,C001005,MAT010015,2023-01-04,2023-01-21,22,2686.81,USD,SO02,P003
SO00000191,000010,C001048,MAT010025,2023-01-04,2023-01-13,79,113346.63,USD,SO01,P001
SO00000192,000010,C001029,MAT010004,2023-01-04,2023-01-21,44,31474.29,USD,SO03,P002
SO00000193,000010,C001012,MAT010060,2023-01-04,2023-01-31,91,44390.58,USD,SO02,P002
SO00000194,000010,C001025,MAT010005,2023-01-04,2023-01-22,57,52148.32,USD,SO03,P003
SO00000195,000010,C001048,MAT010032,2023-01-04,2023-01-24,67,95923.32,USD,SO01,P001
SO00000196,000010,C001026,MAT010061,2023-01-04,2023-01-18,3,891.03,USD,SO03,P002
SO00000197,000010,C001003,MAT010187,2023-01-04,2023-01-13,96,46483.16,USD,SO01,P001
SO00000198,000010,C001024,MAT010092,2023-01-04,2023-01-13,51,51066.36,USD,SO02,P003
SO00000199,000010,C001003,MAT010042,2023-01-04,2023-01-23,7,7607.28,USD,SO03,P001
SO00000200,000010,C001030,MAT010118,2023-01-04,2023-01-15,14,5752.33,USD,SO01,P003
SO00000201,000010,C001029,MAT010056,2023-01-04,2023-01-18,50,1567.73,USD,SO03,P002
SO00000202,000010,C001035,MAT010043,2023-01-04,2023-01-15,57,19080.01,USD,SO03,P001
SO00000203,000010,C001043,MAT010078,2023-01-04,2023-01-22,4,4797.99,USD,SO02,P002
SO00000204,000010,C001044,MAT010077,2023-01-04,2023-01-28,60,143710.74,USD,SO02,P003
SO00000205,000010,C001042,MAT010017,2023-01-04,2023-02-02,57,66666.68,USD,SO03,P001
SO00000206,000010,C001019,MAT010083,2023-01-04,2023-01-31,76,39390.27,USD,SO03,P003
SO00000207,000010,C001041,MAT010020,2023-01-04,2023-01-31,73,49641.75,USD,SO03,P003
SO00000208,000010,C001015,MAT010159,2023-01-04,2023-01-26,40,89744.41,USD,SO03,P001
SO00000209,000010,C001020,MAT010005,2023-01-04,2023-01-22,12,8793.8,USD,SO02,P002
SO00000210,000010,C001027,MAT010003,2023-01-04,2023-01-11,20,17344.63,USD,SO03,P001
SO00000211,000010,C001026,MAT010109,2023-01-04,2023-01-28,45,30496.49,USD,SO01,P003
SO00000212,000010,C001032,MAT010191,2023-01-04,2023-01-26,63,54874.2,USD,SO02,P001
SO00000213,000010,C001018,MAT010120,2023-01-04,2023-01-20,99,109827.74,USD,SO03,P001
SO00000214,000010,C001030,MAT010088,2023-01-04,2023-01-17,1,1723.42,USD,SO02,P003
SO00000215,000010,C001015,MAT010159,2023-01-04,2023-01-16,56,90379.31,USD,SO03,P003
SO00000216,000010,C001015,MAT010086,2023-01-04,2023-01-23,83,61898.72,USD,SO01,P002
SO00000217,000010,C001032,MAT010156,2023-01-04,2023-01-18,11,15796.53,USD,SO03,P003
SO00000218,000010,C001020,MAT010075,2023-01-04,2023-01-20,89,126994.71,USD,SO03,P003
SO00000219,000010,C001036,MAT010009,2023-01-04,2023-01-24,69,63476.07,USD,SO01,P001
SO00000220,000010,C001019,MAT010164,2023-01-04,2023-01-14,24,17768.54,USD,SO03,P002
SO00000221,000010,C001041,MAT010081,2023-01-04,2023-02-02,80,87305.02,USD,SO03,P002
SO00000222,000010,C001018,MAT010117,2023-01-04,2023-01-15,25,36307.69,USD,SO01,P003
SO00000223,000010,C001034,MAT010127,2023-01-04,2023-01-14,3,309.85,USD,SO02,P002
SO00000224,000010,C001005,MAT010106,2023-01-04,2023-02-03,17,26110.2,USD,SO01,P001
SO00000225,000010,C001011,MAT010120,2023-01-04,2023-01-26,12,10560.96,USD,SO01,P002
SO00000226,000010,C001044,MAT010052,2023-01-04,2023-01-26,54,55291.97,USD,SO02,P002
SO00000227,000010,C001030,MAT010126,2023-01-04,2023-01-21,90,67715.43,USD,SO01,P001
SO00000228,000010,C001041,MAT010028,2023-01-04,2023-01-23,8,820.36,USD,SO01,P003
SO00000229,000010,C001021,MAT010193,2023-01-04,2023-01-19,61,63429.38,USD,SO02,P001
SO00000230,000010,C001027,MAT010039,2023-01-05,2023-01-24,99,97738.52,USD,SO02,P001
SO00000231,000010,C001041,MAT010071,2023-01-05,2023-01-18,95,73922.59,USD,SO02,P003
SO00000232,000010,C001038,MAT010026,2023-01-05,2023-02-02,99,41947.18,USD,SO01,P002
SO00000233,000010,C001024,MAT010126,2023-01-05,2023-01-21,50,35206.44,USD,SO02,P001
SO00000234,000010,C001005,MAT010093,2023-01-05,2023-02-04,81,99706.46,USD,SO03,P003
SO00000235,000010,C001046,MAT010146,2023-01-05,2023-02-01,16,20469.71,USD,SO02,P001
SO00000236,000010,C001030,MAT010189,2023-01-05,2023-02-02,47,61723.48,USD,SO01,P001
SO00000237,000010,C001037,MAT010015,2023-01-05,2023-01-22,31,3767.39,USD,SO01,P001
SO00000238,000010,C001046,MAT010090,2023-01-05,2023-01-24,36,49411.6,USD,SO01,P001
SO00000239,000010,C001014,MAT010153,2023-01-05,2023-02-03,6,1446.02,USD,SO02,P003
SO00000240,000010,C001040,MAT010041,2023-01-05,2023-01-14,77,29412.15,USD,SO01,P001
SO00000241,000010,C001035,MAT010012,2023-01-05,2023-01-31,64,36096.48,USD,SO02,P003
SO00000242,000010,C001044,MAT010023,2023-01-05,2023-02-01,8,7372.07,USD,SO01,P003
SO00000243,000010,C001013,MAT010026,2023-01-05,2023-01-16,69,49286.53,USD,SO02,P001
SO00000244,000010,C001025,MAT010151,2023-01-05,2023-02-01,41,85364.86,USD,SO02,P002
SO00000245,000010,C001025,MAT010130,2023-01-05,2023-02-03,94,65763.97,USD,SO02,P002
SO00000246,000010,C001021,MAT010113,2023-01-05,2023-01-13,93,60107.89,USD,SO02,P003
SO00000247,000010,C001048,MAT010046,2023-01-05,2023-01-29,57,102404.05,USD,SO03,P002
SO00000248,000010,C001007,MAT010025,2023-01-05,2023-01-29,25,35750.74,USD,SO02,P002
SO00000249,000010,C001047,MAT010149,2023-01-05,2023-01-31,94,162846.93,USD,SO03,P001
SO00000250,000010,C001016,MAT010151,2023-01-05,2023-01-26,9,14306.31,USD,SO02,P002
SO00000251,000010,C001005,MAT010020,2023-01-05,2023-01-12,70,45222.93,USD,SO03,P003
SO00000252,000010,C001049,MAT010136,2023-01-05,2023-01-12,49,72011.12,USD,SO03,P002
SO00000253,000010,C001009,MAT010075,2023-01-05,2023-01-22,100,136971.14,USD,SO03,P001
SO00000254,000010,C001038,MAT010198,2023-01-05,2023-01-24,85,42229.65,USD,SO01,P003
SO00000255,000010,C001008,MAT010197,2023-01-05,2023-01-29,88,47158.32,USD,SO01,P003
SO00000256,000010,C001008,MAT010017,2023-01-05,2023-02-01,37,50942.09,USD,SO02,P001
SO00000257,000010,C001034,MAT010147,2023-01-05,2023-01-14,13,18368.96,USD,SO01,P001
SO00000258,000010,C001048,MAT010146,2023-01-05,2023-01-18,23,44937.86,USD,SO01,P002
SO00000259,000010,C001020,MAT010168,2023-01-05,2023-01-30,25,29644.78,USD,SO03,P002
SO00000260,000010,C001031,MAT010041,2023-01-05,2023-01-31,85,42554.6,USD,SO03,P003
SO00000261,000010,C001039,MAT010168,2023-01-05,2023-01-19,33,37229.08,USD,SO03,P003
SO00000262,000010,C001000,MAT010038,2023-01-05,2023-01-18,10,11314.93,USD,SO03,P002
SO00000263,000010,C001034,MAT010030,2023-01-05,2023-02-01,11,1537.35,USD,SO01,P002
SO00000264,000010,C001038,MAT010006,2023-01-05,2023-01-25,72,103325.88,USD,SO02,P003
SO00000265,000010,C001003,MAT010074,2023-01-05,2023-01-20,8,5201.44,USD,SO03,P001
SO00000266,000010,C001032,MAT010164,2023-01-05,2023-01-21,94,65243.56,USD,SO01,P001
SO00000267,000010,C001012,MAT010044,2023-01-05,2023-02-04,67,27501.0,USD,SO01,P003
SO00000268,000010,C001019,MAT010143,2023-01-05,2023-01-28,50,15876.02,USD,SO03,P001
SO00000269,000010,C001022,MAT010090,2023-01-05,2023-01-17,73,102895.61,USD,SO03,P003
SO00000270,000010,C001043,MAT010093,2023-01-05,2023-01-15,72,71826.07,USD,SO03,P003
SO00000271,000010,C001017,MAT010092,2023-01-05,2023-02-03,46,71713.09,USD,SO03,P002
SO00000272,000010,C001030,MAT010046,2023-01-05,2023-01-17,14,18495.81,USD,SO03,P002
SO00000273,000010,C001006,MAT010199,2023-01-05,2023-01-17,65,19988.45,USD,SO03,P003
SO00000274,000010,C001043,MAT010116,2023-01-05,2023-01-22,57,114497.2,USD,SO03,P002
SO00000275,000010,C001030,MAT010048,2023-01-05,2023-02-01,48,62080.18,USD,SO02,P003
SO00000276,000010,C001028,MAT010041,2023-01-05,2023-01-30,42,22790.46,USD,SO03,P001
SO00000277,000010,C001047,MAT010182,2023-01-05,2023-02-04,49,56096.38,USD,SO02,P002
