company_code,asset_number,sub_number,fiscal_year,acquisition_value,accumulated_depreciation,net_book_value,currency
IN01,A0000030,0,2023,37968.29,4719.4,33248.89,USD
IN01,A0000030,0,2024,46035.78,10322.6,35713.18,USD
IN01,A0000030,0,2025,38567.71,12502.17,26065.54,USD
IN01,A0000031,0,2023,29915.13,6716.06,23199.07,USD
IN01,A0000031,0,2024,56856.75,18446.34,38410.41,USD
IN01,A0000031,0,2025,42295.84,17948.95,24346.89,USD
IN01,A0000032,0,2023,43135.72,5290.84,37844.88,USD
IN01,A0000032,0,2024,69574.01,15486.29,54087.72,USD
IN01,A0000032,0,2025,39390.92,12704.31,26686.61,USD
IN01,A0000033,0,2023,68101.88,15289.13,52812.75,USD
IN01,A0000033,0,2024,58666.35,19033.44,39632.91,USD
IN01,A0000033,0,2025,23741.89,10075.27,13666.62,USD
US01,A0000034,0,2023,76658.43,13663.15,62995.28,USD
US01,A0000034,0,2024,25325.81,7044.77,18281.04,USD
US01,A0000034,0,2025,47054.55,17791.19,29263.36,USD
DE01,A0000035,0,2023,64799.32,14547.69,50251.63,USD
DE01,A0000035,0,2024,96958.14,31456.65,65501.49,USD
DE01,A0000035,0,2025,61059.06,25911.44,35147.62,USD
IN01,A0000036,0,2023,45109.67,4557.28,40552.39,USD
IN01,A0000036,0,2024,59728.21,12002.88,47725.33,USD
IN01,A0000036,0,2025,63908.78,19229.5,44679.28,USD
DE01,A0000037,0,2023,33755.74,7208.62,26547.12,USD
DE01,A0000037,0,2024,33598.35,10532.54,23065.81,USD
DE01,A0000037,0,2025,42096.37,17403.29,24693.08,USD
DE01,A0000038,0,2023,61067.41,13709.86,47357.55,USD
DE01,A0000038,0,2024,54124.9,17560.03,36564.87,USD
DE01,A0000038,0,2025,49539.88,21023.08,28516.8,USD
US01,A0000039,0,2023,70083.76,15734.07,54349.69,USD
US01,A0000039,0,2024,65595.0,21281.33,44313.67,USD
US01,A0000039,0,2025,66775.8,28337.44,38438.36,USD
IN01,A0000040,0,2023,51769.75,9850.78,41918.97,USD
IN01,A0000040,0,2024,61923.45,17970.94,43952.51,USD
IN01,A0000040,0,2025,44525.11,17371.19,27153.92,USD
IN01,A0000041,0,2023,44891.34,8763.18,36128.16,USD
IN01,A0000041,0,2024,40399.53,11923.53,28476.0,USD
IN01,A0000041,0,2025,34352.3,13571.63,20780.67,USD
IN01,A0000042,0,2023,63599.1,11579.3,52019.8,USD
IN01,A0000042,0,2024,80560.18,22717.86,57842.32,USD
IN01,A0000042,0,2025,80299.71,30668.88,49630.83,USD
DE01,A0000043,0,2023,42936.38,9639.38,33297.0,USD
DE01,A0000043,0,2024,38300.44,12426.02,25874.42,USD
DE01,A0000043,0,2025,33758.85,14326.14,19432.71,USD
US01,A0000044,0,2023,69405.05,10736.17,58668.88,USD
US01,A0000045,0,2023,38961.61,3946.83,35014.78,USD
US01,A0000045,0,2024,38603.44,7768.25,30835.19,USD
US01,A0000045,0,2025,70161.43,21130.07,49031.36,USD
IN01,A0000046,0,2023,45370.14,8881.49,36488.65,USD
IN01,A0000046,0,2024,66783.49,19747.07,47036.42,USD
IN01,A0000046,0,2025,47293.86,18710.37,28583.49,USD
DE01,A0000047,0,2023,73508.24,16502.88,57005.36,USD
DE01,A0000047,0,2024,35480.47,11511.12,23969.35,USD
DE01,A0000047,0,2025,58160.28,24681.3,33478.98,USD
DE01,A0000048,0,2023,47875.81,10748.3,37127.51,USD
DE01,A0000048,0,2024,67497.57,21898.6,45598.97,USD
DE01,A0000048,0,2025,66299.19,28135.18,38164.01,USD
DE01,A0000049,0,2023,29852.97,6702.1,23150.87,USD
DE01,A0000049,0,2024,38284.45,12420.83,25863.62,USD
DE01,A0000049,0,2025,72130.0,30609.58,41520.42,USD
US01,A0000050,0,2023,53298.92,8449.03,44849.89,USD
US01,A0000050,0,2024,67458.21,17434.78,50023.43,USD
US01,A0000050,0,2025,73556.49,26361.52,47194.97,USD
US01,A0000051,0,2023,27313.13,6131.9,21181.23,USD
US01,A0000051,0,2024,62192.79,20177.54,42015.25,USD
US01,A0000051,0,2025,44625.5,18937.58,25687.92,USD
DE01,A0000052,0,2023,74948.31,13645.62,61302.69,USD
DE01,A0000052,0,2024,5902.22,1664.42,4237.8,USD
DE01,A0000052,0,2025,20950.57,8001.66,12948.91,USD
DE01,A0000053,0,2023,52208.84,6546.65,45662.19,USD
DE01,A0000053,0,2024,35021.23,7891.16,27130.07,USD
DE01,A0000053,0,2025,35313.65,11486.0,23827.65,USD
DE01,A0000054,0,2023,31385.77,7046.22,24339.55,USD
DE01,A0000054,0,2024,48460.87,15722.42,32738.45,USD
DE01,A0000054,0,2025,29933.46,12702.77,17230.69,USD
IN01,A0000055,0,2023,56769.09,12744.87,44024.22,USD
IN01,A0000055,0,2024,27336.48,8868.92,18467.56,USD
IN01,A0000055,0,2025,62840.5,26667.43,36173.07,USD
DE01,A0000056,0,2023,50005.3,11226.38,38778.92,USD
DE01,A0000056,0,2024,58548.83,18995.31,39553.52,USD
DE01,A0000056,0,2025,14344.48,6087.32,8257.16,USD
DE01,A0000057,0,2023,47185.96,9262.79,37923.17,USD
US01,A0000058,0,2023,41678.08,6515.59,35162.49,USD
US01,A0000058,0,2024,67517.67,17302.27,50215.4,USD
US01,A0000058,0,2025,52623.48,18744.19,33879.29,USD
IN01,A0000059,0,2023,69860.96,15684.05,54176.91,USD
IN01,A0000059,0,2024,62704.59,20343.58,42361.01,USD
IN01,A0000059,0,2025,62784.43,26643.63,36140.8,USD
IN01,A0000060,0,2023,47680.52,5221.69,42458.83,USD
IN01,A0000060,0,2024,48913.26,10244.67,38668.59,USD
IN01,A0000060,0,2025,43294.34,13394.28,29900.06,USD
DE01,A0000061,0,2023,66176.2,14856.81,51319.39,USD
DE01,A0000061,0,2024,74510.76,24173.92,50336.84,USD
DE01,A0000061,0,2025,63863.15,27101.41,36761.74,USD
US01,A0000062,0,2023,52521.46,7463.01,45058.45,USD
US01,A0000062,0,2024,38753.55,9379.37,29374.18,USD
US01,A0000062,0,2025,55526.04,18987.55,36538.49,USD
US01,A0000063,0,2023,29665.6,3533.07,26132.53,USD
US01,A0000063,0,2024,44442.74,9734.21,34708.53,USD
US01,A0000063,0,2025,60366.52,19254.48,41112.04,USD
IN01,A0000064,0,2023,54427.31,12219.14,42208.17,USD
IN01,A0000064,0,2024,50666.33,16437.95,34228.38,USD
IN01,A0000064,0,2025,55548.46,23572.93,31975.53,USD
IN01,A0000065,0,2023,42044.24,9439.09,32605.15,USD
IN01,A0000065,0,2024,48743.59,15814.14,32929.45,USD
IN01,A0000065,0,2025,33801.98,14344.44,19457.54,USD
DE01,A0000066,0,2023,60094.32,13491.4,46602.92,USD
DE01,A0000066,0,2024,50314.54,16323.81,33990.73,USD
DE01,A0000066,0,2025,50837.95,21573.94,29264.01,USD
DE01,A0000067,0,2023,76249.66,8767.93,67481.73,USD
DE01,A0000067,0,2024,42045.66,9036.51,33009.15,USD
DE01,A0000067,0,2025,50040.04,15755.25,34284.79,USD
DE01,A0000068,0,2023,42215.53,9477.55,32737.98,USD
DE01,A0000068,0,2024,56809.39,18430.97,38378.42,USD
DE01,A0000068,0,2025,62472.36,26511.2,35961.16,USD
DE01,A0000069,0,2023,63085.02,11589.34,51495.68,USD
DE01,A0000069,0,2024,53539.55,15186.03,38353.52,USD
DE01,A0000069,0,2025,31986.15,12269.02,19717.13,USD
US01,A0000070,0,2023,62696.69,13526.35,49170.34,USD
US01,A0000070,0,2024,43473.77,13723.55,29750.22,USD
US01,A0000070,0,2025,67478.32,28044.38,39433.94,USD
DE01,A0000071,0,2023,65462.84,14696.65,50766.19,USD
DE01,A0000071,0,2024,39106.87,12687.65,26419.22,USD
DE01,A0000071,0,2025,41375.48,17558.38,23817.1,USD
DE01,A0000072,0,2023,34828.37,7819.1,27009.27,USD
DE01,A0000072,0,2024,78648.0,25516.19,53131.81,USD
DE01,A0000072,0,2025,58000.71,24613.58,33387.13,USD
DE01,A0000073,0,2023,43921.32,9632.03,34289.29,USD
DE01,A0000073,0,2024,42200.62,13471.85,28728.77,USD
DE01,A0000073,0,2025,49575.55,20780.33,28795.22,USD
DE01,A0000074,0,2023,45653.86,7337.12,38316.74,USD
DE01,A0000074,0,2024,43825.58,11422.85,32402.73,USD
DE01,A0000074,0,2025,53169.83,19171.71,33998.12,USD
US01,A0000075,0,2023,74859.61,16806.26,58053.35,USD
US01,A0000075,0,2024,54180.82,17578.17,36602.65,USD
US01,A0000075,0,2025,50581.24,21465.0,29116.24,USD
IN01,A0000076,0,2023,46782.75,10502.9,36279.85,USD
IN01,A0000076,0,2024,18170.79,5895.25,12275.54,USD
IN01,A0000076,0,2025,45003.27,19097.9,25905.37,USD
IN01,A0000077,0,2023,63655.89,14290.99,49364.9,USD
IN01,A0000077,0,2024,39769.76,12902.71,26867.05,USD
IN01,A0000077,0,2025,49564.83,21033.67,28531.16,USD
IN01,A0000078,0,2023,91422.85,20524.77,70898.08,USD
IN01,A0000078,0,2024,60772.73,19716.82,41055.91,USD
IN01,A0000078,0,2025,50296.07,21343.99,28952.08,USD
DE01,A0000079,0,2023,32012.86,7187.01,24825.85,USD
DE01,A0000079,0,2024,42219.4,13697.46,28521.94,USD
DE01,A0000079,0,2025,63315.66,26869.07,36446.59,USD
US01,A0000080,0,2023,64646.33,14513.34,50132.99,USD
US01,A0000080,0,2024,73042.25,23697.49,49344.76,USD
US01,A0000080,0,2025,33169.73,14076.13,19093.6,USD
US01,A0000081,0,2023,65896.36,14793.98,51102.38,USD
US01,A0000081,0,2024,66009.22,21415.72,44593.5,USD
US01,A0000081,0,2025,15952.16,6769.57,9182.59,USD
IN01,A0000082,0,2023,66487.69,13743.52,52744.17,USD
IN01,A0000082,0,2024,39853.56,12220.67,27632.89,USD
IN01,A0000082,0,2025,48371.03,19666.25,28704.78,USD
DE01,A0000083,0,2023,60144.79,13502.73,46642.06,USD
DE01,A0000083,0,2024,43617.82,14151.16,29466.66,USD
DE01,A0000083,0,2025,55283.84,23460.63,31823.21,USD
US01,A0000084,0,2023,35051.24,4011.34,31039.9,USD
US01,A0000084,0,2024,35847.3,7684.72,28162.58,USD
US01,A0000084,0,2025,61915.67,19460.42,42455.25,USD
IN01,A0000085,0,2023,50011.2,11227.7,38783.5,USD
IN01,A0000085,0,2024,27307.03,8859.36,18447.67,USD
IN01,A0000085,0,2025,53813.08,22836.49,30976.59,USD
IN01,A0000086,0,2023,65070.76,12827.09,52243.67,USD
IN01,A0000086,0,2024,51154.74,15195.86,35958.88,USD
IN01,A0000086,0,2025,31963.65,12689.2,19274.45,USD
DE01,A0000087,0,2023,67837.79,15229.84,52607.95,USD
DE01,A0000087,0,2024,61306.62,19890.03,41416.59,USD
DE01,A0000087,0,2025,62409.61,26484.57,35925.04,USD
US01,A0000088,0,2023,76548.47,14167.49,62380.98,USD
US01,A0000088,0,2024,28262.57,8055.12,20207.45,USD
US01,A0000088,0,2025,65973.26,25395.87,40577.39,USD
DE01,A0000089,0,2023,60073.86,13486.81,46587.05,USD
DE01,A0000089,0,2024,32877.04,10666.47,22210.57,USD
DE01,A0000089,0,2025,47631.22,20213.11,27418.11,USD
IN01,A0000090,0,2023,72265.39,9655.17,62610.22,USD
IN01,A0000090,0,2024,55905.29,13056.05,42849.24,USD
IN01,A0000090,0,2025,45482.97,15167.22,30315.75,USD
US01,A0000091,0,2023,61558.66,12286.45,49272.21,USD
US01,A0000091,0,2024,9574.46,2867.75,6706.71,USD
US01,A0000091,0,2025,35813.58,14305.82,21507.76,USD
DE01,A0000092,0,2023,61920.75,11477.17,50443.58,USD
DE01,A0000092,0,2024,48780.8,13916.38,34864.42,USD
DE01,A0000092,0,2025,63478.33,24452.84,39025.49,USD
US01,A0000093,0,2023,62183.17,13960.36,48222.81,USD
US01,A0000093,0,2024,32794.52,10639.7,22154.82,USD
US01,A0000093,0,2025,43154.32,18313.26,24841.06,USD
DE01,A0000094,0,2023,64735.49,14533.36,50202.13,USD
DE01,A0000094,0,2024,36609.15,11877.3,24731.85,USD
DE01,A0000094,0,2025,60188.27,25541.91,34646.36,USD
US01,A0000095,0,2023,34553.83,7757.46,26796.37,USD
US01,A0000095,0,2024,51838.14,16818.12,35020.02,USD
US01,A0000095,0,2025,61833.97,26240.29,35593.68,USD
DE01,A0000096,0,2023,47820.5,10735.88,37084.62,USD
DE01,A0000096,0,2024,47159.12,15300.08,31859.04,USD
DE01,A0000096,0,2025,27431.47,11641.01,15790.46,USD
IN01,A0000097,0,2023,57378.16,12881.61,44496.55,USD
IN01,A0000097,0,2024,47174.11,15304.95,31869.16,USD
IN01,A0000097,0,2025,46619.66,19783.84,26835.82,USD
IN01,A0000098,0,2023,55041.27,9870.51,45170.76,USD
IN01,A0000098,0,2024,30720.59,8579.06,22141.53,USD
IN01,A0000098,0,2025,69055.38,26185.27,42870.11,USD
DE01,A0000099,0,2023,63560.23,10562.92,52997.31,USD
DE01,A0000099,0,2024,58703.53,15622.13,43081.4,USD
DE01,A0000099,0,2025,58691.02,21483.89,37207.13,USD
US01,A0000100,0,2023,61998.07,6908.48,55089.59,USD
US01,A0000100,0,2024,38678.45,8175.16,30503.29,USD
US01,A0000100,0,2025,50987.44,15872.07,35115.37,USD
US01,A0000101,0,2023,30951.61,6948.75,24002.86,USD
US01,A0000101,0,2024,55256.21,17927.07,37329.14,USD
US01,A0000101,0,2025,56440.48,23951.47,32489.01,USD
IN01,A0000102,0,2023,55736.63,12513.08,43223.55,USD
IN01,A0000102,0,2024,30144.51,9779.94,20364.57,USD
IN01,A0000102,0,2025,45817.35,19443.37,26373.98,USD
DE01,A0000103,0,2023,31307.45,5237.19,26070.26,USD
DE01,A0000103,0,2024,61112.4,16330.1,44782.3,USD
DE01,A0000103,0,2025,63424.71,23286.12,40138.59,USD
IN01,A0000104,0,2023,37549.93,8430.1,29119.83,USD
IN01,A0000104,0,2024,78522.49,25475.47,53047.02,USD
IN01,A0000104,0,2025,52711.16,22368.87,30342.29,USD
IN01,A0000105,0,2023,49628.01,11141.68,38486.33,USD
IN01,A0000105,0,2024,57826.46,18760.95,39065.51,USD
IN01,A0000105,0,2025,41772.19,17726.73,24045.46,USD
US01,A0000106,0,2023,56764.55,12743.86,44020.69,USD
US01,A0000106,0,2024,62128.2,20156.58,41971.62,USD
US01,A0000106,0,2025,35074.02,14884.25,20189.77,USD
IN01,A0000107,0,2023,63927.06,10238.83,53688.23,USD
IN01,A0000107,0,2024,63474.16,16509.36,46964.8,USD
IN01,A0000107,0,2025,51693.98,18611.25,33082.73,USD
IN01,A0000108,0,2023,41773.51,9378.31,32395.2,USD
IN01,A0000108,0,2024,40784.96,13232.08,27552.88,USD
IN01,A0000108,0,2025,22717.17,9640.41,13076.76,USD
DE01,A0000109,0,2023,35515.54,7496.91,28018.63,USD
DE01,A0000109,0,2024,57733.06,17956.13,39776.93,USD
DE01,A0000109,0,2025,43991.93,18078.55,25913.38,USD
DE01,A0000110,0,2023,52452.28,10167.34,42284.94,USD
DE01,A0000110,0,2024,59695.63,17536.87,42158.76,USD
DE01,A0000110,0,2025,58768.18,23137.21,35630.97,USD
US01,A0000111,0,2023,57269.98,6318.91,50951.07,USD
US01,A0000111,0,2024,39458.63,8296.85,31161.78,USD
US01,A0000111,0,2025,34115.49,10582.57,23532.92,USD
IN01,A0000112,0,2023,44455.15,9980.35,34474.8,USD
IN01,A0000112,0,2024,55104.28,17877.77,37226.51,USD
IN01,A0000112,0,2025,45378.86,19257.28,26121.58,USD
DE01,A0000113,0,2023,26585.11,5968.46,20616.65,USD
DE01,A0000113,0,2024,53869.33,17477.11,36392.22,USD
DE01,A0000113,0,2025,70297.46,29831.91,40465.55,USD
IN01,A0000114,0,2023,68316.49,13223.75,55092.74,USD
IN01,A0000114,0,2024,45240.99,13278.12,31962.87,USD
IN01,A0000114,0,2025,50462.36,19853.36,30609.0,USD
DE01,A0000115,0,2023,56676.96,12724.19,43952.77,USD
DE01,A0000115,0,2024,55787.61,18099.47,37688.14,USD
DE01,A0000115,0,2025,28508.03,12097.86,16410.17,USD
IN01,A0000116,0,2023,62254.23,10209.52,52044.71,USD
IN01,A0000116,0,2024,51917.25,13702.46,38214.79,USD
IN01,A0000116,0,2025,52894.54,19246.23,33648.31,USD
US01,A0000117,0,2023,77222.14,17336.66,59885.48,USD
US01,A0000117,0,2024,68812.42,22325.18,46487.24,USD
US01,A0000117,0,2025,35215.34,14944.22,20271.12,USD
DE01,A0000118,0,2023,72434.6,16261.84,56172.76,USD
DE01,A0000118,0,2024,64367.89,20883.22,43484.67,USD
DE01,A0000118,0,2025,45965.35,19506.17,26459.18,USD
IN01,A0000119,0,2023,33683.19,6768.91,26914.28,USD
IN01,A0000119,0,2024,52859.42,15904.86,36954.56,USD
IN01,A0000119,0,2025,55558.66,22269.1,33289.56,USD
US01,A0000120,0,2023,37645.46,2690.07,34955.39,USD
IN01,A0000121,0,2023,9692.05,1366.57,8325.48,USD
DE01,A0000122,0,2023,62968.12,14136.58,48831.54,USD
DE01,A0000122,0,2024,51325.17,16651.7,34673.47,USD
DE01,A0000122,0,2025,46348.91,19668.94,26679.97,USD
DE01,A0000123,0,2023,54791.01,7740.5,47050.51,USD
DE01,A0000123,0,2024,15334.9,3698.85,11636.05,USD
DE01,A0000123,0,2025,48122.52,16416.33,31706.19,USD
US01,A0000124,0,2023,51231.22,11501.6,39729.62,USD
US01,A0000124,0,2024,42032.01,13636.67,28395.34,USD
US01,A0000124,0,2025,40709.23,17275.65,23433.58,USD
IN01,A0000125,0,2023,46699.79,9781.06,36918.73,USD
IN01,A0000125,0,2024,46886.9,14505.73,32381.17,USD
IN01,A0000125,0,2025,46219.08,18917.87,27301.21,USD
DE01,A0000126,0,2023,54690.48,8759.46,45931.02,USD
DE01,A0000126,0,2024,57714.42,15011.28,42703.14,USD
DE01,A0000126,0,2025,38278.56,13781.33,24497.23,USD
DE01,A0000127,0,2023,29172.53,6549.34,22623.19,USD
DE01,A0000127,0,2024,24234.52,7862.53,16371.99,USD
DE01,A0000127,0,2025,53032.49,22505.23,30527.26,USD
DE01,A0000128,0,2023,64491.48,14478.58,50012.9,USD
DE01,A0000128,0,2024,66365.27,21531.24,44834.03,USD
DE01,A0000128,0,2025,37797.74,16040.11,21757.63,USD
IN01,A0000129,0,2023,69865.99,14671.38,55194.61,USD
IN01,A0000129,0,2024,54726.9,16961.22,37765.68,USD
IN01,A0000129,0,2025,52865.25,21667.15,31198.1,USD
US01,A0000130,0,2023,34984.21,7854.09,27130.12,USD
US01,A0000130,0,2024,42184.94,13686.28,28498.66,USD
US01,A0000130,0,2025,55204.42,23426.93,31777.49,USD
DE01,A0000131,0,2023,51863.16,11643.47,40219.69,USD
DE01,A0000131,0,2024,44604.57,14471.3,30133.27,USD
DE01,A0000131,0,2025,38399.04,16295.28,22103.76,USD
IN01,A0000132,0,2023,47181.04,5851.61,41329.43,USD
IN01,A0000132,0,2024,38424.67,8605.44,29819.23,USD
IN01,A0000132,0,2025,65095.69,21083.7,44011.99,USD
IN01,A0000133,0,2023,32024.2,7189.55,24834.65,USD
IN01,A0000133,0,2024,50008.01,16224.36,33783.65,USD
IN01,A0000133,0,2025,56689.46,24057.13,32632.33,USD
IN01,A0000134,0,2023,66048.99,12188.1,53860.89,USD
IN01,A0000134,0,2024,40376.82,11485.7,28891.12,USD
IN01,A0000134,0,2025,48074.54,18479.58,29594.96,USD
US01,A0000135,0,2023,84399.23,16406.15,67993.08,USD
US01,A0000135,0,2024,42149.18,12405.3,29743.88,USD
US01,A0000135,0,2025,66780.8,26328.36,40452.44,USD
US01,A0000136,0,2023,66088.48,14837.11,51251.37,USD
US01,A0000136,0,2024,29516.05,9576.05,19940.0,USD
US01,A0000136,0,2025,43282.36,18367.6,24914.76,USD
IN01,A0000137,0,2023,44500.32,7005.53,37494.79,USD
IN01,A0000137,0,2024,47879.88,12322.27,35557.61,USD
IN01,A0000137,0,2025,46652.95,16668.61,29984.34,USD
US01,A0000138,0,2023,45737.0,9892.47,35844.53,USD
US01,A0000138,0,2024,33627.29,10633.68,22993.61,USD
US01,A0000138,0,2025,27971.24,11640.32,16330.92,USD
DE01,A0000139,0,2023,41695.29,9360.75,32334.54,USD
DE01,A0000139,0,2024,47168.41,15303.1,31865.31,USD
DE01,A0000139,0,2025,32826.57,13930.51,18896.06,USD
US01,A0000140,0,2023,37498.89,8346.78,29152.11,USD
US01,A0000140,0,2024,43354.46,13982.63,29371.83,USD
US01,A0000140,0,2025,70973.55,29982.8,40990.75,USD
US01,A0000141,0,2023,46713.85,7047.04,39666.81,USD
US01,A0000141,0,2024,35278.91,8847.5,26431.41,USD
US01,A0000141,0,2025,53757.47,18853.75,34903.72,USD
DE01,A0000142,0,2023,49556.24,8303.47,41252.77,USD
DE01,A0000142,0,2024,77457.21,20718.88,56738.33,USD
DE01,A0000142,0,2025,56068.18,20600.55,35467.63,USD
IN01,A0000143,0,2023,37500.94,6509.4,30991.54,USD
IN01,A0000143,0,2024,49068.52,13420.79,35647.73,USD
IN01,A0000143,0,2025,63695.21,23786.52,39908.69,USD
DE01,A0000144,0,2023,55648.17,11914.27,43733.9,USD
DE01,A0000144,0,2024,50400.26,15827.27,34572.99,USD
DE01,A0000144,0,2025,35079.83,14521.75,20558.08,USD
DE01,A0000145,0,2023,63693.77,11631.42,52062.35,USD
DE01,A0000145,0,2024,25660.84,7250.37,18410.47,USD
DE01,A0000145,0,2025,60673.46,23206.25,37467.21,USD
DE01,A0000146,0,2023,87286.03,17636.44,69649.59,USD
DE01,A0000146,0,2024,57432.01,17343.6,40088.41,USD
DE01,A0000146,0,2025,39721.24,15964.62,23756.62,USD
DE01,A0000147,0,2023,22328.39,4627.68,17700.71,USD
DE01,A0000147,0,2024,27472.77,8439.27,19033.5,USD
DE01,A0000147,0,2025,49519.84,20160.44,29359.4,USD
IN01,A0000148,0,2023,47038.03,5949.78,41088.25,USD
IN01,A0000148,0,2024,46879.1,10614.38,36264.72,USD
IN01,A0000148,0,2025,29480.78,9621.11,19859.67,USD
US01,A0000149,0,2023,83647.71,18779.23,64868.48,USD
US01,A0000149,0,2024,31794.73,10315.33,21479.4,USD
