vendor_id,company_code,document_number,line_item,posting_date,document_date,clearing_date,amount_in_doc_currency,currency,debit_credit_indicator,clearing_document,open_item_status,due_date
VEND212,IN01,VPAY00000039,1,2023-04-08,2023-04-08,2023-04-08,633.43,INR,S,POINV00000038,Cleared,
VEND489,IN01,POINV00000040,1,2023-04-03,2023-04-03,2023-04-11,-766.95,INR,H,VPAY00000041,Cleared,2023-05-29
VEND489,IN01,VPAY00000041,1,2023-04-11,2023-04-11,2023-04-11,766.95,INR,S,POINV00000040,Cleared,
VEND469,IN01,POINV00000042,1,2023-04-03,2023-04-03,2023-06-01,-301.58,INR,H,VPAY00000043,Cleared,2023-05-26
VEND469,IN01,VPAY00000043,1,2023-06-01,2023-06-01,2023-06-01,301.58,INR,S,POINV00000042,Cleared,
VEND100,DE01,POINV00000044,1,2023-04-03,2023-04-03,2023-05-31,-699.77,EUR,H,VPAY00000045,Cleared,2023-05-27
VEND100,DE01,VPAY00000045,1,2023-05-31,2023-05-31,2023-05-31,699.77,EUR,S,POINV00000044,Cleared,
VEND154,DE01,POINV00000046,1,2023-04-03,2023-04-03,,-1136.48,EUR,H,,Open,2023-06-01
VEND154,DE01,POINV00000047,1,2023-04-03,2023-04-03,2023-04-22,-773.41,EUR,H,VPAY00000048,Cleared,2023-05-29
VEND154,DE01,VPAY00000048,1,2023-04-22,2023-04-22,2023-04-22,773.41,EUR,S,POINV00000047,Cleared,
VEND272,US01,POINV00000049,1,2023-04-03,2023-04-03,2023-05-09,-1076.94,USD,H,VPAY00000050,Cleared,2023-05-28
VEND272,US01,VPAY00000050,1,2023-05-09,2023-05-09,2023-05-09,1076.94,USD,S,POINV00000049,Cleared,
VEND470,IN01,POINV00000051,1,2023-04-03,2023-04-03,,-1317.96,INR,H,,Open,2023-05-30
VEND062,US01,POINV00000052,1,2023-04-03,2023-04-03,,-1043.78,USD,H,,Open,2023-05-25
VEND214,US01,POINV00000053,1,2023-04-03,2023-04-03,,-682.64,USD,H,,Open,2023-05-19
VEND366,DE01,POINV00000054,1,2023-04-03,2023-04-03,2023-04-25,-592.84,EUR,H,VPAY00000055,Cleared,2023-05-27
VEND366,DE01,VPAY00000055,1,2023-04-25,2023-04-25,2023-04-25,592.84,EUR,S,POINV00000054,Cleared,
VEND011,US01,POINV00000056,1,2023-04-03,2023-04-03,,-1030.96,USD,H,,Open,2023-05-25
VEND131,DE01,POINV00000057,1,2023-04-03,2023-04-03,,-543.65,EUR,H,,Open,2023-05-22
VEND098,DE01,POINV00000058,1,2023-04-03,2023-04-03,2023-04-26,-627.6,EUR,H,VPAY00000059,Cleared,2023-06-02
VEND098,DE01,VPAY00000059,1,2023-04-26,2023-04-26,2023-04-26,627.6,EUR,S,POINV00000058,Cleared,
VEND110,IN01,POINV00000060,1,2023-04-03,2023-04-03,2023-04-25,-321.32,INR,H,VPAY00000061,Cleared,2023-05-25
VEND110,IN01,VPAY00000061,1,2023-04-25,2023-04-25,2023-04-25,321.32,INR,S,POINV00000060,Cleared,
VEND327,DE01,POINV00000062,1,2023-04-03,2023-04-03,2023-05-21,-898.76,EUR,H,VPAY00000063,Cleared,2023-05-26
VEND327,DE01,VPAY00000063,1,2023-05-21,2023-05-21,2023-05-21,898.76,EUR,S,POINV00000062,Cleared,
VEND068,IN01,POINV00000064,1,2023-04-03,2023-04-03,2023-04-25,-1123.24,INR,H,VPAY00000065,Cleared,2023-05-18
VEND068,IN01,VPAY00000065,1,2023-04-25,2023-04-25,2023-04-25,1123.24,INR,S,POINV00000064,Cleared,
VEND265,IN01,POINV00000066,1,2023-04-03,2023-04-03,,-733.79,INR,H,,Open,2023-05-20
VEND356,DE01,POINV00000067,1,2023-04-03,2023-04-03,2023-04-24,-774.99,EUR,H,VPAY00000068,Cleared,2023-05-26
VEND356,DE01,VPAY00000068,1,2023-04-24,2023-04-24,2023-04-24,774.99,EUR,S,POINV00000067,Cleared,
VEND316,US01,POINV00000069,1,2023-04-03,2023-04-03,2023-04-17,-521.42,USD,H,VPAY00000070,Cleared,2023-05-23
VEND316,US01,VPAY00000070,1,2023-04-17,2023-04-17,2023-04-17,521.42,USD,S,POINV00000069,Cleared,
VEND084,DE01,POINV00000071,1,2023-04-03,2023-04-03,,-816.25,EUR,H,,Open,2023-06-02
VEND033,IN01,POINV00000072,1,2023-04-03,2023-04-03,2023-05-09,-718.73,INR,H,VPAY00000073,Cleared,2023-05-27
VEND033,IN01,VPAY00000073,1,2023-05-09,2023-05-09,2023-05-09,718.73,INR,S,POINV00000072,Cleared,
VEND363,US01,POINV00000074,1,2023-04-03,2023-04-03,2023-05-25,-1256.02,USD,H,VPAY00000075,Cleared,2023-05-28
VEND363,US01,VPAY00000075,1,2023-05-25,2023-05-25,2023-05-25,1256.02,USD,S,POINV00000074,Cleared,
VEND126,DE01,POINV00000076,1,2023-04-03,2023-04-03,2023-05-30,-915.75,EUR,H,VPAY00000077,Cleared,2023-06-02
VEND126,DE01,VPAY00000077,1,2023-05-30,2023-05-30,2023-05-30,915.75,EUR,S,POINV00000076,Cleared,
VEND182,IN01,POINV00000078,1,2023-04-03,2023-04-03,2023-04-25,-863.14,INR,H,VPAY00000079,Cleared,2023-05-21
VEND182,IN01,VPAY00000079,1,2023-04-25,2023-04-25,2023-04-25,863.14,INR,S,POINV00000078,Cleared,
VEND398,US01,POINV00000080,1,2023-04-03,2023-04-03,2023-04-30,-958.81,USD,H,VPAY00000081,Cleared,2023-05-18
VEND398,US01,VPAY00000081,1,2023-04-30,2023-04-30,2023-04-30,958.81,USD,S,POINV00000080,Cleared,
VEND210,IN01,POINV00000082,1,2023-04-03,2023-04-03,,-791.24,INR,H,,Open,2023-05-22
VEND370,US01,POINV00000083,1,2023-04-03,2023-04-03,2023-05-29,-1086.1,USD,H,VPAY00000084,Cleared,2023-05-21
VEND370,US01,VPAY00000084,1,2023-05-29,2023-05-29,2023-05-29,1086.1,USD,S,POINV00000083,Cleared,
VEND002,IN01,POINV00000085,1,2023-04-03,2023-04-03,2023-04-14,-670.09,INR,H,VPAY00000086,Cleared,2023-05-30
VEND002,IN01,VPAY00000086,1,2023-04-14,2023-04-14,2023-04-14,670.09,INR,S,POINV00000085,Cleared,
VEND033,IN01,POINV00000087,1,2023-04-03,2023-04-03,2023-04-24,-887.35,INR,H,VPAY00000088,Cleared,2023-05-23
VEND033,IN01,VPAY00000088,1,2023-04-24,2023-04-24,2023-04-24,887.35,INR,S,POINV00000087,Cleared,
VEND309,IN01,POINV00000089,1,2023-04-03,2023-04-03,2023-05-01,-1012.0,INR,H,VPAY00000090,Cleared,2023-05-24
VEND309,IN01,VPAY00000090,1,2023-05-01,2023-05-01,2023-05-01,1012.0,INR,S,POINV00000089,Cleared,
VEND397,IN01,POINV00000091,1,2023-04-04,2023-04-04,2023-04-26,-1131.42,INR,H,VPAY00000092,Cleared,2023-05-20
VEND397,IN01,VPAY00000092,1,2023-04-26,2023-04-26,2023-04-26,1131.42,INR,S,POINV00000091,Cleared,
VEND257,DE01,POINV00000093,1,2023-04-04,2023-04-04,2023-04-30,-1033.09,EUR,H,VPAY00000094,Cleared,2023-05-22
VEND257,DE01,VPAY00000094,1,2023-04-30,2023-04-30,2023-04-30,1033.09,EUR,S,POINV00000093,Cleared,
VEND452,US01,POINV00000095,1,2023-04-04,2023-04-04,,-808.71,USD,H,,Open,2023-05-28
VEND103,IN01,POINV00000096,1,2023-04-04,2023-04-04,2023-04-19,-913.95,INR,H,VPAY00000097,Cleared,2023-06-03
VEND103,IN01,VPAY00000097,1,2023-04-19,2023-04-19,2023-04-19,913.95,INR,S,POINV00000096,Cleared,
VEND346,US01,POINV00000098,1,2023-04-04,2023-04-04,2023-05-06,-106.72,USD,H,VPAY00000099,Cleared,2023-05-19
VEND346,US01,VPAY00000099,1,2023-05-06,2023-05-06,2023-05-06,106.72,USD,S,POINV00000098,Cleared,
VEND020,IN01,POINV00000100,1,2023-04-04,2023-04-04,2023-05-04,-762.33,INR,H,VPAY00000101,Cleared,2023-05-24
VEND020,IN01,VPAY00000101,1,2023-05-04,2023-05-04,2023-05-04,762.33,INR,S,POINV00000100,Cleared,
VEND378,DE01,POINV00000102,1,2023-04-04,2023-04-04,,-578.74,EUR,H,,Open,2023-05-19
VEND165,DE01,POINV00000103,1,2023-04-04,2023-04-04,,-678.92,EUR,H,,Open,2023-05-29
VEND176,DE01,POINV00000104,1,2023-04-04,2023-04-04,2023-04-24,-910.71,EUR,H,VPAY00000105,Cleared,2023-05-31
VEND176,DE01,VPAY00000105,1,2023-04-24,2023-04-24,2023-04-24,910.71,EUR,S,POINV00000104,Cleared,
VEND209,DE01,POINV00000106,1,2023-04-04,2023-04-04,2023-05-04,-981.82,EUR,H,VPAY00000107,Cleared,2023-05-22
VEND209,DE01,VPAY00000107,1,2023-05-04,2023-05-04,2023-05-04,981.82,EUR,S,POINV00000106,Cleared,
VEND415,IN01,POINV00000108,1,2023-04-04,2023-04-04,2023-06-02,-1287.92,INR,H,VPAY00000109,Cleared,2023-05-29
VEND415,IN01,VPAY00000109,1,2023-06-02,2023-06-02,2023-06-02,1287.92,INR,S,POINV00000108,Cleared,
VEND138,IN01,POINV00000110,1,2023-04-04,2023-04-04,2023-04-27,-367.05,INR,H,VPAY00000111,Cleared,2023-05-26
VEND138,IN01,VPAY00000111,1,2023-04-27,2023-04-27,2023-04-27,367.05,INR,S,POINV00000110,Cleared,
VEND250,DE01,POINV00000112,1,2023-04-04,2023-04-04,2023-04-29,-631.72,EUR,H,VPAY00000113,Cleared,2023-05-29
VEND250,DE01,VPAY00000113,1,2023-04-29,2023-04-29,2023-04-29,631.72,EUR,S,POINV00000112,Cleared,
VEND445,US01,POINV00000114,1,2023-04-04,2023-04-04,2023-05-16,-701.74,USD,H,VPAY00000115,Cleared,2023-05-27
VEND445,US01,VPAY00000115,1,2023-05-16,2023-05-16,2023-05-16,701.74,USD,S,POINV00000114,Cleared,
VEND017,US01,POINV00000116,1,2023-04-04,2023-04-04,2023-05-01,-801.51,USD,H,VPAY00000117,Cleared,2023-05-25
VEND017,US01,VPAY00000117,1,2023-05-01,2023-05-01,2023-05-01,801.51,USD,S,POINV00000116,Cleared,
VEND290,US01,POINV00000118,1,2023-04-04,2023-04-04,2023-04-26,-275.48,USD,H,VPAY00000119,Cleared,2023-05-28
VEND290,US01,VPAY00000119,1,2023-04-26,2023-04-26,2023-04-26,275.48,USD,S,POINV00000118,Cleared,
VEND224,DE01,POINV00000120,1,2023-04-04,2023-04-04,2023-04-29,-902.62,EUR,H,VPAY00000121,Cleared,2023-05-23
VEND224,DE01,VPAY00000121,1,2023-04-29,2023-04-29,2023-04-29,902.62,EUR,S,POINV00000120,Cleared,
VEND291,DE01,POINV00000122,1,2023-04-04,2023-04-04,2023-04-22,-555.56,EUR,H,VPAY00000123,Cleared,2023-05-20
VEND291,DE01,VPAY00000123,1,2023-04-22,2023-04-22,2023-04-22,555.56,EUR,S,POINV00000122,Cleared,
VEND100,DE01,POINV00000124,1,2023-04-04,2023-04-04,2023-04-10,-442.4,EUR,H,VPAY00000125,Cleared,2023-05-21
VEND100,DE01,VPAY00000125,1,2023-04-10,2023-04-10,2023-04-10,442.4,EUR,S,POINV00000124,Cleared,
VEND171,US01,POINV00000126,1,2023-04-04,2023-04-04,,-1374.64,USD,H,,Open,2023-05-26
VEND406,DE01,POINV00000127,1,2023-04-04,2023-04-04,2023-04-09,-547.47,EUR,H,VPAY00000128,Cleared,2023-05-23
VEND406,DE01,VPAY00000128,1,2023-04-09,2023-04-09,2023-04-09,547.47,EUR,S,POINV00000127,Cleared,
VEND024,US01,POINV00000129,1,2023-04-04,2023-04-04,2023-05-10,-706.44,USD,H,VPAY00000130,Cleared,2023-05-22
VEND024,US01,VPAY00000130,1,2023-05-10,2023-05-10,2023-05-10,706.44,USD,S,POINV00000129,Cleared,
VEND091,IN01,POINV00000131,1,2023-04-04,2023-04-04,2023-04-28,-859.54,INR,H,VPAY00000132,Cleared,2023-06-03
VEND091,IN01,VPAY00000132,1,2023-04-28,2023-04-28,2023-04-28,859.54,INR,S,POINV00000131,Cleared,
VEND320,DE01,POINV00000133,1,2023-04-04,2023-04-04,2023-04-22,-413.39,EUR,H,VPAY00000134,Cleared,2023-06-03
VEND320,DE01,VPAY00000134,1,2023-04-22,2023-04-22,2023-04-22,413.39,EUR,S,POINV00000133,Cleared,
VEND032,US01,POINV00000135,1,2023-04-04,2023-04-04,2023-04-19,-883.32,USD,H,VPAY00000136,Cleared,2023-05-23
VEND032,US01,VPAY00000136,1,2023-04-19,2023-04-19,2023-04-19,883.32,USD,S,POINV00000135,Cleared,
VEND306,US01,POINV00000137,1,2023-04-04,2023-04-04,,-1356.82,USD,H,,Open,2023-06-03
VEND138,DE01,POINV00000138,1,2023-04-04,2023-04-04,2023-05-09,-1416.74,EUR,H,VPAY00000139,Cleared,2023-05-20
VEND138,DE01,VPAY00000139,1,2023-05-09,2023-05-09,2023-05-09,1416.74,EUR,S,POINV00000138,Cleared,
VEND287,US01,POINV00000140,1,2023-04-04,2023-04-04,2023-05-21,-939.95,USD,H,VPAY00000141,Cleared,2023-05-30
VEND287,US01,VPAY00000141,1,2023-05-21,2023-05-21,2023-05-21,939.95,USD,S,POINV00000140,Cleared,
VEND315,US01,POINV00000142,1,2023-04-04,2023-04-04,2023-05-25,-431.13,USD,H,VPAY00000143,Cleared,2023-05-31
VEND315,US01,VPAY00000143,1,2023-05-25,2023-05-25,2023-05-25,431.13,USD,S,POINV00000142,Cleared,
VEND380,IN01,POINV00000144,1,2023-04-04,2023-04-04,2023-04-12,-851.32,INR,H,VPAY00000145,Cleared,2023-05-23
VEND380,IN01,VPAY00000145,1,2023-04-12,2023-04-12,2023-04-12,851.32,INR,S,POINV00000144,Cleared,
VEND080,US01,POINV00000146,1,2023-04-04,2023-04-04,2023-04-21,-872.5,USD,H,VPAY00000147,Cleared,2023-05-27
VEND080,US01,VPAY00000147,1,2023-04-21,2023-04-21,2023-04-21,872.5,USD,S,POINV00000146,Cleared,
VEND355,IN01,POINV00000148,1,2023-04-04,2023-04-04,2023-04-15,-997.04,INR,H,VPAY00000149,Cleared,2023-05-25
VEND355,IN01,VPAY00000149,1,2023-04-15,2023-04-15,2023-04-15,997.04,INR,S,POINV00000148,Cleared,
VEND325,US01,POINV00000150,1,2023-04-04,2023-04-04,2023-04-18,10.12,USD,H,VPAY00000151,Cleared,2023-05-20
VEND325,US01,VPAY00000151,1,2023-04-18,2023-04-18,2023-04-18,-10.12,USD,S,POINV00000150,Cleared,
VEND258,DE01,POINV00000152,1,2023-04-04,2023-04-04,2023-04-12,-1101.08,EUR,H,VPAY00000153,Cleared,2023-05-23
VEND258,DE01,VPAY00000153,1,2023-04-12,2023-04-12,2023-04-12,1101.08,EUR,S,POINV00000152,Cleared,
VEND165,IN01,POINV00000154,1,2023-04-04,2023-04-04,2023-05-04,-1220.8,INR,H,VPAY00000155,Cleared,2023-06-01
VEND165,IN01,VPAY00000155,1,2023-05-04,2023-05-04,2023-05-04,1220.8,INR,S,POINV00000154,Cleared,
VEND062,US01,POINV00000156,1,2023-04-04,2023-04-04,2023-04-17,-730.97,USD,H,VPAY00000157,Cleared,2023-05-27
VEND062,US01,VPAY00000157,1,2023-04-17,2023-04-17,2023-04-17,730.97,USD,S,POINV00000156,Cleared,
VEND108,DE01,POINV00000158,1,2023-04-04,2023-04-04,2023-04-21,-1101.26,EUR,H,VPAY00000159,Cleared,2023-05-25
VEND108,DE01,VPAY00000159,1,2023-04-21,2023-04-21,2023-04-21,1101.26,EUR,S,POINV00000158,Cleared,
VEND188,US01,POINV00000160,1,2023-04-04,2023-04-04,2023-04-19,-934.31,USD,H,VPAY00000161,Cleared,2023-06-02
VEND188,US01,VPAY00000161,1,2023-04-19,2023-04-19,2023-04-19,934.31,USD,S,POINV00000160,Cleared,
VEND076,DE01,POINV00000162,1,2023-04-04,2023-04-04,,-741.33,EUR,H,,Open,2023-05-27
VEND056,IN01,POINV00000163,1,2023-04-04,2023-04-04,2023-05-16,-1090.58,INR,H,VPAY00000164,Cleared,2023-05-27
VEND056,IN01,VPAY00000164,1,2023-05-16,2023-05-16,2023-05-16,1090.58,INR,S,POINV00000163,Cleared,
VEND462,US01,POINV00000165,1,2023-04-04,2023-04-04,2023-05-14,-630.34,USD,H,VPAY00000166,Cleared,2023-05-20
VEND462,US01,VPAY00000166,1,2023-05-14,2023-05-14,2023-05-14,630.34,USD,S,POINV00000165,Cleared,
VEND272,DE01,POINV00000167,1,2023-04-04,2023-04-04,2023-05-05,-1105.83,EUR,H,VPAY00000168,Cleared,2023-06-01
VEND272,DE01,VPAY00000168,1,2023-05-05,2023-05-05,2023-05-05,1105.83,EUR,S,POINV00000167,Cleared,
VEND113,IN01,POINV00000169,1,2023-04-04,2023-04-04,2023-04-30,-1033.79,INR,H,VPAY00000170,Cleared,2023-06-01
VEND113,IN01,VPAY00000170,1,2023-04-30,2023-04-30,2023-04-30,1033.79,INR,S,POINV00000169,Cleared,
VEND380,IN01,POINV00000171,1,2023-04-04,2023-04-04,,-790.06,INR,H,,Open,2023-05-25
VEND452,DE01,POINV00000172,1,2023-04-04,2023-04-04,2023-04-19,-1108.65,EUR,H,VPAY00000173,Cleared,2023-05-28
VEND452,DE01,VPAY00000173,1,2023-04-19,2023-04-19,2023-04-19,1108.65,EUR,S,POINV00000172,Cleared,
VEND149,DE01,POINV00000174,1,2023-04-04,2023-04-04,2023-05-11,-584.21,EUR,H,VPAY00000175,Cleared,2023-06-01
VEND149,DE01,VPAY00000175,1,2023-05-11,2023-05-11,2023-05-11,584.21,EUR,S,POINV00000174,Cleared,
VEND303,US01,POINV00000176,1,2023-04-04,2023-04-04,2023-05-12,-636.65,USD,H,VPAY00000177,Cleared,2023-05-23
VEND303,US01,VPAY00000177,1,2023-05-12,2023-05-12,2023-05-12,636.65,USD,S,POINV00000176,Cleared,
VEND416,DE01,POINV00000178,1,2023-04-04,2023-04-04,2023-05-18,-961.1,EUR,H,VPAY00000179,Cleared,2023-05-31
VEND416,DE01,VPAY00000179,1,2023-05-18,2023-05-18,2023-05-18,961.1,EUR,S,POINV00000178,Cleared,
VEND255,DE01,POINV00000180,1,2023-04-04,2023-04-04,2023-05-16,-815.21,EUR,H,VPAY00000181,Cleared,2023-05-22
VEND255,DE01,VPAY00000181,1,2023-05-16,2023-05-16,2023-05-16,815.21,EUR,S,POINV00000180,Cleared,
VEND076,DE01,POINV00000182,1,2023-04-04,2023-04-04,2023-05-23,-907.76,EUR,H,VPAY00000183,Cleared,2023-05-31
VEND076,DE01,VPAY00000183,1,2023-05-23,2023-05-23,2023-05-23,907.76,EUR,S,POINV00000182,Cleared,
VEND025,IN01,POINV00000184,1,2023-04-04,2023-04-04,2023-04-09,-445.92,INR,H,VPAY00000185,Cleared,2023-05-22
VEND025,IN01,VPAY00000185,1,2023-04-09,2023-04-09,2023-04-09,445.92,INR,S,POINV00000184,Cleared,
VEND246,US01,POINV00000186,1,2023-04-04,2023-04-04,2023-05-14,-667.21,USD,H,VPAY00000187,Cleared,2023-06-01
VEND246,US01,VPAY00000187,1,2023-05-14,2023-05-14,2023-05-14,667.21,USD,S,POINV00000186,Cleared,
VEND230,US01,POINV00000188,1,2023-04-04,2023-04-04,,-445.66,USD,H,,Open,2023-05-26
VEND233,US01,POINV00000189,1,2023-04-04,2023-04-04,2023-05-08,-1229.22,USD,H,VPAY00000190,Cleared,2023-05-27
VEND233,US01,VPAY00000190,1,2023-05-08,2023-05-08,2023-05-08,1229.22,USD,S,POINV00000189,Cleared,
VEND312,DE01,POINV00000191,1,2023-04-05,2023-04-05,,-864.31,EUR,H,,Open,2023-06-01
VEND413,US01,POINV00000192,1,2023-04-05,2023-04-05,2023-04-22,-1223.78,USD,H,VPAY00000193,Cleared,2023-05-31
VEND413,US01,VPAY00000193,1,2023-04-22,2023-04-22,2023-04-22,1223.78,USD,S,POINV00000192,Cleared,
VEND063,DE01,POINV00000194,1,2023-04-05,2023-04-05,2023-06-03,-953.4,EUR,H,VPAY00000195,Cleared,2023-05-31
VEND063,DE01,VPAY00000195,1,2023-06-03,2023-06-03,2023-06-03,953.4,EUR,S,POINV00000194,Cleared,
VEND106,DE01,POINV00000196,1,2023-04-05,2023-04-05,2023-05-17,-616.76,EUR,H,VPAY00000197,Cleared,2023-05-27
VEND106,DE01,VPAY00000197,1,2023-05-17,2023-05-17,2023-05-17,616.76,EUR,S,POINV00000196,Cleared,
VEND327,DE01,POINV00000198,1,2023-04-05,2023-04-05,2023-05-18,-816.61,EUR,H,VPAY00000199,Cleared,2023-05-31
VEND327,DE01,VPAY00000199,1,2023-05-18,2023-05-18,2023-05-18,816.61,EUR,S,POINV00000198,Cleared,
VEND181,US01,POINV00000200,1,2023-04-05,2023-04-05,2023-04-26,-1089.21,USD,H,VPAY00000201,Cleared,2023-05-26
VEND181,US01,VPAY00000201,1,2023-04-26,2023-04-26,2023-04-26,1089.21,USD,S,POINV00000200,Cleared,
VEND411,IN01,POINV00000202,1,2023-04-05,2023-04-05,,-1235.24,INR,H,,Open,2023-05-31
VEND028,DE01,POINV00000203,1,2023-04-05,2023-04-05,2023-05-14,-747.51,EUR,H,VPAY00000204,Cleared,2023-05-30
VEND028,DE01,VPAY00000204,1,2023-05-14,2023-05-14,2023-05-14,747.51,EUR,S,POINV00000203,Cleared,
VEND401,DE01,POINV00000205,1,2023-04-05,2023-04-05,2023-04-20,-341.25,EUR,H,VPAY00000206,Cleared,2023-05-30
VEND401,DE01,VPAY00000206,1,2023-04-20,2023-04-20,2023-04-20,341.25,EUR,S,POINV00000205,Cleared,
VEND497,DE01,POINV00000207,1,2023-04-05,2023-04-05,2023-04-25,-550.02,EUR,H,VPAY00000208,Cleared,2023-06-02
VEND497,DE01,VPAY00000208,1,2023-04-25,2023-04-25,2023-04-25,550.02,EUR,S,POINV00000207,Cleared,
VEND207,DE01,POINV00000209,1,2023-04-05,2023-04-05,2023-06-04,-787.21,EUR,H,VPAY00000210,Cleared,2023-05-22
VEND207,DE01,VPAY00000210,1,2023-06-04,2023-06-04,2023-06-04,787.21,EUR,S,POINV00000209,Cleared,
VEND205,DE01,POINV00000211,1,2023-04-05,2023-04-05,2023-04-11,-399.51,EUR,H,VPAY00000212,Cleared,2023-05-27
VEND205,DE01,VPAY00000212,1,2023-04-11,2023-04-11,2023-04-11,399.51,EUR,S,POINV00000211,Cleared,
VEND039,IN01,POINV00000213,1,2023-04-05,2023-04-05,,-552.07,INR,H,,Open,2023-06-02
VEND230,IN01,POINV00000214,1,2023-04-05,2023-04-05,2023-05-28,-606.28,INR,H,VPAY00000215,Cleared,2023-05-31
VEND230,IN01,VPAY00000215,1,2023-05-28,2023-05-28,2023-05-28,606.28,INR,S,POINV00000214,Cleared,
