material_number,plant,valuation_type,valuation_area,standard_price,moving_average_price,total_stock,total_value_stock,last_update_date
MAT0000224,PL03,,PL03,19.16,19.52,515.0,10052.8,2024-03-19
MAT0000225,PL02,,PL02,38.32,37.75,333.0,12570.75,2024-03-05
MAT0000226,PL02,,PL02,10.0,9.92,390.0,3868.8,2024-03-25
MAT0000227,PL01,,PL01,12.53,11.93,799.0,9532.07,2024-03-22
MAT0000228,PL01,,PL01,23.06,23.59,797.0,18801.23,2024-03-07
MAT0000229,PL03,,PL03,27.87,28.03,692.0,19396.76,2024-03-31
MAT0000230,PL01,,PL01,26.33,25.43,468.0,11901.24,2024-03-08
MAT0000231,PL03,,PL03,16.76,16.92,502.0,8493.84,2024-03-26
MAT0000232,PL03,,PL03,15.05,15.72,119.0,1870.68,2024-03-16
MAT0000233,PL03,,PL03,10.0,9.62,458.0,4405.96,2024-03-15
MAT0000234,PL01,,PL01,33.51,32.27,275.0,8874.25,2024-03-03
MAT0000235,PL02,,PL02,19.55,19.3,482.0,9302.6,2024-03-13
MAT0000236,PL01,,PL01,11.46,11.87,603.0,7157.61,2024-03-03
MAT0000237,PL02,,PL02,10.0,10.08,853.0,8598.24,2024-03-27
MAT0000238,PL01,,PL01,10.0,9.8,422.0,4135.6,2024-03-16
MAT0000239,PL01,,PL01,31.17,32.05,421.0,13493.05,2024-03-31
MAT0000240,PL02,,PL02,10.0,9.57,981.0,9388.17,2024-03-05
MAT0000241,PL01,,PL01,10.0,10.43,320.0,3337.6,2024-03-26
MAT0000242,PL02,,PL02,10.0,9.78,429.0,4195.62,2024-03-23
MAT0000243,PL02,,PL02,13.59,13.88,292.0,4052.96,2024-03-26
MAT0000244,PL03,,PL03,57.56,60.41,584.0,35279.44,2024-03-26
MAT0000245,PL01,,PL01,10.0,10.08,364.0,3669.12,2024-03-08
MAT0000246,PL03,,PL03,10.0,9.58,524.0,5019.92,2024-03-14
MAT0000247,PL01,,PL01,10.0,10.01,506.0,5065.06,2024-03-11
MAT0000248,PL03,,PL03,38.39,38.95,587.0,22863.65,2024-03-28
MAT0000249,PL02,,PL02,10.0,9.95,413.0,4109.35,2024-03-28
MAT0000250,PL03,,PL03,10.0,9.52,459.0,4369.68,2024-03-20
MAT0000251,PL02,,PL02,10.0,9.84,727.0,7153.68,2024-03-29
MAT0000252,PL01,,PL01,39.63,39.42,445.0,17541.9,2024-03-19
MAT0000253,PL03,,PL03,12.29,12.79,389.0,4975.31,2024-03-16
MAT0000254,PL01,,PL01,10.0,10.46,249.0,2604.54,2024-03-28
MAT0000255,PL03,,PL03,12.06,12.08,951.0,11488.08,2024-03-02
MAT0000256,PL02,,PL02,10.0,9.89,815.0,8060.35,2024-03-03
MAT0000257,PL02,,PL02,10.88,11.35,731.0,8296.85,2024-03-01
MAT0000258,PL02,,PL02,32.71,33.74,522.0,17612.28,2024-03-14
MAT0000259,PL01,,PL01,10.0,10.23,578.0,5912.94,2024-03-04
MAT0000260,PL02,,PL02,10.0,10.02,428.0,4288.56,2024-03-21
MAT0000261,PL02,,PL02,10.78,10.24,366.0,3747.84,2024-03-10
MAT0000262,PL02,,PL02,16.56,16.78,188.0,3154.64,2024-03-25
MAT0000263,PL01,,PL01,15.63,15.11,260.0,3928.6,2024-03-30
MAT0000264,PL03,,PL03,10.0,9.86,546.0,5383.56,2024-03-17
MAT0000265,PL03,,PL03,10.0,9.69,404.0,3914.76,2024-03-30
MAT0000266,PL02,,PL02,40.64,39.3,651.0,25584.3,2024-03-14
MAT0000267,PL01,,PL01,10.0,10.38,659.0,6840.42,2024-03-10
MAT0000268,PL01,,PL01,12.16,11.55,241.0,2783.55,2024-03-05
MAT0000269,PL03,,PL03,28.37,27.24,509.0,13865.16,2024-03-04
MAT0000270,PL01,,PL01,10.0,9.59,247.0,2368.73,2024-03-03
MAT0000271,PL01,,PL01,10.0,9.92,499.0,4950.08,2024-03-17
MAT0000272,PL03,,PL03,13.73,13.38,675.0,9031.5,2024-03-25
MAT0000273,PL01,,PL01,10.0,10.24,103.0,1054.72,2024-03-05
MAT0000274,PL03,,PL03,10.0,9.69,445.0,4312.05,2024-03-09
MAT0000275,PL02,,PL02,55.55,54.45,471.0,25645.95,2024-03-05
MAT0000276,PL01,,PL01,52.53,52.1,371.0,19329.1,2024-03-04
MAT0000277,PL01,,PL01,10.0,10.26,545.0,5591.7,2024-03-07
MAT0000278,PL03,,PL03,14.58,14.02,322.0,4514.44,2024-03-24
MAT0000279,PL02,,PL02,23.97,22.92,536.0,12285.12,2024-03-27
MAT0000280,PL03,,PL03,10.0,9.58,653.0,6255.74,2024-03-14
MAT0000281,PL02,,PL02,10.0,9.58,700.0,6706.0,2024-03-27
MAT0000282,PL01,,PL01,12.93,12.62,334.0,4215.08,2024-03-12
MAT0000283,PL01,,PL01,20.17,20.02,735.0,14714.7,2024-03-02
MAT0000284,PL03,,PL03,10.0,10.02,632.0,6332.64,2024-03-31
MAT0000285,PL03,,PL03,26.53,26.07,357.0,9306.99,2024-03-14
MAT0000286,PL03,,PL03,21.46,20.9,428.0,8945.2,2024-03-30
MAT0000287,PL02,,PL02,15.24,15.14,336.0,5087.04,2024-03-23
MAT0000288,PL03,,PL03,10.0,10.18,595.0,6057.1,2024-03-12
MAT0000289,PL03,,PL03,17.6,17.44,290.0,5057.6,2024-03-14
MAT0000290,PL02,,PL02,28.79,28.37,22.0,624.14,2024-03-02
MAT0000291,PL03,,PL03,16.24,15.56,376.0,5850.56,2024-03-23
MAT0000292,PL01,,PL01,12.16,12.18,925.0,11266.5,2024-03-22
MAT0000293,PL01,,PL01,14.25,13.81,322.0,4446.82,2024-03-04
MAT0000294,PL01,,PL01,24.28,23.09,632.0,14592.88,2024-03-21
MAT0000295,PL01,,PL01,19.22,19.94,436.0,8693.84,2024-03-15
MAT0000296,PL02,,PL02,16.01,16.62,438.0,7279.56,2024-03-04
MAT0000297,PL02,,PL02,15.85,15.6,497.0,7753.2,2024-03-06
MAT0000298,PL03,,PL03,12.55,11.96,371.0,4437.16,2024-03-23
MAT0000299,PL01,,PL01,21.04,20.78,422.0,8769.16,2024-03-03
MAT0000300,PL03,,PL03,13.39,13.64,194.0,2646.16,2024-03-22
MAT0000301,PL01,,PL01,13.77,14.21,321.0,4561.41,2024-03-04
MAT0000302,PL01,,PL01,14.19,14.79,590.0,8726.1,2024-03-05
MAT0000303,PL03,,PL03,23.47,22.72,680.0,15449.6,2024-03-11
MAT0000304,PL03,,PL03,10.0,10.29,300.0,3087.0,2024-03-20
MAT0000305,PL01,,PL01,10.0,9.59,563.0,5399.17,2024-03-31
MAT0000306,PL03,,PL03,10.0,9.61,377.0,3622.97,2024-03-28
MAT0000307,PL02,,PL02,10.0,10.18,486.0,4947.48,2024-03-29
MAT0000308,PL01,,PL01,10.0,10.29,0.0,0.0,2024-03-30
MAT0000309,PL01,,PL01,17.31,17.59,693.0,12189.87,2024-03-01
MAT0000310,PL03,,PL03,10.0,9.51,639.0,6076.89,2024-03-27
MAT0000311,PL03,,PL03,15.98,15.63,83.0,1297.29,2024-03-26
MAT0000312,PL02,,PL02,36.39,36.05,373.0,13446.65,2024-03-02
MAT0000313,PL01,,PL01,22.73,23.21,314.0,7287.94,2024-03-17
MAT0000314,PL03,,PL03,13.58,12.99,527.0,6845.73,2024-03-28
MAT0000315,PL03,,PL03,10.0,9.63,423.0,4073.49,2024-03-27
MAT0000316,PL03,,PL03,14.37,14.16,545.0,7717.2,2024-03-03
MAT0000317,PL02,,PL02,12.21,12.11,661.0,8004.71,2024-03-23
MAT0000318,PL03,,PL03,25.44,26.04,89.0,2317.56,2024-03-05
MAT0000319,PL01,,PL01,91.12,92.99,500.0,46495.0,2024-03-14
MAT0000320,PL03,,PL03,33.06,32.67,146.0,4769.82,2024-03-14
MAT0000321,PL01,,PL01,10.0,10.16,428.0,4348.48,2024-03-05
MAT0000322,PL03,,PL03,10.0,10.19,670.0,6827.3,2024-03-17
MAT0000323,PL03,,PL03,19.96,20.43,262.0,5352.66,2024-03-30
MAT0000324,PL03,,PL03,39.31,38.92,15.0,583.8,2024-03-29
MAT0000325,PL01,,PL01,10.0,9.93,826.0,8202.18,2024-03-10
MAT0000326,PL03,,PL03,24.97,24.94,635.0,15836.9,2024-03-19
MAT0000327,PL02,,PL02,18.65,18.2,321.0,5842.2,2024-03-29
MAT0000328,PL03,,PL03,10.0,10.12,490.0,4958.8,2024-03-27
MAT0000329,PL03,,PL03,12.53,12.08,732.0,8842.56,2024-03-27
MAT0000330,PL03,,PL03,22.88,23.76,548.0,13020.48,2024-03-14
MAT0000331,PL03,,PL03,16.52,16.02,409.0,6552.18,2024-03-26
MAT0000332,PL02,,PL02,10.0,10.09,499.0,5034.91,2024-03-06
MAT0000333,PL01,,PL01,53.98,53.31,847.0,45153.57,2024-03-30
MAT0000334,PL03,,PL03,10.0,10.19,485.0,4942.15,2024-03-30
MAT0000335,PL01,,PL01,15.16,14.61,625.0,9131.25,2024-03-29
MAT0000336,PL03,,PL03,12.51,12.78,427.0,5457.06,2024-03-07
MAT0000337,PL02,,PL02,12.25,12.34,664.0,8193.76,2024-03-20
MAT0000338,PL01,,PL01,10.0,9.74,642.0,6253.08,2024-03-09
MAT0000339,PL01,,PL01,10.0,9.65,542.0,5230.3,2024-03-04
MAT0000340,PL01,,PL01,10.0,9.94,490.0,4870.6,2024-03-04
MAT0000341,PL03,,PL03,10.0,10.06,388.0,3903.28,2024-03-25
MAT0000342,PL03,,PL03,10.0,9.66,329.0,3178.14,2024-03-03
MAT0000343,PL01,,PL01,10.0,10.27,456.0,4683.12,2024-03-15
MAT0000344,PL03,,PL03,10.0,9.58,432.0,4138.56,2024-03-29
MAT0000345,PL03,,PL03,27.53,28.53,0.0,0.0,2024-03-06
MAT0000346,PL02,,PL02,10.0,10.19,298.0,3036.62,2024-03-15
MAT0000347,PL01,,PL01,10.9,10.85,260.0,2821.0,2024-03-11
