asset_movement_id,asset_number,sub_number,company_code,fiscal_year,depreciation_area,posting_date,acquisition_value,ordinary_depreciation_posted,net_book_value,movement_type
59,A00105,0,CO03,2023,1,15-04-2023,0,4682.84,,Depreciation
60,A00108,0,CO03,2023,1,15-04-2023,0,525.74,,Depreciation
61,A00110,0,CO03,2023,1,15-04-2023,0,2488.69,,Depreciation
62,A00111,0,CO02,2023,1,15-04-2023,0,1182.05,,Depreciation
63,A00115,0,CO02,2023,1,15-04-2023,0,2845.34,,Depreciation
64,A00116,0,CO03,2023,1,15-04-2023,0,592.21,,Depreciation
65,A00117,0,CO01,2023,1,15-04-2023,0,651.85,,Depreciation
66,A00120,0,CO02,2023,1,15-04-2023,0,3113.02,,Depreciation
67,A00121,0,CO03,2023,1,15-04-2023,0,3108.68,,Depreciation
68,A00123,0,CO03,2023,1,15-04-2023,0,1857.72,,Depreciation
69,A00124,0,CO03,2023,1,15-04-2023,0,4028.15,,Depreciation
70,A00125,0,CO02,2023,1,15-04-2023,0,4303.94,,Depreciation
71,A00126,0,CO03,2023,1,15-04-2023,0,1569.33,,Depreciation
72,A00128,0,CO01,2023,1,15-04-2023,0,3578.8,,Depreciation
73,A00129,0,CO01,2023,1,15-04-2023,0,505.71,,Depreciation
74,A00130,0,CO02,2023,1,15-04-2023,0,3832.02,,Depreciation
75,A00131,0,CO02,2023,1,15-04-2023,0,4193.14,,Depreciation
76,A00133,0,CO01,2023,1,15-04-2023,0,1143.52,,Depreciation
77,A00142,0,CO01,2023,1,15-04-2023,0,2824.13,,Depreciation
78,A00144,0,CO02,2023,1,15-04-2023,0,2580.81,,Depreciation
79,A00146,0,CO03,2023,1,15-04-2023,0,4947.34,,Depreciation
80,A00147,0,CO01,2023,1,15-04-2023,0,4204.56,,Depreciation
81,A00148,0,CO03,2023,1,15-04-2023,0,4089.74,,Depreciation
82,A00149,0,CO02,2023,1,15-04-2023,0,1601.35,,Depreciation
83,A00151,0,CO01,2023,1,15-04-2023,0,3114.99,,Depreciation
84,A00154,0,CO02,2023,1,15-04-2023,0,2233.7,,Depreciation
85,A00155,0,CO02,2023,1,15-04-2023,0,1005.73,,Depreciation
86,A00158,0,CO03,2023,1,15-04-2023,0,3002.58,,Depreciation
87,A00159,0,CO02,2023,1,15-04-2023,0,2262.53,,Depreciation
88,A00164,0,CO02,2023,1,15-04-2023,0,3767.77,,Depreciation
89,A00179,0,CO03,2023,1,15-04-2023,0,1328.65,,Depreciation
90,A00181,0,CO02,2023,1,15-04-2023,0,4461.59,,Depreciation
91,A00182,0,CO02,2023,1,15-04-2023,0,2349.16,,Depreciation
92,A00185,0,CO02,2023,1,15-04-2023,0,3631.56,,Depreciation
93,A00188,0,CO02,2023,1,15-04-2023,0,2799.16,,Depreciation
94,A00192,0,CO02,2023,1,15-04-2023,0,3990.12,,Depreciation
95,A00195,0,CO01,2023,1,15-04-2023,0,4424.99,,Depreciation
96,A00196,0,CO01,2023,1,15-04-2023,0,1817.32,,Depreciation
97,A00197,0,CO01,2023,1,15-04-2023,0,3662.47,,Depreciation
98,A00199,0,CO02,2023,1,15-04-2023,0,3912.57,,Depreciation
99,A00201,0,CO01,2023,1,15-04-2023,0,4017.8,,Depreciation
100,A00202,0,CO02,2023,1,15-04-2023,0,3143.06,,Depreciation
101,A00203,0,CO03,2023,1,15-04-2023,0,2585.74,,Depreciation
102,A00204,0,CO01,2023,1,15-04-2023,0,2965.87,,Depreciation
103,A00205,0,CO01,2023,1,15-04-2023,0,4560.67,,Depreciation
104,A00207,0,CO01,2023,1,15-04-2023,0,3482.43,,Depreciation
105,A00208,0,CO02,2023,1,15-04-2023,0,1946.06,,Depreciation
106,A00210,0,CO03,2023,1,15-04-2023,0,1364.78,,Depreciation
107,A00211,0,CO03,2023,1,15-04-2023,0,1418.72,,Depreciation
108,A00213,0,CO01,2023,1,15-04-2023,0,1632.76,,Depreciation
109,A00224,0,CO01,2023,1,15-04-2023,0,1725.14,,Depreciation
110,A00225,0,CO01,2023,1,15-04-2023,0,1229.49,,Depreciation
111,A00227,0,CO03,2023,1,15-04-2023,0,3429.08,,Depreciation
112,A00228,0,CO02,2023,1,15-04-2023,0,3570.89,,Depreciation
113,A00229,0,CO02,2023,1,15-04-2023,0,871.85,,Depreciation
114,A00230,0,CO01,2023,1,15-04-2023,0,1227.34,,Depreciation
115,A00231,0,CO03,2023,1,15-04-2023,0,2885.8,,Depreciation
116,A00233,0,CO01,2023,1,15-04-2023,0,378.71,,Depreciation
117,A00234,0,CO03,2023,1,15-04-2023,0,3911.56,,Depreciation
118,A00235,0,CO02,2023,1,15-04-2023,0,351.92,,Depreciation
119,A00236,0,CO01,2023,1,15-04-2023,0,1478.71,,Depreciation
120,A00239,0,CO02,2023,1,15-04-2023,0,1343.87,,Depreciation
121,A00241,0,CO02,2023,1,15-04-2023,0,3997.29,,Depreciation
122,A00243,0,CO01,2023,1,15-04-2023,0,1196.44,,Depreciation
123,A00244,0,CO02,2023,1,15-04-2023,0,4847.4,,Depreciation
124,A00246,0,CO03,2023,1,15-04-2023,0,4785.38,,Depreciation
125,A00247,0,CO02,2023,1,15-04-2023,0,302.43,,Depreciation
126,A00248,0,CO01,2023,1,15-04-2023,0,1932.15,,Depreciation
127,A00249,0,CO03,2023,1,15-04-2023,0,113.49,,Depreciation
128,A00252,0,CO01,2023,1,15-04-2023,0,226.58,,Depreciation
129,A00257,0,CO02,2023,1,15-04-2023,0,3062.66,,Depreciation
130,A00258,0,CO01,2023,1,15-04-2023,0,1422.19,,Depreciation
131,A00259,0,CO02,2023,1,15-04-2023,0,3167.96,,Depreciation
132,A00260,0,CO01,2023,1,15-04-2023,0,4774.5,,Depreciation
133,A00261,0,CO03,2023,1,15-04-2023,0,3278.7,,Depreciation
134,A00262,0,CO01,2023,1,15-04-2023,0,382.91,,Depreciation
135,A00263,0,CO03,2023,1,15-04-2023,0,2633.56,,Depreciation
136,A00264,0,CO02,2023,1,15-04-2023,0,4382.6,,Depreciation
137,A00265,0,CO01,2023,1,15-04-2023,0,267.71,,Depreciation
138,A00267,0,CO01,2023,1,15-04-2023,0,1110.87,,Depreciation
139,A00268,0,CO02,2023,1,15-04-2023,0,2919.97,,Depreciation
140,A00269,0,CO02,2023,1,15-04-2023,0,4031.87,,Depreciation
141,A00270,0,CO01,2023,1,15-04-2023,0,2206.4,,Depreciation
142,A00271,0,CO01,2023,1,15-04-2023,0,1309.31,,Depreciation
143,A00273,0,CO03,2023,1,15-04-2023,0,3949.67,,Depreciation
144,A00277,0,CO01,2023,1,15-04-2023,0,3243.78,,Depreciation
145,A00279,0,CO02,2023,1,15-04-2023,0,1056.29,,Depreciation
146,A00282,0,CO02,2023,1,15-04-2023,0,1112.71,,Depreciation
147,A00285,0,CO02,2023,1,15-04-2023,0,4870.89,,Depreciation
148,A00286,0,CO02,2023,1,15-04-2023,0,870.78,,Depreciation
149,A00287,0,CO03,2023,1,15-04-2023,0,3952.46,,Depreciation
150,A00288,0,CO02,2023,1,15-04-2023,0,4666.34,,Depreciation
151,A00291,0,CO01,2023,1,15-04-2023,0,523.15,,Depreciation
152,A00295,0,CO01,2023,1,15-04-2023,0,2661.41,,Depreciation
153,A00297,0,CO02,2023,1,15-04-2023,0,2710.3,,Depreciation
154,A00298,0,CO01,2023,1,15-04-2023,0,186.05,,Depreciation
155,A00299,0,CO03,2023,1,15-04-2023,0,204.7,,Depreciation
156,A00302,0,CO03,2023,1,15-04-2023,0,2318.15,,Depreciation
157,A00303,0,CO03,2023,1,15-04-2023,0,3953.09,,Depreciation
158,A00304,0,CO01,2023,1,15-04-2023,0,2399.46,,Depreciation
159,A00305,0,CO03,2023,1,15-04-2023,0,3062.2,,Depreciation
160,A00309,0,CO02,2023,1,15-04-2023,0,2606.09,,Depreciation
161,A00310,0,CO01,2023,1,15-04-2023,0,2283.38,,Depreciation
162,A00312,0,CO02,2023,1,15-04-2023,0,3879.46,,Depreciation
163,A00313,0,CO01,2023,1,15-04-2023,0,1824.86,,Depreciation
164,A00316,0,CO02,2023,1,15-04-2023,0,1917.27,,Depreciation
165,A00317,0,CO01,2023,1,15-04-2023,0,1976.78,,Depreciation
166,A00319,0,CO03,2023,1,15-04-2023,0,3509.83,,Depreciation
167,A00321,0,CO02,2023,1,15-04-2023,0,2254.24,,Depreciation
168,A00322,0,CO03,2023,1,15-04-2023,0,2845.15,,Depreciation
169,A00326,0,CO01,2023,1,15-04-2023,0,4557.53,,Depreciation
170,A00328,0,CO01,2023,1,15-04-2023,0,737.41,,Depreciation
171,A00329,0,CO02,2023,1,15-04-2023,0,2226.95,,Depreciation
172,A00330,0,CO02,2023,1,15-04-2023,0,2699.64,,Depreciation
173,A00331,0,CO01,2023,1,15-04-2023,0,2588.71,,Depreciation
174,A00332,0,CO03,2023,1,15-04-2023,0,2753.61,,Depreciation
175,A00333,0,CO03,2023,1,15-04-2023,0,4629.34,,Depreciation
176,A00334,0,CO03,2023,1,15-04-2023,0,1450.59,,Depreciation
177,A00339,0,CO01,2023,1,15-04-2023,0,3901.52,,Depreciation
178,A00342,0,CO02,2023,1,15-04-2023,0,1624.3,,Depreciation
179,A00344,0,CO03,2023,1,15-04-2023,0,525.87,,Depreciation
180,A00348,0,CO02,2023,1,15-04-2023,0,4118.07,,Depreciation
181,A00350,0,CO03,2023,1,15-04-2023,0,4649.48,,Depreciation
182,A00351,0,CO01,2023,1,15-04-2023,0,4746.57,,Depreciation
183,A00352,0,CO03,2023,1,15-04-2023,0,4368.88,,Depreciation
184,A00355,0,CO01,2023,1,15-04-2023,0,3721.93,,Depreciation
185,A00357,0,CO01,2023,1,15-04-2023,0,2978.76,,Depreciation
186,A00358,0,CO03,2023,1,15-04-2023,0,4262.12,,Depreciation
187,A00359,0,CO01,2023,1,15-04-2023,0,2033.87,,Depreciation
188,A00360,0,CO02,2023,1,15-04-2023,0,3298.67,,Depreciation
189,A00362,0,CO03,2023,1,15-04-2023,0,3904.16,,Depreciation
190,A00363,0,CO03,2023,1,15-04-2023,0,3447.97,,Depreciation
191,A00364,0,CO02,2023,1,15-04-2023,0,1829.59,,Depreciation
192,A00367,0,CO02,2023,1,15-04-2023,0,276.13,,Depreciation
193,A00370,0,CO03,2023,1,15-04-2023,0,2048.67,,Depreciation
194,A00375,0,CO03,2023,1,15-04-2023,0,2874.04,,Depreciation
195,A00378,0,CO02,2023,1,15-04-2023,0,2555.83,,Depreciation
196,A00380,0,CO03,2023,1,15-04-2023,0,3227.37,,Depreciation
197,A00384,0,CO03,2023,1,15-04-2023,0,4190.05,,Depreciation
198,A00385,0,CO01,2023,1,15-04-2023,0,3960.03,,Depreciation
199,A00386,0,CO01,2023,1,15-04-2023,0,2209.36,,Depreciation
200,A00387,0,CO02,2023,1,15-04-2023,0,4420.5,,Depreciation
201,A00388,0,CO01,2023,1,15-04-2023,0,1505.27,,Depreciation
202,A00389,0,CO02,2023,1,15-04-2023,0,4097.19,,Depreciation
203,A00390,0,CO01,2023,1,15-04-2023,0,434.14,,Depreciation
204,A00392,0,CO02,2023,1,15-04-2023,0,138.81,,Depreciation
205,A00394,0,CO03,2023,1,15-04-2023,0,4332.89,,Depreciation
206,A00395,0,CO03,2023,1,15-04-2023,0,4875.31,,Depreciation
207,A00396,0,CO03,2023,1,15-04-2023,0,1752.54,,Depreciation
208,A00397,0,CO03,2023,1,15-04-2023,0,1726.15,,Depreciation
209,A00399,0,CO01,2023,1,15-04-2023,0,1967.94,,Depreciation
210,A00400,0,CO01,2023,1,15-04-2023,0,3351.72,,Depreciation
211,A00401,0,CO03,2023,1,15-04-2023,0,2862.63,,Depreciation
212,A00402,0,CO02,2023,1,15-04-2023,0,1961.71,,Depreciation
213,A00403,0,CO03,2023,1,15-04-2023,0,3766.39,,Depreciation
214,A00405,0,CO01,2023,1,15-04-2023,0,1568.18,,Depreciation
215,A00406,0,CO03,2023,1,15-04-2023,0,4029.33,,Depreciation
216,A00408,0,CO02,2023,1,15-04-2023,0,2188.62,,Depreciation
217,A00409,0,CO01,2023,1,15-04-2023,0,2836.46,,Depreciation
218,A00410,0,CO03,2023,1,15-04-2023,0,3530.42,,Depreciation
219,A00414,0,CO02,2023,1,15-04-2023,0,2717.57,,Depreciation
220,A00415,0,CO03,2023,1,15-04-2023,0,3356.93,,Depreciation
221,A00416,0,CO02,2023,1,15-04-2023,0,4749.62,,Depreciation
222,A00421,0,CO01,2023,1,15-04-2023,0,4857.64,,Depreciation
223,A00422,0,CO01,2023,1,15-04-2023,0,2754.46,,Depreciation
224,A00425,0,CO01,2023,1,15-04-2023,0,3797.56,,Depreciation
225,A00429,0,CO01,2023,1,15-04-2023,0,1560.21,,Depreciation
226,A00431,0,CO03,2023,1,15-04-2023,0,2152.48,,Depreciation
227,A00432,0,CO03,2023,1,15-04-2023,0,3258.19,,Depreciation
228,A00433,0,CO01,2023,1,15-04-2023,0,4206.47,,Depreciation
229,A00434,0,CO03,2023,1,15-04-2023,0,4084.97,,Depreciation
230,A00435,0,CO01,2023,1,15-04-2023,0,3624.15,,Depreciation
231,A00437,0,CO02,2023,1,15-04-2023,0,1606.35,,Depreciation
232,A00439,0,CO03,2023,1,15-04-2023,0,4154.6,,Depreciation
233,A00440,0,CO01,2023,1,15-04-2023,0,2470.74,,Depreciation
234,A00441,0,CO03,2023,1,15-04-2023,0,130.33,,Depreciation
235,A00442,0,CO02,2023,1,15-04-2023,0,1532.17,,Depreciation
236,A00443,0,CO01,2023,1,15-04-2023,0,1497.6,,Depreciation
237,A00449,0,CO02,2023,1,15-04-2023,0,3702.45,,Depreciation
238,A00451,0,CO01,2023,1,15-04-2023,0,1649.81,,Depreciation
239,A00452,0,CO03,2023,1,15-04-2023,0,2989.62,,Depreciation
240,A00453,0,CO01,2023,1,15-04-2023,0,1189.4,,Depreciation
241,A00457,0,CO02,2023,1,15-04-2023,0,258.49,,Depreciation
242,A00460,0,CO02,2023,1,15-04-2023,0,4867.93,,Depreciation
243,A00462,0,CO02,2023,1,15-04-2023,0,433.06,,Depreciation
244,A00468,0,CO03,2023,1,15-04-2023,0,1864.63,,Depreciation
245,A00469,0,CO03,2023,1,15-04-2023,0,2959.55,,Depreciation
246,A00470,0,CO03,2023,1,15-04-2023,0,1101.93,,Depreciation
247,A00471,0,CO02,2023,1,15-04-2023,0,1825.79,,Depreciation
248,A00473,0,CO03,2023,1,15-04-2023,0,1362.84,,Depreciation
249,A00477,0,CO03,2023,1,15-04-2023,0,3357,,Depreciation
250,A00478,0,CO03,2023,1,15-04-2023,0,1044.06,,Depreciation
251,A00479,0,CO01,2023,1,15-04-2023,0,3394.55,,Depreciation
252,A00480,0,CO02,2023,1,15-04-2023,0,545.2,,Depreciation
253,A00484,0,CO01,2023,1,15-04-2023,0,3106.9,,Depreciation
254,A00485,0,CO03,2023,1,15-04-2023,0,1464.36,,Depreciation
255,A00486,0,CO02,2023,1,15-04-2023,0,4537.46,,Depreciation
256,A00487,0,CO01,2023,1,15-04-2023,0,243.92,,Depreciation
257,A00488,0,CO02,2023,1,15-04-2023,0,984.4,,Depreciation
258,A00489,0,CO01,2023,1,15-04-2023,0,3800.88,,Depreciation
259,A00491,0,CO02,2023,1,15-04-2023,0,3181.35,,Depreciation
260,A00492,0,CO03,2023,1,15-04-2023,0,2363.94,,Depreciation
261,A00493,0,CO01,2023,1,15-04-2023,0,3741.83,,Depreciation
262,A00495,0,CO03,2023,1,15-04-2023,0,3069.35,,Depreciation
263,A00496,0,CO02,2023,1,15-04-2023,0,2491.88,,Depreciation
264,A00497,0,CO02,2023,1,15-04-2023,0,1093.3,,Depreciation
265,A00499,0,CO02,2023,1,15-04-2023,0,1598.14,,Depreciation
266,A00501,0,CO03,2023,1,15-04-2023,0,4738.55,,Depreciation
267,A00502,0,CO03,2023,1,15-04-2023,0,2936.91,,Depreciation
268,A00503,0,CO01,2023,1,15-04-2023,0,4854.44,,Depreciation
269,A00504,0,CO02,2023,1,15-04-2023,0,2182.13,,Depreciation
270,A00505,0,CO01,2023,1,15-04-2023,0,211.82,,Depreciation
271,A00507,0,CO02,2023,1,15-04-2023,0,3186.76,,Depreciation
272,A00508,0,CO01,2023,1,15-04-2023,0,1982.67,,Depreciation
273,A00510,0,CO01,2023,1,15-04-2023,0,3068.1,,Depreciation
274,A00511,0,CO03,2023,1,15-04-2023,0,2613.97,,Depreciation
275,A00512,0,CO03,2023,1,15-04-2023,0,3410.42,,Depreciation
276,A00513,0,CO02,2023,1,15-04-2023,0,4952.66,,Depreciation
277,A00515,0,CO02,2023,1,15-04-2023,0,712.28,,Depreciation
278,A00518,0,CO03,2023,1,15-04-2023,0,1441.61,,Depreciation
279,A00520,0,CO03,2023,1,15-04-2023,0,4928.67,,Depreciation
280,A00521,0,CO01,2023,1,15-04-2023,0,1506.4,,Depreciation
281,A00522,0,CO02,2023,1,15-04-2023,0,2326.28,,Depreciation
282,A00524,0,CO02,2023,1,15-04-2023,0,3486.86,,Depreciation
283,A00525,0,CO01,2023,1,15-04-2023,0,3633.54,,Depreciation
284,A00528,0,CO01,2023,1,15-04-2023,0,213.3,,Depreciation
285,A00531,0,CO03,2023,1,15-04-2023,0,2398.48,,Depreciation
286,A00532,0,CO01,2023,1,15-04-2023,0,2984.03,,Depreciation
287,A00533,0,CO01,2023,1,15-04-2023,0,1712.57,,Depreciation
288,A00535,0,CO01,2023,1,15-04-2023,0,3949.69,,Depreciation
289,A00536,0,CO03,2023,1,15-04-2023,0,3921.98,,Depreciation
290,A00537,0,CO01,2023,1,15-04-2023,0,1641.18,,Depreciation
291,A00539,0,CO01,2023,1,15-04-2023,0,645.39,,Depreciation
292,A00540,0,CO01,2023,1,15-04-2023,0,3446.21,,Depreciation
293,A00541,0,CO03,2023,1,15-04-2023,0,1360.04,,Depreciation
294,A00542,0,CO01,2023,1,15-04-2023,0,2440.31,,Depreciation
295,A00543,0,CO02,2023,1,15-04-2023,0,2258.6,,Depreciation
296,A00547,0,CO03,2023,1,15-04-2023,0,4587.48,,Depreciation
297,A00548,0,CO02,2023,1,15-04-2023,0,4004.61,,Depreciation
298,A00549,0,CO01,2023,1,15-04-2023,0,1636.6,,Depreciation
299,A00550,0,CO02,2023,1,15-04-2023,0,630,,Depreciation
300,A00552,0,CO02,2023,1,15-04-2023,0,1584.94,,Depreciation
301,A00553,0,CO02,2023,1,15-04-2023,0,3670.71,,Depreciation
302,A00554,0,CO02,2023,1,15-04-2023,0,4837.74,,Depreciation
303,A00556,0,CO02,2023,1,15-04-2023,0,293.65,,Depreciation
304,A00557,0,CO03,2023,1,15-04-2023,0,1256.6,,Depreciation
305,A00558,0,CO02,2023,1,15-04-2023,0,2624.95,,Depreciation
306,A00559,0,CO03,2023,1,15-04-2023,0,2590.47,,Depreciation
307,A00563,0,CO03,2023,1,15-04-2023,0,1738.58,,Depreciation
308,A00564,0,CO01,2023,1,15-04-2023,0,3299.76,,Depreciation
309,A00566,0,CO03,2023,1,15-04-2023,0,3262.49,,Depreciation
310,A00567,0,CO03,2023,1,15-04-2023,0,556.99,,Depreciation
311,A00568,0,CO01,2023,1,15-04-2023,0,4696.83,,Depreciation
312,A00569,0,CO03,2023,1,15-04-2023,0,202.01,,Depreciation
313,A00570,0,CO02,2023,1,15-04-2023,0,3224.09,,Depreciation
314,A00572,0,CO02,2023,1,15-04-2023,0,3472.49,,Depreciation
315,A00573,0,CO02,2023,1,15-04-2023,0,4476.95,,Depreciation
316,A00575,0,CO03,2023,1,15-04-2023,0,997.46,,Depreciation
317,A00581,0,CO02,2023,1,15-04-2023,0,1515.73,,Depreciation
318,A00583,0,CO03,2023,1,15-04-2023,0,4352.23,,Depreciation
319,A00587,0,CO01,2023,1,15-04-2023,0,2644.8,,Depreciation
320,A00593,0,CO03,2023,1,15-04-2023,0,3152.54,,Depreciation
321,A00594,0,CO02,2023,1,15-04-2023,0,2649.66,,Depreciation
322,A00595,0,CO02,2023,1,15-04-2023,0,3229.84,,Depreciation
323,A00596,0,CO02,2023,1,15-04-2023,0,1856.75,,Depreciation
324,A00598,0,CO02,2023,1,15-04-2023,0,2209.07,,Depreciation
325,A00603,0,CO03,2023,1,15-04-2023,0,515.71,,Depreciation
326,A00607,0,CO01,2023,1,15-04-2023,0,3766.55,,Depreciation
327,A00608,0,CO01,2023,1,15-04-2023,0,183.31,,Depreciation
328,A00609,0,CO01,2023,1,15-04-2023,0,375.6,,Depreciation
329,A00614,0,CO01,2023,1,15-04-2023,0,1691.75,,Depreciation
330,A00615,0,CO03,2023,1,15-04-2023,0,2028.46,,Depreciation
331,A00616,0,CO03,2023,1,15-04-2023,0,4412.16,,Depreciation
332,A00621,0,CO02,2023,1,15-04-2023,0,4605.12,,Depreciation
333,A00623,0,CO03,2023,1,15-04-2023,0,4617.17,,Depreciation
334,A00625,0,CO02,2023,1,15-04-2023,0,2107.12,,Depreciation
335,A00626,0,CO03,2023,1,15-04-2023,0,2839.6,,Depreciation
336,A00627,0,CO01,2023,1,15-04-2023,0,4839.17,,Depreciation
337,A00628,0,CO01,2023,1,15-04-2023,0,1241.14,,Depreciation
338,A00631,0,CO01,2023,1,15-04-2023,0,1767.4,,Depreciation
339,A00632,0,CO01,2023,1,15-04-2023,0,3373.37,,Depreciation
340,A00636,0,CO01,2023,1,15-04-2023,0,1148.04,,Depreciation
341,A00637,0,CO02,2023,1,15-04-2023,0,3561.72,,Depreciation
342,A00638,0,CO03,2023,1,15-04-2023,0,270.98,,Depreciation
343,A00639,0,CO02,2023,1,15-04-2023,0,4681.57,,Depreciation
344,A00640,0,CO03,2023,1,15-04-2023,0,4351.84,,Depreciation
345,A00641,0,CO02,2023,1,15-04-2023,0,2729.64,,Depreciation
346,A00642,0,CO01,2023,1,15-04-2023,0,1680.64,,Depreciation
347,A00643,0,CO03,2023,1,15-04-2023,0,123.47,,Depreciation
348,A00644,0,CO02,2023,1,15-04-2023,0,4625.65,,Depreciation
349,A00645,0,CO02,2023,1,15-04-2023,0,454.43,,Depreciation
350,A00646,0,CO03,2023,1,15-04-2023,0,4925.29,,Depreciation
351,A00647,0,CO01,2023,1,15-04-2023,0,3854.55,,Depreciation
352,A00648,0,CO02,2023,1,15-04-2023,0,3400.68,,Depreciation
353,A00649,0,CO01,2023,1,15-04-2023,0,227.36,,Depreciation
354,A00651,0,CO03,2023,1,15-04-2023,0,4077.43,,Depreciation
355,A00653,0,CO03,2023,1,15-04-2023,0,177.61,,Depreciation
356,A00655,0,CO03,2023,1,15-04-2023,0,2128.87,,Depreciation
357,A00656,0,CO03,2023,1,15-04-2023,0,2519.43,,Depreciation
358,A00657,0,CO01,2023,1,15-04-2023,0,3688.46,,Depreciation
359,A00658,0,CO03,2023,1,15-04-2023,0,3612.12,,Depreciation
360,A00662,0,CO03,2023,1,15-04-2023,0,1336.47,,Depreciation
361,A00665,0,CO02,2023,1,15-04-2023,0,1848.31,,Depreciation
362,A00667,0,CO03,2023,1,15-04-2023,0,3538.72,,Depreciation
363,A00668,0,CO01,2023,1,15-04-2023,0,4363.35,,Depreciation
364,A00670,0,CO01,2023,1,15-04-2023,0,4670.18,,Depreciation
365,A00672,0,CO02,2023,1,15-04-2023,0,4504.17,,Depreciation
366,A00678,0,CO01,2023,1,15-04-2023,0,1720.21,,Depreciation
