ap_item_id,document_number,company_code,fiscal_year,line_item,vendor_number,posting_date,clearing_date,due_date,amount_local,currency,debit_credit_indicator,is_open
64,AP00000064,CO01,2023,1,VEND00834,05-04-2023,14-04-2023,30-05-2023,11913.3,USD,H,FALSE
65,AP00000065,CO03,2023,1,VEND00831,05-04-2023,31-05-2023,26-05-2023,19238.84,USD,H,FALSE
66,AP00000066,CO01,2023,1,VEND01279,05-04-2023,13-04-2023,29-05-2023,18488.45,USD,H,FALSE
67,AP00000067,CO01,2023,1,VEND00437,05-04-2023,09-06-2023,01-06-2023,19892.19,USD,H,FALSE
68,AP00000068,CO01,2023,1,VEND00235,05-04-2023,10-04-2023,19-05-2023,14453.29,USD,H,FALSE
69,AP00000069,CO03,2023,1,VEND01326,05-04-2023,29-04-2023,29-05-2023,12486.47,USD,H,FALSE
70,AP00000070,CO02,2023,1,VEND00114,05-04-2023,01-06-2023,28-05-2023,10888.28,USD,H,FALSE
71,AP00000071,CO01,2023,1,VEND00837,05-04-2023,04-05-2023,01-06-2023,3080.86,USD,H,FALSE
72,AP00000072,CO03,2023,1,VEND01145,05-04-2023,08-06-2023,31-05-2023,5884.91,USD,H,FALSE
73,AP00000073,CO03,2023,1,VEND00719,05-04-2023,10-04-2023,05-06-2023,4137.22,USD,H,FALSE
74,AP00000074,CO03,2023,1,VEND01069,05-04-2023,30-05-2023,27-05-2023,11375.89,USD,H,FALSE
75,AP00000075,CO01,2023,1,VEND01208,05-04-2023,18-04-2023,14-05-2023,8045.8,USD,H,FALSE
76,AP00000076,CO01,2023,1,VEND00671,05-04-2023,17-04-2023,25-05-2023,3379.44,USD,H,FALSE
77,AP00000077,CO03,2023,1,VEND00757,05-04-2023,26-04-2023,01-06-2023,11580.1,USD,H,FALSE
78,AP00000078,CO02,2023,1,VEND00375,05-04-2023,19-04-2023,31-05-2023,13033.3,USD,H,FALSE
79,AP00000079,CO03,2023,1,VEND00432,05-04-2023,02-05-2023,29-05-2023,9742.92,USD,H,FALSE
80,AP00000080,CO03,2023,1,VEND00877,05-04-2023,18-04-2023,30-05-2023,5947.41,USD,H,FALSE
81,AP00000081,CO01,2023,1,VEND00106,06-04-2023,29-04-2023,09-06-2023,7526,USD,H,FALSE
82,AP00000082,CO03,2023,1,VEND01453,06-04-2023,24-04-2023,31-05-2023,12741.28,USD,H,FALSE
83,AP00000083,CO03,2023,1,VEND00027,06-04-2023,16-04-2023,02-06-2023,9940.07,USD,H,FALSE
84,AP00000084,CO03,2023,1,VEND01068,06-04-2023,19-04-2023,27-05-2023,4740.17,USD,H,FALSE
85,AP00000085,CO01,2023,1,VEND00249,06-04-2023,06-05-2023,04-06-2023,6248.74,USD,H,FALSE
86,AP00000086,CO01,2023,1,VEND00127,06-04-2023,22-04-2023,03-06-2023,8626.29,USD,H,FALSE
87,AP00000087,CO01,2023,1,VEND00542,06-04-2023,11-06-2023,05-06-2023,5561.25,USD,H,FALSE
88,AP00000088,CO01,2023,1,VEND00403,06-04-2023,19-04-2023,24-05-2023,5608.29,USD,H,FALSE
89,AP00000089,CO03,2023,1,VEND00201,06-04-2023,03-06-2023,25-05-2023,19709.62,USD,H,FALSE
90,AP00000090,CO01,2023,1,VEND00176,06-04-2023,21-04-2023,01-06-2023,3241.72,USD,H,FALSE
91,AP00000091,CO03,2023,1,VEND00961,06-04-2023,15-04-2023,26-05-2023,14234.15,USD,H,FALSE
92,AP00000092,CO02,2023,1,VEND01380,06-04-2023,13-04-2023,22-05-2023,18676.42,USD,H,FALSE
93,AP00000093,CO02,2023,1,VEND00955,06-04-2023,24-04-2023,04-06-2023,11877.76,USD,H,FALSE
94,AP00000094,CO02,2023,1,VEND01463,06-04-2023,11-04-2023,24-05-2023,17453.89,USD,H,FALSE
95,AP00000095,CO02,2023,1,VEND01215,06-04-2023,19-04-2023,04-06-2023,4451.89,USD,H,FALSE
96,AP00000096,CO03,2023,1,VEND01261,06-04-2023,03-06-2023,25-05-2023,15875.87,USD,H,FALSE
97,AP00000097,CO01,2023,1,VEND00997,06-04-2023,27-04-2023,29-05-2023,12524.69,USD,H,FALSE
98,AP00000098,CO02,2023,1,VEND00276,06-04-2023,26-04-2023,30-05-2023,380.86,USD,H,FALSE
99,AP00000099,CO03,2023,1,VEND00552,06-04-2023,25-04-2023,25-05-2023,12102.23,USD,H,FALSE
100,AP00000100,CO03,2023,1,VEND00144,07-04-2023,,03-06-2023,13318.12,USD,H,TRUE
101,AP00000101,CO02,2023,1,VEND01171,07-04-2023,26-04-2023,09-06-2023,17983,USD,H,FALSE
102,AP00000102,CO03,2023,1,VEND00957,07-04-2023,17-04-2023,30-05-2023,8080.26,USD,H,FALSE
103,AP00000103,CO03,2023,1,VEND00136,07-04-2023,13-04-2023,06-06-2023,224.83,USD,H,FALSE
104,AP00000104,CO01,2023,1,VEND01155,07-04-2023,29-04-2023,08-06-2023,16588.38,USD,H,FALSE
105,AP00000105,CO01,2023,1,VEND00548,07-04-2023,28-04-2023,30-05-2023,4868.44,USD,H,FALSE
106,AP00000106,CO03,2023,1,VEND00217,07-04-2023,07-05-2023,04-06-2023,5918.61,USD,H,FALSE
107,AP00000107,CO03,2023,1,VEND01292,07-04-2023,20-04-2023,05-06-2023,11369.19,USD,H,FALSE
108,AP00000108,CO02,2023,1,VEND01328,07-04-2023,27-04-2023,24-05-2023,14511.77,USD,H,FALSE
109,AP00000109,CO02,2023,1,VEND00033,07-04-2023,07-06-2023,31-05-2023,11751.49,USD,H,FALSE
110,AP00000110,CO01,2023,1,VEND00790,07-04-2023,05-05-2023,02-06-2023,10389.59,USD,H,FALSE
111,AP00000111,CO03,2023,1,VEND00168,07-04-2023,21-04-2023,31-05-2023,899.43,USD,H,FALSE
112,AP00000112,CO01,2023,1,VEND00522,07-04-2023,,07-06-2023,16621.85,USD,H,TRUE
113,AP00000113,CO03,2023,1,VEND01432,07-04-2023,29-04-2023,02-06-2023,17442.75,USD,H,FALSE
114,AP00000114,CO03,2023,1,VEND01213,07-04-2023,05-05-2023,02-06-2023,13191.51,USD,H,FALSE
115,AP00000115,CO01,2023,1,VEND00516,07-04-2023,26-04-2023,03-06-2023,10744.5,USD,H,FALSE
116,AP00000116,CO03,2023,1,VEND00754,07-04-2023,14-04-2023,06-06-2023,5163.95,USD,H,FALSE
117,AP00000117,CO02,2023,1,VEND00927,07-04-2023,29-04-2023,31-05-2023,16906.91,USD,H,FALSE
118,AP00000118,CO01,2023,1,VEND00628,07-04-2023,16-04-2023,28-05-2023,5784.08,USD,H,FALSE
119,AP00000119,CO03,2023,1,VEND00821,07-04-2023,02-05-2023,09-06-2023,17515.74,USD,H,FALSE
120,AP00000120,CO01,2023,1,VEND00177,07-04-2023,15-04-2023,02-06-2023,11563.47,USD,H,FALSE
121,AP00000121,CO01,2023,1,VEND01298,07-04-2023,28-04-2023,28-05-2023,14984.85,USD,H,FALSE
122,AP00000122,CO03,2023,1,VEND00822,07-04-2023,26-04-2023,06-06-2023,4324.28,USD,H,FALSE
123,AP00000123,CO02,2023,1,VEND01008,07-04-2023,08-06-2023,30-05-2023,16745.68,USD,H,FALSE
124,AP00000124,CO01,2023,1,VEND01065,07-04-2023,07-05-2023,31-05-2023,15458.13,USD,H,FALSE
125,AP00000125,CO02,2023,1,VEND01358,07-04-2023,06-06-2023,30-05-2023,14126.62,USD,H,FALSE
126,AP00000126,CO02,2023,1,VEND00722,07-04-2023,16-04-2023,31-05-2023,8816.91,USD,H,FALSE
127,AP00000127,CO03,2023,1,VEND01495,07-04-2023,12-04-2023,28-05-2023,320.08,USD,H,FALSE
128,AP00000128,CO03,2023,1,VEND00603,08-04-2023,21-04-2023,06-06-2023,18495.74,USD,H,FALSE
129,AP00000129,CO02,2023,1,VEND00051,08-04-2023,02-06-2023,30-05-2023,144.68,USD,H,FALSE
130,AP00000130,CO02,2023,1,VEND01136,08-04-2023,13-04-2023,03-06-2023,9527.86,USD,H,FALSE
131,AP00000131,CO01,2023,1,VEND01457,08-04-2023,,07-06-2023,2357.34,USD,H,TRUE
132,AP00000132,CO01,2023,1,VEND00933,08-04-2023,21-04-2023,03-06-2023,19762.09,USD,H,FALSE
133,AP00000133,CO01,2023,1,VEND01032,09-04-2023,16-04-2023,27-05-2023,13062.6,USD,H,FALSE
134,AP00000134,CO02,2023,1,VEND00478,09-04-2023,09-05-2023,30-05-2023,7433.86,USD,H,FALSE
135,AP00000135,CO02,2023,1,VEND00713,09-04-2023,02-05-2023,07-06-2023,8106.95,USD,H,FALSE
136,AP00000136,CO01,2023,1,VEND00501,09-04-2023,20-04-2023,02-06-2023,169.42,USD,H,FALSE
137,AP00000137,CO02,2023,1,VEND01207,10-04-2023,03-05-2023,03-06-2023,3620.54,USD,H,FALSE
138,AP00000138,CO02,2023,1,VEND00197,10-04-2023,19-04-2023,31-05-2023,10716.1,USD,H,FALSE
139,AP00000139,CO03,2023,1,VEND00809,10-04-2023,09-06-2023,01-06-2023,15251.97,USD,H,FALSE
140,AP00000140,CO01,2023,1,VEND01435,10-04-2023,03-05-2023,03-06-2023,15672.63,USD,H,FALSE
141,AP00000141,CO01,2023,1,VEND01496,10-04-2023,29-04-2023,31-05-2023,11146.71,USD,H,FALSE
142,AP00000142,CO03,2023,1,VEND00733,10-04-2023,24-04-2023,03-06-2023,8737.34,USD,H,FALSE
143,AP00000143,CO03,2023,1,VEND00501,10-04-2023,29-04-2023,10-06-2023,6244.7,USD,H,FALSE
144,AP00000144,CO02,2023,1,VEND00732,10-04-2023,24-04-2023,28-05-2023,18457.31,USD,H,FALSE
145,AP00000145,CO01,2023,1,VEND01380,10-04-2023,05-06-2023,04-06-2023,14720.01,USD,H,FALSE
146,AP00000146,CO03,2023,1,VEND00479,10-04-2023,27-04-2023,03-06-2023,18947.63,USD,H,FALSE
147,AP00000147,CO03,2023,1,VEND00226,10-04-2023,01-05-2023,03-06-2023,13679.89,USD,H,FALSE
148,AP00000148,CO01,2023,1,VEND00384,10-04-2023,03-05-2023,31-05-2023,1779.7,USD,H,FALSE
149,AP00000149,CO02,2023,1,VEND01247,10-04-2023,04-05-2023,01-06-2023,3601.41,USD,H,FALSE
150,AP00000150,CO01,2023,1,VEND00774,10-04-2023,28-04-2023,03-06-2023,7813.68,USD,H,FALSE
151,AP00000151,CO03,2023,1,VEND00396,10-04-2023,29-04-2023,07-06-2023,16797.79,USD,H,FALSE
152,AP00000152,CO03,2023,1,VEND01306,10-04-2023,01-05-2023,05-06-2023,8238.43,USD,H,FALSE
153,AP00000153,CO02,2023,1,VEND01328,10-04-2023,02-05-2023,06-06-2023,10292.24,USD,H,FALSE
154,AP00000154,CO03,2023,1,VEND00508,10-04-2023,04-05-2023,11-06-2023,9814.91,USD,H,FALSE
155,AP00000155,CO01,2023,1,VEND01457,10-04-2023,10-06-2023,07-06-2023,19899.07,USD,H,FALSE
156,AP00000156,CO03,2023,1,VEND00204,10-04-2023,28-04-2023,03-06-2023,4646.65,USD,H,FALSE
157,AP00000157,CO01,2023,1,VEND00400,10-04-2023,21-06-2023,20-06-2023,17631.67,USD,H,FALSE
158,AP00000158,CO01,2023,1,VEND00225,11-04-2023,10-06-2023,05-06-2023,754.58,USD,H,FALSE
159,AP00000159,CO02,2023,1,VEND00977,11-04-2023,09-06-2023,03-06-2023,17833.98,USD,H,FALSE
160,AP00000160,CO01,2023,1,VEND00513,11-04-2023,03-06-2023,30-05-2023,7917.95,USD,H,FALSE
161,AP00000161,CO01,2023,1,VEND00142,11-04-2023,09-05-2023,12-06-2023,10267.52,USD,H,FALSE
162,AP00000162,CO03,2023,1,VEND00216,11-04-2023,,02-06-2023,4531,USD,H,TRUE
163,AP00000163,CO01,2023,1,VEND00576,11-04-2023,21-04-2023,02-06-2023,2107.68,USD,H,FALSE
164,AP00000164,CO02,2023,1,VEND00807,11-04-2023,18-04-2023,01-06-2023,1492.13,USD,H,FALSE
165,AP00000165,CO03,2023,1,VEND00580,11-04-2023,21-04-2023,03-06-2023,6574.37,USD,H,FALSE
166,AP00000166,CO03,2023,1,VEND00583,11-04-2023,21-06-2023,13-06-2023,5523.86,USD,H,FALSE
167,AP00000167,CO01,2023,1,VEND00205,11-04-2023,06-05-2023,05-06-2023,1801.57,USD,H,FALSE
168,AP00000168,CO03,2023,1,VEND00430,11-04-2023,08-05-2023,31-05-2023,4054.44,USD,H,FALSE
169,AP00000169,CO01,2023,1,VEND01350,11-04-2023,22-04-2023,01-06-2023,12248.27,USD,H,FALSE
170,AP00000170,CO01,2023,1,VEND00394,11-04-2023,03-06-2023,30-05-2023,9055.34,USD,H,FALSE
171,AP00000171,CO01,2023,1,VEND01013,11-04-2023,29-04-2023,04-06-2023,16837.82,USD,H,FALSE
172,AP00000172,CO02,2023,1,VEND00798,11-04-2023,21-04-2023,06-06-2023,12912.43,USD,H,FALSE
173,AP00000173,CO03,2023,1,VEND00077,11-04-2023,23-04-2023,28-05-2023,10025.02,USD,H,FALSE
174,AP00000174,CO01,2023,1,VEND00582,11-04-2023,,01-06-2023,3837.54,USD,H,TRUE
175,AP00000175,CO02,2023,1,VEND00199,11-04-2023,,22-05-2023,16100.5,USD,H,TRUE
176,AP00000176,CO03,2023,1,VEND00013,11-04-2023,11-06-2023,08-06-2023,11743.45,USD,H,FALSE
177,AP00000177,CO02,2023,1,VEND00316,11-04-2023,24-04-2023,05-06-2023,1341.23,USD,H,FALSE
178,AP00000178,CO01,2023,1,VEND00842,11-04-2023,18-04-2023,04-06-2023,12614.95,USD,H,FALSE
179,AP00000179,CO03,2023,1,VEND01277,11-04-2023,29-04-2023,03-06-2023,7459.64,USD,H,FALSE
180,AP00000180,CO02,2023,1,VEND00110,11-04-2023,23-04-2023,31-05-2023,14117.09,USD,H,FALSE
181,AP00000181,CO02,2023,1,VEND00595,12-04-2023,30-04-2023,04-06-2023,12541.26,USD,H,FALSE
182,AP00000182,CO03,2023,1,VEND01162,12-04-2023,26-04-2023,31-05-2023,5085.91,USD,H,FALSE
183,AP00000183,CO02,2023,1,VEND01212,12-04-2023,03-05-2023,08-06-2023,17427.12,USD,H,FALSE
184,AP00000184,CO03,2023,1,VEND01218,12-04-2023,04-05-2023,31-05-2023,16062.53,USD,H,FALSE
185,AP00000185,CO01,2023,1,VEND00724,12-04-2023,03-06-2023,26-05-2023,1727.62,USD,H,FALSE
186,AP00000186,CO02,2023,1,VEND00226,12-04-2023,08-05-2023,31-05-2023,631.44,USD,H,FALSE
187,AP00000187,CO02,2023,1,VEND01470,12-04-2023,09-05-2023,01-06-2023,7203.6,USD,H,FALSE
188,AP00000188,CO02,2023,1,VEND00506,12-04-2023,11-05-2023,01-06-2023,14050.45,USD,H,FALSE
189,AP00000189,CO01,2023,1,VEND01171,12-04-2023,03-05-2023,09-06-2023,2124.83,USD,H,FALSE
190,AP00000190,CO01,2023,1,VEND01433,12-04-2023,30-04-2023,12-06-2023,5764.76,USD,H,FALSE
191,AP00000191,CO03,2023,1,VEND01369,12-04-2023,22-04-2023,07-06-2023,15395.89,USD,H,FALSE
192,AP00000192,CO01,2023,1,VEND00373,12-04-2023,02-05-2023,08-06-2023,2576.91,USD,H,FALSE
193,AP00000193,CO01,2023,1,VEND00362,12-04-2023,25-04-2023,05-06-2023,4743.12,USD,H,FALSE
194,AP00000194,CO03,2023,1,VEND00376,12-04-2023,,10-06-2023,18152,USD,H,TRUE
195,AP00000195,CO03,2023,1,VEND00911,12-04-2023,12-06-2023,07-06-2023,594.64,USD,H,FALSE
196,AP00000196,CO03,2023,1,VEND01219,12-04-2023,24-04-2023,01-06-2023,9448.44,USD,H,FALSE
197,AP00000197,CO03,2023,1,VEND00497,12-04-2023,06-05-2023,15-06-2023,19647.03,USD,H,FALSE
198,AP00000198,CO01,2023,1,VEND00060,12-04-2023,,23-05-2023,19908.28,USD,H,TRUE
199,AP00000199,CO02,2023,1,VEND00406,12-04-2023,11-05-2023,08-06-2023,12777.18,USD,H,FALSE
200,AP00000200,CO03,2023,1,VEND00500,12-04-2023,05-05-2023,09-06-2023,18941.6,USD,H,FALSE
201,AP00000201,CO03,2023,1,VEND00624,12-04-2023,04-06-2023,31-05-2023,7367.29,USD,H,FALSE
202,AP00000202,CO03,2023,1,VEND01062,12-04-2023,29-04-2023,01-06-2023,12355.13,USD,H,FALSE
203,AP00000203,CO02,2023,1,VEND01062,12-04-2023,28-04-2023,07-06-2023,17174.69,USD,H,FALSE
204,AP00000204,CO02,2023,1,VEND00730,12-04-2023,06-05-2023,10-06-2023,2584.21,USD,H,FALSE
205,AP00000205,CO03,2023,1,VEND01001,12-04-2023,,04-06-2023,7375.47,USD,H,TRUE
206,AP00000206,CO02,2023,1,VEND00318,12-04-2023,28-04-2023,08-06-2023,10162.86,USD,H,FALSE
207,AP00000207,CO01,2023,1,VEND00098,13-04-2023,20-04-2023,04-06-2023,17587.12,USD,H,FALSE
208,AP00000208,CO03,2023,1,VEND01446,13-04-2023,11-05-2023,06-06-2023,8300.33,USD,H,FALSE
209,AP00000209,CO02,2023,1,VEND00775,13-04-2023,29-04-2023,17-06-2023,18137.3,USD,H,FALSE
210,AP00000210,CO01,2023,1,VEND00561,13-04-2023,03-05-2023,07-06-2023,11036.29,USD,H,FALSE
211,AP00000211,CO02,2023,1,VEND00659,13-04-2023,19-04-2023,01-06-2023,5956.33,USD,H,FALSE
212,AP00000212,CO02,2023,1,VEND01379,13-04-2023,11-06-2023,08-06-2023,5227.43,USD,H,FALSE
213,AP00000213,CO01,2023,1,VEND01256,13-04-2023,18-04-2023,02-06-2023,6431.01,USD,H,FALSE
214,AP00000214,CO03,2023,1,VEND00272,13-04-2023,03-05-2023,09-06-2023,17019.61,USD,H,FALSE
215,AP00000215,CO01,2023,1,VEND00032,13-04-2023,27-06-2023,18-06-2023,5482.73,USD,H,FALSE
216,AP00000216,CO01,2023,1,VEND01091,13-04-2023,19-04-2023,01-06-2023,10008.16,USD,H,FALSE
217,AP00000217,CO03,2023,1,VEND00669,13-04-2023,08-05-2023,10-06-2023,12767.47,USD,H,FALSE
218,AP00000218,CO01,2023,1,VEND01311,13-04-2023,10-06-2023,06-06-2023,12139.86,USD,H,FALSE
219,AP00000219,CO03,2023,1,VEND01133,13-04-2023,12-06-2023,10-06-2023,5015.02,USD,H,FALSE
220,AP00000220,CO03,2023,1,VEND00933,13-04-2023,25-04-2023,24-05-2023,3980.39,USD,H,FALSE
221,AP00000221,CO03,2023,1,VEND00798,13-04-2023,11-05-2023,16-06-2023,12106.88,USD,H,FALSE
222,AP00000222,CO02,2023,1,VEND00096,13-04-2023,02-05-2023,11-06-2023,13740.53,USD,H,FALSE
223,AP00000223,CO03,2023,1,VEND01352,13-04-2023,05-05-2023,13-06-2023,697.09,USD,H,FALSE
224,AP00000224,CO03,2023,1,VEND00449,13-04-2023,05-05-2023,31-05-2023,11198.83,USD,H,FALSE
225,AP00000225,CO03,2023,1,VEND00750,13-04-2023,26-04-2023,03-06-2023,1055.9,USD,H,FALSE
226,AP00000226,CO01,2023,1,VEND00895,13-04-2023,28-04-2023,02-06-2023,4044.84,USD,H,FALSE
227,AP00000227,CO02,2023,1,VEND01429,13-04-2023,22-04-2023,08-06-2023,8211.41,USD,H,FALSE
228,AP00000228,CO01,2023,1,VEND00641,14-04-2023,19-04-2023,11-06-2023,5009.47,USD,H,FALSE
229,AP00000229,CO02,2023,1,VEND01034,14-04-2023,05-05-2023,12-06-2023,19071.54,USD,H,FALSE
230,AP00000230,CO01,2023,1,VEND00364,14-04-2023,11-05-2023,07-06-2023,2994.51,USD,H,FALSE
231,AP00000231,CO03,2023,1,VEND00909,14-04-2023,06-05-2023,09-06-2023,2983.95,USD,H,FALSE
232,AP00000232,CO01,2023,1,VEND01270,14-04-2023,29-04-2023,19-06-2023,9463.72,USD,H,FALSE
233,AP00000233,CO02,2023,1,VEND00980,14-04-2023,,14-06-2023,19884.81,USD,H,TRUE
234,AP00000234,CO02,2023,1,VEND01056,14-04-2023,19-04-2023,08-06-2023,2806.29,USD,H,FALSE
235,AP00000235,CO02,2023,1,VEND01418,14-04-2023,13-06-2023,04-06-2023,18898.76,USD,H,FALSE
236,AP00000236,CO03,2023,1,VEND00394,14-04-2023,10-05-2023,06-06-2023,5427.7,USD,H,FALSE
