asset_number,sub_number,company_code,asset_class,asset_description,capitalization_date,deactivation_date
A00037,0,CO01,MACHINERY,East campaign project shoulder wide.,24-08-2023,
A00038,0,CO02,MACHINERY,Message identify analysis and.,08-05-2024,
A00039,0,CO02,VEHICLE,Cell cut contain claim analysis.,02-08-2021,
A00040,0,CO03,FURNITURE,Involve discussion consider.,27-12-2024,
A00041,0,CO02,MACHINERY,Up serve before.,15-02-2025,
A00042,0,CO02,MACHINERY,Society play discuss.,20-02-2025,
A00043,0,CO03,MACHINERY,Section environmental his.,25-09-2024,
A00044,0,CO03,COMPUTER,Share believe staff able probably.,19-02-2023,
A00045,0,CO03,BUILDING,Special it task.,30-08-2024,
A00046,0,CO01,COMPUTER,Material task as business week.,30-04-2024,
A00047,0,CO01,FURNITURE,Soon minute.,11-08-2022,
A00048,0,CO03,COMPUTER,Down oil.,23-01-2024,
A00049,0,CO02,COMPUTER,Others set should.,17-07-2024,
A00050,0,CO03,VEHICLE,Everybody against four new.,24-05-2023,
A00051,0,CO02,BUILDING,Everybody spend minute above.,14-07-2021,
A00052,0,CO03,MACHINERY,Also might.,06-04-2023,
A00053,0,CO01,COMPUTER,Safe remember sea.,14-05-2021,
A00054,0,CO03,VEHICLE,Peace which once win.,19-06-2021,
A00055,0,CO03,FURNITURE,Identify if get financial.,16-01-2024,
A00056,0,CO02,COMPUTER,Street security.,19-08-2024,
A00057,0,CO01,VEHICLE,Agree avoid.,31-05-2024,
A00058,0,CO02,VEHICLE,Quite show hard.,20-09-2024,
A00059,0,CO01,VEHICLE,Use end big.,13-10-2024,
A00060,0,CO01,MACHINERY,Police song reality.,15-10-2022,
A00061,0,CO02,BUILDING,Why still money.,08-11-2021,
A00062,0,CO02,FURNITURE,Decide would.,28-04-2021,
A00063,0,CO03,MACHINERY,Population sing war.,08-10-2021,
A00064,0,CO02,COMPUTER,Such bank will.,29-07-2021,
A00065,0,CO01,MACHINERY,Group again effect writer crime.,06-06-2022,
A00066,0,CO02,COMPUTER,Two authority special kitchen.,20-07-2023,
A00067,0,CO03,VEHICLE,Woman interview because back page.,29-06-2021,
A00068,0,CO02,MACHINERY,Break describe good.,06-12-2022,
A00069,0,CO02,MACHINERY,Business describe during talk.,19-05-2021,
A00070,0,CO01,VEHICLE,Fire pull generation.,27-12-2021,
A00071,0,CO03,COMPUTER,Eight able share ability.,27-11-2021,
A00072,0,CO02,COMPUTER,Character lead despite.,06-03-2023,
A00073,0,CO02,MACHINERY,Always theory.,27-11-2022,
A00074,0,CO03,COMPUTER,Detail great something look down.,29-03-2023,
A00075,0,CO02,VEHICLE,Range then east fill ground.,16-09-2021,
A00076,0,CO03,FURNITURE,Night after west guy along.,06-06-2024,
A00077,0,CO01,VEHICLE,Score detail.,03-02-2025,
A00078,0,CO03,COMPUTER,Become yeah beautiful owner.,06-08-2022,
A00079,0,CO01,BUILDING,Simple half away.,13-12-2022,
A00080,0,CO01,BUILDING,Those find age.,18-08-2023,
A00081,0,CO01,COMPUTER,Car threat under notice.,14-05-2023,
A00082,0,CO01,MACHINERY,Risk wait.,17-04-2022,
A00083,0,CO03,FURNITURE,Discover television behavior design.,28-11-2024,
A00084,0,CO03,COMPUTER,Season affect level.,15-04-2021,
A00085,0,CO02,BUILDING,Somebody discuss around choose.,13-06-2022,
A00086,0,CO03,VEHICLE,Official product.,04-07-2023,
A00087,0,CO03,BUILDING,Office what series.,06-02-2023,
A00088,0,CO02,VEHICLE,When even nation consumer.,12-02-2025,
A00089,0,CO01,COMPUTER,Performance learn believe human can.,27-01-2022,
A00090,0,CO02,VEHICLE,Affect adult whether not.,02-09-2021,
A00091,0,CO03,FURNITURE,Month democratic.,06-12-2021,
A00092,0,CO01,MACHINERY,Behavior wish final.,29-07-2021,
A00093,0,CO03,BUILDING,Authority process rate move official.,31-05-2021,
A00094,0,CO01,BUILDING,Traditional power whose.,28-01-2023,
A00095,0,CO02,COMPUTER,Little actually.,16-03-2024,
A00096,0,CO03,VEHICLE,Bring bank.,27-12-2024,
A00097,0,CO03,FURNITURE,Good glass reality.,29-03-2023,
A00098,0,CO03,BUILDING,Industry inside get do space.,13-04-2022,
A00099,0,CO01,VEHICLE,Six everybody step baby.,03-06-2023,
A00100,0,CO01,COMPUTER,Two moment.,04-10-2022,
A00101,0,CO01,VEHICLE,Worker traditional everyone system individual.,19-11-2023,
A00102,0,CO02,COMPUTER,Analysis pressure stop war.,30-12-2022,
A00103,0,CO01,MACHINERY,Friend oil word.,14-02-2025,
A00104,0,CO01,FURNITURE,Upon many.,21-04-2023,
A00105,0,CO03,MACHINERY,Present when later call worry.,29-03-2023,
A00106,0,CO03,FURNITURE,Weight whole institution.,03-10-2024,
A00107,0,CO02,VEHICLE,Example president people.,03-11-2024,
A00108,0,CO03,COMPUTER,I Mr sort.,14-06-2022,
A00109,0,CO01,VEHICLE,Large these those.,05-01-2025,
A00110,0,CO03,FURNITURE,Think month game else involve.,15-12-2022,
A00111,0,CO02,FURNITURE,Score care.,23-12-2021,
A00112,0,CO02,FURNITURE,Degree hour nor.,13-05-2024,
A00113,0,CO02,BUILDING,Anyone similar conference.,15-09-2024,
A00114,0,CO03,MACHINERY,Writer fire generation.,28-06-2023,
A00115,0,CO02,BUILDING,Create despite method.,16-05-2022,
A00116,0,CO03,BUILDING,Particular civil manage hour.,28-12-2022,
A00117,0,CO01,VEHICLE,Should situation matter put.,20-03-2022,
A00118,0,CO03,COMPUTER,Gun song.,09-01-2024,
A00119,0,CO03,FURNITURE,Single choose.,16-10-2024,
A00120,0,CO02,VEHICLE,Human be more system.,14-02-2023,
A00121,0,CO03,BUILDING,Government man rest interesting which.,14-09-2021,
A00122,0,CO01,FURNITURE,Inside just bring.,29-04-2023,
A00123,0,CO03,VEHICLE,Include our stop blood eat.,10-05-2021,
A00124,0,CO03,BUILDING,Position recently.,17-05-2021,
A00125,0,CO02,VEHICLE,Girl support talk teacher.,05-01-2023,
A00126,0,CO03,COMPUTER,Morning skill land.,03-11-2021,
A00127,0,CO01,BUILDING,Arm area two.,29-11-2024,
A00128,0,CO01,VEHICLE,Central current.,15-03-2022,
A00129,0,CO01,COMPUTER,Score among after design her.,10-09-2021,
A00130,0,CO02,FURNITURE,Cause expect movie issue level.,05-11-2021,
A00131,0,CO02,FURNITURE,None bill education water area.,12-12-2021,
A00132,0,CO02,MACHINERY,Several executive heart.,13-02-2024,
A00133,0,CO01,MACHINERY,Last debate deep.,08-05-2022,
A00134,0,CO02,VEHICLE,Then plan that chance life.,31-08-2023,
A00135,0,CO02,COMPUTER,Reality war want group.,20-07-2023,
A00136,0,CO02,FURNITURE,Put spring lead next.,11-10-2023,
A00137,0,CO01,BUILDING,Life idea.,16-05-2024,
A00138,0,CO03,FURNITURE,Realize father choose best color.,13-08-2024,
A00139,0,CO03,COMPUTER,Wish would consumer.,10-08-2023,
A00140,0,CO01,COMPUTER,Science Republican say employee.,10-10-2023,
A00141,0,CO03,FURNITURE,Church dog despite later relationship.,01-12-2024,
A00142,0,CO01,FURNITURE,Nothing kind rule early example.,23-08-2022,
A00143,0,CO02,MACHINERY,Today simply start character.,13-08-2023,
A00144,0,CO02,COMPUTER,Floor onto lay.,04-08-2022,
A00145,0,CO02,VEHICLE,Sound year.,17-08-2023,
A00146,0,CO03,COMPUTER,Public should against.,05-11-2022,
A00147,0,CO01,COMPUTER,Reduce maintain.,14-02-2022,
A00148,0,CO03,FURNITURE,General clear per.,07-05-2021,
A00149,0,CO02,FURNITURE,Nearly tough knowledge customer bad.,13-11-2021,
A00150,0,CO03,FURNITURE,Professor entire too.,27-10-2024,
A00151,0,CO01,FURNITURE,Week such book.,15-05-2022,
A00152,0,CO03,FURNITURE,Until give charge.,25-12-2023,
A00153,0,CO03,BUILDING,Forget up entire table.,30-01-2024,
A00154,0,CO02,VEHICLE,Central debate rate.,17-08-2022,
A00155,0,CO02,MACHINERY,Democratic nation standard.,19-12-2021,
A00156,0,CO03,MACHINERY,Mention still sing.,18-09-2024,
A00157,0,CO03,BUILDING,Experience claim family.,24-10-2023,
A00158,0,CO03,VEHICLE,Brother account I.,25-12-2022,
A00159,0,CO02,BUILDING,Actually point at success.,28-01-2023,
A00160,0,CO02,COMPUTER,Nature decide.,20-11-2023,
A00161,0,CO02,COMPUTER,Must phone whether four.,28-04-2023,
A00162,0,CO01,COMPUTER,Least mind our.,30-07-2024,
A00163,0,CO01,FURNITURE,Education its test.,03-05-2024,
A00164,0,CO02,VEHICLE,Size skill write glass.,28-09-2022,
A00165,0,CO01,BUILDING,Yard opportunity past play.,11-01-2025,
A00166,0,CO03,MACHINERY,Care others discuss all interview.,05-10-2023,
A00167,0,CO02,BUILDING,Go western detail argue.,05-08-2024,
A00168,0,CO01,VEHICLE,High difference.,05-05-2023,
A00169,0,CO02,BUILDING,Early save approach according.,26-12-2023,
A00170,0,CO01,FURNITURE,Group beat play value.,25-05-2023,
A00171,0,CO02,FURNITURE,Those evening few.,18-05-2024,
A00172,0,CO03,MACHINERY,Score allow member customer.,04-12-2024,
A00173,0,CO03,VEHICLE,Agent sort reality majority identify.,25-02-2024,
A00174,0,CO03,COMPUTER,White reach site land himself.,25-02-2024,
A00175,0,CO01,BUILDING,Any family.,07-09-2023,
A00176,0,CO02,COMPUTER,Article back newspaper term offer.,01-12-2023,
A00177,0,CO03,VEHICLE,Long stuff stop way character.,04-08-2023,
A00178,0,CO03,VEHICLE,Rock address job.,06-01-2025,
A00179,0,CO03,MACHINERY,Threat way Mrs plan.,12-03-2023,
A00180,0,CO01,BUILDING,Current skill.,20-12-2023,
A00181,0,CO02,COMPUTER,Congress PM.,06-05-2022,
A00182,0,CO02,FURNITURE,Speech reveal shoulder six public.,06-04-2022,
A00183,0,CO02,MACHINERY,Course different expert.,25-08-2024,
A00184,0,CO02,BUILDING,Discover strong almost road.,27-09-2024,
A00185,0,CO02,BUILDING,Break two name father certain.,30-10-2021,
A00186,0,CO03,BUILDING,Meeting by contain.,17-08-2023,
A00187,0,CO03,FURNITURE,Last suddenly act contain.,09-02-2025,
A00188,0,CO02,COMPUTER,Treatment stuff.,05-06-2021,
A00189,0,CO03,BUILDING,Word indeed artist.,12-01-2024,
A00190,0,CO03,MACHINERY,Image cultural spring hold end.,06-07-2024,
A00191,0,CO01,COMPUTER,Thank million speech level.,29-04-2023,
A00192,0,CO02,MACHINERY,Improve big skin campaign.,23-07-2022,
A00193,0,CO03,BUILDING,Live responsibility administration soon.,03-09-2024,
A00194,0,CO02,MACHINERY,Three suggest memory.,12-04-2024,
A00195,0,CO01,FURNITURE,Capital floor.,24-03-2022,
A00196,0,CO01,BUILDING,Boy page.,04-08-2022,
A00197,0,CO01,COMPUTER,Billion figure table.,19-11-2021,
A00198,0,CO03,MACHINERY,Its my project identify everyone.,22-01-2025,
A00199,0,CO02,VEHICLE,Situation really before study effort.,27-08-2022,
A00200,0,CO03,COMPUTER,Place father field color.,04-12-2023,
A00201,0,CO01,VEHICLE,Back game generation.,25-12-2021,
A00202,0,CO02,MACHINERY,Free point down politics.,13-12-2022,
A00203,0,CO03,BUILDING,Guy do vote team.,28-04-2022,
A00204,0,CO01,MACHINERY,Item wear tend phone more.,30-07-2022,
A00205,0,CO01,VEHICLE,Yard each together director.,12-10-2021,
A00206,0,CO03,FURNITURE,Near movie too.,26-06-2023,
A00207,0,CO01,BUILDING,Health economic.,12-04-2022,
A00208,0,CO02,BUILDING,Media do.,14-02-2022,
A00209,0,CO01,BUILDING,Hope game building.,23-02-2024,
A00210,0,CO03,FURNITURE,Learn she it less.,16-09-2021,
A00211,0,CO03,FURNITURE,Discussion recent common.,17-08-2021,
A00212,0,CO01,VEHICLE,Consumer his theory.,02-08-2024,
A00213,0,CO01,MACHINERY,He safe.,13-12-2022,
A00214,0,CO01,COMPUTER,Tree many gas record.,11-09-2024,
A00215,0,CO03,MACHINERY,Cultural season seem concern.,08-11-2023,
A00216,0,CO01,MACHINERY,Series party financial trial.,03-12-2024,
A00217,0,CO01,VEHICLE,Instead money economic population.,05-10-2023,
A00218,0,CO02,FURNITURE,Bad matter catch.,20-01-2024,
A00219,0,CO03,BUILDING,Glass this.,25-04-2023,
A00220,0,CO02,MACHINERY,Reality soon house today.,26-11-2023,
A00221,0,CO03,FURNITURE,President herself skin.,19-04-2023,
A00222,0,CO03,FURNITURE,To open marriage.,19-11-2023,
A00223,0,CO01,FURNITURE,Impact run here defense first.,04-05-2024,
A00224,0,CO01,VEHICLE,Relate if those.,28-05-2021,
A00225,0,CO01,VEHICLE,Investment culture.,10-12-2022,
A00226,0,CO02,MACHINERY,Religious heart.,06-05-2024,
A00227,0,CO03,BUILDING,Purpose range author.,07-04-2021,
A00228,0,CO02,VEHICLE,Edge however military commercial.,02-04-2023,
A00229,0,CO02,VEHICLE,Represent recognize better night program.,04-10-2022,
A00230,0,CO01,COMPUTER,Run gun.,01-11-2021,
A00231,0,CO03,FURNITURE,Party popular reach difference.,21-08-2022,
A00232,0,CO02,VEHICLE,Discussion force.,24-11-2024,
A00233,0,CO01,VEHICLE,Song moment system clearly certain.,01-02-2023,
A00234,0,CO03,VEHICLE,Race indeed.,17-04-2021,
A00235,0,CO02,BUILDING,Mrs hope yes suffer.,05-04-2023,
A00236,0,CO01,MACHINERY,Life always friend others.,18-08-2021,
A00237,0,CO02,VEHICLE,Break include movie.,15-11-2023,
A00238,0,CO01,MACHINERY,Use staff some.,16-09-2023,
A00239,0,CO02,VEHICLE,Discover several easy.,20-11-2022,
A00240,0,CO03,FURNITURE,Long film.,21-04-2023,
A00241,0,CO02,COMPUTER,Management start west.,12-11-2021,
A00242,0,CO03,COMPUTER,Discussion admit politics.,15-04-2024,
A00243,0,CO01,VEHICLE,Benefit teach.,28-04-2022,
A00244,0,CO02,FURNITURE,Mind threat big development.,20-06-2022,
A00245,0,CO01,BUILDING,Could clearly picture.,28-12-2024,
A00246,0,CO03,BUILDING,News such fine wife.,03-02-2022,
A00247,0,CO02,FURNITURE,Authority necessary race color gas.,09-11-2021,
A00248,0,CO01,BUILDING,Professor black consumer ball.,02-06-2022,
A00249,0,CO03,BUILDING,Center finally least.,07-11-2021,
A00250,0,CO02,FURNITURE,Republican against economic such.,13-12-2023,
A00251,0,CO01,MACHINERY,Station see difficult power.,02-02-2025,
A00252,0,CO01,COMPUTER,Work behind tough adult minute.,25-06-2022,
A00253,0,CO02,BUILDING,Economic ground message.,15-08-2024,
A00254,0,CO01,COMPUTER,Lay into report hot.,16-02-2025,
A00255,0,CO03,VEHICLE,News follow enough activity marriage.,12-01-2025,
A00256,0,CO02,FURNITURE,Officer black of yeah.,16-08-2024,
A00257,0,CO02,BUILDING,Fish serve movie.,16-03-2022,
A00258,0,CO01,MACHINERY,Analysis affect.,14-03-2022,
A00259,0,CO02,MACHINERY,Actually your.,26-11-2022,
A00260,0,CO01,FURNITURE,Get other husband serious administration.,04-04-2021,
A00261,0,CO03,COMPUTER,Congress task feeling something.,14-04-2021,
A00262,0,CO01,MACHINERY,Continue soldier strategy.,18-04-2022,
A00263,0,CO03,COMPUTER,College system whose.,12-08-2022,
A00264,0,CO02,VEHICLE,Debate stop trade.,09-05-2022,
A00265,0,CO01,VEHICLE,Produce hope role.,19-11-2022,
A00266,0,CO03,COMPUTER,Employee thousand point.,31-08-2023,
A00267,0,CO01,COMPUTER,Better human including week detail.,20-09-2022,
A00268,0,CO02,BUILDING,Yourself interview material.,23-08-2022,
A00269,0,CO02,BUILDING,Area remember.,23-03-2022,
A00270,0,CO01,VEHICLE,Happy present range coach third.,08-11-2022,
A00271,0,CO01,BUILDING,People system better not law.,15-02-2023,
A00272,0,CO01,BUILDING,Thought community foot religious.,05-05-2024,
A00273,0,CO03,VEHICLE,Per still.,30-08-2022,
A00274,0,CO01,BUILDING,Step necessary star hotel.,02-11-2024,
A00275,0,CO03,VEHICLE,Enter land baby bed region.,28-12-2024,
A00276,0,CO03,FURNITURE,Itself gun.,30-09-2023,
A00277,0,CO01,MACHINERY,Left develop charge summer.,13-05-2022,
A00278,0,CO01,VEHICLE,Federal child majority around but.,27-05-2024,
A00279,0,CO02,COMPUTER,Defense measure happen.,27-03-2022,
A00280,0,CO02,VEHICLE,Difference tell according add these.,11-02-2025,
A00281,0,CO03,VEHICLE,Tv feeling.,22-06-2023,
A00282,0,CO02,BUILDING,Really late.,31-01-2022,
A00283,0,CO03,COMPUTER,Eat yard way his mouth.,03-11-2023,
A00284,0,CO03,BUILDING,Possible nearly campaign.,13-05-2024,
A00285,0,CO02,COMPUTER,Space ten skin might.,24-08-2022,
A00286,0,CO02,COMPUTER,Article southern.,30-01-2023,
A00287,0,CO03,BUILDING,Break family item new.,09-04-2021,
A00288,0,CO02,MACHINERY,Store special key.,28-05-2022,
A00289,0,CO03,COMPUTER,Forward decade different.,05-09-2024,
A00290,0,CO03,COMPUTER,Student body behind.,15-01-2024,
A00291,0,CO01,VEHICLE,Son each goal explain short.,08-03-2023,
A00292,0,CO02,BUILDING,Want ever development continue.,03-01-2025,
A00293,0,CO02,COMPUTER,Pretty the join loss.,14-05-2024,
A00294,0,CO02,MACHINERY,Study suggest before two nor.,02-10-2024,
A00295,0,CO01,VEHICLE,Red herself age.,31-05-2022,
A00296,0,CO03,VEHICLE,Police state fact father open.,24-08-2023,
A00297,0,CO02,BUILDING,Third fall four understand.,12-01-2023,
A00298,0,CO01,FURNITURE,Perhaps truth time risk choose.,20-11-2022,
A00299,0,CO03,BUILDING,Recent statement party.,22-10-2021,
A00300,0,CO03,MACHINERY,Ability parent produce hotel.,16-05-2024,
A00301,0,CO01,BUILDING,Mean for approach avoid.,23-10-2024,
A00302,0,CO03,BUILDING,Around statement.,15-03-2022,
A00303,0,CO03,VEHICLE,Attorney appear resource shoulder add.,28-07-2021,
A00304,0,CO01,MACHINERY,Edge behind knowledge.,13-10-2022,
A00305,0,CO03,MACHINERY,Art win after upon.,04-09-2022,
A00306,0,CO02,MACHINERY,No reality against several.,28-05-2023,
A00307,0,CO01,MACHINERY,Within and democratic state.,20-04-2023,
A00308,0,CO01,COMPUTER,Possible trouble should be.,22-05-2024,
A00309,0,CO02,BUILDING,Under nor stuff.,13-01-2022,
A00310,0,CO01,COMPUTER,Science through.,10-01-2023,
A00311,0,CO02,VEHICLE,Road stop bring future create.,14-02-2024,
A00312,0,CO02,VEHICLE,Water course certain meet.,22-05-2022,
A00313,0,CO01,BUILDING,Drug raise decade while.,14-02-2022,
A00314,0,CO03,FURNITURE,Herself team study.,05-05-2023,
A00315,0,CO01,VEHICLE,Attention charge decade election treat.,18-06-2023,
A00316,0,CO02,COMPUTER,Write lay include machine probably.,28-12-2022,
A00317,0,CO01,COMPUTER,Smile owner.,04-09-2021,
A00318,0,CO03,BUILDING,Agent stage similar.,11-05-2024,
A00319,0,CO03,MACHINERY,Much leave there.,05-04-2023,
A00320,0,CO01,COMPUTER,Process officer around street.,11-02-2024,
A00321,0,CO02,FURNITURE,In us bed conference.,04-07-2021,
A00322,0,CO03,BUILDING,Plan citizen compare.,08-11-2021,
A00323,0,CO02,FURNITURE,Media common any clearly attack.,13-09-2024,
A00324,0,CO03,VEHICLE,Real read.,23-02-2025,
A00325,0,CO02,BUILDING,Charge series majority.,24-04-2024,
A00326,0,CO01,BUILDING,Majority finish.,15-04-2022,
A00327,0,CO02,COMPUTER,Just event size heavy.,27-04-2023,
A00328,0,CO01,COMPUTER,Better spend middle instead.,02-11-2021,
A00329,0,CO02,FURNITURE,Threat same quality.,18-04-2022,
A00330,0,CO02,MACHINERY,Popular under important truth.,08-10-2021,
A00331,0,CO01,MACHINERY,Recognize keep although.,30-06-2022,
A00332,0,CO03,COMPUTER,Present young return.,10-05-2022,
A00333,0,CO03,BUILDING,Expect meeting once.,02-06-2021,
A00334,0,CO03,MACHINERY,Art everything rock.,22-09-2022,
A00335,0,CO03,VEHICLE,Party always former even.,30-08-2023,
A00336,0,CO02,MACHINERY,Production increase already.,12-05-2024,
A00337,0,CO03,VEHICLE,Likely fight practice even.,07-05-2024,
A00338,0,CO03,FURNITURE,Republican college several.,06-08-2023,
A00339,0,CO01,COMPUTER,Seven case fine model protect.,14-07-2021,
A00340,0,CO02,BUILDING,Civil put home.,03-09-2024,
A00341,0,CO02,COMPUTER,Treatment major doctor professor.,23-04-2024,
A00342,0,CO02,FURNITURE,Physical relate official.,17-06-2021,
A00343,0,CO03,FURNITURE,Or collection.,03-03-2024,
A00344,0,CO03,COMPUTER,Join grow approach.,29-11-2022,
A00345,0,CO03,FURNITURE,Each under per might suddenly.,14-12-2023,
A00346,0,CO03,VEHICLE,Past sound.,19-04-2024,
A00347,0,CO02,VEHICLE,Window when huge.,11-02-2024,
A00348,0,CO02,BUILDING,Maybe choice kid.,12-02-2022,
A00349,0,CO01,COMPUTER,Public report step.,05-09-2023,
A00350,0,CO03,MACHINERY,Those actually really.,23-11-2022,
A00351,0,CO01,FURNITURE,Particular more million painting.,18-07-2021,
A00352,0,CO03,BUILDING,Student at.,28-08-2021,
A00353,0,CO02,MACHINERY,Shake stop.,21-08-2024,
A00354,0,CO03,MACHINERY,Admit in individual senior.,19-04-2023,
A00355,0,CO01,BUILDING,Evidence car hair.,18-06-2022,
A00356,0,CO01,COMPUTER,Whose quickly view under.,02-06-2023,
A00357,0,CO01,COMPUTER,Risk participant.,15-02-2023,
A00358,0,CO03,FURNITURE,Bar interest.,20-01-2023,
A00359,0,CO01,FURNITURE,Herself hair budget.,03-05-2022,
A00360,0,CO02,MACHINERY,Rule among billion agent teacher.,27-09-2022,
A00361,0,CO02,BUILDING,Space physical simply able.,17-05-2023,
A00362,0,CO03,FURNITURE,Sell senior plan likely.,24-02-2022,
A00363,0,CO03,VEHICLE,Another the by note crime.,31-07-2021,
A00364,0,CO02,COMPUTER,Source believe.,20-03-2022,
A00365,0,CO01,BUILDING,Official appear treatment.,02-05-2024,
A00366,0,CO03,MACHINERY,Become city.,31-01-2024,
A00367,0,CO02,FURNITURE,Former rate perhaps treatment yet.,20-01-2023,
A00368,0,CO03,VEHICLE,Baby director compare.,21-07-2024,
A00369,0,CO02,BUILDING,Morning agent each room five.,21-09-2023,
A00370,0,CO03,FURNITURE,Pattern into agent.,02-05-2022,
A00371,0,CO02,FURNITURE,Whom dream like town contain.,25-07-2023,
A00372,0,CO02,VEHICLE,There company.,23-10-2024,
A00373,0,CO03,VEHICLE,The good thousand.,07-07-2023,
A00374,0,CO02,BUILDING,Hear style.,30-06-2024,
A00375,0,CO03,COMPUTER,History practice outside marriage.,28-06-2021,
A00376,0,CO03,VEHICLE,Opportunity beyond walk voice season.,04-02-2024,
A00377,0,CO01,VEHICLE,Official no project.,01-08-2023,
A00378,0,CO02,BUILDING,Staff least century cell.,13-06-2022,
A00379,0,CO03,MACHINERY,Unit I the.,15-11-2023,
A00380,0,CO03,MACHINERY,Good space.,16-01-2023,
A00381,0,CO02,FURNITURE,Oil suddenly minute.,21-04-2023,
A00382,0,CO02,VEHICLE,Thousand majority fly.,02-09-2024,
A00383,0,CO01,COMPUTER,Simply treat nature.,21-08-2023,
A00384,0,CO03,BUILDING,Catch mean recently all.,17-09-2021,
A00385,0,CO01,COMPUTER,Plan effort relationship spring.,27-06-2021,
A00386,0,CO01,BUILDING,Care area.,01-04-2023,
A00387,0,CO02,VEHICLE,Piece something recognize TV.,28-03-2022,
A00388,0,CO01,BUILDING,Keep seat rock.,25-05-2021,
A00389,0,CO02,MACHINERY,Offer argue operation international.,27-01-2023,
A00390,0,CO01,FURNITURE,Born turn executive exist focus.,13-09-2021,
A00391,0,CO03,BUILDING,Campaign international hold someone.,16-11-2024,
A00392,0,CO02,COMPUTER,Again party can director.,27-10-2022,
A00393,0,CO01,FURNITURE,Move available evening dinner.,18-04-2024,
A00394,0,CO03,VEHICLE,Believe investment feeling lawyer.,21-08-2021,
A00395,0,CO03,MACHINERY,Future whom interesting unit.,15-08-2022,
A00396,0,CO03,MACHINERY,Certainly ahead.,21-10-2022,
A00397,0,CO03,MACHINERY,Bad exist woman least.,22-02-2022,
A00398,0,CO02,FURNITURE,Pass usually arm red.,09-11-2024,
A00399,0,CO01,BUILDING,Effort film.,13-05-2021,
A00400,0,CO01,COMPUTER,Chance officer moment explain lay.,01-04-2022,
A00401,0,CO03,MACHINERY,Hit gas.,27-04-2021,
A00402,0,CO02,MACHINERY,Organization around recent top low.,06-11-2021,
A00403,0,CO03,FURNITURE,Find apply according.,30-12-2021,
A00404,0,CO01,COMPUTER,Myself more mention.,06-06-2023,
A00405,0,CO01,FURNITURE,Event Mrs.,06-06-2021,
A00406,0,CO03,FURNITURE,Commercial then.,12-01-2022,
A00407,0,CO02,VEHICLE,Protect positive.,04-07-2024,
A00408,0,CO02,COMPUTER,Top per.,20-11-2022,
A00409,0,CO01,BUILDING,Property successful black upon.,21-10-2022,
A00410,0,CO03,VEHICLE,Event available today.,21-01-2023,
A00411,0,CO03,BUILDING,She personal.,09-02-2025,
A00412,0,CO03,MACHINERY,Nor blue girl.,26-06-2024,
A00413,0,CO02,FURNITURE,Dark answer bill trip.,25-08-2023,
A00414,0,CO02,MACHINERY,Popular ten final available.,12-03-2022,
A00415,0,CO03,COMPUTER,Single through year growth.,23-03-2022,
A00416,0,CO02,COMPUTER,Effort name.,07-12-2022,
