customer_id,customer_name,customer_tier,payment_terms
CUST-00057,"Morse, Russell and Adkins",B,NET30
CUST-00058,Davidson-Branch,A,NET30
CUST-00059,"Hansen, Smith and Barnett",C,NET45
CUST-00060,Anderson PLC,C,NET30
CUST-00061,"Peterson, King and Carpenter",A,NET30
CUST-00062,Lynch Group,B,NET30
CUST-00063,Buckley and Sons,C,NET30
CUST-00064,"Kemp, Taylor and Hernandez",C,NET30
CUST-00065,Valdez Group,C,NET30
CUST-00066,"Jenkins, Perez and Gibson",C,NET30
CUST-00067,Hernandez-Jones,C,NET60
CUST-00068,Mason-Daniels,C,NET60
CUST-00069,Scott Ltd,B,NET60
CUST-00070,"Williams, Jones and Richards",C,NET45
CUST-00071,"Stout, Ramos and Maddox",C,NET60
CUST-00072,"Ford, Melton and Rose",B,NET45
CUST-00073,Dyer Group,C,NET30
CUST-00074,Deleon-Marquez,B,NET30
CUST-00075,"Erickson, Thomas and Cox",A,NET30
CUST-00076,Elliott-Mcguire,C,NET30
CUST-00077,"Russo, Martin and Martin",C,NET30
CUST-00078,Morris-Pollard,C,NET45
CUST-00079,Adams Inc,C,NET30
CUST-00080,Bryant-Camacho,C,NET30
CUST-00081,"Williamson, Sosa and Ingram",C,NET45
CUST-00082,Sweeney-White,C,NET30
CUST-00083,Allen-Clark,A,NET30
CUST-00084,Peterson Group,C,NET30
CUST-00085,Walsh Ltd,A,NET45
CUST-00086,Pham PLC,C,NET30
CUST-00087,"Watson, Montgomery and Phillips",C,NET30
CUST-00088,Knox-Fernandez,C,NET30
CUST-00089,Obrien Ltd,A,NET30
CUST-00090,Jones and Sons,B,NET30
CUST-00091,Costa PLC,C,NET30
CUST-00092,"Murphy, Pacheco and Mills",B,NET45
CUST-00093,"Hinton, White and Coleman",C,NET30
CUST-00094,"Miller, Carter and Hall",C,NET30
CUST-00095,Montoya-Hanson,C,NET30
CUST-00096,Austin LLC,B,NET45
CUST-00097,Rivas-Lee,C,NET30
CUST-00098,"Gordon, Hall and Wilson",C,NET60
CUST-00099,"Woods, Olson and Jackson",A,NET60
CUST-00100,Cross PLC,B,NET45
CUST-00101,Patterson-Paul,B,NET30
CUST-00102,Williams-Martin,B,NET30
CUST-00103,Watson-Taylor,B,NET30
CUST-00104,Noble-Robinson,B,NET45
CUST-00105,"Figueroa, Harmon and Alexander",C,NET30
CUST-00106,Joyce-Farmer,C,NET30
CUST-00107,Brown-Barber,C,NET30
CUST-00108,Dixon Inc,C,NET45
CUST-00109,Garcia-Schwartz,B,NET30
CUST-00110,Moyer-Contreras,B,NET30
CUST-00111,Murray Ltd,A,NET45
CUST-00112,"Riley, Miller and Miller",C,NET60
CUST-00113,"Ingram, Cook and Powell",C,NET45
CUST-00114,Yang and Sons,C,NET30
CUST-00115,Salinas and Sons,C,NET30
CUST-00116,Sexton PLC,C,NET30
CUST-00117,Smith LLC,A,NET45
CUST-00118,Phelps Ltd,B,NET45
CUST-00119,Stewart-Alvarado,C,NET30
CUST-00120,"Parker, Cuevas and Patel",B,NET30
CUST-00121,"Colon, Wallace and Wolf",B,NET30
CUST-00122,"Campbell, Edwards and Cherry",B,NET45
CUST-00123,"Adams, Mcdonald and Lee",B,NET45
CUST-00124,"Williams, Lopez and Floyd",C,NET30
CUST-00125,"Simon, Woods and Wolfe",A,NET30
CUST-00126,"Joseph, Miles and Meza",B,NET30
CUST-00127,"Riley, Moreno and Myers",A,NET30
CUST-00128,Allen PLC,C,NET45
CUST-00129,"Andrews, Higgins and Duarte",C,NET60
CUST-00130,Patrick-Tapia,A,NET45
CUST-00131,Austin and Sons,C,NET30
CUST-00132,Hill and Sons,B,NET30
CUST-00133,Holland and Sons,B,NET45
CUST-00134,"Cruz, Haynes and Walker",C,NET60
CUST-00135,"Holmes, Conner and Valencia",C,NET30
CUST-00136,"Mccormick, Mcmillan and Brooks",C,NET30
CUST-00137,Clayton Inc,A,NET30
CUST-00138,Howell Ltd,C,NET30
CUST-00139,"Rodriguez, Moore and Zuniga",B,NET45
CUST-00140,Oneill LLC,B,NET60
CUST-00141,Lewis-Huerta,B,NET30
CUST-00142,Cruz-Bell,C,NET30
CUST-00143,Wilkins Inc,A,NET30
CUST-00144,Miller LLC,C,NET45
CUST-00145,"Soto, Hawkins and Flowers",A,NET30
CUST-00146,"Walters, Pittman and Salazar",C,NET30
CUST-00147,Levy-Robinson,B,NET30
CUST-00148,Wise-Shelton,C,NET30
CUST-00149,"Mclean, Cruz and Hall",B,NET30
CUST-00150,Miller-Chandler,B,NET30
CUST-00151,Pollard-Diaz,C,NET30
CUST-00152,Thompson-Carter,A,NET60
CUST-00153,Kirk-Carr,B,NET45
CUST-00154,Potts LLC,C,NET30
CUST-00155,Ashley Inc,C,NET30
CUST-00156,Martinez PLC,C,NET30
CUST-00157,"Sherman, Foley and Koch",C,NET30
CUST-00158,"Williams, Edwards and Castro",C,NET30
CUST-00159,Turner-Higgins,C,NET45
CUST-00160,"Johnson, Watson and Sanchez",A,NET45
CUST-00161,"Green, Morris and Davis",B,NET30
CUST-00162,Garcia and Sons,C,NET30
CUST-00163,Bruce-Gonzales,A,NET60
CUST-00164,Norman LLC,C,NET30
CUST-00165,"Best, Dixon and Walker",C,NET60
CUST-00166,Petty-Erickson,A,NET45
CUST-00167,Thomas Ltd,A,NET30
CUST-00168,Brown-Pace,C,NET45
CUST-00169,Silva Group,C,NET30
CUST-00170,"Hanson, Kerr and Ellis",B,NET45
CUST-00171,Washington Ltd,B,NET30
CUST-00172,"Sawyer, Thornton and Brown",C,NET60
CUST-00173,"Mckee, Taylor and Pierce",C,NET30
CUST-00174,Anderson and Sons,B,NET45
CUST-00175,"Gross, Ward and Collins",C,NET30
CUST-00176,Nunez-Frazier,C,NET45
CUST-00177,Davis Ltd,C,NET45
CUST-00178,Sanchez-Lee,A,NET45
CUST-00179,"Adams, Williams and Ortiz",A,NET30
CUST-00180,Nelson-Mitchell,B,NET45
CUST-00181,Taylor-Ortiz,C,NET30
CUST-00182,"Hughes, Morris and Russell",A,NET30
CUST-00183,Arnold Inc,C,NET30
CUST-00184,Robinson-Meyer,C,NET60
CUST-00185,Chapman and Sons,B,NET30
CUST-00186,"Estrada, Meyers and Rodriguez",A,NET45
CUST-00187,Martin-Cohen,C,NET60
CUST-00188,"Phillips, Soto and Mcdaniel",C,NET30
CUST-00189,Valdez-Lee,C,NET30
CUST-00190,Ferguson PLC,B,NET30
CUST-00191,"Mcintosh, Kennedy and Bennett",B,NET60
CUST-00192,"Anderson, Alvarado and Davis",A,NET45
CUST-00193,"Blackburn, Oneal and Edwards",C,NET30
CUST-00194,Pena and Sons,C,NET30
CUST-00195,Jackson-Rivera,C,NET30
CUST-00196,Wade-Castro,C,NET30
CUST-00197,Sullivan-Davies,C,NET30
CUST-00198,"Allen, Holmes and Cox",B,NET45
CUST-00199,"Blevins, Kennedy and Jones",B,NET30
CUST-00200,Cabrera Group,A,NET30
CUST-00201,"Williams, Graves and Simpson",C,NET45
CUST-00202,Rivera-Guzman,C,NET30
CUST-00203,Schmidt-Lopez,A,NET45
CUST-00204,Bond-Green,C,NET45
CUST-00205,Moreno Inc,C,NET45
CUST-00206,Martinez-Hammond,C,NET30
CUST-00207,Franco Inc,A,NET30
CUST-00208,Turner Inc,B,NET30
CUST-00209,Johnson-Meyer,C,NET30
CUST-00210,Anderson-Malone,B,NET30
CUST-00211,"Wood, Hayes and Ramirez",C,NET30
CUST-00212,"Lee, Villarreal and Mcguire",C,NET30
CUST-00213,Bishop Group,B,NET45
CUST-00214,"Small, Maldonado and Edwards",B,NET45
CUST-00215,Mcdonald Group,B,NET30
CUST-00216,Lee-Lloyd,B,NET45
CUST-00217,Perez-Smith,B,NET30
CUST-00218,Foster-Sanchez,C,NET30
CUST-00219,Turner-Smith,C,NET60
CUST-00220,Fleming and Sons,B,NET30
CUST-00221,"Harris, Whitaker and Stewart",A,NET60
CUST-00222,Leon Ltd,C,NET30
CUST-00223,"Zuniga, Moss and Madden",C,NET45
CUST-00224,Bridges Inc,C,NET60
CUST-00225,"Graham, Rodriguez and Sanders",B,NET30
CUST-00226,"Wilson, Thomas and Shaw",C,NET60
CUST-00227,"Wilkins, Wagner and Jimenez",C,NET30
CUST-00228,Gonzalez Group,B,NET30
CUST-00229,Ballard Group,A,NET60
CUST-00230,Golden-Swanson,A,NET30
CUST-00231,Bell PLC,C,NET30
CUST-00232,"Adams, Hayes and Anderson",C,NET60
CUST-00233,Rocha Group,C,NET30
CUST-00234,Rivers-Smith,B,NET30
CUST-00235,Medina-Sanchez,C,NET30
CUST-00236,Mejia and Sons,C,NET30
CUST-00237,Peterson-Daniels,B,NET30
CUST-00238,Glass-Snyder,A,NET30
CUST-00239,Anderson PLC,C,NET60
CUST-00240,"Nielsen, Mcneil and Flores",C,NET30
CUST-00241,Gutierrez LLC,C,NET30
CUST-00242,Doyle and Sons,C,NET30
CUST-00243,Stafford Inc,C,NET45
CUST-00244,Rodriguez Ltd,C,NET30
CUST-00245,Hill-Jones,C,NET45
CUST-00246,Perez Inc,C,NET45
CUST-00247,Martin-Hanson,C,NET30
CUST-00248,"Hood, Sanford and Rivera",C,NET30
CUST-00249,Myers-Stein,B,NET30
CUST-00250,"Ayala, Smith and Irwin",B,NET30
CUST-00251,Brown PLC,B,NET30
CUST-00252,Miller Ltd,A,NET30
CUST-00253,Galvan PLC,C,NET30
CUST-00254,Hawkins-Taylor,C,NET30
CUST-00255,Miller and Sons,A,NET30
CUST-00256,Sanchez-Cowan,C,NET30
CUST-00257,Anderson-Church,B,NET30
CUST-00258,"Duncan, Hartman and Hernandez",C,NET30
CUST-00259,Conner PLC,C,NET30
CUST-00260,Castro-Alvarez,C,NET45
CUST-00261,Foster-Joseph,C,NET45
CUST-00262,Smith-Mclean,C,NET30
CUST-00263,Jackson PLC,C,NET30
CUST-00264,Bonilla Ltd,C,NET30
CUST-00265,"Espinoza, Bowen and Gregory",C,NET30
CUST-00266,Page-Hart,A,NET30
CUST-00267,"Drake, Hines and Elliott",A,NET30
CUST-00268,Woods Ltd,A,NET30
CUST-00269,Mason-Martinez,B,NET60
CUST-00270,Cobb-Cantrell,C,NET45
CUST-00271,"Kelly, Garrett and Cobb",C,NET30
CUST-00272,Boyd-Vaughn,A,NET45
CUST-00273,Cruz-Harris,C,NET30
CUST-00274,Moran Group,B,NET30
CUST-00275,Brock PLC,A,NET30
CUST-00276,"Lyons, Herring and Medina",B,NET45
CUST-00277,Thomas Inc,C,NET30
CUST-00278,Andrews-Lowe,B,NET30
CUST-00279,Schwartz-Wagner,C,NET30
CUST-00280,"Lopez, Holmes and Wade",B,NET45
CUST-00281,Mays-Sims,B,NET45
CUST-00282,Huang-Francis,B,NET30
CUST-00283,"Jackson, Harris and Wise",C,NET45
CUST-00284,Sims-Cardenas,B,NET60
CUST-00285,"Bennett, Martinez and Brown",C,NET45
CUST-00286,"Thompson, Thompson and Hall",C,NET30
CUST-00287,"David, Macias and Sanchez",C,NET30
CUST-00288,"Cunningham, Solomon and Molina",A,NET30
CUST-00289,Castaneda and Sons,C,NET30
CUST-00290,Farmer PLC,C,NET45
CUST-00291,Murphy-Casey,C,NET30
CUST-00292,Young Ltd,B,NET30
CUST-00293,"Jackson, Hayes and Burke",B,NET30
CUST-00294,"Barron, Medina and Ballard",A,NET30
CUST-00295,"Chandler, Matthews and Waters",C,NET30
CUST-00296,Sanders LLC,A,NET45
CUST-00297,Guerrero PLC,B,NET30
CUST-00298,Harper-Pope,B,NET60
CUST-00299,Brooks-Garcia,C,NET30
CUST-00300,"Salazar, Griffin and Peterson",C,NET30
CUST-00301,Miller PLC,B,NET30
CUST-00302,"Chase, Ferrell and Campbell",B,NET30
CUST-00303,"Lewis, Nolan and Wilson",C,NET60
CUST-00304,"Weaver, Stewart and Robinson",C,NET30
CUST-00305,"Atkinson, Stone and Phillips",B,NET30
CUST-00306,Nolan Inc,C,NET60
CUST-00307,Finley Group,A,NET30
CUST-00308,Johnson-Mosley,C,NET45
CUST-00309,"Gutierrez, Robertson and Crawford",A,NET30
CUST-00310,"Williamson, Bradley and Pearson",B,NET30
CUST-00311,Peterson Group,C,NET30
CUST-00312,Macdonald Group,A,NET30
CUST-00313,Rivera-May,C,NET30
CUST-00314,"Carroll, Jenkins and Hammond",B,NET60
CUST-00315,Rodriguez-Burke,C,NET30
CUST-00316,"Randall, Simpson and Castillo",A,NET30
CUST-00317,"Adkins, Cohen and Brown",C,NET30
CUST-00318,Cooke-Fisher,C,NET30
CUST-00319,"Wood, Sanchez and Glover",B,NET45
CUST-00320,Cochran-Lee,C,NET30
CUST-00321,"Smith, Kidd and Rivers",B,NET30
CUST-00322,Murray-Lee,A,NET30
CUST-00323,Potts-Evans,A,NET45
CUST-00324,Hurley-Santiago,B,NET60
CUST-00325,Meadows-French,A,NET30
CUST-00326,Holt LLC,B,NET30
CUST-00327,Anderson-Esparza,C,NET30
CUST-00328,Olsen Ltd,A,NET30
CUST-00329,Lucas Group,C,NET30
CUST-00330,Sanchez-Stewart,C,NET30
CUST-00331,Jackson-Long,B,NET30
CUST-00332,"Garza, Jones and Garrett",C,NET30
CUST-00333,"Smith, Day and Davis",B,NET60
CUST-00334,Peters PLC,A,NET30
CUST-00335,Underwood-Gregory,B,NET30
CUST-00336,"Moyer, Simmons and Davis",C,NET30
CUST-00337,"Mitchell, Mercado and Villa",A,NET30
CUST-00338,Hernandez-Woods,C,NET30
CUST-00339,Benitez-Gonzalez,B,NET30
CUST-00340,Jones PLC,B,NET30
CUST-00341,Mejia-Simpson,C,NET45
CUST-00342,Beltran and Sons,C,NET60
CUST-00343,Smith-Fernandez,B,NET30
CUST-00344,Mcpherson Inc,C,NET30
CUST-00345,"Jordan, Davis and Miller",C,NET30
CUST-00346,"Lopez, Bentley and Webster",B,NET30
CUST-00347,"Garcia, Pierce and Hines",C,NET45
CUST-00348,"Reynolds, Lane and Padilla",B,NET30
CUST-00349,Alvarado Ltd,A,NET30
CUST-00350,"Garcia, Hernandez and Meyer",C,NET30
CUST-00351,Williams PLC,C,NET60
CUST-00352,"Mathews, Hopkins and Cunningham",B,NET30
CUST-00353,Scott Inc,B,NET30
CUST-00354,Mckinney Ltd,C,NET30
CUST-00355,"Brown, Garcia and Smith",A,NET30
CUST-00356,Miller-Shields,C,NET30
CUST-00357,"Young, Baker and Cordova",C,NET30
CUST-00358,"Garcia, Jackson and Hoffman",A,NET30
CUST-00359,Alvarado-Taylor,B,NET30
CUST-00360,Barajas Inc,C,NET30
CUST-00361,Adkins-Mendoza,A,NET30
CUST-00362,Adams Ltd,C,NET30
CUST-00363,Fowler PLC,B,NET30
CUST-00364,Martinez LLC,C,NET45
CUST-00365,"Buchanan, Salas and Diaz",A,NET30
CUST-00366,"Odonnell, Simpson and Brown",C,NET30
CUST-00367,Johnson PLC,C,NET30
CUST-00368,"Miller, Porter and Booth",C,NET60
CUST-00369,Fitzpatrick-Young,A,NET30
CUST-00370,"Ibarra, Mayo and Gomez",C,NET30
CUST-00371,Rocha and Sons,B,NET60
CUST-00372,Baker PLC,B,NET30
CUST-00373,Garcia LLC,C,NET45
CUST-00374,Baker Group,B,NET30
CUST-00375,"Ayala, Bishop and Preston",A,NET45
CUST-00376,"Ingram, Bishop and Willis",C,NET30
CUST-00377,Wilkinson Ltd,C,NET30
CUST-00378,Gordon LLC,B,NET45
CUST-00379,Miller-Obrien,C,NET45
CUST-00380,"Price, Adams and Silva",C,NET30
CUST-00381,Powell-Jackson,B,NET30
CUST-00382,Harmon PLC,C,NET45
CUST-00383,Warren and Sons,A,NET30
CUST-00384,Garcia-Lopez,C,NET60
CUST-00385,Hahn-Smith,A,NET30
CUST-00386,Wade-Roberts,C,NET30
CUST-00387,Best and Sons,A,NET45
CUST-00388,Klein-Garcia,A,NET60
CUST-00389,Reed-Smith,A,NET30
CUST-00390,"Morrison, Montoya and Smith",A,NET30
CUST-00391,"Griffin, Gaines and Soto",A,NET45
CUST-00392,"Strickland, Rollins and Hanson",B,NET30
CUST-00393,Obrien-Romero,C,NET30
CUST-00394,Edwards-Johnson,B,NET30
CUST-00395,Clark-Galvan,C,NET30
CUST-00396,Mclaughlin Group,B,NET30
CUST-00397,"Aguilar, Ortiz and Robinson",A,NET30
CUST-00398,Lambert-Reed,B,NET30
CUST-00399,Barron Ltd,B,NET45
CUST-00400,"Davis, Taylor and Stewart",C,NET30
CUST-00401,"Moyer, Hendrix and Turner",B,NET45
CUST-00402,Lewis Group,A,NET60
CUST-00403,Thomas and Sons,C,NET45
CUST-00404,"Jackson, Ross and Lee",C,NET30
CUST-00405,Shields-Davies,C,NET30
CUST-00406,Brown Ltd,C,NET45
CUST-00407,Meadows-Flores,A,NET30
CUST-00408,"Mcdonald, Serrano and Perry",A,NET60
CUST-00409,"Henderson, Baker and Clark",C,NET45
CUST-00410,"Hale, Martin and Watson",C,NET30
CUST-00411,"Burgess, Bryant and Gibson",A,NET30
CUST-00412,"Juarez, Durham and Ibarra",B,NET30
CUST-00413,"Myers, Winters and Duncan",B,NET60
CUST-00414,Bradshaw Group,C,NET45
CUST-00415,Price-Bauer,B,NET45
CUST-00416,Parker-Johnson,B,NET30
CUST-00417,"Eaton, Parker and Garcia",A,NET45
CUST-00418,Martin-Ellis,A,NET60
CUST-00419,King Group,A,NET30
CUST-00420,Martin PLC,B,NET30
CUST-00421,Lucas-Fry,C,NET30
CUST-00422,Diaz-Williamson,B,NET30
CUST-00423,Wall-Morales,C,NET45
CUST-00424,Randolph-Wilson,A,NET60
CUST-00425,"Guzman, Salas and Andrews",C,NET30
CUST-00426,Brown Group,A,NET30
CUST-00427,Bailey LLC,C,NET45
CUST-00428,Taylor-Floyd,C,NET30
CUST-00429,Guerrero PLC,A,NET30
CUST-00430,Chavez-Sandoval,B,NET45
CUST-00431,Taylor and Sons,B,NET60
CUST-00432,Garcia Inc,C,NET30
CUST-00433,Guerrero-Powell,C,NET30
CUST-00434,"Phillips, Daugherty and Nichols",A,NET45
CUST-00435,Hill Inc,C,NET30
CUST-00436,Nelson LLC,A,NET30
CUST-00437,"Johns, Cannon and Benson",B,NET60
CUST-00438,Wong-Cohen,C,NET45
CUST-00439,Lucas-Lyons,B,NET30
CUST-00440,"Maxwell, Clark and Massey",B,NET30
CUST-00441,Powers LLC,C,NET30
CUST-00442,Miller Ltd,C,NET60
CUST-00443,Rodriguez-Cunningham,C,NET45
CUST-00444,Oconnell-Thompson,C,NET45
CUST-00445,Anderson and Sons,A,NET45
CUST-00446,"Brewer, Young and Murphy",C,NET45
CUST-00447,"Nguyen, Andrews and Woods",A,NET30
CUST-00448,Bowers-Buckley,C,NET45
CUST-00449,Maynard LLC,A,NET60
CUST-00450,Love Ltd,B,NET45
CUST-00451,Chang-Carter,C,NET45
CUST-00452,"Wheeler, Velazquez and Meadows",C,NET30
CUST-00453,"Fisher, Patterson and Black",C,NET30
CUST-00454,Jones-Bowman,A,NET30
CUST-00455,Barton Ltd,B,NET60
CUST-00456,"Diaz, Torres and Tucker",B,NET30
CUST-00457,Hansen Inc,A,NET45
CUST-00458,"Robinson, Bolton and Ortiz",C,NET30
CUST-00459,Mueller-Grimes,C,NET30
CUST-00460,Mitchell-Lynch,C,NET30
CUST-00461,"Rocha, Wilson and Jones",A,NET45
CUST-00462,"Jordan, Molina and Richardson",C,NET30
CUST-00463,Hardin PLC,A,NET60
CUST-00464,"Hudson, Anderson and Brooks",B,NET30
CUST-00465,"Davis, Stanley and Scott",A,NET30
CUST-00466,Smith-Dixon,B,NET30
CUST-00467,"Brown, Hicks and Miles",B,NET30
CUST-00468,"Ritter, Johnson and Peterson",C,NET60
CUST-00469,Lee LLC,C,NET30
CUST-00470,"Ramos, Simpson and Williams",C,NET30
CUST-00471,"Townsend, Carroll and Reeves",C,NET45
CUST-00472,Choi-David,C,NET30
CUST-00473,Johnson PLC,C,NET30
CUST-00474,Petersen Group,C,NET30
CUST-00475,Berg-Campbell,B,NET30
CUST-00476,Andersen PLC,C,NET45
CUST-00477,Bonilla PLC,C,NET30
CUST-00478,Torres-Hill,A,NET30
CUST-00479,Hayes-White,C,NET30
CUST-00480,Potter Group,B,NET60
CUST-00481,Juarez Ltd,B,NET30
CUST-00482,Sloan-Mccullough,C,NET45
CUST-00483,Williams PLC,B,NET30
CUST-00484,Black-Tucker,C,NET30
CUST-00485,"King, Wilcox and Small",C,NET30
CUST-00486,Mclaughlin-Conrad,C,NET30
CUST-00487,"Franklin, Perez and Harris",A,NET30
CUST-00488,"Tapia, Keller and Cobb",C,NET30
CUST-00489,Harris-Burns,A,NET30
CUST-00490,Rogers-Phillips,C,NET30
CUST-00491,Nelson-Wilson,C,NET30
CUST-00492,Davila-Lam,C,NET45
CUST-00493,Henderson-Richards,A,NET30
CUST-00494,"Thomas, Ruiz and Briggs",B,NET30
CUST-00495,Chang Inc,B,NET30
CUST-00496,"Watson, Dennis and Blanchard",C,NET30
CUST-00497,"Williams, Marshall and Rhodes",A,NET30
CUST-00498,Mcclain and Sons,B,NET30
CUST-00499,"Velez, Williams and Lee",C,NET30
CUST-00500,"Berg, Hunt and Smith",B,NET30
CUST-00501,Mitchell-Buck,B,NET30
CUST-00502,Williams-Thomas,B,NET30
CUST-00503,"Soto, Robertson and Harper",C,NET30
CUST-00504,"Thompson, Tucker and Stewart",B,NET30
CUST-00505,"Jones, Flores and Johnson",C,NET30
CUST-00506,Ballard PLC,B,NET30
CUST-00507,Shah Group,A,NET30
CUST-00508,Kelley Inc,B,NET30
CUST-00509,Davis-Clements,C,NET45
CUST-00510,Mcdaniel-Gonzalez,A,NET30
CUST-00511,Reid Inc,B,NET30
CUST-00512,"Evans, Cruz and Reed",C,NET45
CUST-00513,Davis Inc,A,NET30
CUST-00514,Marsh-Lee,A,NET30
CUST-00515,"Adams, Ruiz and Herrera",C,NET30
CUST-00516,Williams Ltd,C,NET30
CUST-00517,Wheeler PLC,B,NET45
CUST-00518,Davis-Swanson,C,NET30
CUST-00519,"Campos, Lewis and Rangel",B,NET30
CUST-00520,"Whitehead, Haney and Bowen",C,NET30
CUST-00521,Barnes-Petersen,C,NET30
CUST-00522,Holmes-Moore,B,NET45
CUST-00523,Campbell Ltd,A,NET60
CUST-00524,"Rojas, Johnson and Morales",B,NET30
CUST-00525,Terry-Hatfield,B,NET30
CUST-00526,Thompson-Harris,C,NET30
CUST-00527,Tucker-Washington,C,NET30
CUST-00528,Hunter-Turner,B,NET30
CUST-00529,Fields Inc,C,NET30
CUST-00530,"Thomas, Melton and Mendoza",C,NET30
CUST-00531,Moore-Taylor,A,NET45
CUST-00532,"Henderson, Goodman and Gill",C,NET45
CUST-00533,Tanner PLC,B,NET30
CUST-00534,Manning Group,B,NET45
CUST-00535,Cannon Inc,C,NET45
CUST-00536,"Anderson, Mcgee and Baker",C,NET30
CUST-00537,"Franco, Sullivan and Moore",B,NET60
CUST-00538,"Boone, Collins and Ewing",C,NET45
CUST-00539,"Ramirez, Cunningham and Cooper",C,NET30
CUST-00540,"Garcia, Pope and Rivera",A,NET30
CUST-00541,"Haley, Cobb and Ramirez",A,NET30
CUST-00542,"Miller, Taylor and Hill",A,NET30
CUST-00543,Stein-Drake,C,NET30
CUST-00544,Zimmerman-Mcclure,C,NET30
CUST-00545,Pierce-Duke,A,NET45
CUST-00546,Smith Inc,C,NET30
CUST-00547,Rhodes-Smith,A,NET30
CUST-00548,Perry Group,C,NET30
CUST-00549,"Lane, Jackson and Mccann",B,NET60
CUST-00550,Garza PLC,B,NET45
CUST-00551,Patterson Group,C,NET30
CUST-00552,Hayes and Sons,C,NET30
CUST-00553,Maldonado-Robinson,A,NET30
CUST-00554,Escobar-Ochoa,B,NET45
CUST-00555,Wang PLC,C,NET30
CUST-00556,Black-Price,C,NET30
CUST-00557,Orozco LLC,C,NET30
CUST-00558,"Strickland, Castillo and Mcclure",C,NET30
CUST-00559,Douglas Group,B,NET45
CUST-00560,"Mitchell, Pham and Shelton",C,NET45
CUST-00561,"Howell, Moore and Bennett",C,NET60
CUST-00562,Scott PLC,A,NET30
CUST-00563,Palmer-Owen,B,NET45
CUST-00564,"Higgins, Hughes and Alvarez",C,NET30
CUST-00565,Hernandez Ltd,A,NET45
CUST-00566,Howard Inc,C,NET45
CUST-00567,Robertson-Sparks,C,NET45
CUST-00568,Lang Ltd,B,NET30
CUST-00569,Wallace-King,C,NET30
CUST-00570,Scott-Mcdonald,C,NET60
CUST-00571,Snyder-Tapia,A,NET30
CUST-00572,Delacruz-Scott,C,NET30
CUST-00573,Clark-Kennedy,C,NET30
CUST-00574,Dickson PLC,A,NET30
CUST-00575,Moore-Shields,B,NET30
CUST-00576,"Mccormick, Sanchez and Harmon",C,NET60
CUST-00577,"Powell, Martinez and Miller",C,NET60
CUST-00578,Avila and Sons,C,NET30
CUST-00579,Morris Inc,B,NET30
CUST-00580,Gutierrez PLC,C,NET30
CUST-00581,"Reid, Weeks and Fox",C,NET30
CUST-00582,"Lozano, Hart and Doyle",C,NET30
CUST-00583,"Roberts, Bradford and Arnold",B,NET30
CUST-00584,Randolph-Mays,C,NET30
