delivery_id,delivery_item,material_id,plant_id,delivery_quantity,delivery_status,delivery_date,sales_order,sales_order_item,fiscal_period
DL202301030000007733,5,MAT-01498,1,24,A,04-01-2023,OR202301030000007022,5,1
DL202301030000008275,1,MAT-00084,5,17,A,06-01-2023,OR202301030000002303,1,1
DL202301030000006079,2,MAT-00706,1,0,A,05-01-2023,OR202301030000002303,2,1
DL202301030000005293,3,MAT-00352,5,24,A,06-01-2023,OR202301030000002303,3,1
DL202301030000006346,4,MAT-00014,5,36,A,06-01-2023,OR202301030000002303,4,1
DL202301030000008872,1,MAT-01459,1,3,A,05-01-2023,OR202301030000009301,1,1
DL202301030000005580,2,MAT-01494,5,3,B,04-01-2023,OR202301030000009301,2,1
DL202301030000008414,1,MAT-01356,1,22,B,05-01-2023,OR202301030000009161,1,1
DL202301030000003125,2,MAT-00670,1,26,A,05-01-2023,OR202301030000009161,2,1
DL202301030000006572,3,MAT-00447,4,3,A,06-01-2023,OR202301030000009161,3,1
DL202301030000007866,1,MAT-00687,2,31,A,05-01-2023,OR202301030000009893,1,1
DL202301030000002580,2,MAT-00058,4,14,B,04-01-2023,OR202301030000009893,2,1
DL202301030000006864,3,MAT-00659,3,36,A,05-01-2023,OR202301030000009893,3,1
DL202301030000007735,1,MAT-01116,1,44,A,06-01-2023,OR202301030000009309,1,1
DL202301030000009735,2,MAT-00859,4,10,A,06-01-2023,OR202301030000009309,2,1
DL202301030000001452,3,MAT-00295,5,15,A,05-01-2023,OR202301030000009309,3,1
DL202301030000005529,1,MAT-01414,2,39,A,05-01-2023,OR202301030000001184,1,1
DL202301030000004114,2,MAT-01006,2,12,A,06-01-2023,OR202301030000001184,2,1
DL202301030000008310,1,MAT-00275,4,23,A,04-01-2023,OR202301030000009853,1,1
DL202301030000004318,1,MAT-00905,4,13,B,04-01-2023,OR202301030000002155,1,1
DL202301030000007579,2,MAT-00407,5,34,A,04-01-2023,OR202301030000002155,2,1
DL202301030000009494,3,MAT-00808,5,50,A,06-01-2023,OR202301030000002155,3,1
DL202301030000003139,1,MAT-01459,3,44,A,05-01-2023,OR202301030000003699,1,1
DL202301030000009883,2,MAT-00461,5,22,A,06-01-2023,OR202301030000003699,2,1
DL202301030000006161,1,MAT-00125,3,50,A,06-01-2023,OR202301030000005621,1,1
DL202301030000005113,2,MAT-00614,1,40,A,06-01-2023,OR202301030000005621,2,1
DL202301030000008102,3,MAT-00796,4,30,A,05-01-2023,OR202301030000005621,3,1
DL202301030000006611,1,MAT-01059,5,5,A,06-01-2023,OR202301030000009531,1,1
DL202301030000004322,2,MAT-01378,2,7,B,05-01-2023,OR202301030000009531,2,1
DL202301030000001850,3,MAT-00810,2,43,A,06-01-2023,OR202301030000009531,3,1
DL202301030000001985,4,MAT-00636,3,19,A,04-01-2023,OR202301030000009531,4,1
DL202301040000002959,1,MAT-01035,3,49,A,07-01-2023,OR202301040000009212,1,1
DL202301040000009492,2,MAT-00484,2,39,A,06-01-2023,OR202301040000009212,2,1
DL202301040000002294,3,MAT-00139,4,37,A,06-01-2023,OR202301040000009212,3,1
DL202301040000008981,4,MAT-00020,1,2,B,07-01-2023,OR202301040000009212,4,1
DL202301040000001629,1,MAT-00888,3,34,A,05-01-2023,OR202301040000005774,1,1
DL202301040000002036,2,MAT-01110,1,0,C,06-01-2023,OR202301040000005774,2,1
DL202301040000003322,3,MAT-00421,4,38,A,06-01-2023,OR202301040000005774,3,1
DL202301040000009295,4,MAT-00445,2,31,A,05-01-2023,OR202301040000005774,4,1
DL202301040000003385,1,MAT-00967,3,0,C,06-01-2023,OR202301040000003258,1,1
DL202301040000003660,1,MAT-01279,2,9,A,05-01-2023,OR202301040000001294,1,1
DL202301040000002666,2,MAT-00193,1,15,A,06-01-2023,OR202301040000001294,2,1
DL202301040000009200,3,MAT-00896,4,15,A,06-01-2023,OR202301040000001294,3,1
DL202301040000002960,4,MAT-00167,1,36,A,07-01-2023,OR202301040000001294,4,1
DL202301040000006720,1,MAT-01209,3,5,A,07-01-2023,OR202301040000009900,1,1
DL202301040000009601,2,MAT-01020,2,47,A,07-01-2023,OR202301040000009900,2,1
DL202301040000009745,1,MAT-00256,5,39,A,05-01-2023,OR202301040000003318,1,1
DL202301040000003434,2,MAT-01164,2,8,A,05-01-2023,OR202301040000003318,2,1
DL202301040000003999,3,MAT-00324,5,42,A,07-01-2023,OR202301040000003318,3,1
DL202301040000006224,1,MAT-01086,2,31,A,06-01-2023,OR202301040000006236,1,1
DL202301040000002847,1,MAT-00721,3,13,A,05-01-2023,OR202301040000006496,1,1
DL202301040000003591,2,MAT-00977,1,3,A,07-01-2023,OR202301040000006496,2,1
DL202301040000002722,3,MAT-01258,5,8,A,05-01-2023,OR202301040000006496,3,1
DL202301040000007892,4,MAT-00967,1,36,A,06-01-2023,OR202301040000006496,4,1
DL202301040000006600,1,MAT-00642,3,0,C,06-01-2023,OR202301040000007270,1,1
DL202301040000004401,1,MAT-00472,3,30,A,05-01-2023,OR202301040000005619,1,1
DL202301040000006117,2,MAT-00412,3,29,A,06-01-2023,OR202301040000005619,2,1
DL202301040000006152,3,MAT-00335,1,11,A,05-01-2023,OR202301040000005619,3,1
DL202301040000001985,4,MAT-01224,4,1,B,07-01-2023,OR202301040000005619,4,1
DL202301040000008937,1,MAT-00639,2,9,B,05-01-2023,OR202301040000006667,1,1
DL202301040000008735,2,MAT-00484,3,0,C,05-01-2023,OR202301040000006667,2,1
DL202301040000004363,3,MAT-01359,4,17,A,06-01-2023,OR202301040000006667,3,1
DL202301040000003070,1,MAT-00878,2,7,B,06-01-2023,OR202301040000007422,1,1
DL202301040000004992,2,MAT-00678,1,41,B,05-01-2023,OR202301040000007422,2,1
DL202301040000005669,3,MAT-01367,3,20,A,05-01-2023,OR202301040000007422,3,1
DL202301040000001209,4,MAT-00212,3,22,A,06-01-2023,OR202301040000007422,4,1
DL202301040000003640,5,MAT-00860,3,41,A,06-01-2023,OR202301040000007422,5,1
DL202301040000008953,1,MAT-00120,1,50,A,05-01-2023,OR202301040000002235,1,1
DL202301040000002574,2,MAT-00903,2,10,A,06-01-2023,OR202301040000002235,2,1
DL202301040000006103,3,MAT-01143,1,40,A,06-01-2023,OR202301040000002235,3,1
DL202301040000002049,1,MAT-00743,1,21,B,06-01-2023,OR202301040000006955,1,1
DL202301040000008566,1,MAT-01065,2,35,A,05-01-2023,OR202301040000004997,1,1
DL202301040000009981,2,MAT-00517,4,5,B,06-01-2023,OR202301040000004997,2,1
DL202301040000009047,3,MAT-01408,5,0,C,07-01-2023,OR202301040000004997,3,1
DL202301040000009878,4,MAT-01003,3,7,A,07-01-2023,OR202301040000004997,4,1
DL202301040000006685,5,MAT-00107,2,44,A,06-01-2023,OR202301040000004997,5,1
DL202301040000004220,1,MAT-00517,5,0,A,05-01-2023,OR202301040000002542,1,1
DL202301040000005789,2,MAT-00330,2,11,A,06-01-2023,OR202301040000002542,2,1
DL202301040000009212,3,MAT-01334,4,28,A,05-01-2023,OR202301040000002542,3,1
DL202301040000003909,1,MAT-01031,2,0,A,07-01-2023,OR202301040000006000,1,1
DL202301050000004725,1,MAT-00087,1,37,A,07-01-2023,OR202301050000009107,1,1
DL202301050000006499,2,MAT-01221,3,4,B,06-01-2023,OR202301050000009107,2,1
DL202301050000001916,3,MAT-00969,3,0,C,07-01-2023,OR202301050000009107,3,1
DL202301050000006044,4,MAT-00471,2,44,A,07-01-2023,OR202301050000009107,4,1
DL202301050000007179,1,MAT-00730,2,47,A,07-01-2023,OR202301050000002147,1,1
DL202301050000002644,2,MAT-00678,5,33,A,08-01-2023,OR202301050000002147,2,1
DL202301050000001383,3,MAT-00974,4,6,A,07-01-2023,OR202301050000002147,3,1
DL202301050000002168,4,MAT-00873,4,15,B,06-01-2023,OR202301050000002147,4,1
DL202301050000001540,5,MAT-00070,1,19,A,06-01-2023,OR202301050000002147,5,1
DL202301050000009201,1,MAT-00800,5,34,A,06-01-2023,OR202301050000004387,1,1
DL202301050000008650,2,MAT-01099,4,2,A,08-01-2023,OR202301050000004387,2,1
DL202301050000005269,1,MAT-00128,1,34,A,08-01-2023,OR202301050000002907,1,1
DL202301050000009599,2,MAT-00125,3,48,A,06-01-2023,OR202301050000002907,2,1
DL202301050000005599,3,MAT-00486,3,49,A,07-01-2023,OR202301050000002907,3,1
DL202301050000004549,4,MAT-00819,2,26,A,08-01-2023,OR202301050000002907,4,1
DL202301050000004739,5,MAT-01427,5,34,A,08-01-2023,OR202301050000002907,5,1
DL202301050000003608,1,MAT-00691,3,12,A,07-01-2023,OR202301050000005576,1,1
DL202301050000007743,1,MAT-01093,3,40,A,06-01-2023,OR202301050000008436,1,1
DL202301050000004973,2,MAT-00166,1,14,A,08-01-2023,OR202301050000008436,2,1
DL202301050000008556,1,MAT-00966,5,43,A,08-01-2023,OR202301050000009217,1,1
DL202301050000008732,1,MAT-01177,1,2,B,06-01-2023,OR202301050000003714,1,1
DL202301050000001087,2,MAT-00100,3,0,A,07-01-2023,OR202301050000003714,2,1
DL202301050000001061,1,MAT-01444,4,25,A,07-01-2023,OR202301050000001425,1,1
DL202301050000006953,2,MAT-01162,5,1,B,08-01-2023,OR202301050000001425,2,1
DL202301050000008457,3,MAT-01067,5,50,A,06-01-2023,OR202301050000001425,3,1
DL202301050000003840,1,MAT-00539,1,8,A,07-01-2023,OR202301050000005314,1,1
DL202301050000004126,2,MAT-01016,1,0,C,07-01-2023,OR202301050000005314,2,1
DL202301050000001527,3,MAT-01297,5,29,A,08-01-2023,OR202301050000005314,3,1
DL202301050000003624,4,MAT-00399,2,49,A,07-01-2023,OR202301050000005314,4,1
DL202301050000006201,1,MAT-00530,1,34,A,06-01-2023,OR202301050000008004,1,1
DL202301050000005812,2,MAT-00509,1,50,A,08-01-2023,OR202301050000008004,2,1
DL202301050000004575,3,MAT-00706,1,25,A,07-01-2023,OR202301050000008004,3,1
DL202301050000009436,4,MAT-00022,1,31,A,06-01-2023,OR202301050000008004,4,1
DL202301050000002761,1,MAT-00168,1,10,A,07-01-2023,OR202301050000008146,1,1
DL202301050000007972,2,MAT-00099,2,31,A,08-01-2023,OR202301050000008146,2,1
DL202301050000008098,1,MAT-00213,4,47,A,08-01-2023,OR202301050000006979,1,1
DL202301050000008638,2,MAT-00033,3,2,A,06-01-2023,OR202301050000006979,2,1
DL202301050000005275,3,MAT-00919,5,46,A,08-01-2023,OR202301050000006979,3,1
DL202301050000002284,1,MAT-00226,1,0,B,07-01-2023,OR202301050000004449,1,1
DL202301050000006406,2,MAT-00406,5,0,C,07-01-2023,OR202301050000004449,2,1
DL202301050000004229,3,MAT-01268,1,4,A,08-01-2023,OR202301050000004449,3,1
DL202301050000009357,1,MAT-01039,3,33,A,06-01-2023,OR202301050000002809,1,1
DL202301050000008383,2,MAT-00863,1,5,A,06-01-2023,OR202301050000002809,2,1
DL202301050000009861,3,MAT-01411,3,2,B,07-01-2023,OR202301050000002809,3,1
DL202301050000009775,4,MAT-00239,5,43,A,06-01-2023,OR202301050000002809,4,1
DL202301050000005498,1,MAT-01355,3,18,A,06-01-2023,OR202301050000001955,1,1
DL202301050000006124,2,MAT-00686,5,0,C,08-01-2023,OR202301050000001955,2,1
DL202301050000008155,1,MAT-00927,4,7,A,07-01-2023,OR202301050000002391,1,1
DL202301050000004189,2,MAT-01004,3,38,A,08-01-2023,OR202301050000002391,2,1
DL202301050000003646,3,MAT-00869,5,49,A,06-01-2023,OR202301050000002391,3,1
DL202301050000006389,4,MAT-01134,2,47,A,07-01-2023,OR202301050000002391,4,1
DL202301050000007449,5,MAT-00217,1,8,A,08-01-2023,OR202301050000002391,5,1
DL202301050000008291,1,MAT-00274,2,17,A,07-01-2023,OR202301050000009602,1,1
DL202301050000007251,2,MAT-00636,2,35,A,06-01-2023,OR202301050000009602,2,1
DL202301050000008008,3,MAT-00046,1,46,A,06-01-2023,OR202301050000009602,3,1
DL202301050000009068,4,MAT-00163,2,7,B,06-01-2023,OR202301050000009602,4,1
DL202301060000002808,1,MAT-01113,2,6,A,08-01-2023,OR202301060000001695,1,1
DL202301060000007201,1,MAT-01324,2,36,A,07-01-2023,OR202301060000005696,1,1
DL202301060000007086,2,MAT-00083,4,1,A,08-01-2023,OR202301060000005696,2,1
DL202301060000008225,3,MAT-00237,4,11,A,07-01-2023,OR202301060000005696,3,1
DL202301060000005017,1,MAT-01149,4,12,A,09-01-2023,OR202301060000001698,1,1
DL202301060000009788,1,MAT-00656,4,13,A,07-01-2023,OR202301060000008765,1,1
DL202301060000001839,2,MAT-00984,5,0,C,08-01-2023,OR202301060000008765,2,1
DL202301060000006076,3,MAT-01085,5,19,B,09-01-2023,OR202301060000008765,3,1
DL202301060000002093,4,MAT-00606,4,8,B,09-01-2023,OR202301060000008765,4,1
DL202301060000002754,1,MAT-00094,4,45,A,08-01-2023,OR202301060000004806,1,1
DL202301060000002195,2,MAT-00544,5,32,A,07-01-2023,OR202301060000004806,2,1
DL202301060000008196,3,MAT-01021,2,0,B,07-01-2023,OR202301060000004806,3,1
DL202301060000003092,4,MAT-01152,1,24,A,07-01-2023,OR202301060000004806,4,1
DL202301060000009312,1,MAT-00704,1,19,A,08-01-2023,OR202301060000007547,1,1
DL202301060000006068,2,MAT-00975,1,0,C,07-01-2023,OR202301060000007547,2,1
DL202301060000001402,3,MAT-00148,1,30,A,08-01-2023,OR202301060000007547,3,1
DL202301060000008729,1,MAT-00591,1,6,A,08-01-2023,OR202301060000006334,1,1
DL202301060000009533,2,MAT-00491,3,0,C,08-01-2023,OR202301060000006334,2,1
DL202301060000003759,3,MAT-00277,5,43,A,09-01-2023,OR202301060000006334,3,1
DL202301060000002316,4,MAT-01029,2,44,A,09-01-2023,OR202301060000006334,4,1
DL202301060000009122,5,MAT-01337,3,3,A,08-01-2023,OR202301060000006334,5,1
DL202301060000008968,1,MAT-00435,3,0,C,08-01-2023,OR202301060000007335,1,1
DL202301060000007177,2,MAT-01489,1,21,B,08-01-2023,OR202301060000007335,2,1
DL202301060000008884,3,MAT-00561,3,10,A,07-01-2023,OR202301060000007335,3,1
DL202301060000005053,4,MAT-00587,4,31,A,09-01-2023,OR202301060000007335,4,1
DL202301060000001720,5,MAT-00484,3,11,A,09-01-2023,OR202301060000007335,5,1
DL202301060000006798,1,MAT-00677,4,25,A,09-01-2023,OR202301060000003952,1,1
DL202301060000001414,2,MAT-01376,3,2,B,09-01-2023,OR202301060000003952,2,1
DL202301060000003330,1,MAT-00592,2,43,B,08-01-2023,OR202301060000009446,1,1
DL202301060000009065,2,MAT-00896,5,15,A,08-01-2023,OR202301060000009446,2,1
DL202301060000001510,3,MAT-01426,5,33,A,09-01-2023,OR202301060000009446,3,1
DL202301060000001435,4,MAT-00537,4,40,A,09-01-2023,OR202301060000009446,4,1
DL202301060000007025,5,MAT-00835,2,29,A,07-01-2023,OR202301060000009446,5,1
DL202301060000003308,1,MAT-00582,3,18,A,09-01-2023,OR202301060000006629,1,1
DL202301060000004082,2,MAT-01002,2,10,A,07-01-2023,OR202301060000006629,2,1
DL202301060000006783,3,MAT-01092,3,14,A,08-01-2023,OR202301060000006629,3,1
DL202301060000004798,4,MAT-01009,2,35,A,09-01-2023,OR202301060000006629,4,1
DL202301060000003377,5,MAT-00798,1,22,A,08-01-2023,OR202301060000006629,5,1
DL202301060000002754,1,MAT-00908,3,3,A,08-01-2023,OR202301060000007246,1,1
DL202301060000004655,2,MAT-01323,5,6,A,07-01-2023,OR202301060000007246,2,1
DL202301060000007093,3,MAT-00810,3,11,A,08-01-2023,OR202301060000007246,3,1
DL202301060000002855,4,MAT-00687,2,49,A,07-01-2023,OR202301060000007246,4,1
DL202301060000001387,1,MAT-00904,2,3,B,09-01-2023,OR202301060000005266,1,1
DL202301060000003065,1,MAT-00468,4,0,C,09-01-2023,OR202301060000003167,1,1
DL202301060000007780,1,MAT-00807,5,0,C,08-01-2023,OR202301060000008046,1,1
DL202301060000007769,2,MAT-00002,2,49,A,08-01-2023,OR202301060000008046,2,1
DL202301060000009349,3,MAT-00468,4,0,A,08-01-2023,OR202301060000008046,3,1
DL202301060000006439,4,MAT-00202,5,37,A,09-01-2023,OR202301060000008046,4,1
DL202301060000009618,1,MAT-00626,5,38,A,07-01-2023,OR202301060000001294,1,1
DL202301060000004119,2,MAT-00502,5,6,B,07-01-2023,OR202301060000001294,2,1
DL202301060000004131,3,MAT-00594,5,33,A,09-01-2023,OR202301060000001294,3,1
DL202301060000007493,4,MAT-01428,1,1,B,08-01-2023,OR202301060000001294,4,1
DL202301060000007422,5,MAT-00486,2,39,A,09-01-2023,OR202301060000001294,5,1
DL202301060000007313,1,MAT-00152,1,22,A,08-01-2023,OR202301060000007181,1,1
