sales_order,order_type,sales_org,distribution_channel,division,order_date,customer_id,fiscal_period
OR202301030000009853,OR,1000,10,0,03-01-2023,CUST-00802,1
OR202301030000002155,OR,1000,10,0,03-01-2023,CUST-00975,1
OR202301030000003699,OR,1000,10,0,03-01-2023,CUST-04576,1
OR202301030000005621,OR,1000,10,0,03-01-2023,CUST-01740,1
OR202301030000009531,OR,1000,10,0,03-01-2023,CUST-03354,1
OR202301040000009212,OR,1000,10,0,04-01-2023,CUST-04590,1
OR202301040000005774,OR,1000,10,0,04-01-2023,CUST-00366,1
OR202301040000003258,OR,1000,10,0,04-01-2023,CUST-01942,1
OR202301040000001294,OR,1000,10,0,04-01-2023,CUST-03033,1
OR202301040000009900,OR,1000,10,0,04-01-2023,CUST-02702,1
OR202301040000003318,OR,1000,10,0,04-01-2023,CUST-02434,1
OR202301040000006236,OR,1000,10,0,04-01-2023,CUST-02509,1
OR202301040000006496,OR,1000,10,0,04-01-2023,CUST-02436,1
OR202301040000007270,OR,1000,10,0,04-01-2023,CUST-00085,1
OR202301040000005619,OR,1000,10,0,04-01-2023,CUST-01145,1
OR202301040000006667,OR,1000,10,0,04-01-2023,CUST-04186,1
OR202301040000007422,OR,1000,10,0,04-01-2023,CUST-04095,1
OR202301040000002235,OR,1000,10,0,04-01-2023,CUST-00146,1
OR202301040000006955,OR,1000,10,0,04-01-2023,CUST-01739,1
OR202301040000004997,OR,1000,10,0,04-01-2023,CUST-04829,1
OR202301040000002542,OR,1000,10,0,04-01-2023,CUST-03110,1
OR202301040000006000,OR,1000,10,0,04-01-2023,CUST-00675,1
OR202301050000009107,OR,1000,10,0,05-01-2023,CUST-02606,1
OR202301050000002147,OR,1000,10,0,05-01-2023,CUST-03966,1
OR202301050000004387,OR,1000,10,0,05-01-2023,CUST-02859,1
OR202301050000002907,OR,1000,10,0,05-01-2023,CUST-03514,1
OR202301050000005576,OR,1000,10,0,05-01-2023,CUST-02493,1
OR202301050000008436,OR,1000,10,0,05-01-2023,CUST-00730,1
OR202301050000009217,OR,1000,10,0,05-01-2023,CUST-03645,1
OR202301050000003714,OR,1000,10,0,05-01-2023,CUST-04683,1
OR202301050000001425,OR,1000,10,0,05-01-2023,CUST-04798,1
OR202301050000005314,OR,1000,10,0,05-01-2023,CUST-00210,1
OR202301050000008004,OR,1000,10,0,05-01-2023,CUST-02312,1
OR202301050000008146,OR,1000,10,0,05-01-2023,CUST-04407,1
OR202301050000006979,OR,1000,10,0,05-01-2023,CUST-04034,1
OR202301050000004449,OR,1000,10,0,05-01-2023,CUST-00979,1
OR202301050000002809,OR,1000,10,0,05-01-2023,CUST-03965,1
OR202301050000001955,OR,1000,10,0,05-01-2023,CUST-04481,1
OR202301050000002391,OR,1000,10,0,05-01-2023,CUST-00463,1
OR202301050000009602,OR,1000,10,0,05-01-2023,CUST-04991,1
OR202301060000001695,OR,1000,10,0,06-01-2023,CUST-02135,1
OR202301060000005696,OR,1000,10,0,06-01-2023,CUST-02226,1
OR202301060000001698,OR,1000,10,0,06-01-2023,CUST-04398,1
OR202301060000008765,OR,1000,10,0,06-01-2023,CUST-03587,1
OR202301060000004806,OR,1000,10,0,06-01-2023,CUST-02209,1
OR202301060000007547,OR,1000,10,0,06-01-2023,CUST-02033,1
OR202301060000006334,OR,1000,10,0,06-01-2023,CUST-03686,1
OR202301060000007335,OR,1000,10,0,06-01-2023,CUST-01348,1
OR202301060000003952,OR,1000,10,0,06-01-2023,CUST-01116,1
OR202301060000009446,OR,1000,10,0,06-01-2023,CUST-00684,1
OR202301060000006629,OR,1000,10,0,06-01-2023,CUST-02209,1
OR202301060000007246,OR,1000,10,0,06-01-2023,CUST-03099,1
OR202301060000005266,OR,1000,10,0,06-01-2023,CUST-00682,1
OR202301060000003167,OR,1000,10,0,06-01-2023,CUST-00263,1
OR202301060000008046,OR,1000,10,0,06-01-2023,CUST-00323,1
OR202301060000001294,OR,1000,10,0,06-01-2023,CUST-01055,1
OR202301060000007181,OR,1000,10,0,06-01-2023,CUST-03115,1
OR202301060000005617,OR,1000,10,0,06-01-2023,CUST-03731,1
OR202301060000006014,OR,1000,10,0,06-01-2023,CUST-01555,1
OR202301060000004388,OR,1000,10,0,06-01-2023,CUST-04356,1
OR202301060000008899,OR,1000,10,0,06-01-2023,CUST-00215,1
OR202301060000006358,OR,1000,10,0,06-01-2023,CUST-01953,1
OR202301060000001647,OR,1000,10,0,06-01-2023,CUST-04765,1
OR202301060000008944,OR,1000,10,0,06-01-2023,CUST-01640,1
OR202301060000009679,OR,1000,10,0,06-01-2023,CUST-03518,1
OR202301060000004150,OR,1000,10,0,06-01-2023,CUST-00045,1
OR202301060000009387,OR,1000,10,0,06-01-2023,CUST-04612,1
OR202301090000005667,OR,1000,10,0,09-01-2023,CUST-02259,1
OR202301090000001974,OR,1000,10,0,09-01-2023,CUST-00221,1
OR202301090000004361,OR,1000,10,0,09-01-2023,CUST-02790,1
OR202301090000007869,OR,1000,10,0,09-01-2023,CUST-04400,1
OR202301090000001231,OR,1000,10,0,09-01-2023,CUST-02201,1
OR202301090000003283,OR,1000,10,0,09-01-2023,CUST-02658,1
OR202301090000007816,OR,1000,10,0,09-01-2023,CUST-04635,1
OR202301090000005223,OR,1000,10,0,09-01-2023,CUST-02273,1
OR202301090000005133,OR,1000,10,0,09-01-2023,CUST-04679,1
OR202301090000002624,OR,1000,10,0,09-01-2023,CUST-01141,1
OR202301090000003991,OR,1000,10,0,09-01-2023,CUST-00928,1
OR202301090000003933,OR,1000,10,0,09-01-2023,CUST-01247,1
OR202301090000005773,OR,1000,10,0,09-01-2023,CUST-00553,1
OR202301090000008407,OR,1000,10,0,09-01-2023,CUST-00070,1
OR202301090000002254,OR,1000,10,0,09-01-2023,CUST-01066,1
OR202301090000002885,OR,1000,10,0,09-01-2023,CUST-03092,1
OR202301090000008448,OR,1000,10,0,09-01-2023,CUST-04021,1
OR202301090000001822,OR,1000,10,0,09-01-2023,CUST-01230,1
OR202301090000005497,OR,1000,10,0,09-01-2023,CUST-04967,1
OR202301090000001810,OR,1000,10,0,09-01-2023,CUST-00767,1
OR202301090000007580,OR,1000,10,0,09-01-2023,CUST-02635,1
OR202301090000008822,OR,1000,10,0,09-01-2023,CUST-01218,1
OR202301090000002588,OR,1000,10,0,09-01-2023,CUST-00001,1
OR202301090000009378,OR,1000,10,0,09-01-2023,CUST-03898,1
OR202301090000002045,OR,1000,10,0,09-01-2023,CUST-02382,1
OR202301090000002160,OR,1000,10,0,09-01-2023,CUST-02240,1
OR202301100000007341,OR,1000,10,0,10-01-2023,CUST-01563,1
OR202301100000003686,OR,1000,10,0,10-01-2023,CUST-04395,1
OR202301100000003380,OR,1000,10,0,10-01-2023,CUST-00281,1
OR202301100000001363,OR,1000,10,0,10-01-2023,CUST-04430,1
OR202301100000007516,OR,1000,10,0,10-01-2023,CUST-02048,1
OR202301100000008779,OR,1000,10,0,10-01-2023,CUST-01877,1
OR202301100000004525,OR,1000,10,0,10-01-2023,CUST-01324,1
OR202301100000008277,OR,1000,10,0,10-01-2023,CUST-00156,1
OR202301100000002743,OR,1000,10,0,10-01-2023,CUST-02216,1
OR202301100000002256,OR,1000,10,0,10-01-2023,CUST-04841,1
OR202301100000004740,OR,1000,10,0,10-01-2023,CUST-01285,1
OR202301100000009548,OR,1000,10,0,10-01-2023,CUST-03558,1
OR202301100000002304,OR,1000,10,0,10-01-2023,CUST-00192,1
OR202301100000001020,OR,1000,10,0,10-01-2023,CUST-01672,1
OR202301100000006841,OR,1000,10,0,10-01-2023,CUST-04304,1
OR202301100000001277,OR,1000,10,0,10-01-2023,CUST-03718,1
OR202301100000006297,OR,1000,10,0,10-01-2023,CUST-00650,1
OR202301100000003490,OR,1000,10,0,10-01-2023,CUST-00955,1
OR202301100000002477,OR,1000,10,0,10-01-2023,CUST-01397,1
OR202301100000005160,OR,1000,10,0,10-01-2023,CUST-00302,1
OR202301100000007975,OR,1000,10,0,10-01-2023,CUST-04601,1
OR202301100000005166,OR,1000,10,0,10-01-2023,CUST-01240,1
OR202301100000007045,OR,1000,10,0,10-01-2023,CUST-02403,1
OR202301100000006679,OR,1000,10,0,10-01-2023,CUST-04007,1
OR202301100000001532,OR,1000,10,0,10-01-2023,CUST-04434,1
OR202301100000006349,OR,1000,10,0,10-01-2023,CUST-03553,1
OR202301100000009121,OR,1000,10,0,10-01-2023,CUST-02113,1
OR202301100000006509,OR,1000,10,0,10-01-2023,CUST-00984,1
OR202301100000008303,OR,1000,10,0,10-01-2023,CUST-00044,1
OR202301110000008100,OR,1000,10,0,11-01-2023,CUST-04928,1
OR202301110000009823,OR,1000,10,0,11-01-2023,CUST-03510,1
OR202301110000004143,OR,1000,10,0,11-01-2023,CUST-04433,1
OR202301110000002681,OR,1000,10,0,11-01-2023,CUST-02807,1
OR202301110000008977,OR,1000,10,0,11-01-2023,CUST-04164,1
OR202301110000001448,OR,1000,10,0,11-01-2023,CUST-04748,1
OR202301110000001560,OR,1000,10,0,11-01-2023,CUST-01817,1
OR202301110000006616,OR,1000,10,0,11-01-2023,CUST-01875,1
OR202301110000007874,OR,1000,10,0,11-01-2023,CUST-01142,1
OR202301110000009953,OR,1000,10,0,11-01-2023,CUST-04495,1
OR202301110000003351,OR,1000,10,0,11-01-2023,CUST-00124,1
OR202301110000003119,OR,1000,10,0,11-01-2023,CUST-00326,1
OR202301110000005474,OR,1000,10,0,11-01-2023,CUST-00436,1
OR202301110000005110,OR,1000,10,0,11-01-2023,CUST-03311,1
OR202301110000007495,OR,1000,10,0,11-01-2023,CUST-02560,1
OR202301110000004162,OR,1000,10,0,11-01-2023,CUST-01362,1
OR202301110000006815,OR,1000,10,0,11-01-2023,CUST-01062,1
OR202301110000001919,OR,1000,10,0,11-01-2023,CUST-01630,1
OR202301110000008031,OR,1000,10,0,11-01-2023,CUST-03813,1
OR202301110000008614,OR,1000,10,0,11-01-2023,CUST-00534,1
OR202301120000005020,OR,1000,10,0,12-01-2023,CUST-01082,1
OR202301120000003623,OR,1000,10,0,12-01-2023,CUST-03893,1
OR202301120000006269,OR,1000,10,0,12-01-2023,CUST-02765,1
OR202301120000006801,OR,1000,10,0,12-01-2023,CUST-00544,1
OR202301120000001437,OR,1000,10,0,12-01-2023,CUST-02529,1
OR202301120000001074,OR,1000,10,0,12-01-2023,CUST-03483,1
OR202301120000008694,OR,1000,10,0,12-01-2023,CUST-03596,1
OR202301120000004812,OR,1000,10,0,12-01-2023,CUST-00876,1
OR202301120000004370,OR,1000,10,0,12-01-2023,CUST-01498,1
OR202301120000009838,OR,1000,10,0,12-01-2023,CUST-04179,1
OR202301120000008761,OR,1000,10,0,12-01-2023,CUST-00498,1
OR202301120000001648,OR,1000,10,0,12-01-2023,CUST-03013,1
OR202301120000003887,OR,1000,10,0,12-01-2023,CUST-00261,1
OR202301120000005133,OR,1000,10,0,12-01-2023,CUST-00632,1
OR202301120000001923,OR,1000,10,0,12-01-2023,CUST-03643,1
OR202301120000008709,OR,1000,10,0,12-01-2023,CUST-02130,1
OR202301120000001594,OR,1000,10,0,12-01-2023,CUST-02931,1
OR202301120000005909,OR,1000,10,0,12-01-2023,CUST-02054,1
OR202301120000007031,OR,1000,10,0,12-01-2023,CUST-04528,1
OR202301120000009540,OR,1000,10,0,12-01-2023,CUST-03987,1
OR202301120000009785,OR,1000,10,0,12-01-2023,CUST-00099,1
OR202301120000003302,OR,1000,10,0,12-01-2023,CUST-04346,1
OR202301130000003760,OR,1000,10,0,13-01-2023,CUST-03181,1
OR202301130000002805,OR,1000,10,0,13-01-2023,CUST-03116,1
OR202301130000006387,OR,1000,10,0,13-01-2023,CUST-03750,1
OR202301130000001363,OR,1000,10,0,13-01-2023,CUST-02368,1
OR202301130000008906,OR,1000,10,0,13-01-2023,CUST-01129,1
OR202301130000006020,OR,1000,10,0,13-01-2023,CUST-01800,1
OR202301130000008138,OR,1000,10,0,13-01-2023,CUST-02798,1
OR202301130000006698,OR,1000,10,0,13-01-2023,CUST-00266,1
OR202301130000003876,OR,1000,10,0,13-01-2023,CUST-00213,1
OR202301130000002999,OR,1000,10,0,13-01-2023,CUST-04880,1
OR202301130000005669,OR,1000,10,0,13-01-2023,CUST-03440,1
OR202301130000007892,OR,1000,10,0,13-01-2023,CUST-04128,1
OR202301130000006126,OR,1000,10,0,13-01-2023,CUST-01949,1
OR202301130000008764,OR,1000,10,0,13-01-2023,CUST-00485,1
OR202301130000008764,OR,1000,10,0,13-01-2023,CUST-03785,1
OR202301130000005373,OR,1000,10,0,13-01-2023,CUST-01831,1
OR202301130000009123,OR,1000,10,0,13-01-2023,CUST-00080,1
OR202301130000007196,OR,1000,10,0,13-01-2023,CUST-02347,1
OR202301130000004815,OR,1000,10,0,13-01-2023,CUST-00582,1
OR202301130000002180,OR,1000,10,0,13-01-2023,CUST-04922,1
OR202301130000008944,OR,1000,10,0,13-01-2023,CUST-02126,1
OR202301130000004257,OR,1000,10,0,13-01-2023,CUST-00203,1
OR202301130000004501,OR,1000,10,0,13-01-2023,CUST-04760,1
OR202301130000001104,OR,1000,10,0,13-01-2023,CUST-02058,1
OR202301130000002149,OR,1000,10,0,13-01-2023,CUST-04880,1
OR202301130000003037,OR,1000,10,0,13-01-2023,CUST-00191,1
OR202301130000005905,OR,1000,10,0,13-01-2023,CUST-01869,1
OR202301130000001934,OR,1000,10,0,13-01-2023,CUST-02069,1
OR202301130000008598,OR,1000,10,0,13-01-2023,CUST-04591,1
OR202301130000004858,OR,1000,10,0,13-01-2023,CUST-03726,1
OR202301160000004213,OR,1000,10,0,16-01-2023,CUST-04415,1
OR202301160000002735,OR,1000,10,0,16-01-2023,CUST-04906,1
OR202301160000004800,OR,1000,10,0,16-01-2023,CUST-01554,1
OR202301160000007297,OR,1000,10,0,16-01-2023,CUST-03722,1
OR202301160000002940,OR,1000,10,0,16-01-2023,CUST-03121,1
OR202301160000005661,OR,1000,10,0,16-01-2023,CUST-01137,1
OR202301160000001590,OR,1000,10,0,16-01-2023,CUST-03260,1
OR202301160000006339,OR,1000,10,0,16-01-2023,CUST-03582,1
OR202301160000008065,OR,1000,10,0,16-01-2023,CUST-04017,1
OR202301160000008605,OR,1000,10,0,16-01-2023,CUST-01386,1
OR202301160000004668,OR,1000,10,0,16-01-2023,CUST-02287,1
OR202301160000004034,OR,1000,10,0,16-01-2023,CUST-02045,1
OR202301160000009221,OR,1000,10,0,16-01-2023,CUST-00690,1
OR202301160000005018,OR,1000,10,0,16-01-2023,CUST-02040,1
OR202301160000002241,OR,1000,10,0,16-01-2023,CUST-01841,1
OR202301160000002369,OR,1000,10,0,16-01-2023,CUST-02696,1
OR202301160000006051,OR,1000,10,0,16-01-2023,CUST-04369,1
OR202301160000008205,OR,1000,10,0,16-01-2023,CUST-04065,1
OR202301160000005907,OR,1000,10,0,16-01-2023,CUST-01026,1
OR202301160000009275,OR,1000,10,0,16-01-2023,CUST-01105,1
OR202301160000008478,OR,1000,10,0,16-01-2023,CUST-01837,1
OR202301160000001035,OR,1000,10,0,16-01-2023,CUST-00189,1
OR202301160000003778,OR,1000,10,0,16-01-2023,CUST-03239,1
OR202301160000008591,OR,1000,10,0,16-01-2023,CUST-02319,1
OR202301160000007204,OR,1000,10,0,16-01-2023,CUST-01731,1
OR202301160000008921,OR,1000,10,0,16-01-2023,CUST-04572,1
OR202301160000009902,OR,1000,10,0,16-01-2023,CUST-01420,1
OR202301170000003227,OR,1000,10,0,17-01-2023,CUST-04947,1
OR202301170000005563,OR,1000,10,0,17-01-2023,CUST-03427,1
OR202301170000009169,OR,1000,10,0,17-01-2023,CUST-01108,1
OR202301170000005451,OR,1000,10,0,17-01-2023,CUST-04036,1
OR202301170000005236,OR,1000,10,0,17-01-2023,CUST-02239,1
OR202301170000004621,OR,1000,10,0,17-01-2023,CUST-01428,1
OR202301170000003120,OR,1000,10,0,17-01-2023,CUST-03568,1
OR202301170000005553,OR,1000,10,0,17-01-2023,CUST-02828,1
OR202301170000009670,OR,1000,10,0,17-01-2023,CUST-03971,1
OR202301170000003637,OR,1000,10,0,17-01-2023,CUST-03632,1
OR202301170000007650,OR,1000,10,0,17-01-2023,CUST-04474,1
OR202301170000005339,OR,1000,10,0,17-01-2023,CUST-01551,1
OR202301170000006543,OR,1000,10,0,17-01-2023,CUST-01565,1
OR202301170000009936,OR,1000,10,0,17-01-2023,CUST-00981,1
OR202301170000005606,OR,1000,10,0,17-01-2023,CUST-03703,1
OR202301170000009285,OR,1000,10,0,17-01-2023,CUST-02566,1
OR202301170000001875,OR,1000,10,0,17-01-2023,CUST-02124,1
OR202301170000006226,OR,1000,10,0,17-01-2023,CUST-00849,1
OR202301170000004482,OR,1000,10,0,17-01-2023,CUST-00755,1
OR202301170000009531,OR,1000,10,0,17-01-2023,CUST-00443,1
OR202301170000009529,OR,1000,10,0,17-01-2023,CUST-02987,1
OR202301170000005929,OR,1000,10,0,17-01-2023,CUST-02230,1
OR202301170000001384,OR,1000,10,0,17-01-2023,CUST-03636,1
OR202301170000006876,OR,1000,10,0,17-01-2023,CUST-01267,1
OR202301170000001970,OR,1000,10,0,17-01-2023,CUST-01537,1
OR202301170000002099,OR,1000,10,0,17-01-2023,CUST-03268,1
OR202301170000008135,OR,1000,10,0,17-01-2023,CUST-02981,1
OR202301170000005562,OR,1000,10,0,17-01-2023,CUST-00596,1
OR202301180000008199,OR,1000,10,0,18-01-2023,CUST-03240,1
OR202301180000006398,OR,1000,10,0,18-01-2023,CUST-01969,1
OR202301180000001136,OR,1000,10,0,18-01-2023,CUST-03109,1
OR202301180000004043,OR,1000,10,0,18-01-2023,CUST-00860,1
OR202301180000004833,OR,1000,10,0,18-01-2023,CUST-04048,1
OR202301180000009332,OR,1000,10,0,18-01-2023,CUST-03687,1
OR202301180000001232,OR,1000,10,0,18-01-2023,CUST-00890,1
OR202301180000003213,OR,1000,10,0,18-01-2023,CUST-01145,1
OR202301180000004132,OR,1000,10,0,18-01-2023,CUST-01986,1
OR202301180000001359,OR,1000,10,0,18-01-2023,CUST-02563,1
OR202301180000005712,OR,1000,10,0,18-01-2023,CUST-02899,1
OR202301180000006411,OR,1000,10,0,18-01-2023,CUST-00666,1
OR202301180000007764,OR,1000,10,0,18-01-2023,CUST-02884,1
OR202301180000004979,OR,1000,10,0,18-01-2023,CUST-01887,1
OR202301180000001023,OR,1000,10,0,18-01-2023,CUST-01556,1
OR202301180000001432,OR,1000,10,0,18-01-2023,CUST-01391,1
OR202301180000004471,OR,1000,10,0,18-01-2023,CUST-00687,1
OR202301180000009983,OR,1000,10,0,18-01-2023,CUST-00727,1
OR202301180000001475,OR,1000,10,0,18-01-2023,CUST-00833,1
OR202301180000005187,OR,1000,10,0,18-01-2023,CUST-01536,1
OR202301180000001244,OR,1000,10,0,18-01-2023,CUST-01958,1
OR202301190000007347,OR,1000,10,0,19-01-2023,CUST-02695,1
OR202301190000007747,OR,1000,10,0,19-01-2023,CUST-03528,1
OR202301190000009498,OR,1000,10,0,19-01-2023,CUST-00932,1
OR202301190000007695,OR,1000,10,0,19-01-2023,CUST-01488,1
OR202301190000005112,OR,1000,10,0,19-01-2023,CUST-01795,1
OR202301190000003243,OR,1000,10,0,19-01-2023,CUST-04452,1
OR202301190000007489,OR,1000,10,0,19-01-2023,CUST-02388,1
OR202301190000003489,OR,1000,10,0,19-01-2023,CUST-00654,1
OR202301190000001218,OR,1000,10,0,19-01-2023,CUST-00197,1
OR202301190000005725,OR,1000,10,0,19-01-2023,CUST-00133,1
OR202301190000007824,OR,1000,10,0,19-01-2023,CUST-01500,1
OR202301190000004732,OR,1000,10,0,19-01-2023,CUST-03164,1
OR202301190000001320,OR,1000,10,0,19-01-2023,CUST-02287,1
OR202301190000003515,OR,1000,10,0,19-01-2023,CUST-03210,1
OR202301190000005600,OR,1000,10,0,19-01-2023,CUST-00314,1
OR202301190000002416,OR,1000,10,0,19-01-2023,CUST-00434,1
OR202301190000003038,OR,1000,10,0,19-01-2023,CUST-02091,1
OR202301190000001972,OR,1000,10,0,19-01-2023,CUST-03943,1
OR202301190000007256,OR,1000,10,0,19-01-2023,CUST-04545,1
OR202301190000009516,OR,1000,10,0,19-01-2023,CUST-01272,1
OR202301190000006459,OR,1000,10,0,19-01-2023,CUST-01082,1
OR202301190000009235,OR,1000,10,0,19-01-2023,CUST-01728,1
OR202301190000009861,OR,1000,10,0,19-01-2023,CUST-00021,1
OR202301190000004440,OR,1000,10,0,19-01-2023,CUST-03039,1
OR202301200000009905,OR,1000,10,0,20-01-2023,CUST-02941,1
OR202301200000005051,OR,1000,10,0,20-01-2023,CUST-03567,1
OR202301200000002651,OR,1000,10,0,20-01-2023,CUST-04446,1
OR202301200000005939,OR,1000,10,0,20-01-2023,CUST-00346,1
OR202301200000006784,OR,1000,10,0,20-01-2023,CUST-04144,1
OR202301200000008170,OR,1000,10,0,20-01-2023,CUST-03952,1
OR202301200000006878,OR,1000,10,0,20-01-2023,CUST-04039,1
OR202301200000008780,OR,1000,10,0,20-01-2023,CUST-04268,1
OR202301200000001897,OR,1000,10,0,20-01-2023,CUST-04736,1
OR202301200000005629,OR,1000,10,0,20-01-2023,CUST-02759,1
OR202301200000003547,OR,1000,10,0,20-01-2023,CUST-00926,1
OR202301200000007095,OR,1000,10,0,20-01-2023,CUST-02614,1
OR202301200000003950,OR,1000,10,0,20-01-2023,CUST-03338,1
OR202301200000006820,OR,1000,10,0,20-01-2023,CUST-04648,1
OR202301200000007605,OR,1000,10,0,20-01-2023,CUST-00605,1
OR202301230000002647,OR,1000,10,0,23-01-2023,CUST-03994,1
OR202301230000002453,OR,1000,10,0,23-01-2023,CUST-00583,1
OR202301230000005497,OR,1000,10,0,23-01-2023,CUST-01292,1
OR202301230000002312,OR,1000,10,0,23-01-2023,CUST-04714,1
OR202301230000009825,OR,1000,10,0,23-01-2023,CUST-00954,1
OR202301230000002101,OR,1000,10,0,23-01-2023,CUST-01457,1
OR202301230000006752,OR,1000,10,0,23-01-2023,CUST-04531,1
OR202301230000001471,OR,1000,10,0,23-01-2023,CUST-03625,1
OR202301230000008203,OR,1000,10,0,23-01-2023,CUST-02185,1
OR202301230000003260,OR,1000,10,0,23-01-2023,CUST-04194,1
OR202301230000009915,OR,1000,10,0,23-01-2023,CUST-03846,1
OR202301230000002308,OR,1000,10,0,23-01-2023,CUST-03410,1
OR202301230000002086,OR,1000,10,0,23-01-2023,CUST-03297,1
OR202301230000007808,OR,1000,10,0,23-01-2023,CUST-03454,1
OR202301230000005733,OR,1000,10,0,23-01-2023,CUST-03009,1
OR202301230000002614,OR,1000,10,0,23-01-2023,CUST-00534,1
OR202301230000004950,OR,1000,10,0,23-01-2023,CUST-01508,1
OR202301230000006658,OR,1000,10,0,23-01-2023,CUST-01274,1
OR202301230000008020,OR,1000,10,0,23-01-2023,CUST-00421,1
OR202301230000008090,OR,1000,10,0,23-01-2023,CUST-04481,1
OR202301230000001007,OR,1000,10,0,23-01-2023,CUST-00200,1
OR202301230000005791,OR,1000,10,0,23-01-2023,CUST-01351,1
OR202301230000006341,OR,1000,10,0,23-01-2023,CUST-02065,1
OR202301240000006580,OR,1000,10,0,24-01-2023,CUST-01532,1
OR202301240000006540,OR,1000,10,0,24-01-2023,CUST-00963,1
OR202301240000009591,OR,1000,10,0,24-01-2023,CUST-00047,1
OR202301240000008385,OR,1000,10,0,24-01-2023,CUST-04843,1
OR202301240000005927,OR,1000,10,0,24-01-2023,CUST-02000,1
OR202301240000004612,OR,1000,10,0,24-01-2023,CUST-01011,1
OR202301240000005930,OR,1000,10,0,24-01-2023,CUST-04062,1
OR202301240000001264,OR,1000,10,0,24-01-2023,CUST-04578,1
OR202301240000007838,OR,1000,10,0,24-01-2023,CUST-04333,1
OR202301240000009578,OR,1000,10,0,24-01-2023,CUST-03527,1
OR202301240000008615,OR,1000,10,0,24-01-2023,CUST-03260,1
OR202301240000007557,OR,1000,10,0,24-01-2023,CUST-01061,1
OR202301240000002309,OR,1000,10,0,24-01-2023,CUST-00884,1
OR202301240000001299,OR,1000,10,0,24-01-2023,CUST-04959,1
OR202301240000002548,OR,1000,10,0,24-01-2023,CUST-03446,1
OR202301240000008069,OR,1000,10,0,24-01-2023,CUST-02205,1
OR202301240000003988,OR,1000,10,0,24-01-2023,CUST-02081,1
OR202301240000007327,OR,1000,10,0,24-01-2023,CUST-02227,1
OR202301240000003493,OR,1000,10,0,24-01-2023,CUST-01900,1
OR202301240000009787,OR,1000,10,0,24-01-2023,CUST-02186,1
