material_id,plant_id,storage_location,unrestricted_stock,quality_insp,blocked_stock,safety_stock,last_count_date
MAT-00009,5,WH02,351.5,41,0,51,
MAT-00010,1,C001,277.5,42,0,37,
MAT-00010,1,WH01,231,20,0,31,
MAT-00010,2,A001,178.5,36,0,27,
MAT-00010,2,WH02,105,3,0,20,
MAT-00010,3,WH01,1401,6,0,187,
MAT-00010,3,A001,912,35,0,122,
MAT-00010,4,C001,1606.5,11,0,169,
MAT-00010,4,A001,390,23,0,22,
MAT-00010,5,A001,657,42,0,91,
MAT-00010,5,B001,558.5,36,0,79,
MAT-00011,1,WH01,1109,48,0,160,
MAT-00011,1,B001,1298.5,14,0,148,
MAT-00011,2,WH02,158.5,5,0,27,
MAT-00011,2,B001,124,43,0,22,
MAT-00011,3,B001,672.5,39,0,95,
MAT-00011,3,WH01,1359.5,38,0,182,
MAT-00011,4,WH01,1454.5,29,0,153,
MAT-00011,4,C001,2292,44,0,158,
MAT-00011,5,C001,1453,38,0,198,
MAT-00011,5,B001,1134,20,0,106,
MAT-00012,1,WH02,1299,19,0,173,
MAT-00012,1,WH01,897,48,0,72,
MAT-00012,2,B001,366,24,0,51,
MAT-00012,2,C001,1168.5,43,0,156,
MAT-00012,3,WH02,1062.5,41,0,157,
MAT-00012,3,C001,668.5,3,0,54,
MAT-00012,4,C001,639,18,0,103,
MAT-00012,4,A001,322.5,22,0,43,
MAT-00012,5,B001,569,2,0,80,
MAT-00012,5,WH01,1338,50,0,182,
MAT-00013,1,C001,412,15,0,58,
MAT-00013,1,A001,809.5,49,0,114,
MAT-00013,2,WH02,1659.5,28,0,198,
MAT-00013,2,B001,1362,27,0,182,
MAT-00013,3,WH01,677,34,0,98,
MAT-00013,3,WH02,238.5,47,0,43,
MAT-00013,4,WH01,1662.5,33,0,191,
MAT-00013,4,A001,610.5,21,0,85,
MAT-00013,5,WH01,1333.5,50,0,185,
MAT-00013,5,A001,802,19,0,114,
MAT-00014,1,WH02,1378.5,23,0,184,
MAT-00014,1,A001,921.5,19,0,127,
MAT-00014,2,WH02,870,32,0,126,
MAT-00014,2,WH01,270,17,0,36,
MAT-00014,3,C001,936.5,3,0,125,
MAT-00014,3,A001,461,21,0,63,
MAT-00014,4,WH02,298.5,18,0,55,
MAT-00014,4,WH01,1275,2,0,170,
MAT-00014,5,C001,541.5,16,0,72,
MAT-00014,5,WH01,625,1,0,88,
MAT-00015,1,WH02,920,11,0,63,
MAT-00015,1,WH01,950,23,0,73,
MAT-00015,2,B001,343,28,0,50,
MAT-00015,2,C001,1281,37,0,171,
MAT-00015,3,A001,302.5,5,0,44,
MAT-00015,3,WH02,1212,3,0,162,
MAT-00015,4,WH02,1328.5,44,0,184,
MAT-00015,4,C001,1439,4,0,196,
MAT-00015,5,WH02,1086,43,0,104,
MAT-00015,5,C001,778,32,0,107,
MAT-00016,1,WH02,1065,14,0,142,
MAT-00016,1,C001,1394,10,0,188,
MAT-00016,2,A001,697.5,36,0,93,
MAT-00016,2,B001,739.5,7,0,104,
MAT-00016,3,WH02,175.5,42,0,31,
MAT-00016,3,B001,846,46,0,113,
MAT-00016,4,B001,1213.5,34,0,162,
MAT-00016,4,C001,148,48,0,22,
MAT-00016,5,A001,537.5,42,0,50,
MAT-00016,5,B001,1646.5,26,0,196,
MAT-00017,1,C001,681,39,0,91,
MAT-00017,1,B001,878.5,42,0,121,
MAT-00017,2,B001,623,21,0,88,
MAT-00017,2,A001,598.5,34,0,81,
MAT-00017,3,B001,1795,35,0,182,
MAT-00017,3,WH01,1379.5,6,0,197,
MAT-00017,4,WH02,233.5,48,0,33,
MAT-00017,4,B001,1384.5,18,0,185,
MAT-00017,5,WH01,1004.5,46,0,145,
MAT-00017,5,C001,950,17,0,130,
MAT-00018,1,WH01,673.5,0,0,99,
MAT-00018,1,C001,601.5,11,0,80,
MAT-00018,2,WH02,848,6,0,113,
MAT-00018,2,B001,864.5,46,0,119,
MAT-00018,3,WH02,1197,30,0,160,
MAT-00018,3,C001,1291.5,11,0,183,
MAT-00018,4,A001,758,5,0,108,
MAT-00018,4,C001,808.5,11,0,114,
MAT-00018,5,WH01,972,3,0,130,
MAT-00018,5,C001,1349,17,0,186,
MAT-00019,1,C001,1104,11,0,147,
MAT-00019,1,B001,1009.5,28,0,107,
MAT-00019,2,WH01,1284.5,34,0,141,
MAT-00019,2,WH02,900.5,29,0,127,
MAT-00019,3,WH01,600,17,0,80,
MAT-00019,3,C001,650.5,32,0,87,
MAT-00019,4,C001,1309,18,0,175,
MAT-00019,4,WH01,220,15,0,34,
MAT-00019,5,C001,262,39,0,44,
MAT-00019,5,A001,751.5,46,0,48,
MAT-00020,1,WH02,734.5,0,0,105,
MAT-00020,1,B001,1168.5,21,0,161,
MAT-00020,2,WH02,429,44,0,57,
MAT-00020,2,WH01,838,21,0,113,
MAT-00020,3,A001,497.5,24,0,71,
MAT-00020,3,B001,531.5,33,0,71,
MAT-00020,4,WH02,301.5,9,0,43,
MAT-00020,4,A001,1617,17,0,192,
MAT-00020,5,WH02,1359,18,0,181,
MAT-00020,5,C001,815,38,0,118,
MAT-00021,1,B001,1253,50,0,167,
MAT-00021,1,WH01,1177.5,22,0,157,
MAT-00021,2,WH01,382.5,23,0,34,
MAT-00021,2,A001,778.5,35,0,104,
MAT-00021,3,WH01,1261,8,0,164,
MAT-00021,3,B001,1195,15,0,164,
MAT-00021,4,A001,164,42,0,26,
MAT-00021,4,WH01,1233,21,0,106,
MAT-00021,5,WH02,933,1,0,126,
MAT-00021,5,C001,1480.5,20,0,197,
MAT-00022,1,B001,688.5,2,0,97,
MAT-00022,1,A001,351,45,0,47,
MAT-00022,2,B001,1083,19,0,150,
MAT-00022,2,WH01,518.5,15,0,69,
MAT-00022,3,A001,1435.5,28,0,191,
MAT-00022,3,B001,1267.5,11,0,158,
MAT-00022,4,WH01,973.5,26,0,130,
MAT-00022,4,A001,1317,41,0,150,
MAT-00022,5,B001,530.5,29,0,81,
MAT-00022,5,C001,1559.5,22,0,199,
MAT-00023,1,WH01,1473,4,0,196,
MAT-00023,1,B001,1335,6,0,184,
MAT-00023,2,B001,453,34,0,63,
MAT-00023,2,A001,1572.5,0,0,163,
MAT-00023,3,WH01,983,31,0,134,
MAT-00023,3,B001,950,48,0,130,
MAT-00023,4,A001,789,4,0,105,
MAT-00023,4,WH01,615,44,0,85,
MAT-00023,5,C001,1105.5,32,0,147,
MAT-00023,5,WH02,814.5,32,0,88,
MAT-00024,1,WH01,482.5,22,0,67,
MAT-00024,1,WH02,814.5,20,0,109,
MAT-00024,2,C001,941.5,1,0,127,
MAT-00024,2,A001,361.5,40,0,54,
MAT-00024,3,WH02,669,8,0,89,
MAT-00024,3,B001,221.5,10,0,35,
MAT-00024,4,WH02,757.5,37,0,109,
MAT-00024,4,WH01,213,20,0,28,
MAT-00024,5,WH02,748.5,37,0,100,
MAT-00024,5,C001,1246.5,38,0,166,
MAT-00025,1,WH02,411.5,34,0,56,
MAT-00025,1,C001,919.5,10,0,123,
MAT-00025,2,WH02,800.5,2,0,112,
MAT-00025,2,C001,654,9,0,87,
MAT-00025,3,A001,227.5,42,0,36,
MAT-00025,3,B001,470.5,43,0,65,
MAT-00025,4,B001,266.5,50,0,39,
MAT-00025,4,WH01,1276.5,48,0,170,
MAT-00025,5,B001,1212.5,10,0,173,
MAT-00025,5,WH02,408.5,13,0,23,
MAT-00026,1,WH01,1089.5,27,0,127,
MAT-00026,1,WH02,498,8,0,80,
MAT-00026,2,WH01,1424,24,0,132,
MAT-00026,2,WH02,348.5,27,0,48,
MAT-00026,3,WH02,435,30,0,58,
MAT-00026,3,C001,353.5,33,0,49,
MAT-00026,4,WH01,193.5,46,0,26,
MAT-00026,4,WH02,492.5,9,0,70,
MAT-00026,5,A001,838.5,35,0,112,
MAT-00026,5,WH01,452.5,17,0,66,
MAT-00027,1,WH01,1284.5,0,0,172,
MAT-00027,1,A001,774,11,0,103,
MAT-00027,2,WH02,1372.5,14,0,189,
MAT-00027,2,B001,952,40,0,74,
MAT-00027,3,C001,886.5,15,0,118,
MAT-00027,3,WH02,560,27,0,90,
MAT-00027,4,B001,1147.5,8,0,153,
MAT-00027,4,WH02,1468.5,28,0,196,
MAT-00027,5,WH01,171.5,16,0,31,
MAT-00027,5,A001,657,13,0,88,
MAT-00028,1,C001,1410,37,0,164,
MAT-00028,1,WH02,890.5,13,0,116,
MAT-00028,2,A001,1619,29,0,179,
MAT-00028,2,B001,479.5,47,0,65,
MAT-00028,3,B001,994.5,22,0,133,
MAT-00028,3,WH02,1587.5,28,0,187,
MAT-00028,4,A001,1223,10,0,165,
MAT-00028,4,C001,1360.5,16,0,181,
MAT-00028,5,A001,639.5,21,0,88,
MAT-00028,5,B001,622.5,18,0,89,
MAT-00029,1,WH01,1227,50,0,138,
MAT-00029,1,B001,817,29,0,112,
MAT-00029,2,A001,302,6,0,41,
MAT-00029,2,C001,784.5,30,0,105,
MAT-00029,3,WH02,702,50,0,94,
MAT-00029,3,A001,966.5,26,0,139,
MAT-00029,4,C001,1759,41,0,198,
MAT-00029,4,WH01,856.5,14,0,114,
MAT-00029,5,WH02,1880.5,50,0,192,
MAT-00029,5,WH01,1491,21,0,199,
MAT-00030,1,WH01,714,17,0,81,
MAT-00030,1,A001,896.5,42,0,125,
MAT-00030,2,C001,869.5,47,0,122,
MAT-00030,2,WH01,499.5,13,0,67,
MAT-00030,3,B001,1070,4,0,148,
MAT-00030,3,WH02,1209,10,0,161,
MAT-00030,4,C001,690,34,0,92,
MAT-00030,4,WH02,864,44,0,115,
MAT-00030,5,WH01,147,42,0,22,
MAT-00030,5,A001,1453.5,27,0,194,
MAT-00031,1,B001,1158.5,39,0,159,
MAT-00031,1,WH02,499,20,0,74,
MAT-00031,2,WH02,394.5,26,0,53,
MAT-00031,2,C001,571.5,2,0,76,
MAT-00031,3,WH01,186,40,0,25,
MAT-00031,3,WH02,1002,38,0,134,
MAT-00031,4,C001,394,5,0,32,
MAT-00031,4,B001,346.5,45,0,46,
MAT-00031,5,A001,1817,15,0,196,
MAT-00031,5,B001,1033.5,32,0,138,
MAT-00032,1,A001,520.5,46,0,69,
MAT-00032,1,WH02,1260,31,0,123,
MAT-00032,2,A001,368.5,34,0,49,
MAT-00032,2,WH01,826.5,15,0,66,
MAT-00032,3,C001,975,39,0,132,
MAT-00032,3,WH01,231,20,0,31,
MAT-00032,4,WH02,129.5,34,0,28,
MAT-00032,4,A001,1436.5,1,0,158,
MAT-00032,5,A001,1820,13,0,188,
MAT-00032,5,C001,466.5,29,0,62,
MAT-00033,1,C001,889.5,25,0,87,
MAT-00033,1,B001,827.5,1,0,114,
MAT-00033,2,B001,940,10,0,120,
MAT-00033,2,WH01,907.5,49,0,125,
MAT-00033,3,WH01,639,24,0,85,
MAT-00033,3,A001,686,38,0,95,
MAT-00033,4,WH01,844.5,44,0,115,
MAT-00033,4,C001,1030.5,42,0,139,
MAT-00033,5,C001,909,21,0,121,
MAT-00033,5,WH02,1021.5,21,0,136,
MAT-00034,1,WH02,761,1,0,95,
MAT-00034,1,C001,675,20,0,90,
MAT-00034,2,B001,540.5,36,0,47,
MAT-00034,2,WH01,1435.5,40,0,165,
MAT-00034,3,A001,313.5,19,0,43,
MAT-00034,3,WH01,939,23,0,125,
MAT-00034,4,C001,976,14,0,134,
MAT-00034,4,A001,1108.5,22,0,148,
MAT-00034,5,B001,326,47,0,47,
MAT-00034,5,C001,1390.5,42,0,195,
MAT-00035,1,C001,1381,3,0,186,
MAT-00035,1,B001,1034,42,0,113,
MAT-00035,2,WH02,1251.5,48,0,179,
MAT-00035,2,B001,222,25,0,35,
MAT-00035,3,C001,1456,4,0,199,
MAT-00035,3,A001,1031,40,0,145,
MAT-00035,4,B001,521,23,0,81,
MAT-00035,4,A001,904.5,18,0,121,
MAT-00035,5,C001,329,3,0,50,
MAT-00035,5,WH02,1339.5,13,0,185,
MAT-00036,1,A001,876,40,0,117,
MAT-00036,1,B001,1208,48,0,99,
MAT-00036,2,WH02,1299,12,0,115,
MAT-00036,2,C001,126,32,0,25,
MAT-00036,3,WH02,610.5,3,0,81,
MAT-00036,3,B001,813.5,46,0,59,
MAT-00036,4,C001,355,46,0,55,
MAT-00036,4,B001,274.5,50,0,39,
MAT-00036,5,B001,1497.5,18,0,200,
MAT-00036,5,C001,153.5,47,0,22,
MAT-00037,1,B001,1319.5,27,0,178,
MAT-00037,1,WH02,508.5,18,0,68,
MAT-00037,2,A001,525,11,0,38,
MAT-00037,2,C001,1331,45,0,183,
MAT-00037,3,A001,682,45,0,94,
MAT-00037,3,WH02,1365,42,0,190,
MAT-00037,4,B001,865.5,36,0,118,
MAT-00037,4,C001,746,37,0,85,
MAT-00037,5,WH02,1488,1,0,165,
MAT-00037,5,A001,591.5,30,0,78,
MAT-00038,1,WH02,285,8,0,38,
MAT-00038,1,C001,1339.5,41,0,184,
MAT-00038,2,B001,635,19,0,86,
MAT-00038,2,WH02,774,0,0,103,
MAT-00038,3,A001,1262,7,0,180,
MAT-00038,3,WH02,447,19,0,62,
MAT-00038,4,B001,1380,32,0,184,
MAT-00038,4,C001,1240.5,23,0,165,
MAT-00038,5,WH01,423,13,0,61,
MAT-00038,5,A001,1504.5,49,0,143,
MAT-00039,1,WH02,1212,11,0,162,
MAT-00039,1,WH01,857,27,0,114,
MAT-00039,2,WH02,246.5,11,0,38,
MAT-00039,2,WH01,878.5,15,0,121,
MAT-00039,3,C001,327,49,0,44,
MAT-00039,3,B001,265.5,9,0,44,
MAT-00039,4,A001,1054,5,0,147,
MAT-00039,4,B001,1218,45,0,162,
MAT-00039,5,B001,463.5,2,0,66,
MAT-00039,5,A001,291,18,0,39,
MAT-00040,1,WH02,1001.5,2,0,135,
MAT-00040,1,C001,353,39,0,53,
MAT-00040,2,WH02,977.5,34,0,134,
MAT-00040,2,A001,1137,33,0,152,
MAT-00040,3,A001,1494.5,26,0,159,
MAT-00040,3,WH01,613.5,23,0,82,
MAT-00040,4,B001,301.5,36,0,44,
MAT-00040,4,WH02,274,43,0,42,
MAT-00040,5,WH02,937.5,9,0,125,
MAT-00040,5,A001,575.5,42,0,34,
MAT-00041,1,B001,632,25,0,86,
MAT-00041,1,WH02,978.5,46,0,135,
MAT-00041,2,B001,745,9,0,110,
MAT-00041,2,A001,508.5,48,0,68,
MAT-00041,3,WH01,1139,3,0,120,
MAT-00041,3,WH02,671.5,45,0,81,
MAT-00041,4,A001,280.5,0,0,37,
MAT-00041,4,WH01,1447,41,0,196,
MAT-00041,5,B001,1085.5,7,0,147,
MAT-00041,5,A001,1171,50,0,124,
MAT-00042,1,WH01,183,20,0,27,
MAT-00042,1,C001,1368,1,0,186,
MAT-00042,2,A001,1258.5,13,0,168,
MAT-00042,2,B001,1298,10,0,180,
MAT-00042,3,A001,567,16,0,76,
MAT-00042,3,B001,1059,23,0,141,
MAT-00042,4,WH01,880,4,0,121,
MAT-00042,4,A001,543,33,0,72,
MAT-00042,5,WH01,642.5,3,0,91,
MAT-00042,5,WH02,1419,45,0,189,
MAT-00043,1,WH01,949.5,48,0,91,
MAT-00043,1,WH02,1218,9,0,164,
MAT-00043,2,C001,382.5,14,0,51,
MAT-00043,2,WH01,175.5,24,0,35,
MAT-00043,3,B001,733.5,1,0,101,
MAT-00043,3,A001,1405.5,12,0,191,
MAT-00043,4,WH01,250.5,41,0,39,
MAT-00043,4,A001,1459.5,42,0,195,
MAT-00043,5,A001,1316.5,44,0,178,
MAT-00043,5,C001,1399.5,28,0,175,
MAT-00044,1,A001,1309.5,36,0,175,
MAT-00044,1,B001,1305,24,0,145,
MAT-00044,2,B001,801,25,0,107,
MAT-00044,2,A001,1485,29,0,198,
MAT-00044,3,A001,679.5,38,0,91,
MAT-00044,3,WH02,1039,17,0,144,
MAT-00044,4,WH01,1528,43,0,101,
MAT-00044,4,WH02,1078.5,15,0,144,
MAT-00044,5,B001,484.5,44,0,65,
MAT-00044,5,WH02,1125,3,0,114,
MAT-00045,1,A001,309,47,0,42,
MAT-00045,1,WH01,1177.5,20,0,159,
MAT-00045,2,WH02,1350,1,0,180,
MAT-00045,2,A001,1017.5,31,0,139,
MAT-00045,3,A001,1132.5,3,0,154,
MAT-00045,3,C001,986,26,0,134,
MAT-00045,4,B001,429,13,0,57,
MAT-00045,4,WH02,604.5,13,0,81,
MAT-00045,5,A001,1029.5,34,0,89,
MAT-00045,5,WH01,1344,31,0,179,
MAT-00046,1,C001,1166,34,0,162,
MAT-00046,1,WH02,1215,33,0,162,
MAT-00046,2,WH02,1088,41,0,148,
MAT-00046,2,B001,412.5,15,0,55,
MAT-00046,3,WH01,1003,46,0,143,
MAT-00046,3,C001,110.5,36,0,21,
MAT-00046,4,WH01,288.5,33,0,49,
MAT-00046,4,B001,1424.5,20,0,194,
MAT-00046,5,WH02,1203,23,0,160,
MAT-00046,5,B001,986.5,21,0,133,
MAT-00047,1,C001,634.5,7,0,85,
MAT-00047,1,WH02,434,39,0,63,
MAT-00047,2,A001,1317,1,0,180,
MAT-00047,2,WH01,914.5,19,0,64,
MAT-00047,3,WH02,1886,48,0,179,
MAT-00047,3,B001,524,27,0,68,
MAT-00047,4,WH01,1354,45,0,132,
MAT-00047,4,B001,878,12,0,120,
MAT-00047,5,WH01,605,15,0,50,
MAT-00047,5,B001,966,1,0,129,
MAT-00048,1,A001,1185.5,15,0,162,
MAT-00048,1,C001,767.5,16,0,104,
MAT-00048,2,WH01,1291.5,19,0,126,
MAT-00048,2,C001,1048.5,26,0,105,
MAT-00048,3,C001,1699.5,30,0,171,
MAT-00048,3,WH01,1242,17,0,166,
MAT-00048,4,A001,504,31,0,67,
MAT-00048,4,WH01,1320.5,5,0,177,
MAT-00048,5,B001,717.5,14,0,102,
MAT-00048,5,A001,236,29,0,42,
MAT-00049,1,C001,600,36,0,54,
MAT-00049,1,WH02,828,30,0,110,
MAT-00049,2,WH01,300,16,0,45,
MAT-00049,2,A001,685,32,0,93,
MAT-00049,3,C001,937.5,6,0,125,
MAT-00049,3,A001,286.5,47,0,43,
MAT-00049,4,C001,1654,5,0,184,
MAT-00049,4,WH02,643,28,0,96,
MAT-00049,5,B001,1234.5,19,0,165,
MAT-00049,5,A001,1198,13,0,166,
MAT-00050,1,WH01,175,26,0,35,
MAT-00050,1,A001,896.5,24,0,130,
MAT-00050,2,A001,1067,24,0,83,
MAT-00050,2,WH02,147.5,12,0,26,
MAT-00050,3,WH01,242.5,33,0,38,
MAT-00050,3,A001,1083,10,0,144,
MAT-00050,4,WH01,1278.5,21,0,180,
MAT-00050,4,A001,646.5,21,0,90,
MAT-00050,5,C001,688.5,16,0,92,
MAT-00050,5,WH01,683.5,47,0,56,
MAT-00051,1,WH01,732,32,0,98,
MAT-00051,1,B001,1306.5,16,0,174,
MAT-00051,2,B001,1105,5,0,112,
MAT-00051,2,WH01,518.5,1,0,75,
MAT-00051,3,B001,1435,43,0,200,
MAT-00051,3,C001,526.5,40,0,76,
MAT-00051,4,C001,659,36,0,89,
MAT-00051,4,WH02,657,43,0,92,
MAT-00051,5,WH01,72.5,0,0,26,
MAT-00051,5,WH02,501,0,0,67,
MAT-00052,1,A001,1025.5,26,0,143,
MAT-00052,1,WH02,1130,8,0,152,
MAT-00052,2,B001,1310,9,0,179,
MAT-00052,2,WH01,776.5,33,0,65,
MAT-00052,3,WH01,735.5,43,0,75,
MAT-00052,3,WH02,739,44,0,46,
MAT-00052,4,A001,1256.5,13,0,172,
MAT-00052,4,WH01,920.5,33,0,100,
MAT-00052,5,B001,1619.5,50,0,155,
MAT-00052,5,C001,1492.5,3,0,199,
MAT-00053,1,WH02,1421.5,43,0,191,
MAT-00053,1,C001,1089,28,0,149,
MAT-00053,2,A001,530,1,0,73,
MAT-00053,2,B001,1318.5,45,0,180,
MAT-00053,3,WH02,761,43,0,103,
MAT-00053,3,A001,791.5,2,0,94,
MAT-00053,4,WH02,515.5,12,0,34,
MAT-00053,4,A001,755.5,44,0,104,
MAT-00053,5,C001,486,17,0,69,
MAT-00053,5,A001,1359.5,33,0,187,
MAT-00054,1,C001,372.5,47,0,59,
MAT-00054,1,WH02,774.5,29,0,117,
MAT-00054,2,A001,1257.5,26,0,161,
MAT-00054,2,WH02,414,31,0,55,
MAT-00054,3,WH02,1485.5,42,0,166,
MAT-00054,3,C001,1035,21,0,138,
MAT-00054,4,A001,1350,11,0,186,
MAT-00054,4,C001,1041,22,0,142,
MAT-00054,5,C001,1192.5,47,0,145,
MAT-00054,5,WH02,671,27,0,99,
MAT-00055,1,WH02,600,8,0,80,
MAT-00055,1,C001,1396.5,5,0,191,
MAT-00055,2,WH01,1447.5,27,0,193,
MAT-00055,2,C001,311.5,30,0,47,
MAT-00055,3,C001,835,0,0,122,
MAT-00055,3,B001,155,7,0,22,
MAT-00055,4,WH01,1087.5,28,0,153,
MAT-00055,4,A001,463.5,17,0,62,
MAT-00055,5,C001,1367.5,42,0,139,
MAT-00055,5,WH01,1349.5,18,0,180,
MAT-00056,1,C001,508.5,20,0,68,
MAT-00056,1,B001,1185,7,0,158,
MAT-00056,2,WH01,977,14,0,133,
MAT-00056,2,B001,1375.5,10,0,189,
MAT-00056,3,WH01,1666.5,32,0,170,
MAT-00056,3,C001,1049,31,0,144,
MAT-00056,4,A001,231,5,0,31,
MAT-00056,4,WH02,832.5,0,0,111,
MAT-00056,5,WH01,466,43,0,46,
MAT-00056,5,A001,1243.5,39,0,166,
MAT-00057,1,C001,830.5,25,0,112,
MAT-00057,1,WH02,135,47,0,35,
MAT-00057,2,B001,1387,17,0,195,
MAT-00057,2,A001,1433,49,0,199,
MAT-00057,3,WH02,964,18,0,134,
MAT-00057,3,C001,243,44,0,38,
MAT-00057,4,C001,1435,45,0,148,
MAT-00057,4,B001,1128,15,0,150,
MAT-00057,5,C001,1338,9,0,178,
MAT-00057,5,WH02,1434,34,0,181,
MAT-00058,1,B001,1281,10,0,119,
MAT-00058,1,WH02,1185,34,0,158,
MAT-00058,2,WH01,1470,25,0,196,
MAT-00058,2,C001,1151,31,0,155,
MAT-00058,3,WH02,1162.5,13,0,155,
MAT-00058,3,A001,553.5,8,0,30,
MAT-00058,4,WH01,686.5,17,0,97,
MAT-00058,4,C001,1273,29,0,150,
MAT-00058,5,WH01,1420.5,5,0,189,
MAT-00058,5,A001,656.5,33,0,90,
MAT-00059,1,WH02,1269,46,0,169,
MAT-00059,1,B001,188,33,0,33,
MAT-00059,2,WH01,1186.5,33,0,158,
MAT-00059,2,A001,1350.5,38,0,182,
MAT-00059,3,C001,1257,0,0,168,
MAT-00059,3,A001,877.5,46,0,120,
MAT-00059,4,WH02,327,26,0,44,
MAT-00059,4,A001,320,4,0,44,
MAT-00059,5,C001,544.5,16,0,73,
MAT-00059,5,WH01,1068,45,0,98,
MAT-00060,1,A001,1044,32,0,139,
MAT-00060,1,WH02,470,3,0,69,
MAT-00060,2,WH02,675.5,19,0,94,
MAT-00060,2,WH01,316,46,0,55,
MAT-00060,3,C001,475.5,46,0,63,
MAT-00060,3,WH01,1398,49,0,186,
MAT-00060,4,WH02,1406.5,11,0,165,
MAT-00060,4,C001,558,31,0,69,
MAT-00060,5,WH01,1008,43,0,134,
MAT-00060,5,C001,1858,46,0,192,
MAT-00061,1,WH01,127,3,0,21,
MAT-00061,1,WH02,870,35,0,116,
MAT-00061,2,WH02,1378.5,9,0,149,
MAT-00061,2,A001,672,15,0,90,
MAT-00061,3,B001,340.5,10,0,39,
MAT-00061,3,C001,260,48,0,38,
MAT-00061,4,WH02,980.5,10,0,133,
MAT-00061,4,A001,1287.5,10,0,175,
MAT-00061,5,WH01,1023.5,37,0,137,
