sales_order,sales_order_item,material_id,order_quantity,plant_id,net_value,currency
OR202301030000006522,2,MAT-00200,4,2,1557.84,USD
OR202301030000006522,3,MAT-01406,30,3,12776.4,USD
OR202301030000009373,1,MAT-01068,49,1,24235.596,USD
OR202301030000007022,1,MAT-01351,46,2,18068.064,USD
OR202301030000007022,2,MAT-00060,49,1,9640.848,USD
OR202301030000007022,3,MAT-00491,39,5,650.988,USD
OR202301030000007022,4,MAT-01288,38,5,4170.576,USD
OR202301030000007022,5,MAT-01498,24,1,4685.472,USD
OR202301030000002303,1,MAT-00084,17,5,2924.748,USD
OR202301030000002303,2,MAT-00706,41,1,6908.172,USD
OR202301030000002303,3,MAT-00352,24,5,5161.536,USD
OR202301030000002303,4,MAT-00014,36,5,8207.136,USD
OR202301030000009301,1,MAT-01459,3,1,1765.8,USD
OR202301030000009301,2,MAT-01494,17,5,7525.356,USD
OR202301030000009161,1,MAT-01356,32,1,17533.824,USD
OR202301030000009161,2,MAT-00670,26,1,14657.76,USD
OR202301030000009161,3,MAT-00447,3,4,473.148,USD
OR202301030000009893,1,MAT-00687,31,2,9314.508,USD
OR202301030000009893,2,MAT-00058,15,4,7144.2,USD
OR202301030000009893,3,MAT-00659,36,3,21553.344,USD
OR202301030000009309,1,MAT-01116,44,1,17264.544,USD
OR202301030000009309,2,MAT-00859,10,4,894.96,USD
OR202301030000009309,3,MAT-00295,15,5,1242.72,USD
OR202301030000001184,1,MAT-01414,39,2,1876.68,USD
OR202301030000001184,2,MAT-01006,12,2,6082.992,USD
OR202301030000009853,1,MAT-00275,23,4,5896.464,USD
OR202301030000002155,1,MAT-00905,30,4,14547.96,USD
OR202301030000002155,2,MAT-00407,34,5,19528.512,USD
OR202301030000002155,3,MAT-00808,50,5,19118.4,USD
OR202301030000003699,1,MAT-01459,44,3,1307.856,USD
OR202301030000003699,2,MAT-00461,22,5,853.512,USD
OR202301030000005621,1,MAT-00125,50,3,28500,USD
OR202301030000005621,2,MAT-00614,40,1,18307.2,USD
OR202301030000005621,3,MAT-00796,30,4,13256.28,USD
OR202301030000009531,1,MAT-01059,5,5,2170.26,USD
OR202301030000009531,2,MAT-01378,20,2,6129.84,USD
OR202301030000009531,3,MAT-00810,43,2,1452.54,USD
OR202301030000009531,4,MAT-00636,19,3,5720.976,USD
OR202301040000009212,1,MAT-01035,49,3,19404.588,USD
OR202301040000009212,2,MAT-00484,39,2,14604.408,USD
OR202301040000009212,3,MAT-00139,37,4,19064.028,USD
OR202301040000009212,4,MAT-00020,4,1,1656.816,USD
OR202301040000005774,1,MAT-00888,34,3,9879.312,USD
OR202301040000005774,2,MAT-01110,27,1,1654.992,USD
OR202301040000005774,3,MAT-00421,38,4,20548.272,USD
OR202301040000005774,4,MAT-00445,31,2,14232.72,USD
OR202301040000003258,1,MAT-00967,1,3,193.944,USD
OR202301040000001294,1,MAT-01279,9,2,2542.428,USD
OR202301040000001294,2,MAT-00193,15,1,3773.7,USD
OR202301040000001294,3,MAT-00896,15,4,8253.9,USD
OR202301040000001294,4,MAT-00167,36,1,12249.36,USD
OR202301040000009900,1,MAT-01209,5,3,987.72,USD
OR202301040000009900,2,MAT-01020,47,2,27156.6,USD
OR202301040000003318,1,MAT-00256,39,5,19188.468,USD
OR202301040000003318,2,MAT-01164,8,2,1566.816,USD
OR202301040000003318,3,MAT-00324,42,5,10433.304,USD
OR202301040000006236,1,MAT-01086,31,2,1535.244,USD
OR202301040000006496,1,MAT-00721,13,3,595.764,USD
OR202301040000006496,2,MAT-00977,3,1,1377.396,USD
OR202301040000006496,3,MAT-01258,8,5,1661.28,USD
OR202301040000006496,4,MAT-00967,36,1,4735.152,USD
OR202301040000007270,1,MAT-00642,49,3,7763.364,USD
OR202301040000005619,1,MAT-00472,30,3,7912.08,USD
OR202301040000005619,2,MAT-00412,29,3,9051.828,USD
OR202301040000005619,3,MAT-00335,11,1,5023.524,USD
OR202301040000005619,4,MAT-01224,11,4,6522.12,USD
OR202301040000006667,1,MAT-00639,48,2,11427.84,USD
OR202301040000006667,2,MAT-00484,33,3,8960.688,USD
OR202301040000006667,3,MAT-01359,17,4,7618.584,USD
OR202301040000007422,1,MAT-00878,15,2,5234.22,USD
OR202301040000007422,2,MAT-00678,47,1,24527.796,USD
OR202301040000007422,3,MAT-01367,20,3,4318.8,USD
OR202301040000007422,4,MAT-00212,22,3,12966.888,USD
OR202301040000007422,5,MAT-00860,41,3,23022.156,USD
OR202301040000002235,1,MAT-00120,50,1,9227.4,USD
OR202301040000002235,2,MAT-00903,10,2,5528.16,USD
OR202301040000002235,3,MAT-01143,40,1,3497.28,USD
OR202301040000006955,1,MAT-00743,48,1,15413.76,USD
OR202301040000004997,1,MAT-01065,35,2,15778.56,USD
OR202301040000004997,2,MAT-00517,7,4,503.916,USD
OR202301040000004997,3,MAT-01408,46,5,7902.984,USD
OR202301040000004997,4,MAT-01003,7,3,1545.012,USD
OR202301040000004997,5,MAT-00107,44,2,7607.424,USD
OR202301040000002542,1,MAT-00517,7,5,3810.24,USD
OR202301040000002542,2,MAT-00330,11,2,2468.928,USD
OR202301040000002542,3,MAT-01334,28,4,8138.256,USD
OR202301040000006000,1,MAT-01031,45,2,13859.64,USD
OR202301050000009107,1,MAT-00087,37,1,2208.9,USD
OR202301050000009107,2,MAT-01221,5,3,627.96,USD
OR202301050000009107,3,MAT-00969,40,3,14770.08,USD
OR202301050000009107,4,MAT-00471,44,2,12779.184,USD
OR202301050000002147,1,MAT-00730,47,2,22430.28,USD
OR202301050000002147,2,MAT-00678,33,5,17400.636,USD
OR202301050000002147,3,MAT-00974,6,4,1574.64,USD
OR202301050000002147,4,MAT-00873,28,4,1086.624,USD
OR202301050000002147,5,MAT-00070,19,1,9152.604,USD
OR202301050000004387,1,MAT-00800,34,5,19980.168,USD
OR202301050000004387,2,MAT-01099,2,4,1164.12,USD
OR202301050000002907,1,MAT-00128,34,1,10863.408,USD
OR202301050000002907,2,MAT-00125,48,3,27360,USD
OR202301050000002907,3,MAT-00486,49,3,18280.92,USD
OR202301050000002907,4,MAT-00819,26,2,9931.272,USD
OR202301050000002907,5,MAT-01427,34,5,4578.984,USD
OR202301050000005576,1,MAT-00691,12,3,1580.4,USD
OR202301050000008436,1,MAT-01093,40,3,5857.44,USD
OR202301050000008436,2,MAT-00166,14,1,6931.176,USD
OR202301050000009217,1,MAT-00966,43,5,2700.744,USD
OR202301050000003714,1,MAT-01177,4,1,2214.576,USD
OR202301050000003714,2,MAT-00100,4,3,2292.48,USD
OR202301050000001425,1,MAT-01444,25,4,13674.6,USD
OR202301050000001425,2,MAT-01162,2,5,788.928,USD
OR202301050000001425,3,MAT-01067,50,5,1708.8,USD
OR202301050000005314,1,MAT-00539,8,1,3434.784,USD
OR202301050000005314,2,MAT-01016,29,1,4496.508,USD
OR202301050000005314,3,MAT-01297,29,5,16691.82,USD
OR202301050000005314,4,MAT-00399,49,2,23996.28,USD
OR202301050000008004,1,MAT-00530,34,1,11272.632,USD
OR202301050000008004,2,MAT-00509,50,1,1081.8,USD
OR202301050000008004,3,MAT-00706,25,1,4212.3,USD
OR202301050000008004,4,MAT-00022,31,1,14837.592,USD
OR202301050000008146,1,MAT-00168,10,1,1694.76,USD
OR202301050000008146,2,MAT-00099,31,2,13298.256,USD
OR202301050000006979,1,MAT-00213,47,4,3028.68,USD
OR202301050000006979,2,MAT-00033,2,3,48.144,USD
OR202301050000006979,3,MAT-00919,46,5,6198.408,USD
OR202301050000004449,1,MAT-00226,1,1,54.78,USD
OR202301050000004449,2,MAT-00406,6,5,2000.88,USD
OR202301050000004449,3,MAT-01268,4,1,2284.176,USD
OR202301050000002809,1,MAT-01039,33,3,18290.052,USD
OR202301050000002809,2,MAT-00863,5,1,1229.22,USD
OR202301050000002809,3,MAT-01411,4,3,485.04,USD
OR202301050000002809,4,MAT-00239,43,5,17871.66,USD
OR202301050000001955,1,MAT-01355,18,3,2774.52,USD
OR202301050000001955,2,MAT-00686,45,5,7846.74,USD
OR202301050000002391,1,MAT-00927,7,4,2910.18,USD
OR202301050000002391,2,MAT-01004,38,3,3834.96,USD
OR202301050000002391,3,MAT-00869,49,5,7928.592,USD
OR202301050000002391,4,MAT-01134,47,2,11640.396,USD
OR202301050000002391,5,MAT-00217,8,1,889.536,USD
OR202301050000009602,1,MAT-00274,17,2,5973.528,USD
OR202301050000009602,2,MAT-00636,35,2,3846.36,USD
OR202301050000009602,3,MAT-00046,46,1,9019.68,USD
OR202301050000009602,4,MAT-00163,8,2,3708.576,USD
OR202301060000001695,1,MAT-01113,6,2,3373.344,USD
OR202301060000005696,1,MAT-01324,36,2,9044.352,USD
OR202301060000005696,2,MAT-00083,1,4,206.388,USD
OR202301060000005696,3,MAT-00237,11,4,3664.716,USD
OR202301060000001698,1,MAT-01149,12,4,6162.336,USD
OR202301060000008765,1,MAT-00656,13,4,1294.176,USD
OR202301060000008765,2,MAT-00984,45,5,8193.96,USD
OR202301060000008765,3,MAT-01085,20,5,1692.24,USD
OR202301060000008765,4,MAT-00606,44,4,620.928,USD
OR202301060000004806,1,MAT-00094,45,4,18927.54,USD
OR202301060000004806,2,MAT-00544,32,5,9356.928,USD
OR202301060000004806,3,MAT-01021,1,2,271.476,USD
OR202301060000004806,4,MAT-01152,24,1,8951.616,USD
OR202301060000007547,1,MAT-00704,19,1,3456.252,USD
OR202301060000007547,2,MAT-00975,23,1,8361.696,USD
OR202301060000007547,3,MAT-00148,30,1,16847.28,USD
OR202301060000006334,1,MAT-00591,6,1,3048.624,USD
OR202301060000006334,2,MAT-00491,13,3,6715.644,USD
OR202301060000006334,3,MAT-00277,43,5,10697.712,USD
OR202301060000006334,4,MAT-01029,44,2,10882.08,USD
OR202301060000006334,5,MAT-01337,3,3,914.976,USD
OR202301060000007335,1,MAT-00435,11,3,5837.172,USD
OR202301060000007335,2,MAT-01489,41,1,22290.06,USD
OR202301060000007335,3,MAT-00561,10,3,3303.24,USD
OR202301060000007335,4,MAT-00587,31,4,10955.028,USD
OR202301060000007335,5,MAT-00484,11,3,2986.896,USD
OR202301060000003952,1,MAT-00677,25,4,10203.9,USD
OR202301060000003952,2,MAT-01376,5,3,959.88,USD
OR202301060000009446,1,MAT-00592,47,2,22377.828,USD
OR202301060000009446,2,MAT-00896,15,5,6886.98,USD
OR202301060000009446,3,MAT-01426,33,5,2752.2,USD
OR202301060000009446,4,MAT-00537,40,4,606.72,USD
OR202301060000009446,5,MAT-00835,29,2,15075.708,USD
OR202301060000006629,1,MAT-00582,18,3,6327.72,USD
OR202301060000006629,2,MAT-01002,10,2,4642.32,USD
OR202301060000006629,3,MAT-01092,14,3,4584.048,USD
OR202301060000006629,4,MAT-01009,35,2,9556.26,USD
OR202301060000006629,5,MAT-00798,22,1,11037.312,USD
OR202301060000007246,1,MAT-00908,3,3,1641.276,USD
OR202301060000007246,2,MAT-01323,6,5,2026.152,USD
OR202301060000007246,3,MAT-00810,11,3,3743.388,USD
OR202301060000007246,4,MAT-00687,49,2,14722.932,USD
OR202301060000005266,1,MAT-00904,13,2,4954.716,USD
OR202301060000003167,1,MAT-00468,35,4,16857.96,USD
OR202301060000008046,1,MAT-00807,41,5,5928.108,USD
OR202301060000008046,2,MAT-00002,49,2,16615.116,USD
OR202301060000008046,3,MAT-00468,39,4,18784.584,USD
OR202301060000008046,4,MAT-00202,37,5,1095.348,USD
OR202301060000001294,1,MAT-00626,38,5,13490.304,USD
OR202301060000001294,2,MAT-00502,10,5,1080.6,USD
OR202301060000001294,3,MAT-00594,33,5,2749.032,USD
OR202301060000001294,4,MAT-01428,6,1,2520.288,USD
OR202301060000001294,5,MAT-00486,39,2,23112.18,USD
OR202301060000007181,1,MAT-00152,22,1,5886.144,USD
OR202301060000007181,2,MAT-00683,39,4,7085.052,USD
OR202301060000007181,3,MAT-00310,28,5,525.84,USD
OR202301060000005617,1,MAT-00384,11,2,655.116,USD
OR202301060000006014,1,MAT-00413,45,1,6359.58,USD
OR202301060000006014,2,MAT-00044,24,1,7505.568,USD
OR202301060000006014,3,MAT-00207,49,2,11804.1,USD
OR202301060000006014,4,MAT-01030,10,2,145.56,USD
OR202301060000006014,5,MAT-00043,43,1,9859.212,USD
OR202301060000004388,1,MAT-00259,48,1,3034.368,USD
OR202301060000004388,2,MAT-00850,4,1,1902.816,USD
OR202301060000008899,1,MAT-01433,3,2,376.848,USD
OR202301060000008899,2,MAT-00211,3,2,747.288,USD
OR202301060000008899,3,MAT-01490,46,5,9505.44,USD
OR202301060000006358,1,MAT-00163,17,4,6418.044,USD
OR202301060000006358,2,MAT-00987,25,1,11503.2,USD
OR202301060000001647,1,MAT-00532,33,3,15452.316,USD
OR202301060000001647,2,MAT-00851,1,2,564.264,USD
OR202301060000001647,3,MAT-00972,48,5,10296,USD
OR202301060000008944,1,MAT-00312,43,2,16899,USD
OR202301060000008944,2,MAT-00826,14,2,3471.384,USD
OR202301060000008944,3,MAT-01259,36,5,7820.064,USD
OR202301060000008944,4,MAT-01138,34,4,4550.424,USD
OR202301060000009679,1,MAT-00561,10,2,1246.56,USD
OR202301060000009679,2,MAT-00619,5,4,163.32,USD
OR202301060000004150,1,MAT-00800,22,4,10312.632,USD
OR202301060000004150,2,MAT-01295,41,1,1930.608,USD
OR202301060000004150,3,MAT-00354,8,3,169.248,USD
OR202301060000009387,1,MAT-00055,16,5,2729.664,USD
OR202301060000009387,2,MAT-00885,34,4,14398.32,USD
OR202301090000005667,1,MAT-00885,25,1,6474,USD
OR202301090000005667,2,MAT-01304,40,2,4577.76,USD
OR202301090000005667,3,MAT-00129,26,3,14235.624,USD
OR202301090000005667,4,MAT-00404,31,4,6511.488,USD
OR202301090000005667,5,MAT-00745,10,1,667.8,USD
OR202301090000001974,1,MAT-01085,22,5,1861.464,USD
OR202301090000004361,1,MAT-00492,43,4,8779.224,USD
OR202301090000004361,2,MAT-01322,13,3,6465.42,USD
OR202301090000004361,3,MAT-00805,10,1,626.64,USD
OR202301090000004361,4,MAT-01291,32,1,4425.216,USD
OR202301090000007869,1,MAT-00186,28,2,7222.32,USD
OR202301090000001231,1,MAT-00045,3,4,509.112,USD
OR202301090000001231,2,MAT-00571,37,5,7245.636,USD
OR202301090000001231,3,MAT-01454,39,5,16104.816,USD
OR202301090000001231,4,MAT-00383,36,1,15207.696,USD
OR202301090000003283,1,MAT-00913,20,3,1144.56,USD
OR202301090000003283,2,MAT-01298,40,5,5710.08,USD
OR202301090000003283,3,MAT-00545,1,2,23.628,USD
OR202301090000007816,1,MAT-00503,13,1,4815.096,USD
OR202301090000007816,2,MAT-00064,18,5,5725.08,USD
OR202301090000005223,1,MAT-01046,7,3,2573.172,USD
OR202301090000005223,2,MAT-01302,33,2,17148.78,USD
OR202301090000005223,3,MAT-00846,30,3,4563.72,USD
OR202301090000005133,1,MAT-01340,45,4,6259.68,USD
OR202301090000002624,1,MAT-00128,26,4,1219.608,USD
OR202301090000002624,2,MAT-01127,38,3,20152.008,USD
OR202301090000002624,3,MAT-01000,23,4,550.068,USD
OR202301090000003991,1,MAT-01271,29,4,11400.48,USD
OR202301090000003991,2,MAT-01335,20,1,5262.72,USD
OR202301090000003991,3,MAT-00699,26,4,6871.488,USD
OR202301090000003991,4,MAT-00845,38,3,4630.68,USD
OR202301090000003991,5,MAT-01028,47,2,7280.112,USD
OR202301090000003933,1,MAT-01023,19,3,1639.776,USD
OR202301090000003933,2,MAT-00865,34,2,11914.008,USD
OR202301090000003933,3,MAT-00771,15,3,1612.44,USD
OR202301090000003933,4,MAT-00281,40,4,7223.52,USD
OR202301090000003933,5,MAT-00224,12,2,6075.792,USD
OR202301090000005773,1,MAT-00801,41,2,13364.196,USD
OR202301090000005773,2,MAT-00454,45,1,20733.84,USD
OR202301090000005773,3,MAT-00142,47,5,15279.888,USD
OR202301090000005773,4,MAT-01115,22,2,9556.272,USD
OR202301090000005773,5,MAT-00638,12,1,928.8,USD
OR202301090000008407,1,MAT-01500,41,5,1055.34,USD
OR202301090000008407,2,MAT-01456,12,1,281.52,USD
OR202301090000008407,3,MAT-00635,16,3,2299.392,USD
OR202301090000002254,1,MAT-00429,35,5,12935.16,USD
OR202301090000002254,2,MAT-00007,29,1,11722.032,USD
OR202301090000002254,3,MAT-00576,12,4,3157.776,USD
OR202301090000002254,4,MAT-00208,35,1,13012.86,USD
OR202301090000002254,5,MAT-00404,10,5,5364.36,USD
OR202301090000002885,1,MAT-00042,6,5,585.576,USD
OR202301090000002885,2,MAT-01063,7,2,1826.244,USD
OR202301090000008448,1,MAT-01032,36,1,9383.04,USD
OR202301090000008448,2,MAT-01360,22,1,401.016,USD
OR202301090000001822,1,MAT-00170,27,4,5009.688,USD
OR202301090000001822,2,MAT-01383,40,2,9896.16,USD
OR202301090000001822,3,MAT-00193,5,4,1149.48,USD
OR202301090000001822,4,MAT-01039,24,1,7424.352,USD
OR202301090000005497,1,MAT-01192,18,2,3682.8,USD
OR202301090000005497,2,MAT-00842,50,4,775.8,USD
OR202301090000001810,1,MAT-00322,4,5,151.008,USD
OR202301090000007580,1,MAT-00237,39,4,12993.084,USD
OR202301090000007580,2,MAT-00391,17,1,4258.704,USD
OR202301090000007580,3,MAT-00951,25,1,12948.6,USD
OR202301090000008822,1,MAT-00706,38,2,6458.328,USD
OR202301090000008822,2,MAT-01422,15,5,2856.24,USD
OR202301090000008822,3,MAT-00063,39,1,19866.132,USD
OR202301090000008822,4,MAT-00373,47,5,26641.668,USD
OR202301090000002588,1,MAT-01065,2,3,399.888,USD
OR202301090000002588,2,MAT-00119,44,2,19308.432,USD
OR202301090000009378,1,MAT-01248,25,3,14083.2,USD
OR202301090000009378,2,MAT-00801,35,3,2173.08,USD
OR202301090000009378,3,MAT-00391,29,1,7264.848,USD
OR202301090000009378,4,MAT-00074,34,4,8720.592,USD
OR202301090000009378,5,MAT-01014,35,4,2144.52,USD
OR202301090000002045,1,MAT-00542,50,4,5805,USD
OR202301090000002045,2,MAT-00090,9,1,152.928,USD
OR202301090000002045,3,MAT-01444,29,5,3193.944,USD
OR202301090000002160,1,MAT-00129,12,5,1023.552,USD
OR202301090000002160,2,MAT-00201,44,5,21711.36,USD
OR202301090000002160,3,MAT-00565,29,3,7785.804,USD
OR202301090000002160,4,MAT-01325,27,5,14447.16,USD
OR202301090000002160,5,MAT-00328,24,4,13416.48,USD
OR202301100000007341,1,MAT-01494,30,5,13280.04,USD
OR202301100000007341,2,MAT-01492,40,3,9138.72,USD
OR202301100000007341,3,MAT-00596,20,4,9495.36,USD
OR202301100000003686,1,MAT-00791,5,3,2956.68,USD
OR202301100000003380,1,MAT-00008,34,4,19819.008,USD
OR202301100000003380,2,MAT-00610,3,4,1354.428,USD
OR202301100000003380,3,MAT-00979,40,5,16292.64,USD
OR202301100000001363,1,MAT-00167,21,5,2533.608,USD
OR202301100000001363,2,MAT-00736,48,1,10529.856,USD
OR202301100000001363,3,MAT-00872,6,2,3063.816,USD
OR202301100000007516,1,MAT-00398,25,2,1515.6,USD
OR202301100000007516,2,MAT-01154,40,4,14680.32,USD
OR202301100000008779,1,MAT-00185,49,4,27717.144,USD
OR202301100000008779,2,MAT-01208,28,4,11883.648,USD
OR202301100000008779,3,MAT-00822,25,2,10754.1,USD
OR202301100000008779,4,MAT-00834,43,2,10816.908,USD
OR202301100000004525,1,MAT-00926,5,2,1675.02,USD
OR202301100000008277,1,MAT-00315,30,4,6239.52,USD
OR202301100000008277,2,MAT-01272,10,5,5804.4,USD
OR202301100000008277,3,MAT-00849,48,5,682.56,USD
OR202301100000008277,4,MAT-00615,35,3,10354.26,USD
OR202301100000008277,5,MAT-00260,48,1,11270.592,USD
OR202301100000002743,1,MAT-01387,33,5,4546.872,USD
OR202301100000002743,2,MAT-01328,39,5,2913.3,USD
OR202301100000002743,3,MAT-01408,23,2,3152.196,USD
OR202301100000002256,1,MAT-00439,27,5,3894.804,USD
OR202301100000002256,2,MAT-00166,47,1,23268.948,USD
OR202301100000002256,3,MAT-01483,9,1,1337.148,USD
OR202301100000002256,4,MAT-01349,23,4,4410.48,USD
OR202301100000004740,1,MAT-00332,28,3,8329.44,USD
OR202301100000004740,2,MAT-00537,9,1,4739.472,USD
OR202301100000004740,3,MAT-00491,19,3,9815.172,USD
OR202301100000004740,4,MAT-01487,32,2,13305.216,USD
OR202301100000009548,1,MAT-00787,17,3,4719.948,USD
OR202301100000002304,1,MAT-00806,50,4,9241.2,USD
OR202301100000002304,2,MAT-01261,20,2,7958.88,USD
OR202301100000002304,3,MAT-01231,38,1,10641.672,USD
OR202301100000002304,4,MAT-00147,4,5,48.24,USD
OR202301100000001020,1,MAT-01398,10,2,3525.24,USD
OR202301100000001020,2,MAT-01294,19,3,539.676,USD
