plant_id,material_id,movement_type,quantity,amount,document_date,batch_number,storage_location,fiscal_period
2,MAT-00951,261,-40,-10202.00,03-01-2023,,A001,1
5,MAT-00923,261,-9,-786.60,05-01-2023,,B001,1
3,MAT-01291,261,-38,-17594.76,05-01-2023,,B001,1
1,MAT-00812,261,-36,-1187.28,04-01-2023,,WH02,1
2,MAT-00125,261,-46,-1633.46,03-01-2023,,WH02,1
3,MAT-00592,261,-3,-1248.72,03-01-2023,,WH01,1
4,MAT-01065,261,-43,-12218.02,04-01-2023,,WH01,1
2,MAT-00340,261,-22,-5793.92,03-01-2023,,WH02,1
1,MAT-00835,261,-1,-229.35,05-01-2023,,WH01,1
4,MAT-00073,261,-22,-3475.34,05-01-2023,,WH01,1
1,MAT-00991,261,-10,-4583.30,05-01-2023,,WH02,1
1,MAT-00643,261,-16,-913.60,03-01-2023,,WH02,1
5,MAT-01305,261,-9,-1404.36,05-01-2023,,B001,1
2,MAT-00103,261,-33,-16397.04,05-01-2023,,C001,1
1,MAT-00698,261,-28,-2699.76,05-01-2023,,C001,1
1,MAT-01196,261,-31,-9640.38,04-01-2023,,A001,1
5,MAT-01500,261,-9,-193.05,04-01-2023,,,1
3,MAT-00749,261,-3,-759.42,03-01-2023,,A001,1
1,MAT-00928,261,-45,-2496.15,04-01-2023,,C001,1
2,MAT-00289,261,-40,-1671.60,05-01-2023,,WH01,1
2,MAT-00008,261,-18,-8657.82,04-01-2023,,A001,1
5,MAT-00623,261,-29,-10854.99,04-01-2023,,A001,1
4,MAT-00404,261,-35,-6126.40,05-01-2023,,A001,1
2,MAT-00713,261,-7,-3421.88,05-01-2023,,C001,1
4,MAT-00757,261,-24,-2203.20,03-01-2023,,A001,1
3,MAT-01391,261,-13,-3049.02,04-01-2023,,WH01,1
3,MAT-00027,261,-30,-10819.50,05-01-2023,,WH01,1
2,MAT-01414,261,-33,-1323.30,04-01-2023,,WH01,1
4,MAT-00537,261,-45,-568.80,04-01-2023,,C001,1
4,MAT-00824,261,-20,-2632.40,04-01-2023,,C001,1
3,MAT-01042,261,-26,-5169.84,03-01-2023,,WH01,1
5,MAT-00838,261,-30,-10507.50,03-01-2023,,C001,1
3,MAT-00581,261,-13,-6319.56,04-01-2023,,A001,1
3,MAT-00852,261,-12,-427.92,05-01-2023,,C001,1
1,MAT-01024,261,-48,-7996.32,05-01-2023,,A001,1
1,MAT-00109,261,-14,-3986.78,05-01-2023,,A001,1
3,MAT-00440,261,-19,-922.64,03-01-2023,,C001,1
3,MAT-00634,261,-40,-2906.00,05-01-2023,,A001,1
4,MAT-00224,261,-25,-2200.50,04-01-2023,,WH01,1
3,MAT-00879,261,-2,-185.22,05-01-2023,,B001,1
2,MAT-01101,101,423,68826.33,03-01-2023,BATCH-20230103,WH02,1
2,MAT-00179,101,261,30333.42,03-01-2023,BATCH-20230103,WH01,1
4,MAT-00937,101,168,56409.36,03-01-2023,BATCH-20230103,A001,1
4,MAT-00326,101,294,16899.12,03-01-2023,BATCH-20230103,B001,1
4,MAT-00765,101,391,17270.47,03-01-2023,BATCH-20230103,,1
4,MAT-00723,101,396,178924.68,03-01-2023,BATCH-20230103,A001,1
4,MAT-00523,101,63,5569.83,03-01-2023,BATCH-20230103,B001,1
2,MAT-00524,101,486,24795.72,03-01-2023,BATCH-20230103,C001,1
4,MAT-00357,101,180,9698.40,03-01-2023,BATCH-20230103,WH01,1
3,MAT-01102,101,413,157613.19,03-01-2023,BATCH-20230103,WH02,1
1,MAT-00053,101,332,153921.84,03-01-2023,BATCH-20230103,WH01,1
5,MAT-00146,101,312,114519.60,03-01-2023,BATCH-20230103,WH01,1
1,MAT-00453,101,345,80022.75,03-01-2023,BATCH-20230103,WH01,1
4,MAT-00020,101,206,96632.54,03-01-2023,BATCH-20230103,A001,1
2,MAT-01113,261,-44,-20614.88,05-01-2023,,B001,1
5,MAT-00178,261,-5,-536.60,06-01-2023,,WH02,1
4,MAT-00735,261,-34,-3398.30,04-01-2023,,C001,1
3,MAT-00201,261,-25,-6622.50,06-01-2023,,A001,1
2,MAT-00672,261,-19,-664.05,05-01-2023,,A001,1
1,MAT-00596,261,-33,-5170.44,04-01-2023,,C001,1
4,MAT-00537,261,-44,-556.16,06-01-2023,,C001,1
1,MAT-00347,261,-20,-7186.60,05-01-2023,,A001,1
5,MAT-00292,261,-30,-10881.00,06-01-2023,,C001,1
3,MAT-01406,261,-18,-6388.20,06-01-2023,,A001,1
3,MAT-00897,261,-13,-3194.23,06-01-2023,,WH02,1
3,MAT-00271,261,-26,-5001.62,05-01-2023,,WH01,1
5,MAT-00350,261,-19,-2327.12,04-01-2023,,WH01,1
1,MAT-00284,261,-27,-5877.63,06-01-2023,,WH02,1
2,MAT-01147,261,-23,-7946.73,06-01-2023,,C001,1
1,MAT-00675,261,-44,-20824.76,04-01-2023,,A001,1
2,MAT-00412,261,-47,-12929.70,04-01-2023,,C001,1
1,MAT-00661,261,-32,-8169.28,04-01-2023,,WH02,1
4,MAT-00006,261,-25,-11530.00,05-01-2023,,B001,1
5,MAT-00920,261,-3,-511.26,05-01-2023,,C001,1
1,MAT-00964,261,-26,-11422.32,04-01-2023,,A001,1
5,MAT-00894,261,-30,-9158.70,05-01-2023,,WH02,1
4,MAT-01436,261,-44,-892.76,06-01-2023,,WH01,1
2,MAT-00504,261,-25,-3113.75,06-01-2023,,A001,1
2,MAT-01404,261,-11,-3655.41,04-01-2023,,B001,1
4,MAT-01032,261,-19,-9288.72,04-01-2023,,WH01,1
5,MAT-00087,261,-13,-5321.94,06-01-2023,,C001,1
2,MAT-01040,261,-47,-2570.43,04-01-2023,,C001,1
2,MAT-00598,261,-36,-17566.56,04-01-2023,,WH01,1
5,MAT-01474,261,-36,-12872.52,04-01-2023,,C001,1
2,MAT-01297,261,-25,-4821.50,05-01-2023,,B001,1
4,MAT-00989,261,-13,-1059.50,06-01-2023,,B001,1
1,MAT-00054,261,-48,-5901.12,04-01-2023,,WH02,1
4,MAT-01012,261,-9,-2502.72,06-01-2023,,C001,1
1,MAT-01075,261,-24,-11984.64,05-01-2023,,C001,1
2,MAT-01143,261,-16,-3921.76,05-01-2023,,C001,1
2,MAT-00200,261,-4,-1298.20,04-01-2023,,C001,1
3,MAT-01406,261,-19,-6743.10,06-01-2023,,WH02,1
1,MAT-01068,261,-4,-1648.68,06-01-2023,,WH01,1
2,MAT-01351,261,-46,-15056.72,05-01-2023,,WH01,1
1,MAT-00060,261,-49,-8034.04,04-01-2023,,WH02,1
5,MAT-01288,261,-20,-1829.20,04-01-2023,,WH02,1
1,MAT-01498,261,-24,-3904.56,05-01-2023,,WH01,1
5,MAT-00084,261,-17,-2437.29,06-01-2023,,WH02,1
1,MAT-00706,261,-41,-5756.81,05-01-2023,,B001,1
5,MAT-00352,261,-24,-4301.28,04-01-2023,,C001,1
5,MAT-00014,261,-36,-6839.28,04-01-2023,,A001,1
1,MAT-01459,261,-3,-1471.50,06-01-2023,,WH01,1
5,MAT-01494,261,-3,-1106.67,05-01-2023,,C001,1
1,MAT-01356,261,-22,-10045.42,06-01-2023,,A001,1
1,MAT-00670,261,-26,-12214.80,04-01-2023,,C001,1
4,MAT-00447,261,-3,-394.29,06-01-2023,,WH01,1
2,MAT-00687,261,-31,-7762.09,05-01-2023,,B001,1
4,MAT-00058,261,-14,-5556.60,06-01-2023,,B001,1
3,MAT-00659,261,-36,-17961.12,05-01-2023,,WH02,1
1,MAT-01116,261,-44,-14387.12,04-01-2023,,B001,1
4,MAT-00859,261,-10,-745.80,06-01-2023,,A001,1
5,MAT-00295,261,-15,-1035.60,06-01-2023,,WH01,1
2,MAT-01414,261,-39,-1563.90,06-01-2023,,B001,1
2,MAT-01006,261,-12,-5069.16,05-01-2023,,C001,1
4,MAT-00275,261,-23,-4913.72,06-01-2023,,C001,1
4,MAT-00905,261,-13,-5253.43,06-01-2023,,C001,1
5,MAT-00407,261,-34,-16273.76,06-01-2023,,,1
5,MAT-00808,261,-50,-15932.00,06-01-2023,,A001,1
3,MAT-01459,261,-44,-1089.88,06-01-2023,,A001,1
5,MAT-00461,261,-22,-711.26,06-01-2023,,WH01,1
3,MAT-00125,261,-50,-23750.00,05-01-2023,,B001,1
1,MAT-00614,261,-40,-15256.00,04-01-2023,,WH02,1
4,MAT-00796,261,-30,-11046.90,05-01-2023,,B001,1
5,MAT-01059,261,-5,-1808.55,04-01-2023,,WH02,1
2,MAT-01378,261,-7,-1787.87,04-01-2023,,B001,1
2,MAT-00810,261,-43,-1210.45,04-01-2023,,WH02,1
3,MAT-00636,261,-19,-4767.48,04-01-2023,,WH02,1
2,MAT-00958,101,158,48038.32,04-01-2023,BATCH-20230104,B001,1
1,MAT-00647,101,293,135108.16,04-01-2023,BATCH-20230104,C001,1
3,MAT-01458,101,315,138540.15,04-01-2023,BATCH-20230104,A001,1
2,MAT-00026,101,452,141887.32,04-01-2023,BATCH-20230104,WH01,1
1,MAT-00073,101,106,34221.04,04-01-2023,BATCH-20230104,WH01,1
3,MAT-00312,101,80,6987.20,04-01-2023,BATCH-20230104,C001,1
4,MAT-00315,101,166,28771.12,04-01-2023,BATCH-20230104,WH02,1
2,MAT-01482,101,65,15042.95,04-01-2023,BATCH-20230104,WH01,1
4,MAT-01015,101,76,21979.20,04-01-2023,BATCH-20230104,A001,1
1,MAT-00105,101,336,156317.28,04-01-2023,BATCH-20230104,C001,1
4,MAT-00724,101,167,34465.46,04-01-2023,BATCH-20230104,B001,1
3,MAT-01435,101,269,85482.82,04-01-2023,BATCH-20230104,A001,1
4,MAT-01326,101,403,82788.29,04-01-2023,BATCH-20230104,WH02,1
3,MAT-01427,101,355,166100.95,04-01-2023,BATCH-20230104,WH01,1
3,MAT-01035,261,-49,-16170.49,07-01-2023,,WH01,1
2,MAT-00484,261,-39,-12170.34,05-01-2023,,WH02,1
4,MAT-00139,261,-37,-15886.69,06-01-2023,,B001,1
1,MAT-00020,261,-2,-690.34,05-01-2023,,,1
3,MAT-00888,261,-34,-8232.76,05-01-2023,,WH01,1
4,MAT-00421,261,-38,-17123.56,07-01-2023,,C001,1
2,MAT-00445,261,-31,-11860.60,06-01-2023,,WH01,1
2,MAT-01279,261,-9,-2118.69,06-01-2023,,B001,1
1,MAT-00193,261,-15,-3144.75,07-01-2023,,WH02,1
4,MAT-00896,261,-15,-6878.25,05-01-2023,,WH02,1
1,MAT-00167,261,-36,-10207.80,06-01-2023,,WH02,1
3,MAT-01209,261,-5,-823.10,05-01-2023,,WH01,1
2,MAT-01020,261,-47,-22630.50,07-01-2023,,WH02,1
5,MAT-00256,261,-39,-15990.39,07-01-2023,,B001,1
2,MAT-01164,261,-8,-1305.68,05-01-2023,,WH02,1
5,MAT-00324,261,-42,-8694.42,07-01-2023,,WH01,1
2,MAT-01086,261,-31,-1279.37,06-01-2023,,A001,1
3,MAT-00721,261,-13,-496.47,06-01-2023,,WH02,1
1,MAT-00977,261,-3,-1147.83,07-01-2023,,C001,1
5,MAT-01258,261,-8,-1384.40,07-01-2023,,WH01,1
1,MAT-00967,261,-36,-3945.96,06-01-2023,,B001,1
3,MAT-00472,261,-30,-6593.40,06-01-2023,,WH02,1
3,MAT-00412,261,-29,-7543.19,07-01-2023,,WH01,1
1,MAT-00335,261,-11,-4186.27,06-01-2023,,B001,1
4,MAT-01224,261,-1,-494.10,05-01-2023,,B001,1
2,MAT-00639,261,-9,-1785.60,07-01-2023,,WH02,1
4,MAT-01359,261,-17,-6348.82,06-01-2023,,WH02,1
2,MAT-00878,261,-7,-2035.53,06-01-2023,,A001,1
1,MAT-00678,261,-41,-17830.49,07-01-2023,,A001,1
3,MAT-01367,261,-20,-3599.00,06-01-2023,,A001,1
3,MAT-00212,261,-22,-10805.74,05-01-2023,,B001,1
3,MAT-00860,261,-41,-19185.13,05-01-2023,,WH01,1
1,MAT-00120,261,-50,-7689.50,07-01-2023,,C001,1
2,MAT-00903,261,-10,-4606.80,06-01-2023,,C001,1
1,MAT-01143,261,-40,-2914.40,07-01-2023,,WH01,1
1,MAT-00743,261,-21,-5619.60,06-01-2023,,B001,1
2,MAT-01065,261,-35,-13148.80,05-01-2023,,WH02,1
4,MAT-00517,261,-5,-299.95,07-01-2023,,B001,1
3,MAT-01003,261,-7,-1287.51,06-01-2023,,B001,1
2,MAT-00107,261,-44,-6339.52,07-01-2023,,WH01,1
5,MAT-00517,261,-7,-3175.20,05-01-2023,,WH02,1
2,MAT-00330,261,-11,-2057.44,05-01-2023,,A001,1
4,MAT-01334,261,-28,-6781.88,06-01-2023,,A001,1
2,MAT-01031,261,-45,-11549.70,06-01-2023,,B001,1
1,MAT-00362,101,254,72001.38,05-01-2023,,B001,1
5,MAT-00112,101,152,36176.00,05-01-2023,BATCH-20230105,B001,1
4,MAT-00646,101,370,131760.70,05-01-2023,BATCH-20230105,WH01,1
2,MAT-01192,101,367,62573.50,05-01-2023,BATCH-20230105,WH01,1
2,MAT-00851,101,292,137304.24,05-01-2023,BATCH-20230105,B001,1
2,MAT-00671,101,113,44355.89,05-01-2023,,WH02,1
1,MAT-00380,101,174,19752.48,05-01-2023,BATCH-20230105,WH02,1
1,MAT-00157,101,340,93976.00,05-01-2023,BATCH-20230105,B001,1
4,MAT-00718,101,114,51272.64,05-01-2023,BATCH-20230105,WH01,1
3,MAT-00682,101,140,68574.80,05-01-2023,,A001,1
1,MAT-01207,101,313,64462.35,05-01-2023,BATCH-20230105,,1
3,MAT-01034,101,61,21986.84,05-01-2023,BATCH-20230105,A001,1
3,MAT-00048,101,378,137988.90,05-01-2023,BATCH-20230105,C001,1
1,MAT-00156,101,108,35459.64,05-01-2023,BATCH-20230105,C001,1
1,MAT-01068,101,134,55230.78,05-01-2023,BATCH-20230105,A001,1
5,MAT-00994,101,168,3366.72,05-01-2023,BATCH-20230105,C001,1
5,MAT-00493,101,299,9277.97,05-01-2023,BATCH-20230105,A001,1
3,MAT-00758,101,99,19669.32,05-01-2023,BATCH-20230105,WH02,1
1,MAT-00087,261,-37,-1840.75,08-01-2023,,B001,1
3,MAT-01221,261,-4,-418.64,07-01-2023,,B001,1
2,MAT-00471,261,-44,-10649.32,07-01-2023,,A001,1
2,MAT-00730,261,-47,-18691.90,06-01-2023,,C001,1
5,MAT-00678,261,-33,-14500.53,07-01-2023,,C001,1
4,MAT-00974,261,-6,-1312.20,07-01-2023,,C001,1
4,MAT-00873,261,-15,-485.10,08-01-2023,,WH01,1
1,MAT-00070,261,-19,-7627.17,06-01-2023,,WH01,1
5,MAT-00800,261,-34,-16650.14,07-01-2023,,WH02,1
4,MAT-01099,261,-2,-970.10,08-01-2023,,WH01,1
1,MAT-00128,261,-34,-9052.84,07-01-2023,,C001,1
3,MAT-00125,261,-48,-22800.00,07-01-2023,,C001,1
3,MAT-00486,261,-49,-15234.10,08-01-2023,,WH02,1
2,MAT-00819,261,-26,-8276.06,07-01-2023,,A001,1
5,MAT-01427,261,-34,-3815.82,06-01-2023,,B001,1
3,MAT-00691,261,-12,-1317.00,07-01-2023,,WH01,1
3,MAT-01093,261,-40,-4881.20,07-01-2023,,,1
1,MAT-00166,261,-14,-5775.98,08-01-2023,,WH01,1
5,MAT-00966,261,-43,-2250.62,08-01-2023,,WH02,1
1,MAT-01177,261,-2,-922.74,07-01-2023,,WH02,1
3,MAT-00100,261,-4,-1910.40,06-01-2023,,C001,1
4,MAT-01444,261,-25,-11395.50,06-01-2023,,WH01,1
5,MAT-01162,261,-1,-328.72,07-01-2023,,B001,1
5,MAT-01067,261,-50,-1424.00,07-01-2023,,WH02,1
1,MAT-00539,261,-8,-2862.32,06-01-2023,,WH01,1
5,MAT-01297,261,-29,-13909.85,06-01-2023,,C001,1
2,MAT-00399,261,-49,-19996.90,06-01-2023,,WH02,1
1,MAT-00530,261,-34,-9393.86,06-01-2023,,B001,1
1,MAT-00509,261,-50,-901.50,07-01-2023,,WH01,1
1,MAT-00706,261,-25,-3510.25,06-01-2023,,C001,1
1,MAT-00022,261,-31,-12364.66,08-01-2023,,B001,1
1,MAT-00168,261,-10,-1412.30,06-01-2023,,WH01,1
2,MAT-00099,261,-31,-11081.88,07-01-2023,,WH02,1
4,MAT-00213,261,-47,-2523.90,07-01-2023,,B001,1
3,MAT-00033,261,-2,-40.12,07-01-2023,,C001,1
5,MAT-00919,261,-46,-5165.34,08-01-2023,,B001,1
1,MAT-01268,261,-4,-1903.48,07-01-2023,,WH01,1
3,MAT-01039,261,-33,-15241.71,07-01-2023,,WH01,1
1,MAT-00863,261,-5,-1024.35,06-01-2023,,C001,1
3,MAT-01411,261,-2,-202.10,08-01-2023,,B001,1
5,MAT-00239,261,-43,-14893.05,07-01-2023,,C001,1
3,MAT-01355,261,-18,-2312.10,06-01-2023,,WH02,1
4,MAT-00927,261,-7,-2425.15,08-01-2023,,B001,1
3,MAT-01004,261,-38,-3195.80,08-01-2023,,A001,1
5,MAT-00869,261,-49,-6607.16,06-01-2023,,WH01,1
2,MAT-01134,261,-47,-9700.33,06-01-2023,,WH01,1
1,MAT-00217,261,-8,-741.28,08-01-2023,,B001,1
2,MAT-00274,261,-17,-4977.94,06-01-2023,,WH02,1
2,MAT-00636,261,-35,-3205.30,06-01-2023,,B001,1
1,MAT-00046,261,-46,-7516.40,07-01-2023,,C001,1
2,MAT-00163,261,-7,-2704.17,08-01-2023,,B001,1
3,MAT-00276,101,140,11754.40,06-01-2023,BATCH-20230106,,1
5,MAT-00533,101,244,54582.80,06-01-2023,BATCH-20230106,WH01,1
3,MAT-01110,101,161,20139.49,06-01-2023,BATCH-20230106,WH02,1
1,MAT-01321,101,75,8779.50,06-01-2023,BATCH-20230106,WH01,1
2,MAT-00869,101,190,31921.90,06-01-2023,BATCH-20230106,A001,1
2,MAT-00614,101,345,13016.85,06-01-2023,BATCH-20230106,C001,1
1,MAT-00659,101,218,107245.10,06-01-2023,BATCH-20230106,B001,1
1,MAT-01390,101,175,30649.50,06-01-2023,BATCH-20230106,WH02,1
1,MAT-00507,101,347,12998.62,06-01-2023,BATCH-20230106,WH02,1
1,MAT-00346,101,444,70906.80,06-01-2023,BATCH-20230106,WH01,1
2,MAT-00366,101,402,90204.78,06-01-2023,BATCH-20230106,A001,1
2,MAT-00750,101,63,18234.09,06-01-2023,BATCH-20230106,WH01,1
5,MAT-01209,101,193,41869.42,06-01-2023,,WH02,1
2,MAT-00874,101,278,58794.22,06-01-2023,BATCH-20230106,C001,1
3,MAT-00925,101,107,4401.98,06-01-2023,BATCH-20230106,C001,1
3,MAT-01159,101,436,153001.12,06-01-2023,BATCH-20230106,WH01,1
2,MAT-01113,261,-6,-2811.12,07-01-2023,,WH01,1
2,MAT-01324,261,-36,-7536.96,07-01-2023,,C001,1
4,MAT-00083,261,-1,-171.99,09-01-2023,,C001,1
4,MAT-00237,261,-11,-3053.93,07-01-2023,,WH01,1
4,MAT-01149,261,-12,-5135.28,09-01-2023,,WH02,1
4,MAT-00656,261,-13,-1078.48,09-01-2023,,,1
5,MAT-01085,261,-19,-1339.69,07-01-2023,,C001,1
4,MAT-00606,261,-8,-94.08,09-01-2023,,A001,1
4,MAT-00094,261,-45,-15772.95,09-01-2023,,B001,1
5,MAT-00544,261,-32,-7797.44,09-01-2023,,WH01,1
1,MAT-01152,261,-24,-7459.68,08-01-2023,,A001,1
1,MAT-00704,261,-19,-2880.21,09-01-2023,,A001,1
1,MAT-00148,261,-30,-14039.40,09-01-2023,,B001,1
1,MAT-00591,261,-6,-2540.52,07-01-2023,,A001,1
5,MAT-00277,261,-43,-8914.76,07-01-2023,,B001,1
2,MAT-01029,261,-44,-9068.40,09-01-2023,,WH01,1
3,MAT-01337,261,-3,-762.48,07-01-2023,,B001,1
1,MAT-01489,261,-21,-9514.05,07-01-2023,,WH02,1
3,MAT-00561,261,-10,-2752.70,07-01-2023,,B001,1
4,MAT-00587,261,-31,-9129.19,07-01-2023,,B001,1
3,MAT-00484,261,-11,-2489.08,09-01-2023,,B001,1
4,MAT-00677,261,-25,-8503.25,07-01-2023,,C001,1
3,MAT-01376,261,-2,-319.96,09-01-2023,,A001,1
2,MAT-00592,261,-43,-17061.11,07-01-2023,,B001,1
5,MAT-00896,261,-15,-5739.15,07-01-2023,,,1
5,MAT-01426,261,-33,-2293.50,07-01-2023,,WH02,1
4,MAT-00537,261,-40,-505.60,07-01-2023,,WH02,1
2,MAT-00835,261,-29,-12563.09,08-01-2023,,C001,1
3,MAT-00582,261,-18,-5273.10,09-01-2023,,WH01,1
2,MAT-01002,261,-10,-3868.60,07-01-2023,,B001,1
3,MAT-01092,261,-14,-3820.04,09-01-2023,,,1
2,MAT-01009,261,-35,-7963.55,07-01-2023,,A001,1
1,MAT-00798,261,-22,-9197.76,08-01-2023,,C001,1
3,MAT-00908,261,-3,-1367.73,07-01-2023,,C001,1
5,MAT-01323,261,-6,-1688.46,07-01-2023,,B001,1
3,MAT-00810,261,-11,-3119.49,07-01-2023,,A001,1
2,MAT-00687,261,-49,-12269.11,09-01-2023,,B001,1
2,MAT-00904,261,-3,-952.83,09-01-2023,,B001,1
2,MAT-00002,261,-49,-13845.93,09-01-2023,,WH02,1
4,MAT-00468,261,-39,-15653.82,08-01-2023,,WH01,1
5,MAT-00202,261,-37,-912.79,07-01-2023,,A001,1
5,MAT-00626,261,-38,-11241.92,08-01-2023,,A001,1
5,MAT-00502,261,-6,-540.30,09-01-2023,,WH01,1
5,MAT-00594,261,-33,-2290.86,09-01-2023,,B001,1
1,MAT-01428,261,-1,-350.04,07-01-2023,,B001,1
2,MAT-00486,261,-39,-19260.15,07-01-2023,,A001,1
1,MAT-00152,261,-22,-4905.12,09-01-2023,,C001,1
4,MAT-00683,261,-13,-1968.07,09-01-2023,,WH01,1
5,MAT-00310,261,-28,-438.20,07-01-2023,,A001,1
2,MAT-00384,261,-11,-545.93,09-01-2023,,WH02,1
1,MAT-00044,261,-24,-6254.64,09-01-2023,,WH02,1
2,MAT-00207,261,-49,-9836.75,09-01-2023,,C001,1
2,MAT-01030,261,-10,-121.30,08-01-2023,,A001,1
1,MAT-00259,261,-7,-368.76,08-01-2023,,A001,1
1,MAT-00850,261,-3,-1189.26,08-01-2023,,WH02,1
2,MAT-01433,261,-3,-314.04,08-01-2023,,WH01,1
2,MAT-00211,261,-3,-622.74,07-01-2023,,A001,1
5,MAT-01490,261,-46,-7921.20,07-01-2023,,WH01,1
4,MAT-00163,261,-16,-5033.76,09-01-2023,,C001,1
1,MAT-00987,261,-7,-2684.08,08-01-2023,,C001,1
3,MAT-00532,261,-33,-12876.93,08-01-2023,,WH02,1
2,MAT-00851,261,-1,-470.22,07-01-2023,,WH01,1
5,MAT-00972,261,-48,-8580.00,09-01-2023,,A001,1
2,MAT-00312,261,-43,-14082.50,08-01-2023,,WH02,1
2,MAT-00826,261,-14,-2892.82,07-01-2023,,B001,1
5,MAT-01259,261,-36,-6516.72,09-01-2023,,C001,1
4,MAT-01138,261,-34,-3792.02,09-01-2023,,C001,1
2,MAT-00561,261,-10,-1038.80,07-01-2023,,B001,1
4,MAT-00619,261,-5,-136.10,08-01-2023,,B001,1
4,MAT-00800,261,-22,-8593.86,07-01-2023,,WH01,1
1,MAT-01295,261,-41,-1608.84,08-01-2023,,B001,1
3,MAT-00354,261,-8,-141.04,09-01-2023,,WH02,1
5,MAT-00055,261,-16,-2274.72,08-01-2023,,C001,1
4,MAT-00885,261,-34,-11998.60,09-01-2023,,WH02,1
3,MAT-01146,101,206,57869.52,09-01-2023,BATCH-20230109,WH01,1
4,MAT-00235,101,116,43589.32,09-01-2023,BATCH-20230109,WH01,1
5,MAT-00668,101,438,216306.30,09-01-2023,BATCH-20230109,WH01,1
5,MAT-00323,101,254,40137.08,09-01-2023,BATCH-20230109,A001,1
2,MAT-01127,101,124,13208.48,09-01-2023,BATCH-20230109,WH01,1
5,MAT-00569,101,397,95847.71,09-01-2023,BATCH-20230109,C001,1
4,MAT-00777,101,162,68493.60,09-01-2023,BATCH-20230109,B001,1
1,MAT-00098,101,97,23462.36,09-01-2023,BATCH-20230109,C001,1
2,MAT-01495,101,415,93134.30,09-01-2023,BATCH-20230109,C001,1
2,MAT-00095,101,186,38416.44,09-01-2023,BATCH-20230109,C001,1
2,MAT-00137,101,365,27524.65,09-01-2023,BATCH-20230109,WH01,1
2,MAT-00775,101,434,204131.90,09-01-2023,BATCH-20230109,A001,1
