preceding_doc,preceding_item,subsequent_doc,subsequent_item,document_category,quantity,date
OR202301020000001219,4,DL202301020000001664,4,C,13,02-01-2023
OR202301020000001219,5,DL202301020000006982,5,C,30,02-01-2023
OR202301020000005681,1,DL202301020000006573,1,C,29,02-01-2023
DL202301020000006573,1,BODL202301020000006573,1,N,29,03-01-2023
OR202301020000005681,2,DL202301020000007276,2,C,33,02-01-2023
OR202301020000005681,3,DL202301020000007439,3,C,45,02-01-2023
OR202301020000007818,1,DL202301020000004483,1,C,20,02-01-2023
OR202301020000007818,2,DL202301020000002897,2,C,26,02-01-2023
OR202301020000007818,3,DL202301020000004694,3,C,30,02-01-2023
OR202301020000007662,1,DL202301020000003820,1,C,13,02-01-2023
OR202301020000007662,2,DL202301020000004378,2,C,12,02-01-2023
OR202301020000008274,1,DL202301020000005051,1,C,48,02-01-2023
OR202301020000008274,2,DL202301020000008829,2,C,31,02-01-2023
DL202301020000008829,2,BODL202301020000008829,2,N,17,03-01-2023
OR202301020000008274,3,DL202301020000006485,3,C,19,02-01-2023
OR202301020000009972,1,DL202301020000009849,1,C,40,02-01-2023
OR202301020000009972,2,DL202301020000005940,2,C,33,02-01-2023
DL202301020000005940,2,BODL202301020000005940,2,N,8,03-01-2023
OR202301020000009972,3,DL202301020000008402,3,C,43,02-01-2023
DL202301020000008402,3,BODL202301020000008402,3,N,43,03-01-2023
OR202301020000009972,4,DL202301020000007157,4,C,2,02-01-2023
OR202301030000002419,1,DL202301030000007509,1,C,44,03-01-2023
OR202301030000002419,2,DL202301030000006964,2,C,36,03-01-2023
DL202301030000006964,2,BODL202301030000006964,2,N,36,04-01-2023
OR202301030000002419,3,DL202301030000004183,3,C,5,03-01-2023
OR202301030000002419,4,DL202301030000001463,4,C,34,03-01-2023
OR202301030000002419,5,DL202301030000007648,5,C,25,03-01-2023
OR202301030000004296,1,DL202301030000004175,1,C,19,03-01-2023
OR202301030000004296,2,DL202301030000009437,2,C,33,03-01-2023
OR202301030000004296,3,DL202301030000008942,3,C,44,03-01-2023
OR202301030000004296,4,DL202301030000004994,4,C,20,03-01-2023
OR202301030000004530,1,DL202301030000004767,1,C,30,03-01-2023
OR202301030000004530,2,DL202301030000009870,2,C,18,03-01-2023
OR202301030000004530,3,DL202301030000003044,3,C,13,03-01-2023
OR202301030000004530,4,DL202301030000005542,4,C,26,03-01-2023
OR202301030000004530,5,DL202301030000007583,5,C,19,03-01-2023
OR202301030000004510,1,DL202301030000004201,1,C,34,03-01-2023
DL202301030000004201,1,BODL202301030000004201,1,N,7,04-01-2023
OR202301030000004510,2,DL202301030000004970,2,C,6,03-01-2023
DL202301030000004970,2,BODL202301030000004970,2,N,6,04-01-2023
OR202301030000004510,3,DL202301030000005094,3,C,23,03-01-2023
OR202301030000008330,1,DL202301030000004971,1,C,44,03-01-2023
OR202301030000008019,1,DL202301030000004017,1,C,47,03-01-2023
OR202301030000008019,2,DL202301030000002448,2,C,24,03-01-2023
DL202301030000002448,2,BODL202301030000002448,2,N,24,04-01-2023
OR202301030000008019,3,DL202301030000003109,3,C,32,03-01-2023
OR202301030000008019,4,DL202301030000009695,4,C,25,03-01-2023
OR202301030000008019,5,DL202301030000005133,5,C,3,03-01-2023
OR202301030000006363,1,DL202301030000001911,1,C,26,03-01-2023
OR202301030000007318,1,DL202301030000004732,1,C,30,03-01-2023
OR202301030000007318,2,DL202301030000009074,2,C,24,03-01-2023
DL202301030000009074,2,BODL202301030000009074,2,N,24,04-01-2023
OR202301030000007318,3,DL202301030000006942,3,C,44,03-01-2023
OR202301030000007318,4,DL202301030000002328,4,C,25,03-01-2023
OR202301030000007318,5,DL202301030000003946,5,C,11,03-01-2023
OR202301030000007538,1,DL202301030000001643,1,C,19,03-01-2023
OR202301030000007538,2,DL202301030000004395,2,C,13,03-01-2023
OR202301030000003096,1,DL202301030000009638,1,C,47,03-01-2023
OR202301030000003096,2,DL202301030000002633,2,C,36,03-01-2023
OR202301030000003096,3,DL202301030000003621,3,C,36,03-01-2023
OR202301030000003096,4,DL202301030000006671,4,C,25,03-01-2023
OR202301030000004179,1,DL202301030000009699,1,C,28,03-01-2023
DL202301030000009699,1,BODL202301030000009699,1,N,15,04-01-2023
OR202301030000004179,2,DL202301030000008730,2,C,48,03-01-2023
OR202301030000004179,3,DL202301030000004804,3,C,19,03-01-2023
DL202301030000004804,3,BODL202301030000004804,3,N,10,04-01-2023
OR202301030000004179,4,DL202301030000008388,4,C,34,03-01-2023
DL202301030000008388,4,BODL202301030000008388,4,N,10,04-01-2023
OR202301030000006522,1,DL202301030000009386,1,C,16,03-01-2023
OR202301030000006522,2,DL202301030000004824,2,C,4,03-01-2023
OR202301030000006522,3,DL202301030000005325,3,C,30,03-01-2023
DL202301030000005325,3,BODL202301030000005325,3,N,11,04-01-2023
OR202301030000009373,1,DL202301030000009776,1,C,49,03-01-2023
DL202301030000009776,1,BODL202301030000009776,1,N,45,04-01-2023
OR202301030000007022,1,DL202301030000006909,1,C,46,03-01-2023
OR202301030000007022,2,DL202301030000003971,2,C,49,03-01-2023
OR202301030000007022,3,DL202301030000006497,3,C,39,03-01-2023
DL202301030000006497,3,BODL202301030000006497,3,N,39,04-01-2023
OR202301030000007022,4,DL202301030000004228,4,C,38,03-01-2023
DL202301030000004228,4,BODL202301030000004228,4,N,18,04-01-2023
OR202301030000007022,5,DL202301030000007733,5,C,24,03-01-2023
OR202301030000002303,1,DL202301030000008275,1,C,17,03-01-2023
OR202301030000002303,2,DL202301030000006079,2,C,41,03-01-2023
OR202301030000002303,3,DL202301030000005293,3,C,24,03-01-2023
OR202301030000002303,4,DL202301030000006346,4,C,36,03-01-2023
OR202301030000009301,1,DL202301030000008872,1,C,3,03-01-2023
OR202301030000009301,2,DL202301030000005580,2,C,17,03-01-2023
DL202301030000005580,2,BODL202301030000005580,2,N,14,04-01-2023
OR202301030000009161,1,DL202301030000008414,1,C,32,03-01-2023
DL202301030000008414,1,BODL202301030000008414,1,N,10,04-01-2023
OR202301030000009161,2,DL202301030000003125,2,C,26,03-01-2023
OR202301030000009161,3,DL202301030000006572,3,C,3,03-01-2023
OR202301030000009893,1,DL202301030000007866,1,C,31,03-01-2023
OR202301030000009893,2,DL202301030000002580,2,C,15,03-01-2023
DL202301030000002580,2,BODL202301030000002580,2,N,1,04-01-2023
OR202301030000009893,3,DL202301030000006864,3,C,36,03-01-2023
OR202301030000009309,1,DL202301030000007735,1,C,44,03-01-2023
OR202301030000009309,2,DL202301030000009735,2,C,10,03-01-2023
OR202301030000009309,3,DL202301030000001452,3,C,15,03-01-2023
OR202301030000001184,1,DL202301030000005529,1,C,39,03-01-2023
OR202301030000001184,2,DL202301030000004114,2,C,12,03-01-2023
OR202301030000009853,1,DL202301030000008310,1,C,23,03-01-2023
OR202301030000002155,1,DL202301030000004318,1,C,30,03-01-2023
DL202301030000004318,1,BODL202301030000004318,1,N,17,04-01-2023
OR202301030000002155,2,DL202301030000007579,2,C,34,03-01-2023
OR202301030000002155,3,DL202301030000009494,3,C,50,03-01-2023
OR202301030000003699,1,DL202301030000003139,1,C,44,03-01-2023
OR202301030000003699,2,DL202301030000009883,2,C,22,03-01-2023
OR202301030000005621,1,DL202301030000006161,1,C,50,03-01-2023
OR202301030000005621,2,DL202301030000005113,2,C,40,03-01-2023
OR202301030000005621,3,DL202301030000008102,3,C,30,03-01-2023
OR202301030000009531,1,DL202301030000006611,1,C,5,03-01-2023
OR202301030000009531,2,DL202301030000004322,2,C,20,03-01-2023
DL202301030000004322,2,BODL202301030000004322,2,N,13,04-01-2023
OR202301030000009531,3,DL202301030000001850,3,C,43,03-01-2023
OR202301030000009531,4,DL202301030000001985,4,C,19,03-01-2023
OR202301040000009212,1,DL202301040000002959,1,C,49,04-01-2023
OR202301040000009212,2,DL202301040000009492,2,C,39,04-01-2023
OR202301040000009212,3,DL202301040000002294,3,C,37,04-01-2023
OR202301040000009212,4,DL202301040000008981,4,C,4,04-01-2023
DL202301040000008981,4,BODL202301040000008981,4,N,2,05-01-2023
OR202301040000005774,1,DL202301040000001629,1,C,34,04-01-2023
OR202301040000005774,2,DL202301040000002036,2,C,27,04-01-2023
DL202301040000002036,2,BODL202301040000002036,2,N,27,05-01-2023
OR202301040000005774,3,DL202301040000003322,3,C,38,04-01-2023
OR202301040000005774,4,DL202301040000009295,4,C,31,04-01-2023
OR202301040000003258,1,DL202301040000003385,1,C,1,04-01-2023
DL202301040000003385,1,BODL202301040000003385,1,N,1,05-01-2023
OR202301040000001294,1,DL202301040000003660,1,C,9,04-01-2023
OR202301040000001294,2,DL202301040000002666,2,C,15,04-01-2023
OR202301040000001294,3,DL202301040000009200,3,C,15,04-01-2023
OR202301040000001294,4,DL202301040000002960,4,C,36,04-01-2023
OR202301040000009900,1,DL202301040000006720,1,C,5,04-01-2023
OR202301040000009900,2,DL202301040000009601,2,C,47,04-01-2023
OR202301040000003318,1,DL202301040000009745,1,C,39,04-01-2023
OR202301040000003318,2,DL202301040000003434,2,C,8,04-01-2023
OR202301040000003318,3,DL202301040000003999,3,C,42,04-01-2023
OR202301040000006236,1,DL202301040000006224,1,C,31,04-01-2023
OR202301040000006496,1,DL202301040000002847,1,C,13,04-01-2023
OR202301040000006496,2,DL202301040000003591,2,C,3,04-01-2023
OR202301040000006496,3,DL202301040000002722,3,C,8,04-01-2023
OR202301040000006496,4,DL202301040000007892,4,C,36,04-01-2023
OR202301040000007270,1,DL202301040000006600,1,C,49,04-01-2023
DL202301040000006600,1,BODL202301040000006600,1,N,49,05-01-2023
OR202301040000005619,1,DL202301040000004401,1,C,30,04-01-2023
OR202301040000005619,2,DL202301040000006117,2,C,29,04-01-2023
OR202301040000005619,3,DL202301040000006152,3,C,11,04-01-2023
OR202301040000005619,4,DL202301040000001985,4,C,11,04-01-2023
DL202301040000001985,4,BODL202301040000001985,4,N,10,05-01-2023
OR202301040000006667,1,DL202301040000008937,1,C,48,04-01-2023
DL202301040000008937,1,BODL202301040000008937,1,N,39,05-01-2023
OR202301040000006667,2,DL202301040000008735,2,C,33,04-01-2023
DL202301040000008735,2,BODL202301040000008735,2,N,33,05-01-2023
OR202301040000006667,3,DL202301040000004363,3,C,17,04-01-2023
OR202301040000007422,1,DL202301040000003070,1,C,15,04-01-2023
DL202301040000003070,1,BODL202301040000003070,1,N,8,05-01-2023
OR202301040000007422,2,DL202301040000004992,2,C,47,04-01-2023
DL202301040000004992,2,BODL202301040000004992,2,N,6,05-01-2023
OR202301040000007422,3,DL202301040000005669,3,C,20,04-01-2023
OR202301040000007422,4,DL202301040000001209,4,C,22,04-01-2023
OR202301040000007422,5,DL202301040000003640,5,C,41,04-01-2023
OR202301040000002235,1,DL202301040000008953,1,C,50,04-01-2023
OR202301040000002235,2,DL202301040000002574,2,C,10,04-01-2023
OR202301040000002235,3,DL202301040000006103,3,C,40,04-01-2023
OR202301040000006955,1,DL202301040000002049,1,C,48,04-01-2023
DL202301040000002049,1,BODL202301040000002049,1,N,27,05-01-2023
OR202301040000004997,1,DL202301040000008566,1,C,35,04-01-2023
OR202301040000004997,2,DL202301040000009981,2,C,7,04-01-2023
DL202301040000009981,2,BODL202301040000009981,2,N,2,05-01-2023
OR202301040000004997,3,DL202301040000009047,3,C,46,04-01-2023
DL202301040000009047,3,BODL202301040000009047,3,N,46,05-01-2023
OR202301040000004997,4,DL202301040000009878,4,C,7,04-01-2023
OR202301040000004997,5,DL202301040000006685,5,C,44,04-01-2023
OR202301040000002542,1,DL202301040000004220,1,C,7,04-01-2023
OR202301040000002542,2,DL202301040000005789,2,C,11,04-01-2023
OR202301040000002542,3,DL202301040000009212,3,C,28,04-01-2023
OR202301040000006000,1,DL202301040000003909,1,C,45,04-01-2023
OR202301050000009107,1,DL202301050000004725,1,C,37,05-01-2023
OR202301050000009107,2,DL202301050000006499,2,C,5,05-01-2023
DL202301050000006499,2,BODL202301050000006499,2,N,1,06-01-2023
OR202301050000009107,3,DL202301050000001916,3,C,40,05-01-2023
DL202301050000001916,3,BODL202301050000001916,3,N,40,06-01-2023
OR202301050000009107,4,DL202301050000006044,4,C,44,05-01-2023
OR202301050000002147,1,DL202301050000007179,1,C,47,05-01-2023
OR202301050000002147,2,DL202301050000002644,2,C,33,05-01-2023
OR202301050000002147,3,DL202301050000001383,3,C,6,05-01-2023
OR202301050000002147,4,DL202301050000002168,4,C,28,05-01-2023
DL202301050000002168,4,BODL202301050000002168,4,N,13,06-01-2023
OR202301050000002147,5,DL202301050000001540,5,C,19,05-01-2023
OR202301050000004387,1,DL202301050000009201,1,C,34,05-01-2023
OR202301050000004387,2,DL202301050000008650,2,C,2,05-01-2023
OR202301050000002907,1,DL202301050000005269,1,C,34,05-01-2023
OR202301050000002907,2,DL202301050000009599,2,C,48,05-01-2023
OR202301050000002907,3,DL202301050000005599,3,C,49,05-01-2023
OR202301050000002907,4,DL202301050000004549,4,C,26,05-01-2023
OR202301050000002907,5,DL202301050000004739,5,C,34,05-01-2023
OR202301050000005576,1,DL202301050000003608,1,C,12,05-01-2023
OR202301050000008436,1,DL202301050000007743,1,C,40,05-01-2023
OR202301050000008436,2,DL202301050000004973,2,C,14,05-01-2023
OR202301050000009217,1,DL202301050000008556,1,C,43,05-01-2023
OR202301050000003714,1,DL202301050000008732,1,C,4,05-01-2023
DL202301050000008732,1,BODL202301050000008732,1,N,2,06-01-2023
OR202301050000003714,2,DL202301050000001087,2,C,4,05-01-2023
OR202301050000001425,1,DL202301050000001061,1,C,25,05-01-2023
OR202301050000001425,2,DL202301050000006953,2,C,2,05-01-2023
DL202301050000006953,2,BODL202301050000006953,2,N,1,06-01-2023
OR202301050000001425,3,DL202301050000008457,3,C,50,05-01-2023
OR202301050000005314,1,DL202301050000003840,1,C,8,05-01-2023
OR202301050000005314,2,DL202301050000004126,2,C,29,05-01-2023
DL202301050000004126,2,BODL202301050000004126,2,N,29,06-01-2023
OR202301050000005314,3,DL202301050000001527,3,C,29,05-01-2023
OR202301050000005314,4,DL202301050000003624,4,C,49,05-01-2023
OR202301050000008004,1,DL202301050000006201,1,C,34,05-01-2023
OR202301050000008004,2,DL202301050000005812,2,C,50,05-01-2023
OR202301050000008004,3,DL202301050000004575,3,C,25,05-01-2023
OR202301050000008004,4,DL202301050000009436,4,C,31,05-01-2023
OR202301050000008146,1,DL202301050000002761,1,C,10,05-01-2023
OR202301050000008146,2,DL202301050000007972,2,C,31,05-01-2023
OR202301050000006979,1,DL202301050000008098,1,C,47,05-01-2023
OR202301050000006979,2,DL202301050000008638,2,C,2,05-01-2023
OR202301050000006979,3,DL202301050000005275,3,C,46,05-01-2023
OR202301050000004449,1,DL202301050000002284,1,C,1,05-01-2023
DL202301050000002284,1,BODL202301050000002284,1,N,1,06-01-2023
OR202301050000004449,2,DL202301050000006406,2,C,6,05-01-2023
DL202301050000006406,2,BODL202301050000006406,2,N,6,06-01-2023
OR202301050000004449,3,DL202301050000004229,3,C,4,05-01-2023
OR202301050000002809,1,DL202301050000009357,1,C,33,05-01-2023
OR202301050000002809,2,DL202301050000008383,2,C,5,05-01-2023
OR202301050000002809,3,DL202301050000009861,3,C,4,05-01-2023
DL202301050000009861,3,BODL202301050000009861,3,N,2,06-01-2023
OR202301050000002809,4,DL202301050000009775,4,C,43,05-01-2023
OR202301050000001955,1,DL202301050000005498,1,C,18,05-01-2023
OR202301050000001955,2,DL202301050000006124,2,C,45,05-01-2023
DL202301050000006124,2,BODL202301050000006124,2,N,45,06-01-2023
OR202301050000002391,1,DL202301050000008155,1,C,7,05-01-2023
OR202301050000002391,2,DL202301050000004189,2,C,38,05-01-2023
OR202301050000002391,3,DL202301050000003646,3,C,49,05-01-2023
OR202301050000002391,4,DL202301050000006389,4,C,47,05-01-2023
OR202301050000002391,5,DL202301050000007449,5,C,8,05-01-2023
OR202301050000009602,1,DL202301050000008291,1,C,17,05-01-2023
OR202301050000009602,2,DL202301050000007251,2,C,35,05-01-2023
OR202301050000009602,3,DL202301050000008008,3,C,46,05-01-2023
OR202301050000009602,4,DL202301050000009068,4,C,8,05-01-2023
DL202301050000009068,4,BODL202301050000009068,4,N,1,06-01-2023
OR202301060000001695,1,DL202301060000002808,1,C,6,06-01-2023
OR202301060000005696,1,DL202301060000007201,1,C,36,06-01-2023
OR202301060000005696,2,DL202301060000007086,2,C,1,06-01-2023
OR202301060000005696,3,DL202301060000008225,3,C,11,06-01-2023
OR202301060000001698,1,DL202301060000005017,1,C,12,06-01-2023
OR202301060000008765,1,DL202301060000009788,1,C,13,06-01-2023
OR202301060000008765,2,DL202301060000001839,2,C,45,06-01-2023
DL202301060000001839,2,BODL202301060000001839,2,N,45,07-01-2023
OR202301060000008765,3,DL202301060000006076,3,C,20,06-01-2023
DL202301060000006076,3,BODL202301060000006076,3,N,1,07-01-2023
OR202301060000008765,4,DL202301060000002093,4,C,44,06-01-2023
DL202301060000002093,4,BODL202301060000002093,4,N,36,07-01-2023
OR202301060000004806,1,DL202301060000002754,1,C,45,06-01-2023
OR202301060000004806,2,DL202301060000002195,2,C,32,06-01-2023
OR202301060000004806,3,DL202301060000008196,3,C,1,06-01-2023
DL202301060000008196,3,BODL202301060000008196,3,N,1,07-01-2023
OR202301060000004806,4,DL202301060000003092,4,C,24,06-01-2023
OR202301060000007547,1,DL202301060000009312,1,C,19,06-01-2023
OR202301060000007547,2,DL202301060000006068,2,C,23,06-01-2023
DL202301060000006068,2,BODL202301060000006068,2,N,23,07-01-2023
OR202301060000007547,3,DL202301060000001402,3,C,30,06-01-2023
OR202301060000006334,1,DL202301060000008729,1,C,6,06-01-2023
OR202301060000006334,2,DL202301060000009533,2,C,13,06-01-2023
DL202301060000009533,2,BODL202301060000009533,2,N,13,07-01-2023
OR202301060000006334,3,DL202301060000003759,3,C,43,06-01-2023
OR202301060000006334,4,DL202301060000002316,4,C,44,06-01-2023
OR202301060000006334,5,DL202301060000009122,5,C,3,06-01-2023
OR202301060000007335,1,DL202301060000008968,1,C,11,06-01-2023
DL202301060000008968,1,BODL202301060000008968,1,N,11,07-01-2023
OR202301060000007335,2,DL202301060000007177,2,C,41,06-01-2023
DL202301060000007177,2,BODL202301060000007177,2,N,20,07-01-2023
OR202301060000007335,3,DL202301060000008884,3,C,10,06-01-2023
OR202301060000007335,4,DL202301060000005053,4,C,31,06-01-2023
OR202301060000007335,5,DL202301060000001720,5,C,11,06-01-2023
OR202301060000003952,1,DL202301060000006798,1,C,25,06-01-2023
OR202301060000003952,2,DL202301060000001414,2,C,5,06-01-2023
DL202301060000001414,2,BODL202301060000001414,2,N,3,07-01-2023
OR202301060000009446,1,DL202301060000003330,1,C,47,06-01-2023
DL202301060000003330,1,BODL202301060000003330,1,N,4,07-01-2023
OR202301060000009446,2,DL202301060000009065,2,C,15,06-01-2023
OR202301060000009446,3,DL202301060000001510,3,C,33,06-01-2023
OR202301060000009446,4,DL202301060000001435,4,C,40,06-01-2023
OR202301060000009446,5,DL202301060000007025,5,C,29,06-01-2023
OR202301060000006629,1,DL202301060000003308,1,C,18,06-01-2023
OR202301060000006629,2,DL202301060000004082,2,C,10,06-01-2023
OR202301060000006629,3,DL202301060000006783,3,C,14,06-01-2023
OR202301060000006629,4,DL202301060000004798,4,C,35,06-01-2023
OR202301060000006629,5,DL202301060000003377,5,C,22,06-01-2023
OR202301060000007246,1,DL202301060000002754,1,C,3,06-01-2023
OR202301060000007246,2,DL202301060000004655,2,C,6,06-01-2023
OR202301060000007246,3,DL202301060000007093,3,C,11,06-01-2023
OR202301060000007246,4,DL202301060000002855,4,C,49,06-01-2023
OR202301060000005266,1,DL202301060000001387,1,C,13,06-01-2023
DL202301060000001387,1,BODL202301060000001387,1,N,10,07-01-2023
OR202301060000003167,1,DL202301060000003065,1,C,35,06-01-2023
DL202301060000003065,1,BODL202301060000003065,1,N,35,07-01-2023
OR202301060000008046,1,DL202301060000007780,1,C,41,06-01-2023
DL202301060000007780,1,BODL202301060000007780,1,N,41,07-01-2023
OR202301060000008046,2,DL202301060000007769,2,C,49,06-01-2023
OR202301060000008046,3,DL202301060000009349,3,C,39,06-01-2023
OR202301060000008046,4,DL202301060000006439,4,C,37,06-01-2023
OR202301060000001294,1,DL202301060000009618,1,C,38,06-01-2023
OR202301060000001294,2,DL202301060000004119,2,C,10,06-01-2023
DL202301060000004119,2,BODL202301060000004119,2,N,4,07-01-2023
OR202301060000001294,3,DL202301060000004131,3,C,33,06-01-2023
OR202301060000001294,4,DL202301060000007493,4,C,6,06-01-2023
DL202301060000007493,4,BODL202301060000007493,4,N,5,07-01-2023
OR202301060000001294,5,DL202301060000007422,5,C,39,06-01-2023
OR202301060000007181,1,DL202301060000007313,1,C,22,06-01-2023
OR202301060000007181,2,DL202301060000007805,2,C,39,06-01-2023
DL202301060000007805,2,BODL202301060000007805,2,N,26,07-01-2023
OR202301060000007181,3,DL202301060000001848,3,C,28,06-01-2023
OR202301060000005617,1,DL202301060000001210,1,C,11,06-01-2023
OR202301060000006014,1,DL202301060000008528,1,C,45,06-01-2023
DL202301060000008528,1,BODL202301060000008528,1,N,45,07-01-2023
OR202301060000006014,2,DL202301060000009482,2,C,24,06-01-2023
OR202301060000006014,3,DL202301060000001133,3,C,49,06-01-2023
OR202301060000006014,4,DL202301060000007896,4,C,10,06-01-2023
OR202301060000006014,5,DL202301060000009061,5,C,43,06-01-2023
DL202301060000009061,5,BODL202301060000009061,5,N,43,07-01-2023
OR202301060000004388,1,DL202301060000001642,1,C,48,06-01-2023
DL202301060000001642,1,BODL202301060000001642,1,N,41,07-01-2023
OR202301060000004388,2,DL202301060000009030,2,C,4,06-01-2023
DL202301060000009030,2,BODL202301060000009030,2,N,1,07-01-2023
OR202301060000008899,1,DL202301060000008501,1,C,3,06-01-2023
OR202301060000008899,2,DL202301060000006078,2,C,3,06-01-2023
OR202301060000008899,3,DL202301060000003287,3,C,46,06-01-2023
OR202301060000006358,1,DL202301060000003926,1,C,17,06-01-2023
DL202301060000003926,1,BODL202301060000003926,1,N,1,07-01-2023
OR202301060000006358,2,DL202301060000004738,2,C,25,06-01-2023
DL202301060000004738,2,BODL202301060000004738,2,N,18,07-01-2023
OR202301060000001647,1,DL202301060000009119,1,C,33,06-01-2023
OR202301060000001647,2,DL202301060000002204,2,C,1,06-01-2023
OR202301060000001647,3,DL202301060000007282,3,C,48,06-01-2023
OR202301060000008944,1,DL202301060000007097,1,C,43,06-01-2023
OR202301060000008944,2,DL202301060000008273,2,C,14,06-01-2023
OR202301060000008944,3,DL202301060000001096,3,C,36,06-01-2023
OR202301060000008944,4,DL202301060000004418,4,C,34,06-01-2023
OR202301060000009679,1,DL202301060000004730,1,C,10,06-01-2023
OR202301060000009679,2,DL202301060000005235,2,C,5,06-01-2023
OR202301060000004150,1,DL202301060000008405,1,C,22,06-01-2023
